Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
20.27,-0.02,0.07,0.01
20.27,-0.02,0.07,0.01
20.27,-0.02,0.06,0.01
20.27,-0.02,0.06,0.01
20.28,-0.02,0.06,0.01
20.28,-0.02,0.05,0.01
20.28,-0.02,0.06,0.01
20.28,-0.02,0.06,0.01
20.28,-0.02,0.05,0.01
20.29,-0.02,0.05,0.01
20.29,-0.02,0.05,0.01
20.29,-0.02,0.05,0.00
20.29,-0.02,0.05,0.00
20.29,-0.02,0.05,0.00
20.30,-0.02,0.05,0.00
20.30,-0.02,0.05,0.00
20.30,-0.02,0.05,0.00
20.30,-0.02,0.05,0.00
20.30,-0.02,0.05,0.00
20.31,-0.02,0.05,0.00
20.31,-0.03,0.06,0.00
20.31,-0.03,0.06,0.00
20.31,-0.03,0.05,0.00
20.31,-0.03,0.05,0.00
20.32,-0.02,0.06,0.00
20.32,-0.03,0.05,0.00
20.32,-0.03,0.06,0.00
20.32,-0.03,0.06,0.00
20.32,-0.03,0.06,0.00
20.33,-0.03,0.05,0.00
20.33,-0.03,0.06,0.00
20.33,-0.03,0.06,0.00
20.33,-0.03,0.06,0.00
20.33,-0.03,0.06,0.00
20.34,-0.03,0.06,0.00
20.34,-0.03,0.06,0.00
20.34,-0.03,0.06,0.00
20.34,-0.03,0.06,0.00
20.34,-0.03,0.06,0.00
20.35,-0.03,0.06,0.00
20.35,-0.03,0.06,0.00
20.35,-0.03,0.06,0.00
20.35,-0.03,0.07,0.00
20.35,-0.03,0.07,0.00
20.36,-0.03,0.07,0.00
20.36,-0.02,0.07,0.00
20.36,-0.02,0.07,0.00
20.36,-0.02,0.07,0.00
20.36,-0.02,0.07,0.00
20.37,-0.02,0.07,0.00
20.37,-0.02,0.07,0.00
20.37,-0.02,0.07,0.00
20.37,-0.02,0.07,0.00
20.37,-0.02,0.07,0.00
20.38,-0.02,0.06,0.00
20.38,-0.02,0.06,0.00
20.38,-0.02,0.05,0.00
20.38,-0.02,0.05,-0.01
20.38,-0.02,0.04,-0.01
20.39,-0.02,0.04,-0.01
20.39,-0.02,0.03,-0.01
20.39,-0.02,0.03,-0.01
20.39,-0.02,0.03,-0.01
20.39,-0.01,0.03,-0.01
20.40,-0.02,0.02,-0.01
20.40,-0.02,0.02,-0.01
20.40,-0.02,0.02,-0.01
20.40,-0.02,0.03,-0.01
20.40,-0.02,0.02,-0.01
20.41,-0.02,0.02,-0.01
20.41,-0.02,0.02,-0.01
20.41,-0.02,0.02,-0.01
20.41,-0.02,0.01,-0.01
20.41,-0.02,0.02,0.00
20.42,-0.01,0.02,-0.01
20.42,-0.01,0.02,0.00
20.42,-0.01,0.02,0.00
20.42,-0.01,0.02,0.00
20.42,-0.02,0.03,0.00
20.43,-0.01,0.03,0.00
20.43,-0.02,0.03,0.00
20.43,-0.02,0.04,0.00
20.43,-0.02,0.04,0.00
20.43,-0.02,0.04,0.00
20.44,-0.02,0.04,0.00
20.44,-0.02,0.03,0.00
20.44,-0.02,0.04,0.00
20.44,-0.02,0.03,0.00
20.44,-0.01,0.03,0.00
20.45,-0.01,0.03,0.01
20.45,-0.01,0.03,0.01
20.45,-0.01,0.03,0.01
20.45,-0.01,0.02,0.00
20.45,-0.01,0.02,0.00
20.46,-0.01,0.02,0.00
20.46,-0.01,0.01,0.00
20.46,-0.01,0.01,0.00
20.46,-0.01,0.01,-0.01
20.46,-0.01,0.01,-0.01
20.47,-0.01,0.00,-0.01
20.47,-0.01,0.00,-0.01
20.47,-0.01,0.00,-0.01
20.47,-0.01,-0.01,-0.02
20.47,-0.02,-0.01,-0.02
20.48,-0.01,-0.01,-0.02
20.48,-0.01,0.00,-0.02
20.48,-0.01,0.00,-0.02
20.48,-0.01,-0.01,-0.02
20.48,-0.01,-0.01,-0.03
20.49,-0.01,-0.01,-0.03
20.49,-0.01,-0.01,-0.02
20.49,-0.01,-0.01,-0.03
20.49,-0.01,-0.01,-0.03
20.49,-0.01,0.00,-0.03
20.50,-0.01,-0.01,-0.03
20.50,-0.01,0.00,-0.03
20.50,-0.01,0.00,-0.03
20.50,-0.01,0.00,-0.03
20.50,-0.01,0.00,-0.03
20.51,-0.01,0.01,-0.03
20.51,-0.01,0.01,-0.02
20.51,-0.01,0.01,-0.02
20.51,-0.01,0.01,-0.02
20.51,-0.01,0.01,-0.02
20.52,-0.01,0.02,-0.02
20.52,-0.01,0.01,-0.02
20.52,-0.01,0.01,-0.02
20.52,-0.01,0.01,-0.02
20.52,-0.01,0.01,-0.01
20.53,-0.01,0.01,-0.01
20.53,-0.01,0.01,-0.01
20.53,-0.01,0.01,-0.01
20.53,-0.01,0.01,-0.01
20.53,-0.01,0.01,-0.01
20.54,-0.01,0.01,0.00
20.54,-0.01,0.01,-0.01
20.54,-0.01,0.01,0.00
20.54,-0.01,0.00,0.00
20.54,-0.01,0.00,0.00
20.55,-0.01,0.00,0.00
20.55,-0.01,-0.01,0.00
20.55,-0.01,-0.01,0.00
20.55,-0.01,-0.01,0.00
20.55,-0.01,-0.01,0.00
20.56,-0.02,-0.02,0.00
20.56,-0.02,-0.02,0.00
20.56,-0.01,-0.02,0.00
20.56,-0.02,-0.02,0.00
20.56,-0.02,-0.02,0.00
20.57,-0.02,-0.02,0.00
20.57,-0.02,-0.02,0.00
20.57,-0.02,-0.02,0.00
20.57,-0.03,-0.02,0.00
20.57,-0.03,-0.01,0.00
20.58,-0.03,-0.02,0.01
20.58,-0.03,-0.02,0.00
20.58,-0.03,-0.01,0.00
20.58,-0.03,-0.02,0.01
20.58,-0.03,-0.02,0.01
20.59,-0.03,-0.02,0.01
20.59,-0.03,-0.01,0.00
20.59,-0.03,-0.01,0.00
20.59,-0.03,-0.02,0.01
20.59,-0.03,-0.01,0.01
20.60,-0.03,-0.01,0.01
20.60,-0.03,-0.02,0.01
20.60,-0.03,-0.02,0.01
20.60,-0.03,-0.02,0.01
20.60,-0.03,-0.02,0.01
20.61,-0.03,-0.02,0.01
20.61,-0.03,-0.02,0.01
20.61,-0.03,-0.02,0.01
20.61,-0.03,-0.02,0.01
20.61,-0.03,-0.02,0.01
20.62,-0.03,-0.01,0.01
20.62,-0.03,-0.02,0.01
20.62,-0.03,-0.01,0.01
20.62,-0.03,-0.01,0.01
20.62,-0.03,-0.01,0.01
20.63,-0.03,-0.01,0.01
20.63,-0.03,0.00,0.01
20.63,-0.03,0.00,0.02
20.63,-0.03,0.01,0.02
20.63,-0.03,0.02,0.02
20.64,-0.03,0.02,0.02
20.64,-0.04,0.02,0.02
20.64,-0.03,0.02,0.02
20.64,-0.03,0.03,0.02
20.64,-0.04,0.03,0.02
20.65,-0.03,0.03,0.02
20.65,-0.03,0.04,0.02
20.65,-0.03,0.04,0.02
20.65,-0.04,0.03,0.02
20.65,-0.04,0.04,0.02
20.66,-0.03,0.03,0.02
20.66,-0.04,0.04,0.02
20.66,-0.03,0.04,0.01
