Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
20.07,0.77,9.88,-1.39
20.07,0.78,9.88,-1.40
20.07,0.78,9.88,-1.40
20.07,0.78,9.87,-1.40
20.08,0.78,9.89,-1.42
20.08,0.77,9.89,-1.43
20.08,0.77,9.90,-1.42
20.08,0.78,9.90,-1.45
20.08,0.78,9.90,-1.45
20.09,0.78,9.90,-1.46
20.09,0.78,9.92,-1.47
20.09,0.79,9.91,-1.47
20.09,0.79,9.90,-1.48
20.09,0.79,9.91,-1.47
20.10,0.80,9.92,-1.47
20.10,0.79,9.92,-1.48
20.10,0.81,9.92,-1.49
20.10,0.81,9.92,-1.52
20.10,0.82,9.92,-1.52
20.11,0.81,9.92,-1.52
20.11,0.80,9.91,-1.51
20.11,0.79,9.90,-1.50
20.11,0.80,9.91,-1.48
20.11,0.81,9.91,-1.47
20.12,0.79,9.91,-1.46
20.12,0.79,9.88,-1.44
20.12,0.80,9.88,-1.43
20.12,0.80,9.88,-1.43
20.12,0.80,9.88,-1.43
20.13,0.79,9.87,-1.43
20.13,0.79,9.87,-1.45
20.13,0.79,9.86,-1.45
20.13,0.80,9.83,-1.45
20.13,0.79,9.83,-1.45
20.14,0.78,9.82,-1.45
20.14,0.77,9.83,-1.44
20.14,0.77,9.82,-1.43
20.14,0.77,9.82,-1.43
20.14,0.76,9.83,-1.42
20.15,0.77,9.83,-1.41
20.15,0.76,9.82,-1.40
20.15,0.76,9.82,-1.40
20.15,0.77,9.84,-1.41
20.15,0.75,9.84,-1.39
20.16,0.74,9.85,-1.39
20.16,0.74,9.85,-1.40
20.16,0.75,9.85,-1.40
20.16,0.75,9.87,-1.41
20.16,0.76,9.87,-1.41
20.17,0.75,9.88,-1.42
20.17,0.76,9.89,-1.42
20.17,0.76,9.88,-1.42
20.17,0.76,9.87,-1.41
20.17,0.76,9.89,-1.42
20.18,0.76,9.90,-1.42
20.18,0.76,9.91,-1.43
20.18,0.77,9.89,-1.42
20.18,0.77,9.89,-1.43
20.18,0.77,9.89,-1.45
20.19,0.77,9.90,-1.45
20.19,0.78,9.91,-1.46
20.19,0.79,9.90,-1.46
20.19,0.78,9.90,-1.46
20.19,0.78,9.90,-1.46
20.20,0.77,9.89,-1.47
20.20,0.78,9.90,-1.47
20.20,0.79,9.91,-1.50
20.20,0.78,9.91,-1.51
20.20,0.78,9.91,-1.51
20.21,0.79,9.90,-1.50
20.21,0.79,9.89,-1.49
20.21,0.79,9.87,-1.50
20.21,0.80,9.86,-1.49
20.21,0.80,9.87,-1.48
20.22,0.80,9.89,-1.47
20.22,0.79,9.89,-1.46
20.22,0.79,9.89,-1.46
20.22,0.79,9.88,-1.44
20.22,0.79,9.88,-1.44
20.23,0.78,9.89,-1.45
20.23,0.78,9.88,-1.45
20.23,0.78,9.88,-1.45
20.23,0.77,9.89,-1.46
20.23,0.76,9.87,-1.46
20.24,0.76,9.86,-1.47
20.24,0.75,9.85,-1.47
20.24,0.75,9.85,-1.47
20.24,0.76,9.84,-1.44
20.24,0.76,9.84,-1.44
20.25,0.75,9.86,-1.43
20.25,0.75,9.87,-1.43
20.25,0.74,9.86,-1.43
20.25,0.74,9.86,-1.44
20.25,0.73,9.87,-1.46
20.26,0.74,9.88,-1.46
20.26,0.74,9.87,-1.47
20.26,0.73,9.87,-1.47
20.26,0.75,9.89,-1.46
20.26,0.75,9.89,-1.46
20.27,0.75,9.88,-1.45
20.27,0.74,9.88,-1.44
20.27,0.74,9.90,-1.44
20.27,0.74,9.91,-1.43
20.27,0.74,9.90,-1.43
20.28,0.74,9.90,-1.44
20.28,0.75,9.90,-1.46
20.28,0.75,9.89,-1.46
20.28,0.75,9.89,-1.46
20.28,0.75,9.89,-1.46
20.29,0.75,9.86,-1.47
20.29,0.75,9.85,-1.47
20.29,0.75,9.85,-1.48
20.29,0.75,9.84,-1.48
20.29,0.74,9.85,-1.48
20.30,0.75,9.86,-1.46
20.30,0.75,9.85,-1.48
20.30,0.76,9.85,-1.47
20.30,0.76,9.85,-1.48
20.30,0.75,9.85,-1.47
20.31,0.76,9.85,-1.47
20.31,0.77,9.85,-1.47
20.31,0.77,9.85,-1.48
20.31,0.78,9.84,-1.48
20.31,0.78,9.85,-1.48
20.32,0.77,9.85,-1.47
20.32,0.79,9.86,-1.47
20.32,0.79,9.86,-1.47
20.32,0.81,9.85,-1.46
20.32,0.81,9.85,-1.46
20.33,0.81,9.84,-1.47
20.33,0.80,9.84,-1.46
20.33,0.80,9.85,-1.45
20.33,0.81,9.86,-1.46
20.33,0.79,9.86,-1.47
20.34,0.79,9.87,-1.47
20.34,0.80,9.87,-1.47
20.34,0.79,9.88,-1.47
20.34,0.78,9.88,-1.46
20.34,0.77,9.88,-1.46
20.35,0.77,9.88,-1.47
20.35,0.77,9.88,-1.47
20.35,0.78,9.88,-1.48
20.35,0.79,9.89,-1.48
20.35,0.78,9.90,-1.47
20.36,0.78,9.91,-1.47
20.36,0.78,9.91,-1.47
20.36,0.78,9.91,-1.47
20.36,0.78,9.89,-1.47
20.36,0.78,9.89,-1.48
20.37,0.78,9.89,-1.47
20.37,0.76,9.89,-1.45
20.37,0.77,9.91,-1.46
20.37,0.78,9.90,-1.47
20.37,0.77,9.90,-1.46
20.38,0.78,9.88,-1.45
20.38,0.79,9.88,-1.45
20.38,0.80,9.88,-1.45
20.38,0.82,9.86,-1.46
20.38,0.82,9.86,-1.46
20.39,0.83,9.85,-1.46
20.39,0.82,9.85,-1.46
20.39,0.82,9.85,-1.45
20.39,0.82,9.84,-1.45
20.39,0.83,9.84,-1.44
20.40,0.82,9.83,-1.43
20.40,0.83,9.82,-1.43
20.40,0.83,9.80,-1.43
20.40,0.83,9.82,-1.40
20.40,0.83,9.83,-1.40
20.41,0.83,9.84,-1.40
20.41,0.83,9.85,-1.41
20.41,0.84,9.86,-1.43
20.41,0.85,9.88,-1.43
20.41,0.84,9.89,-1.44
20.42,0.83,9.87,-1.43
20.42,0.83,9.87,-1.43
20.42,0.82,9.88,-1.44
20.42,0.81,9.88,-1.47
20.42,0.81,9.88,-1.47
20.43,0.84,9.88,-1.47
20.43,0.83,9.88,-1.47
20.43,0.82,9.87,-1.46
20.43,0.82,9.88,-1.45
20.43,0.83,9.88,-1.44
20.44,0.83,9.88,-1.43
20.44,0.84,9.88,-1.42
20.44,0.84,9.87,-1.41
20.44,0.85,9.89,-1.41
20.44,0.85,9.89,-1.41
20.45,0.86,9.87,-1.42
20.45,0.86,9.88,-1.41
20.45,0.85,9.89,-1.40
20.45,0.85,9.88,-1.41
20.45,0.85,9.88,-1.42
20.46,0.84,9.85,-1.44
20.46,0.84,9.85,-1.45
20.46,0.84,9.86,-1.44
20.46,0.84,9.85,-1.44
20.46,0.84,9.86,-1.44
20.47,0.84,9.86,-1.44
