"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.545448100E-2,-2.644368172E0,9.294620514E0,-4.947160780E-1
2.786291900E-2,-2.641975403E0,9.311369896E0,-4.564309120E-1
3.027099200E-2,-2.680260420E0,9.313762665E0,-4.660021961E-1
3.267864800E-2,-2.713759899E0,9.330513000E0,-4.420739710E-1
3.508677300E-2,-2.697010279E0,9.342476845E0,-4.660021961E-1
3.749484600E-2,-2.742473841E0,9.340084076E0,-4.683950245E-1
3.990328300E-2,-2.756830692E0,9.349655151E0,-4.540380836E-1
4.231135600E-2,-2.732902527E0,9.349655151E0,-4.707878530E-1
5.945588800E-2,-2.792723179E0,9.368798256E0,-4.947160780E-1
6.190781500E-2,-2.809472799E0,9.364012718E0,-4.899304509E-1
6.435995000E-2,-2.814258575E0,9.364012718E0,-5.066801906E-1
6.681229400E-2,-2.790330410E0,9.361619949E0,-5.189434290E-1
6.926484600E-2,-2.787937403E0,9.373583794E0,-5.042873621E-1
7.171755400E-2,-2.771187782E0,9.371191025E0,-5.042873621E-1
7.417041900E-2,-2.720938444E0,9.347262383E0,-5.285146832E-1
7.662344000E-2,-2.725723982E0,9.325727463E0,-5.476573110E-1
7.907656500E-2,-2.716152906E0,9.323334694E0,-5.285146832E-1
8.152984600E-2,-2.687438965E0,9.323334694E0,-5.572285652E-1
8.398323100E-2,-2.675474882E0,9.320941925E0,-5.620142221E-1
8.643666900E-2,-2.613261461E0,9.335298538E0,-5.500500798E-1
8.889021000E-2,-2.613261461E0,9.316155434E0,-5.763711333E-1
9.134390800E-2,-2.598904610E0,9.308977127E0,-5.644070506E-1
9.379771000E-2,-2.615654230E0,9.285049438E0,-5.548357368E-1
9.625156500E-2,-2.558226585E0,9.308977127E0,-5.476573110E-1
9.870552300E-2,-2.560619354E0,9.306584358E0,-5.620142221E-1
1.011595850E-1,-2.574976206E0,9.299406052E0,-5.524429083E-1
1.036137000E-1,-2.551048040E0,9.294620514E0,-5.739783049E-1
1.060679190E-1,-2.586940289E0,9.304191589E0,-5.715855360E-1
1.085221900E-1,-2.574976206E0,9.285049438E0,-5.763711333E-1
1.109766170E-1,-2.584547520E0,9.294620514E0,-5.644070506E-1
1.134310440E-1,-2.586940289E0,9.320941925E0,-5.452644825E-1
1.158854710E-1,-2.610868692E0,9.316155434E0,-5.596213937E-1
1.183400020E-1,-2.615654230E0,9.304191589E0,-5.261218548E-1
1.207946380E-1,-2.622832775E0,9.299406052E0,-5.548357368E-1
1.232492730E-1,-2.646760941E0,9.323334694E0,-5.356931686E-1
1.257039080E-1,-2.615654230E0,9.330513000E0,-5.572285652E-1
1.281586480E-1,-2.658725023E0,9.311369896E0,-5.380859971E-1
1.306134920E-1,-2.661117792E0,9.356833458E0,-5.213362575E-1
1.330683350E-1,-2.687438965E0,9.340084076E0,-5.356931686E-1
1.355231790E-1,-2.682653189E0,9.364012718E0,-5.356931686E-1
1.379781270E-1,-2.689831734E0,9.347262383E0,-5.261218548E-1
1.404331790E-1,-2.685046196E0,9.347262383E0,-5.500500798E-1
1.428882310E-1,-2.680260420E0,9.361619949E0,-5.213362575E-1
1.453432830E-1,-2.685046196E0,9.359226227E0,-5.333003402E-1
1.477984400E-1,-2.687438965E0,9.356833458E0,-5.404788256E-1
1.502535960E-1,-2.668296337E0,9.364012718E0,-5.404788256E-1
1.527088040E-1,-2.670689106E0,9.356833458E0,-5.476573110E-1
1.551640130E-1,-2.644368172E0,9.352047920E0,-5.333003402E-1
1.576192730E-1,-2.656332254E0,9.337691307E0,-5.285146832E-1
1.600745330E-1,-2.632404089E0,9.332905769E0,-5.285146832E-1
1.625297940E-1,-2.627618313E0,9.313762665E0,-5.285146832E-1
1.649850540E-1,-2.622832775E0,9.311369896E0,-5.237290859E-1
1.674403150E-1,-2.591726065E0,9.301798820E0,-5.356931686E-1
1.698956270E-1,-2.606082916E0,9.297013283E0,-5.285146832E-1
1.723369290E-1,-2.584547520E0,9.297013283E0,-5.285146832E-1
1.747545850E-1,-2.591726065E0,9.282656670E0,-5.476573110E-1
1.771630230E-1,-2.594118834E0,9.299406052E0,-5.691927075E-1
1.795714600E-1,-2.591726065E0,9.275477409E0,-5.476573110E-1
1.819791170E-1,-2.579761982E0,9.299406052E0,-5.620142221E-1
1.843868250E-1,-2.586940289E0,9.287442207E0,-5.452644825E-1
1.867952630E-1,-2.589333296E0,9.292227745E0,-5.548357368E-1
1.892037520E-1,-2.601297379E0,9.308977127E0,-5.787639618E-1
1.916114080E-1,-2.606082916E0,9.311369896E0,-5.763711333E-1
1.940191170E-1,-2.620440006E0,9.297013283E0,-5.835496187E-1
1.964275540E-1,-2.598904610E0,9.304191589E0,-5.883352757E-1
1.988359920E-1,-2.598904610E0,9.292227745E0,-5.907281041E-1
2.012436480E-1,-2.630011082E0,9.294620514E0,-6.122635007E-1
2.036513040E-1,-2.601297379E0,9.304191589E0,-6.122635007E-1
2.060597940E-1,-2.622832775E0,9.292227745E0,-5.787639618E-1
2.084682830E-1,-2.618046999E0,9.292227745E0,-6.218347549E-1
2.108758880E-1,-2.630011082E0,9.275477409E0,-5.979065299E-1
2.132835440E-1,-2.620440006E0,9.297013283E0,-6.194419861E-1
2.156920330E-1,-2.620440006E0,9.292227745E0,-5.739783049E-1
2.181005230E-1,-2.613261461E0,9.320941925E0,-5.955137610E-1
2.205081790E-1,-2.630011082E0,9.304191589E0,-6.050850153E-1
2.229158350E-1,-2.622832775E0,9.287442207E0,-5.883352757E-1
2.253243250E-1,-2.641975403E0,9.289834976E0,-5.715855360E-1
2.277328150E-1,-2.632404089E0,9.306584358E0,-5.715855360E-1
2.301404190E-1,-2.639582396E0,9.294620514E0,-5.739783049E-1
2.325480750E-1,-2.630011082E0,9.308977127E0,-5.524429083E-1
2.349565650E-1,-2.625225544E0,9.308977127E0,-5.620142221E-1
2.373650540E-1,-2.639582396E0,9.308977127E0,-5.763711333E-1
2.397727100E-1,-2.630011082E0,9.316155434E0,-5.620142221E-1
2.421803670E-1,-2.639582396E0,9.320941925E0,-5.667998791E-1
2.445888560E-1,-2.634796858E0,9.304191589E0,-5.811567903E-1
2.469973460E-1,-2.627618313E0,9.299406052E0,-5.620142221E-1
2.494049500E-1,-2.639582396E0,9.313762665E0,-5.572285652E-1
2.518126060E-1,-2.634796858E0,9.297013283E0,-5.620142221E-1
2.542210960E-1,-2.625225544E0,9.306584358E0,-5.787639618E-1
2.566295850E-1,-2.613261461E0,9.299406052E0,-5.739783049E-1
2.590372420E-1,-2.625225544E0,9.330513000E0,-5.739783049E-1
2.614448980E-1,-2.591726065E0,9.320941925E0,-5.739783049E-1
2.638533880E-1,-2.618046999E0,9.299406052E0,-5.907281041E-1
2.662618250E-1,-2.620440006E0,9.306584358E0,-5.739783049E-1
2.686694810E-1,-2.606082916E0,9.325727463E0,-5.691927075E-1
2.710771380E-1,-2.610868692E0,9.304191589E0,-5.811567903E-1
2.734856270E-1,-2.620440006E0,9.285049438E0,-6.098706722E-1
2.758941170E-1,-2.582154751E0,9.299406052E0,-5.931209326E-1
2.783017730E-1,-2.584547520E0,9.320941925E0,-6.050850153E-1
2.807094290E-1,-2.582154751E0,9.325727463E0,-5.811567903E-1
2.831179190E-1,-2.586940289E0,9.313762665E0,-6.146563292E-1
2.855264080E-1,-2.586940289E0,9.313762665E0,-6.194419861E-1
2.879340130E-1,-2.572583437E0,9.316155434E0,-5.979065299E-1
2.903416690E-1,-2.560619354E0,9.311369896E0,-6.194419861E-1
2.927501580E-1,-2.565404892E0,9.308977127E0,-6.122635007E-1
2.951586480E-1,-2.553440809E0,9.316155434E0,-6.170491576E-1
2.975663040E-1,-2.560619354E0,9.332905769E0,-6.002993584E-1
2.999739600E-1,-2.553440809E0,9.318549156E0,-5.907281041E-1
3.023824500E-1,-2.555833578E0,9.304191589E0,-5.931209326E-1
3.047908880E-1,-2.548655272E0,9.311369896E0,-5.835496187E-1
3.071985440E-1,-2.548655272E0,9.306584358E0,-5.883352757E-1
3.096062000E-1,-2.543869495E0,9.323334694E0,-5.955137610E-1
3.120146900E-1,-2.551048040E0,9.311369896E0,-6.050850153E-1
3.144231790E-1,-2.570190668E0,9.330513000E0,-5.787639618E-1
3.168308350E-1,-2.565404892E0,9.332905769E0,-5.763711333E-1
3.192384920E-1,-2.577368975E0,9.299406052E0,-5.739783049E-1
3.216469810E-1,-2.586940289E0,9.313762665E0,-5.811567903E-1
3.240554190E-1,-2.606082916E0,9.277871132E0,-5.548357368E-1
3.264630750E-1,-2.613261461E0,9.287442207E0,-5.667998791E-1
3.288707310E-1,-2.618046999E0,9.287442207E0,-5.787639618E-1
3.312792210E-1,-2.625225544E0,9.256035805E0,-5.907281041E-1
3.336877100E-1,-2.637189627E0,9.263513565E0,-5.979065299E-1
3.360953670E-1,-2.641975403E0,9.244071960E0,-6.290132403E-1
3.385030230E-1,-2.625225544E0,9.232108116E0,-6.050850153E-1
3.409115130E-1,-2.596511602E0,9.239286423E0,-6.337988973E-1
3.433199500E-1,-2.586940289E0,9.234500885E0,-6.577271223E-1
3.457276060E-1,-2.548655272E0,9.215357780E0,-6.218347549E-1
3.481352630E-1,-2.529512644E0,9.222537041E0,-6.505486369E-1
3.505437520E-1,-2.517548561E0,9.227322578E0,-6.266204119E-1
3.529522420E-1,-2.522334099E0,9.208179474E0,-6.361917257E-1
