"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.408854200E-2,-3.352942765E-1,4.591826439E0,7.931608677E0
1.648401100E-2,-2.826521695E-1,4.591826439E0,7.881359577E0
1.887890700E-2,-2.464607358E-1,4.596612453E0,7.840681553E0
2.127359400E-2,-1.890329868E-1,4.618147850E0,7.768897057E0
2.366895900E-2,-1.794617027E-1,4.658825874E0,7.704290867E0
2.606380300E-2,-1.674975902E-1,4.692325115E0,7.658827305E0
2.845859400E-2,-1.483550072E-1,4.723432064E0,7.615756035E0
3.085401100E-2,-1.172483116E-1,4.737788677E0,7.601399422E0
3.324901100E-2,-9.332008660E-2,4.721039295E0,7.584649563E0
3.564401100E-2,-7.657032460E-2,4.730610371E0,7.596613884E0
3.806317800E-2,-4.307080805E-2,4.725824833E0,7.668398380E0
4.050630300E-2,-4.307080805E-2,4.725824833E0,7.668398380E0
4.292552100E-2,-6.221338734E-2,4.733003139E0,7.699504852E0
4.534468800E-2,-9.332008660E-2,4.666004181E0,7.843074322E0
4.778781300E-2,-9.332008660E-2,4.666004181E0,7.843074322E0
5.023093800E-2,-1.100698411E-1,4.637290478E0,7.907680511E0
5.267895900E-2,-1.052841991E-1,4.639683247E0,7.953144073E0
5.513130300E-2,-1.124626622E-1,4.620540619E0,8.005785942E0
5.758765700E-2,-1.220339537E-1,4.630111694E0,8.070392609E0
6.004791700E-2,-8.135596663E-2,4.615755081E0,8.140083313E0
6.250671900E-2,-6.221338734E-2,4.587040901E0,8.238189697E0
6.496421900E-2,-4.067798331E-2,4.606183529E0,8.329116821E0
6.742062600E-2,-1.674975827E-2,4.613361835E0,8.400900841E0
6.987619900E-2,-1.674975827E-2,4.642076015E0,8.489435196E0
7.233099000E-2,0.000000000E0,4.666004181E0,8.575576782E0
7.478505300E-2,3.828516230E-2,4.709074974E0,8.640183449E0
7.723849000E-2,3.828516230E-2,4.709074974E0,8.690432549E0
7.969145900E-2,7.657032460E-2,4.721039295E0,8.743373871E0
8.214401100E-2,5.982056633E-2,4.735395908E0,8.779266357E0
8.459609400E-2,9.332008660E-2,4.713860512E0,8.860622406E0
8.704776100E-2,5.503492057E-2,4.723432064E0,8.865407944E0
8.949906300E-2,2.871387079E-2,4.713860512E0,8.819944382E0
9.195005300E-2,4.785645381E-2,4.711467743E0,8.796015739E0
9.440062600E-2,5.742774159E-2,4.692325115E0,8.829515457E0
9.682364600E-2,8.614161611E-2,4.673182487E0,8.920442581E0
9.921958400E-2,1.244267747E-1,4.661218643E0,9.011369705E0
1.016155210E-1,1.579262912E-1,4.656432629E0,9.111868858E0
1.040106780E-1,1.698904037E-1,4.649254322E0,9.183652878E0
1.064058340E-1,1.818545163E-1,4.687539577E0,9.248259544E0
1.088017710E-1,1.722832322E-1,4.675575256E0,9.279664993E0
1.111977090E-1,1.292124242E-1,4.675575256E0,9.272486687E0
1.135928650E-1,6.699903309E-2,4.668396950E0,9.257830620E0
1.159880210E-1,2.632104978E-2,4.663611412E0,9.229117393E0
1.183839590E-1,7.178467698E-3,4.644468784E0,9.188439369E0
1.207798960E-1,-2.392822644E-3,4.644468784E0,9.162117958E0
1.231750530E-1,9.571290575E-3,4.610969067E0,9.152546883E0
1.255702090E-1,4.546362907E-2,4.570291042E0,9.104690552E0
1.279661460E-1,7.657032460E-2,4.524827480E0,9.073583603E0
1.303620840E-1,1.435693651E-1,4.508078098E0,9.004191399E0
1.327572400E-1,1.842473447E-1,4.493721008E0,8.937192917E0
1.351523960E-1,2.033899277E-1,4.469792843E0,8.877371788E0
1.375483340E-1,1.938186288E-1,4.488935471E0,8.796015739E0
1.399442710E-1,1.866401732E-1,4.503292084E0,8.736195564E0
1.423394280E-1,2.033899277E-1,4.500899315E0,8.680861473E0
1.447345840E-1,2.201396823E-1,4.479363918E0,8.577970505E0
1.471305210E-1,2.416750938E-1,4.491328239E0,8.479864120E0
1.495264590E-1,2.488535494E-1,4.467400074E0,8.422436714E0
1.519216150E-1,2.536391914E-1,4.450650215E0,8.324331284E0
1.543167710E-1,2.344966233E-1,4.443471432E0,8.278866768E0
1.567127090E-1,2.656033039E-1,4.445864677E0,8.231010437E0
1.591086460E-1,2.922234535E-1,4.450650215E0,8.214261055E0
