"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.392043750E-1,5.207473040E-2,-5.638120174E-1,-1.574458778E-1
1.417416140E-1,3.741439432E-2,-5.467082858E-1,-1.562241912E-1
1.442788540E-1,2.153236605E-2,-5.296045542E-1,-1.562241912E-1
1.468160930E-1,6.872031838E-3,-5.112791657E-1,-1.537808031E-1
1.493533330E-1,-7.788302377E-3,-4.892886579E-1,-1.525591016E-1
1.518905730E-1,-2.489202656E-2,-4.672981501E-1,-1.537808031E-1
1.544278120E-1,-3.955236077E-2,-4.416425824E-1,-1.513374150E-1
1.569650520E-1,-5.787777901E-2,-4.220954478E-1,-1.464506239E-1
1.595022910E-1,-6.765133142E-2,-4.013266563E-1,-1.440072358E-1
1.620395310E-1,-7.864658535E-2,-3.816268146E-1,-1.403421611E-1
1.645767700E-1,-9.208522737E-2,-3.559712470E-1,-1.342336833E-1
1.671140100E-1,-1.067455560E-1,-3.315373361E-1,-1.305686086E-1
1.696512500E-1,-1.201841980E-1,-3.022166789E-1,-1.232384369E-1
1.721884890E-1,-1.348445266E-1,-2.728960216E-1,-1.159082651E-1
1.747257290E-1,-1.433963925E-1,-2.447970361E-1,-1.146865711E-1
1.772629680E-1,-1.495048702E-1,-2.252499312E-1,-1.183516532E-1
1.797585410E-1,-1.556133330E-1,-2.044811249E-1,-1.232384369E-1
1.822453120E-1,-1.580567211E-1,-1.861557066E-1,-1.330119967E-1
1.847330200E-1,-1.556133330E-1,-1.727170646E-1,-1.427855492E-1
1.872214580E-1,-1.543916464E-1,-1.629435122E-1,-1.550024897E-1
1.897090620E-1,-1.605001241E-1,-1.336228400E-1,-1.721062213E-1
1.921958330E-1,-1.898207814E-1,-8.964183182E-2,-1.989834905E-1
1.946834890E-1,-2.166980654E-1,-4.443913698E-2,-2.368560284E-1
1.971719270E-1,-2.484621257E-1,1.985253533E-3,-2.796153426E-1
1.996595830E-1,-2.790044844E-1,3.252761811E-2,-3.235963285E-1
2.021463540E-1,-3.071034551E-1,3.741439432E-2,-3.639122546E-1
2.046340100E-1,-3.364241421E-1,4.428642802E-3,-3.944546282E-1
2.071224480E-1,-3.657447994E-1,-5.299099907E-2,-4.152234197E-1
2.096101040E-1,-3.889569938E-1,-1.238492802E-1,-4.237752855E-1
2.120968750E-1,-4.194993675E-1,-2.008160353E-1,-4.225535989E-1
2.145845310E-1,-4.463766217E-1,-2.704526186E-1,-4.127800465E-1
2.170729680E-1,-4.805840850E-1,-3.229855001E-1,-4.005630910E-1
2.195605730E-1,-5.037962794E-1,-3.816268146E-1,-3.883461356E-1
2.220473430E-1,-5.233433843E-1,-4.465293586E-1,-3.822376728E-1
2.245350520E-1,-5.343386531E-1,-5.100574493E-1,-3.822376728E-1
2.270234890E-1,-5.428904891E-1,-5.699204803E-1,-3.846810758E-1
2.295110930E-1,-5.428904891E-1,-6.285618544E-1,-3.944546282E-1
2.319978640E-1,-5.257867575E-1,-6.859814525E-1,-4.042281806E-1
2.344855200E-1,-5.050179958E-1,-7.397360206E-1,-4.140017331E-1
2.369739580E-1,-4.793623984E-1,-7.812736630E-1,-4.237752855E-1
2.394616140E-1,-4.598152637E-1,-8.167027831E-1,-4.286620617E-1
2.419483850E-1,-4.475983381E-1,-8.484668136E-1,-4.286620617E-1
2.444360410E-1,-4.366030693E-1,-8.777875304E-1,-4.249969721E-1
2.469244790E-1,-4.280512035E-1,-9.058864713E-1,-4.201101959E-1
2.494121350E-1,-4.243861437E-1,-9.278770089E-1,-4.140017331E-1
2.518988540E-1,-4.231644273E-1,-9.498674870E-1,-4.078932703E-1
2.543865620E-1,-4.219427407E-1,-9.681929350E-1,-4.054498672E-1
2.568750000E-1,-4.243861437E-1,-9.877400398E-1,-4.017847776E-1
2.593626040E-1,-4.280512035E-1,-1.002400398E0,-4.030064642E-1
2.618493750E-1,-4.353813827E-1,-1.010952234E0,-4.030064642E-1
2.643370830E-1,-4.451549351E-1,-1.009730577E0,-3.981196880E-1
2.668255200E-1,-4.561502039E-1,-9.987352490E-1,-3.895678520E-1
2.693131250E-1,-4.647020400E-1,-9.816315174E-1,-3.822376728E-1
2.717998950E-1,-4.720322192E-1,-9.608627558E-1,-3.749074936E-1
2.742875520E-1,-4.708105326E-1,-9.303203821E-1,-3.700207174E-1
2.767759890E-1,-4.695888162E-1,-8.973346353E-1,-3.626905680E-1
2.792636450E-1,-4.622586668E-1,-8.594620824E-1,-3.553603888E-1
2.817504160E-1,-4.549284875E-1,-8.215895891E-1,-3.468085229E-1
2.842380730E-1,-4.427115619E-1,-7.861604095E-1,-3.407000601E-1
2.867265100E-1,-4.243861437E-1,-7.519529462E-1,-3.333698809E-1
2.892141660E-1,-3.975088596E-1,-7.116370797E-1,-3.309265077E-1
2.917009370E-1,-3.694098890E-1,-6.762079000E-1,-3.260397315E-1
2.941885930E-1,-3.376458287E-1,-6.371136904E-1,-3.248180151E-1
2.966770310E-1,-3.022166789E-1,-5.943543911E-1,-3.248180151E-1
2.991646350E-1,-2.692309320E-1,-5.515950918E-1,-3.248180151E-1
3.016514060E-1,-2.399102598E-1,-5.051707029E-1,-3.235963285E-1
3.041391140E-1,-2.105895877E-1,-4.575245976E-1,-3.235963285E-1
3.066275520E-1,-1.873773932E-1,-4.172086716E-1,-3.211529553E-1
3.091151560E-1,-1.678302884E-1,-3.816268146E-1,-3.223746419E-1
3.116019270E-1,-1.556133330E-1,-3.535278440E-1,-3.211529553E-1
3.140895830E-1,-1.495048702E-1,-3.339807391E-1,-3.260397315E-1
3.165780730E-1,-1.519482583E-1,-3.242071867E-1,-3.309265077E-1
3.190656770E-1,-1.653869003E-1,-3.217637837E-1,-3.382566571E-1
3.215524480E-1,-1.898207814E-1,-3.303156495E-1,-3.468085229E-1
3.240401040E-1,-2.203631550E-1,-3.535278440E-1,-3.590254784E-1
3.265285410E-1,-2.680092454E-1,-3.901786804E-1,-3.736858070E-1
3.290161980E-1,-3.168770075E-1,-4.404208660E-1,-3.920112252E-1
3.315029680E-1,-3.742966652E-1,-5.015056133E-1,-4.115583301E-1
3.339906250E-1,-4.353813827E-1,-5.723638535E-1,-4.298837483E-1
3.364790620E-1,-4.989095032E-1,-6.517740488E-1,-4.445441067E-1
3.389666660E-1,-5.636593103E-1,-7.409577370E-1,-4.592044353E-1
3.414534370E-1,-6.235223413E-1,-8.338065147E-1,-4.738647640E-1
3.439411450E-1,-6.809419990E-1,-9.413156509E-1,-4.873034060E-1
3.464295830E-1,-7.346965671E-1,-1.032942772E0,-4.995203316E-1
3.489171870E-1,-7.847860456E-1,-1.106244445E0,-5.105155706E-1
3.514039580E-1,-8.275453448E-1,-1.163663983E0,-5.190674663E-1
3.538916140E-1,-8.654178381E-1,-1.210088372E0,-5.239542127E-1
3.563800520E-1,-8.996253014E-1,-1.244295835E0,-5.312843919E-1
3.588677080E-1,-9.252808690E-1,-1.263842940E0,-5.373928547E-1
3.613544790E-1,-9.472714067E-1,-1.277281642E0,-5.422796607E-1
3.638421350E-1,-9.594883323E-1,-1.280946732E0,-5.422796607E-1
3.663305730E-1,-9.643751383E-1,-1.272394896E0,-5.435013771E-1
3.688182290E-1,-9.643751383E-1,-1.258956194E0,-5.459447503E-1
3.713049480E-1,-9.521581531E-1,-1.238187432E0,-5.447230339E-1
3.737926560E-1,-9.350544214E-1,-1.206423283E0,-5.447230339E-1
3.762810930E-1,-9.130639434E-1,-1.164885759E0,-5.471664071E-1
3.787686980E-1,-8.922951221E-1,-1.109909415E0,-5.544965863E-1
3.812554680E-1,-8.629744649E-1,-1.047603011E0,-5.654918551E-1
3.837431770E-1,-8.324320912E-1,-9.852966070E-1,-5.764871240E-1
3.862316140E-1,-7.994463444E-1,-9.364288449E-1,-5.948125124E-1
3.887192180E-1,-7.603521347E-1,-8.814526200E-1,-6.106945276E-1
3.912059890E-1,-7.237012982E-1,-8.252546191E-1,-6.253548861E-1
3.936936450E-1,-6.784985662E-1,-7.898254991E-1,-6.363501549E-1
3.961820830E-1,-6.369609833E-1,-7.812736630E-1,-6.436802745E-1
3.986697390E-1,-5.954233408E-1,-7.580614686E-1,-6.522321701E-1
4.011565100E-1,-5.612159371E-1,-7.177455425E-1,-6.656708121E-1
4.036441660E-1,-5.343386531E-1,-6.713211536E-1,-6.852179170E-1
4.061326040E-1,-5.099047422E-1,-6.187883019E-1,-7.145385742E-1
4.086202080E-1,-4.976878166E-1,-5.650337338E-1,-7.524111271E-1
4.111069790E-1,-4.866925478E-1,-5.137225389E-1,-7.976137996E-1
4.135946870E-1,-4.842491746E-1,-4.611896873E-1,-8.428165317E-1
4.160831250E-1,-4.854708612E-1,-3.987305462E-1,-8.819107413E-1
4.185707290E-1,-4.854708612E-1,-3.364241421E-1,-9.161182046E-1
4.210575000E-1,-4.891359508E-1,-2.765611112E-1,-9.454388618E-1
4.235452080E-1,-4.903576374E-1,-2.240282297E-1,-9.723161459E-1
4.260336450E-1,-4.915793240E-1,-1.727170646E-1,-1.002858520E0
4.285212500E-1,-4.915793240E-1,-1.262926757E-1,-1.030957460E0
4.310080200E-1,-4.964661002E-1,-9.330692142E-2,-1.056613088E0
4.334956770E-1,-4.989095032E-1,-7.009471953E-2,-1.083643079E0
4.359841140E-1,-5.001311898E-1,-4.688252881E-2,-1.110520363E0
4.384717700E-1,-5.074613690E-1,-2.367033064E-2,-1.131289124E0
4.409585410E-1,-5.062396526E-1,5.650337320E-3,-1.150836229E0
4.434461980E-1,-5.062396526E-1,2.886253223E-2,-1.161831498E0
4.459346350E-1,-5.037962794E-1,4.474456236E-2,-1.169161677E0
4.484222390E-1,-4.976878166E-1,5.696150661E-2,-1.177713513E0
4.509090100E-1,-4.891359508E-1,6.917845458E-2,-1.189930439E0
4.533967180E-1,-4.744756222E-1,7.895200700E-2,-1.194817185E0
4.558851560E-1,-4.549284875E-1,8.750387281E-2,-1.196038961E0
4.583727600E-1,-4.317162931E-1,9.605573118E-2,-1.197260618E0
4.608595310E-1,-4.133908749E-1,1.009425074E-1,-1.197260618E0
4.633472390E-1,-3.975088596E-1,1.070509851E-1,-1.200925708E0
4.658356770E-1,-3.804051280E-1,1.119377613E-1,-1.202147365E0
4.683232810E-1,-3.669664860E-1,1.119377613E-1,-1.203369141E0
4.708100520E-1,-3.498627543E-1,1.094943732E-1,-1.203369141E0
4.732977080E-1,-3.339807391E-1,9.972081333E-2,-1.197260618E0
4.757861450E-1,-3.132119179E-1,9.361234307E-2,-1.189930439E0
4.782738020E-1,-2.912214398E-1,8.872556686E-2,-1.182600260E0
4.807605730E-1,-2.667875290E-1,9.239064902E-2,-1.176491857E0
4.832482290E-1,-2.386885732E-1,1.021642014E-1,-1.172826767E0
4.857366660E-1,-2.105895877E-1,1.143811494E-1,-1.167939901E0
4.882242700E-1,-1.849340051E-1,1.339282542E-1,-1.164274931E0
4.907110410E-1,-1.519482583E-1,1.608055383E-1,-1.159388065E0
4.931987500E-1,-1.226275861E-1,1.974563748E-1,-1.154501319E0
4.956871870E-1,-9.086353332E-2,2.328855246E-1,-1.149614573E0
4.981747910E-1,-6.276455522E-2,2.683146596E-1,-1.144727707E0
5.006615620E-1,-3.466558084E-2,3.061871827E-1,-1.139840961E0
5.031492180E-1,-1.267508045E-2,3.440597057E-1,-1.132510781E0
5.056376560E-1,6.872031838E-3,3.807105422E-1,-1.126402378E0
5.081253120E-1,2.641914412E-2,4.185830951E-1,-1.116628766E0
5.106120830E-1,3.985778242E-2,4.613423944E-1,-1.109298587E0
5.130997390E-1,5.451811850E-2,5.077667832E-1,-1.101968408E0
5.155881770E-1,6.306997687E-2,5.505260825E-1,-1.099525094E0
5.180758330E-1,7.040014863E-2,5.920637250E-1,-1.100746751E0
5.205626040E-1,7.162184268E-2,6.299362183E-1,-1.105633497E0
5.230502600E-1,7.040014863E-2,6.629219651E-1,-1.112963676E0
5.255386980E-1,6.795676053E-2,6.934643388E-1,-1.121515512E0
5.280263020E-1,6.062658876E-2,7.215633392E-1,-1.137397647E0
5.305130730E-1,5.818320066E-2,7.447755337E-1,-1.155722976E0
5.330007810E-1,5.207473040E-2,7.582141757E-1,-1.176491857E0
5.354891660E-1,4.596625641E-2,7.655443549E-1,-1.207034230E0
5.379768230E-1,4.230117425E-2,7.643226385E-1,-1.237576604E0
5.404635930E-1,3.252761811E-2,7.569924593E-1,-1.270562291E0
5.429512500E-1,2.275406010E-2,7.459971905E-1,-1.308434844E0
5.454396870E-1,1.053711493E-2,7.288935184E-1,-1.347529054E0
5.479273430E-1,-2.901524538E-3,7.081246972E-1,-1.385401607E0
5.504141140E-1,-2.122694254E-2,6.800256968E-1,-1.423274159E0
5.529017700E-1,-4.199574888E-2,6.470399499E-1,-1.458703279E0
5.553902080E-1,-6.398624927E-2,6.116108298E-1,-1.501462579E0
5.578778120E-1,-8.719844371E-2,5.725166202E-1,-1.546665311E0
5.603645830E-1,-1.116323397E-1,5.358657837E-1,-1.594311357E0
5.628522910E-1,-1.324011385E-1,4.992149174E-1,-1.641957402E0
5.653407290E-1,-1.507265568E-1,4.625640810E-1,-1.687160134E0
5.678283330E-1,-1.678302884E-1,4.283566475E-1,-1.725032687E0
5.703151040E-1,-1.873773932E-1,3.965925872E-1,-1.758018374E0
5.728027600E-1,-2.069245130E-1,3.636068404E-1,-1.788560748E0
5.752911980E-1,-2.179197669E-1,3.416163325E-1,-1.816659689E0
5.777788540E-1,-2.313583940E-1,3.257342875E-1,-1.837428570E0
5.802656250E-1,-2.362451702E-1,3.074088693E-1,-1.854532242E0
5.827532810E-1,-2.386885732E-1,2.951919436E-1,-1.865527511E0
5.852417180E-1,-2.338017821E-1,2.854183912E-1,-1.871636033E0
5.877293750E-1,-2.191414535E-1,2.793098986E-1,-1.874079347E0
5.902160930E-1,-1.971509457E-1,2.732014358E-1,-1.875301123E0
5.927038020E-1,-1.678302884E-1,2.719797492E-1,-1.874079347E0
5.951922390E-1,-1.299577504E-1,2.768665254E-1,-1.871636033E0
5.976798430E-1,-8.597674966E-2,2.866400778E-1,-1.864305854E0
6.001666140E-1,-3.344388679E-2,3.061871827E-1,-1.854532242E0
6.026543230E-1,1.908897609E-2,3.367295563E-1,-1.836206913E0
6.051427080E-1,7.528692484E-2,3.758237660E-1,-1.815438032E0
6.076303640E-1,1.351499557E-1,4.222481549E-1,-1.787339091E0
6.101171350E-1,1.950129867E-1,4.747810364E-1,-1.754353285E0
6.126047910E-1,2.585411072E-1,5.273138881E-1,-1.715259075E0
6.150932290E-1,3.196258247E-1,5.676298141E-1,-1.674943209E0
6.175808850E-1,3.782671690E-1,5.969504714E-1,-1.632183909E0
6.200676560E-1,4.320217371E-1,6.201626658E-1,-1.588202834E0
6.225553120E-1,4.784461260E-1,6.348230243E-1,-1.545443535E0
6.250437500E-1,5.150969625E-1,6.397097707E-1,-1.505127668E0
6.275313540E-1,5.431959033E-1,6.348230243E-1,-1.464811683E0
6.300181250E-1,5.615213513E-1,6.238277555E-1,-1.430604339E0
6.325058330E-1,5.676298141E-1,6.006155610E-1,-1.401283622E0
6.349942700E-1,5.712949038E-1,5.688515306E-1,-1.376849771E0
6.374818750E-1,5.639647245E-1,5.236487985E-1,-1.357302666E0
6.399686450E-1,5.505260825E-1,4.735593498E-1,-1.342642307E0
6.424563020E-1,5.334223509E-1,4.198047817E-1,-1.327981949E0
6.449447390E-1,5.126535892E-1,3.611634374E-1,-1.319430113E0
