"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,5.104533434E-1,3.131816864E0,8.998051643E0
1.136410000E-3,4.929469824E-1,3.128484249E0,9.010252953E0
3.136410000E-3,4.853908718E-1,3.125390768E0,9.015806198E0
5.136410000E-3,4.817900062E-1,3.123925447E0,9.018449783E0
7.136410000E-3,4.800853133E-1,3.123226643E0,9.019704819E0
9.136410000E-3,4.470836520E-1,3.125860214E0,9.033207893E0
1.116609800E-2,4.063534737E-1,3.120439768E0,9.056566238E0
1.313641000E-2,3.730549216E-1,3.127277613E0,9.062197685E0
1.513641000E-2,3.417387605E-1,3.139564514E0,9.077845573E0
1.713641000E-2,3.199323714E-1,3.136270285E0,9.098541260E0
1.913641000E-2,2.840768099E-1,3.126779556E0,9.128880501E0
2.113641000E-2,2.612361312E-1,3.121703863E0,9.145496368E0
2.313641000E-2,2.508931756E-1,3.101190329E0,9.149297714E0
2.513641000E-2,2.349382192E-1,3.079498768E0,9.155043602E0
2.713641000E-2,2.207262367E-1,3.048968077E0,9.164946556E0
2.913484800E-2,1.973492652E-1,3.015937567E0,9.165387154E0
3.113641000E-2,1.838842630E-1,2.975695848E0,9.189223289E0
3.313641000E-2,1.588696390E-1,2.950374842E0,9.216891289E0
3.513641000E-2,1.596741080E-1,2.924632311E0,9.238534927E0
3.713641000E-2,1.499632150E-1,2.891132593E0,9.246014595E0
3.913641000E-2,1.478850543E-1,2.870006084E0,9.273174286E0
4.114578500E-2,1.463144571E-1,2.845652342E0,9.304030418E0
4.313641000E-2,1.576629579E-1,2.825330257E0,9.308435440E0
4.513641000E-2,1.741063595E-1,2.805410624E0,9.320923805E0
4.713641000E-2,1.900134236E-1,2.788900137E0,9.342576981E0
4.913953500E-2,2.177095562E-1,2.790269852E0,9.351435661E0
5.113641000E-2,2.543791234E-1,2.777743101E0,9.365197182E0
5.313641000E-2,2.915562987E-1,2.778250694E0,9.388324738E0
5.513641000E-2,3.203729391E-1,2.778270006E0,9.389848709E0
5.713641000E-2,3.705649674E-1,2.781296253E0,9.396542549E0
5.913641000E-2,4.030111730E-1,2.773787975E0,9.380702019E0
6.113641000E-2,4.366545081E-1,2.771882296E0,9.382090569E0
6.313641000E-2,4.615637958E-1,2.738641024E0,9.360227585E0
6.513641000E-2,4.919701517E-1,2.719535351E0,9.354989052E0
6.713484800E-2,5.123592019E-1,2.714928865E0,9.350430489E0
6.913484800E-2,5.445180535E-1,2.702048063E0,9.348544121E0
7.113484800E-2,5.680866241E-1,2.697412968E0,9.347327232E0
7.313641000E-2,6.422685385E-1,2.713118792E0,9.330289841E0
7.513641000E-2,6.880935431E-1,2.732397079E0,9.331324577E0
7.713641000E-2,7.570273876E-1,2.748792410E0,9.329686165E0
7.913484800E-2,8.183381557E-1,2.766930819E0,9.338986397E0
8.114109800E-2,8.777526021E-1,2.789398193E0,9.346570015E0
8.313641000E-2,9.586383700E-1,2.794895172E0,9.345880508E0
8.513641000E-2,1.011234164E0,2.799147367E0,9.338707924E0
8.713641000E-2,1.058926582E0,2.811300278E0,9.324687958E0
8.913641000E-2,1.100480437E0,2.813771248E0,9.303609848E0
9.113641000E-2,1.126577258E0,2.819316149E0,9.298188210E0
9.313641000E-2,1.155997157E0,2.829027176E0,9.259690285E0
9.513641000E-2,1.182544112E0,2.831526518E0,9.231993675E0
9.713641000E-2,1.185771465E0,2.838929415E0,9.209085464E0
9.913641000E-2,1.188194513E0,2.855114222E0,9.183965683E0
1.011364100E-1,1.192139983E0,2.874823332E0,9.156394958E0
1.031364100E-1,1.196554899E0,2.900709391E0,9.116468430E0
1.051364100E-1,1.171540380E0,2.930684805E0,9.098837852E0
1.071395350E-1,1.149484992E0,2.973445415E0,9.078889847E0
1.091364100E-1,1.126739979E0,2.990702629E0,9.039959908E0
1.111364100E-1,1.105939150E0,3.017872095E0,8.990792274E0
1.131364100E-1,1.087599635E0,3.038634539E0,8.929750443E0
1.151379730E-1,1.073215365E0,3.060230255E0,8.874567986E0
1.171364100E-1,1.101466775E0,3.081586599E0,8.813621521E0
1.191364100E-1,1.279202700E0,3.108478308E0,8.748614311E0
1.211364100E-1,1.325554609E0,3.129279137E0,8.694514275E0
1.231395350E-1,1.191000342E0,3.132985353E0,8.631586075E0
1.251364100E-1,1.007834435E0,3.129824877E0,8.635445595E0
1.271364100E-1,8.410543203E-1,3.123446703E0,8.635991096E0
1.291364100E-1,6.948451996E-1,3.099524021E0,8.614423752E0
1.311457850E-1,4.979173243E-1,3.054809809E0,8.569518089E0
1.331364100E-1,3.670598567E-1,3.021990299E0,8.547040939E0
1.351364100E-1,2.496481985E-1,2.993939638E0,8.544321060E0
1.371364100E-1,1.553549618E-1,2.981748343E0,8.558955193E0
1.391364100E-1,8.369170874E-2,2.974623203E0,8.612499237E0
1.411364100E-1,-1.777455397E-2,2.959137440E0,8.868505478E0
1.431364100E-1,-2.662352286E-2,2.955584526E0,8.977969170E0
1.451364100E-1,-2.818454243E-2,2.953898907E0,9.035708427E0
1.471364100E-1,-2.062844299E-2,2.961493492E0,9.090266228E0
1.491364100E-1,-1.929726638E-2,2.954617262E0,9.149652481E0
1.511364100E-1,-1.802355051E-2,2.948966980E0,9.198964119E0
1.531457850E-1,-6.042964756E-3,2.967038393E0,9.272953987E0
1.551395350E-1,-1.554315723E-2,2.963294029E0,9.339081764E0
1.571364100E-1,-1.993891224E-2,2.971549034E0,9.413703918E0
1.591582850E-1,-3.718674183E-2,2.979191303E0,9.470868111E0
1.611442230E-1,-6.567773968E-2,2.987159252E0,9.540931702E0
1.631410980E-1,-1.097310483E-1,2.992244720E0,9.600920677E0
1.651364100E-1,-1.506910622E-1,2.988404274E0,9.673619270E0
1.671364100E-1,-1.782818288E-1,2.990894318E0,9.733598709E0
1.691473480E-1,-1.960851103E-1,2.981221676E0,9.793903351E0
1.711379730E-1,-1.901187748E-1,2.963810921E0,9.842706680E0
1.731473480E-1,-2.027984560E-1,2.945586443E0,9.880170822E0
1.751379730E-1,-2.214157730E-1,2.941956758E0,9.906028748E0
1.771364100E-1,-2.452237159E-1,2.935731888E0,9.918956757E0
1.791785980E-1,-2.790681422E-1,2.924661160E0,9.912118912E0
1.811379730E-1,-3.211965263E-1,2.894293070E0,9.876350403E0
1.831364100E-1,-3.488543332E-1,2.871711016E0,9.851718903E0
1.851364100E-1,-3.768569231E-1,2.862603188E0,9.835361481E0
1.871364100E-1,-3.895462155E-1,2.857872248E0,9.806545258E0
1.891489100E-1,-4.005595148E-1,2.861281633E0,9.777794838E0
1.911520350E-1,-4.308701158E-1,2.865198612E0,9.748528481E0
1.931364100E-1,-4.372099638E-1,2.877322674E0,9.694668770E0
1.951364100E-1,-4.344230890E-1,2.889332294E0,9.641345024E0
1.971379730E-1,-4.157291949E-1,2.917267799E0,9.565410614E0
1.991426600E-1,-3.813580275E-1,2.956379414E0,9.482034683E0
2.011660980E-1,-3.017172813E-1,2.989984274E0,9.394875526E0
2.031364100E-1,-2.007011473E-1,3.019873619E0,9.259958267E0
2.051379730E-1,-1.055459902E-1,3.046832323E0,9.146769524E0
2.071364100E-1,1.287122816E-2,3.074835062E0,9.048933983E0
2.091426600E-1,1.203996092E-1,3.086786747E0,8.948749542E0
2.111676600E-1,2.388359904E-1,3.097666025E0,8.858527184E0
2.131379730E-1,3.984526396E-1,3.117374897E0,8.754226685E0
2.151379730E-1,5.160653591E-1,3.139765739E0,8.698441505E0
2.171410980E-1,6.642856598E-1,3.168898344E0,8.673838615E0
2.191364100E-1,1.307837486E0,3.371217966E0,8.815182686E0
2.211364100E-1,1.508663058E0,3.407456636E0,8.877154350E0
2.231364100E-1,1.614573002E0,3.382767677E0,8.912482262E0
2.251364100E-1,1.556729078E0,3.297399998E0,8.901776314E0
