"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.516537130E-1,-3.566929400E-1,-4.286528751E-2,-6.364692450E-1
1.537052750E-1,-3.420321643E-1,-4.775220901E-2,-6.364692450E-1
1.556599630E-1,-3.359235227E-1,-5.508258939E-2,-6.511299610E-1
1.576537130E-1,-3.212627470E-1,-6.119124219E-2,-6.572386622E-1
1.596537130E-1,-3.151541054E-1,-5.996951461E-2,-6.633473039E-1
1.617037130E-1,-3.066020012E-1,-6.485643238E-2,-6.547951698E-1
1.636552750E-1,-3.066020012E-1,-7.707373798E-2,-6.670124531E-1
1.656537130E-1,-3.041585386E-1,-7.829546928E-2,-6.572386622E-1
1.676537130E-1,-3.017150760E-1,-7.951720059E-2,-6.535734534E-1
1.696880880E-1,-2.943846881E-1,-8.562584966E-2,-6.682342291E-1
1.716880880E-1,-2.956064045E-1,-9.662142396E-2,-6.706776619E-1
1.737068380E-1,-3.066020012E-1,-9.295623749E-2,-6.560168862E-1
1.756537130E-1,-3.053802550E-1,-1.002866179E-1,-6.657907367E-1
1.776537130E-1,-3.175975680E-1,-1.015083492E-1,-6.633473039E-1
1.796537130E-1,-3.237062097E-1,-1.076169983E-1,-6.584603786E-1
1.816537130E-1,-3.249279559E-1,-1.112821922E-1,-6.499082446E-1
1.836537130E-1,-3.383669853E-1,-1.125039235E-1,-6.609038115E-1
1.856599630E-1,-3.591364026E-1,-1.161691174E-1,-6.670124531E-1
1.876974630E-1,-3.591364026E-1,-1.186125726E-1,-6.547951698E-1
1.896615250E-1,-3.713537157E-1,-1.198343039E-1,-6.547951698E-1
1.916537130E-1,-3.750188947E-1,-1.234994978E-1,-6.621255279E-1
1.936912130E-1,-3.718074858E-1,-1.221730486E-1,-6.657732725E-1
1.956584000E-1,-3.784746528E-1,-1.246165112E-1,-6.678851247E-1
1.976537130E-1,-3.851592541E-1,-1.249655709E-1,-6.638534069E-1
1.996537130E-1,-3.954741657E-1,-1.224522963E-1,-6.669077873E-1
2.016630880E-1,-4.025078416E-1,-1.193630695E-1,-6.711488962E-1
2.036537130E-1,-4.055097997E-1,-1.147903055E-1,-6.724230051E-1
2.056677750E-1,-4.094193280E-1,-1.073726565E-1,-6.694734097E-1
2.076537130E-1,-4.111297429E-1,-1.000073627E-1,-6.652671695E-1
2.096537130E-1,-4.113915563E-1,-9.264207631E-2,-6.601358652E-1
2.116896500E-1,-4.103268981E-1,-8.560840040E-2,-6.533116698E-1
2.136537130E-1,-4.073947668E-1,-7.661995292E-2,-6.471506357E-1
2.156630880E-1,-4.040960670E-1,-6.635741889E-2,-6.416179538E-1
2.176974630E-1,-4.003261626E-1,-5.843362212E-2,-6.363993883E-1
2.196615250E-1,-3.936066628E-1,-5.199335888E-2,-6.304304004E-1
2.216537130E-1,-3.862762749E-1,-4.571017250E-2,-6.232047081E-1
2.236630880E-1,-3.783524632E-1,-3.921754658E-2,-6.156299710E-1
2.256537130E-1,-3.677408695E-1,-3.441789374E-2,-6.087708473E-1
2.276537130E-1,-3.563264310E-1,-3.316125646E-2,-6.007772088E-1
2.296537130E-1,-3.451214135E-1,-3.162536770E-2,-5.937260985E-1
2.316568380E-1,-3.352079391E-1,-3.054326214E-2,-5.880188942E-1
2.336537130E-1,-3.247708678E-1,-3.358013555E-2,-5.839173794E-1
