"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.504025980E-1,-1.147903055E-1,1.950981379E0,-1.160120368E-1
1.514104110E-1,-9.279915690E-2,2.057271957E0,-1.001295373E-1
1.534104110E-1,-9.157742560E-2,2.136684418E0,-9.890780598E-2
1.554041610E-1,-6.469935179E-2,2.192883968E0,-9.890780598E-2
1.574104110E-1,-3.782128543E-2,2.257635832E0,-8.180358261E-2
1.593979110E-1,-2.193878777E-2,2.288178921E0,-8.546877652E-2
1.613916610E-1,-3.612831468E-3,2.327274323E0,-8.058185130E-2
1.633963480E-1,4.646066576E-2,2.352930784E0,-7.202973962E-2
1.653916610E-1,9.166469425E-2,2.348043680E0,-4.881685972E-2
1.673979110E-1,1.600815952E-1,2.326052666E0,-2.438225038E-2
1.694119730E-1,2.712590694E-1,2.274739981E0,3.700098023E-3
1.713916610E-1,3.689975142E-1,2.220983744E0,4.401720315E-2
1.733932230E-1,4.630707502E-1,2.172114611E0,8.311257511E-2
1.753932230E-1,5.534788370E-1,2.128132343E0,9.655161202E-2
1.774025980E-1,6.316695809E-1,2.074376106E0,7.822565734E-2
1.793916610E-1,7.232993245E-1,1.994963646E0,6.600835174E-2
1.814025980E-1,7.941597104E-1,1.919216394E0,4.646066576E-2
1.833916610E-1,8.552462459E-1,1.823921442E0,1.347394194E-2
1.853916610E-1,9.273283482E-1,1.690752745E0,1.591740362E-2
1.873916610E-1,9.627585411E-1,1.605231643E0,2.324778587E-2
1.893916610E-1,9.810844660E-1,1.546588659E0,2.202605456E-2
1.914463480E-1,9.543809295E-1,1.578371048E0,1.891936921E-2
1.934010360E-1,9.683784842E-1,1.480981708E0,8.150687441E-3
1.953916610E-1,9.668251276E-1,1.391830206E0,-9.075712296E-4
1.973916610E-1,9.552361369E-1,1.315838575E0,-1.151917316E-2
1.993916610E-1,9.412560463E-1,1.261523962E0,-2.232276089E-2
2.014150980E-1,9.284278750E-1,1.233860493E0,-2.483603545E-2
2.033916610E-1,9.153029919E-1,1.228153229E0,-2.551671304E-2
2.053994730E-1,9.026319385E-1,1.241435289E0,-2.855358645E-2
2.074057230E-1,8.940623403E-1,1.269465208E0,-3.488913178E-2
2.093916610E-1,8.897165060E-1,1.316397071E0,-4.352851212E-2
2.113932230E-1,8.883900642E-1,1.373870850E0,-5.091125518E-2
2.133947860E-1,8.904145956E-1,1.448710561E0,-5.766567960E-2
2.154010360E-1,8.983384371E-1,1.544651270E0,-6.621779501E-2
2.174088480E-1,9.089674950E-1,1.643279791E0,-7.206464559E-2
2.194166610E-1,9.230697155E-1,1.750163794E0,-7.473500073E-2
2.213932230E-1,9.407324791E-1,1.859456301E0,-7.730063051E-2
2.233994730E-1,9.596343637E-1,1.962465644E0,-7.801621407E-2
2.254041610E-1,9.818349481E-1,2.064707041E0,-7.956956327E-2
2.273932230E-1,1.006636143E0,2.165918589E0,-8.396779001E-2
2.293979110E-1,1.033950448E0,2.265733957E0,-9.039060026E-2
2.313916610E-1,1.064947605E0,2.372024536E0,-9.606292099E-2
2.333979110E-1,1.096625328E0,2.478018522E0,-1.043532342E-1
2.353916610E-1,1.125039220E0,2.571271420E0,-1.181587875E-1
2.373932230E-1,1.150905013E0,2.655344009E0,-1.332907975E-1
2.393932230E-1,1.177276969E0,2.736815929E0,-1.430820972E-1
2.414057230E-1,1.204189897E0,2.815792084E0,-1.528733820E-1
2.433932230E-1,1.230195284E0,2.887786865E0,-1.671501845E-1
2.453916610E-1,1.256322861E0,2.956832170E0,-1.777268797E-1
2.473994730E-1,1.284614682E0,3.030066013E0,-1.807113886E-1
2.493932230E-1,1.318508983E0,3.115308046E0,-1.831374019E-1
2.513963480E-1,1.357953429E0,3.212976694E0,-1.867676824E-1
2.534104110E-1,1.402913094E0,3.315479755E0,-1.838180721E-1
2.553916610E-1,1.451887012E0,3.417441845E0,-1.760339141E-1
2.573916610E-1,1.507702708E0,3.528113365E0,-1.636769772E-1
2.593916610E-1,1.567602396E0,3.644718647E0,-1.468869150E-1
2.613916610E-1,1.621183991E0,3.742195368E0,-1.305506229E-1
2.633916610E-1,1.674259424E0,3.830508947E0,-1.120326817E-1
2.654041610E-1,1.731261849E0,3.917147160E0,-8.820894361E-2
2.673932230E-1,1.785786033E0,3.986471653E0,-6.199409440E-2
2.693947860E-1,1.834829688E0,4.037068844E0,-3.696607426E-2
2.714135360E-1,1.879894137E0,4.067646980E0,-9.808750823E-3
2.733963480E-1,1.920228720E0,4.077822208E0,1.598721556E-2
2.753979110E-1,1.950073838E0,4.070439339E0,3.661700711E-2
2.774182230E-1,1.971576333E0,4.046284199E0,5.701990798E-2
2.793916610E-1,1.987319112E0,3.999526739E0,8.030259609E-2
2.813916610E-1,1.971663594E0,3.858556509E0,1.212305725E-1
2.834025980E-1,1.930735588E0,3.663585663E0,1.675516069E-1
2.853916610E-1,1.884711266E0,3.496540308E0,1.992467940E-1
2.873947860E-1,1.830414057E0,3.339809656E0,2.243795246E-1
2.893932230E-1,1.772783279E0,3.194039822E0,2.410823256E-1
2.913947860E-1,1.707752347E0,3.048758507E0,2.474876940E-1
2.933916610E-1,1.636577725E0,2.899829626E0,2.507688999E-1
2.953932230E-1,1.561057329E0,2.747549772E0,2.533170879E-1
2.973932230E-1,1.479742527E0,2.590260506E0,2.546260953E-1
2.993916610E-1,1.396647334E0,2.431016684E0,2.552893162E-1
3.013979110E-1,1.313272953E0,2.278858900E0,2.541373968E-1
3.033916610E-1,1.235134602E0,2.145620584E0,2.514495850E-1
3.053916610E-1,1.159666538E0,2.024093151E0,2.464928478E-1
3.074057230E-1,1.087950945E0,1.913334608E0,2.397558838E-1
3.093963480E-1,1.018469453E0,1.813746095E0,2.327396572E-1
3.113932230E-1,9.417098761E-1,1.713284969E0,2.261597663E-1
3.133932230E-1,8.642521501E-1,1.618950009E0,2.195275128E-1
3.153932230E-1,7.873180509E-1,1.535226464E0,2.107485086E-1
3.173932230E-1,7.106806040E-1,1.459007978E0,1.996831149E-1
3.193932230E-1,6.356838346E-1,1.387205124E0,1.862440854E-1
3.213916610E-1,5.645092726E-1,1.324862003E0,1.716182232E-1
3.233916610E-1,5.036671162E-1,1.276027679E0,1.530828327E-1
3.254135360E-1,4.549898803E-1,1.240056396E0,1.346347034E-1
3.274275980E-1,4.149171114E-1,1.212427855E0,1.135685742E-1
3.293916610E-1,3.804119527E-1,1.193857551E0,8.574802428E-2
3.314041610E-1,3.556457460E-1,1.190105081E0,5.928883329E-2
3.334416610E-1,3.424161375E-1,1.199268103E0,3.441789374E-2
3.354010360E-1,3.362725973E-1,1.219217181E0,7.661995478E-3
3.373916610E-1,3.394490778E-1,1.246165037E0,-1.972221956E-2
3.393932230E-1,3.524343371E-1,1.279064536E0,-4.057890549E-2
3.413947860E-1,3.719471097E-1,1.318892956E0,-5.810201168E-2
