"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.724735022E0,4.697280407E0,9.313367844E0
1.029714000E-3,-1.524838328E0,4.573519230E0,9.133984566E0
3.029714000E-3,-1.293682933E0,4.448685646E0,8.841538429E0
5.029714000E-3,-1.202550054E0,4.398253918E0,8.716005325E0
7.029714000E-3,-1.159186244E0,4.374264240E0,8.656293869E0
9.032839000E-3,-1.138567328E0,4.362857819E0,8.627879143E0
1.103127600E-2,-1.105134726E0,4.383936405E0,8.494168282E0
1.302971400E-2,-1.004482508E0,4.609202385E0,7.784411430E0
1.503127600E-2,-1.015658736E0,4.778414726E0,7.470551014E0
1.703752600E-2,-1.047051430E0,4.964856148E0,7.235344887E0
1.902971400E-2,-1.119835258E0,5.146844387E0,7.074617386E0
2.103127600E-2,-1.215890527E0,5.297793865E0,6.998960495E0
2.302971400E-2,-1.364876986E0,5.469017506E0,6.972106934E0
2.503752600E-2,-1.473382235E0,5.587980270E0,6.995407104E0
2.702971400E-2,-1.594796896E0,5.671384811E0,7.030075073E0
2.906096400E-2,-1.715311408E0,5.744225979E0,7.052187920E0
3.103127600E-2,-1.859011531E0,5.799704552E0,7.078936100E0
3.302971400E-2,-2.055412531E0,5.849168777E0,7.081320763E0
3.502971400E-2,-2.218811989E0,5.881586552E0,7.097677708E0
3.702971400E-2,-2.389346123E0,5.893145561E0,7.119943619E0
3.902971400E-2,-2.549853563E0,5.896669865E0,7.152188778E0
4.103127600E-2,-2.686524153E0,5.892695427E0,7.171965122E0
4.302971400E-2,-2.832158804E0,5.868456364E0,7.202294827E0
4.502971400E-2,-2.902375698E0,5.863859653E0,7.218805790E0
4.702971400E-2,-2.942196131E0,5.864128113E0,7.222597599E0
4.903127600E-2,-2.950997353E0,5.879144192E0,7.216736794E0
5.103596400E-2,-2.911722660E0,5.895616055E0,7.202907562E0
5.302971400E-2,-2.837780237E0,5.913802624E0,7.192162514E0
5.502971400E-2,-2.770244598E0,5.922574997E0,7.190496445E0
5.702971400E-2,-2.627205372E0,5.890205383E0,7.205531597E0
5.903440100E-2,-2.372519732E0,5.824096680E0,7.252563477E0
6.102971400E-2,-1.853964448E0,5.611951351E0,7.398015976E0
6.302971400E-2,-1.635814309E0,5.399499416E0,7.575560570E0
6.502971400E-2,-1.825779915E0,5.345390797E0,7.632293224E0
6.702971400E-2,-2.043652296E0,5.332346916E0,7.657193184E0
6.902971400E-2,-2.205002308E0,5.332864285E0,7.684123516E0
7.102971400E-2,-2.251487970E0,5.330297470E0,7.722966671E0
7.302971400E-2,-2.182583094E0,5.373919964E0,7.787648201E0
7.503440100E-2,-1.789608240E0,5.364046097E0,7.930678368E0
7.703127600E-2,-1.273686528E0,5.315654278E0,8.083093643E0
7.903127600E-2,-8.346378803E-1,5.241425037E0,8.176869392E0
8.103127600E-2,-5.698583126E-1,5.151297569E0,8.176352501E0
8.303440100E-2,-5.335047841E-1,5.040283203E0,8.105684280E0
8.502971400E-2,-7.720821500E-1,4.884008884E0,7.928044319E0
8.702971400E-2,-1.072755575E0,4.780081272E0,7.803479195E0
8.902971400E-2,-1.351632237E0,4.705276966E0,7.706073284E0
9.103752600E-2,-1.553894401E0,4.666126728E0,7.668656826E0
9.302971400E-2,-1.605733633E0,4.670685291E0,7.660219669E0
9.502971400E-2,-1.490514994E0,4.723338604E0,7.746497154E0
9.702971400E-2,-1.119116902E0,4.724525928E0,7.862759113E0
9.903440100E-2,8.986396194E-1,4.500534058E0,8.206135750E0
1.010312760E-1,1.907039046E0,4.276034832E0,8.387137413E0
1.030312760E-1,1.833364725E0,4.090991497E0,8.347642899E0
1.050312760E-1,1.170764685E0,3.855478764E0,8.174618721E0
1.070328390E-1,6.219848394E-1,3.709978342E0,8.066199303E0
1.090297140E-1,2.148077637E-1,3.610207319E0,7.977518559E0
1.110297140E-1,-3.294421360E-2,3.560944080E0,7.893136978E0
1.130297140E-1,-1.286644042E-1,3.550390482E0,7.806256294E0
1.150344010E-1,-1.145481840E-1,3.599854708E0,7.686374187E0
1.170297140E-1,-3.836468980E-2,3.671920061E0,7.608131409E0
1.190297140E-1,1.760696024E-1,3.880924225E0,7.166621685E0
1.210312760E-1,1.561594158E-1,3.923445225E0,7.013507366E0
1.230312760E-1,1.467166692E-1,3.941555262E0,6.920555115E0
1.250312760E-1,1.459217966E-1,3.961139679E0,6.820007801E0
1.270312760E-1,1.250252128E-1,3.978780270E0,6.706025124E0
