"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.528807140E-1,-4.977504611E-1,1.389456540E-1,1.815142459E-3
1.538807140E-1,-2.638414204E-1,-3.690673113E-1,-1.809330463E0
1.558900890E-1,-2.846108377E-1,-3.776194453E-1,-1.789782763E0
1.579088390E-1,-2.882760167E-1,-3.544065654E-1,-1.766569853E0
1.598947760E-1,-2.589544952E-1,-2.053554356E-1,-1.717700720E0
1.618807140E-1,-2.247460485E-1,-1.479341090E-1,-1.685935736E0
1.638947760E-1,-1.575508714E-1,-1.296081543E-1,-1.657835841E0
1.658807140E-1,-1.282293350E-1,-1.430471838E-1,-1.654170752E0
1.678932140E-1,-9.279915690E-2,-1.283864230E-1,-1.696931243E0
1.698854010E-1,-7.325147092E-2,-1.381602585E-1,-1.721365929E0
1.718932140E-1,-5.614724010E-2,-1.442689151E-1,-1.740913510E0
1.739057140E-1,-2.560397983E-2,-1.772556454E-1,-1.787339330E0
1.758854010E-1,-1.338667516E-2,-2.077988982E-1,-1.799556613E0
1.779041510E-1,-4.834562074E-3,-2.163510174E-1,-1.797113180E0
1.799260260E-1,6.143558770E-3,-2.041337043E-1,-1.784895897E0
1.819291510E-1,-2.391101094E-3,-1.577079445E-1,-1.792226195E0
1.838807140E-1,1.256637042E-3,-1.149473861E-1,-1.764126420E0
1.858822760E-1,-4.834562074E-3,-6.485643238E-2,-1.744578719E0
1.879057140E-1,-1.216494478E-2,-3.553490341E-2,-1.722587585E0
1.899166510E-1,-1.705186628E-2,-4.991641734E-3,-1.706705093E0
1.918916510E-1,-2.071705833E-2,-4.991641734E-3,-1.689600825E0
1.938822760E-1,-2.071705833E-2,-2.331759781E-2,-1.677383542E0
1.958807140E-1,-2.026327327E-2,-2.986258268E-2,-1.688675880E0
1.978979010E-1,-2.347467840E-2,-5.150466785E-2,-1.680437922E0
1.998838390E-1,-2.422516979E-2,-8.321730047E-2,-1.671449423E0
2.019088390E-1,-2.340486459E-2,-1.251401007E-1,-1.668674350E0
2.038807140E-1,-2.448697016E-2,-1.755626649E-1,-1.673543811E0
2.059010260E-1,-2.473131567E-2,-2.309245169E-1,-1.684120536E0
2.078822760E-1,-2.305579931E-2,-2.878920734E-1,-1.703580976E0
2.098916510E-1,-2.071705833E-2,-3.399901390E-1,-1.725484848E0
2.118822760E-1,-1.712168008E-2,-3.895924091E-1,-1.747126937E0
2.138885260E-1,-1.499237865E-2,-4.367511868E-1,-1.774336576E0
2.158807140E-1,-1.420698036E-2,-4.832467735E-1,-1.810971022E0
2.178822760E-1,-1.230457146E-2,-5.333027840E-1,-1.851515055E0
2.198947760E-1,-8.045967668E-3,-5.818753242E-1,-1.892251015E0
2.218932140E-1,-4.677482415E-3,-6.359979510E-1,-1.939968348E0
2.238807140E-1,-3.857177682E-3,-6.932273507E-1,-1.993933916E0
2.258838390E-1,-3.141592722E-3,-7.433706522E-1,-2.044513702E0
2.278807140E-1,-9.773843922E-4,-7.892727852E-1,-2.091550112E0
2.298822760E-1,3.106686054E-3,-8.321555257E-1,-2.137696743E0
2.318869640E-1,3.996803891E-3,-8.758760095E-1,-2.183372021E0
2.338932140E-1,4.153883550E-3,-9.233140945E-1,-2.225818396E0
2.358822760E-1,7.522369269E-3,-9.762499332E-1,-2.259730101E0
2.379197760E-1,1.075122785E-2,-1.027492762E0,-2.288405895E0
2.398963390E-1,1.418952644E-2,-1.073377490E0,-2.311688662E0
2.418932140E-1,1.953023486E-2,-1.123712778E0,-2.321165800E0
2.438885260E-1,2.555162087E-2,-1.176631212E0,-2.319402933E0
2.459010260E-1,3.010693006E-2,-1.223964453E0,-2.307726622E0
2.478979010E-1,3.633775562E-2,-1.265765071E0,-2.284095049E0
2.498822760E-1,4.550073296E-2,-1.305942655E0,-2.250165701E0
2.518807140E-1,5.466371030E-2,-1.344374776E0,-2.207719326E0
2.538807140E-1,6.501351297E-2,-1.377448797E0,-2.159129381E0
2.558807140E-1,7.510151714E-2,-1.405688167E0,-2.103819847E0
2.578807140E-1,8.262388408E-2,-1.428168058E0,-2.046573162E0
2.598885260E-1,8.944812417E-2,-1.444713712E0,-1.988628149E0
2.618916510E-1,9.594074637E-2,-1.459130168E0,-1.929758191E0
2.639338390E-1,1.031315029E-1,-1.472481966E0,-1.864692330E0
2.658807140E-1,1.091877967E-1,-1.482273221E0,-1.796484828E0
2.679088390E-1,1.134813055E-1,-1.489952683E0,-1.734176636E0
2.699213390E-1,1.168672442E-1,-1.495659947E0,-1.675463676E0
2.718869640E-1,1.173908487E-1,-1.499778867E0,-1.614691377E0
2.738963390E-1,1.185602173E-1,-1.506062031E0,-1.550166488E0
2.758838390E-1,1.215447262E-1,-1.512572169E0,-1.484629393E0
2.778807140E-1,1.185776666E-1,-1.499394894E0,-1.378722787E0
2.798807140E-1,1.083674952E-1,-1.467228532E0,-1.259743690E0
2.818807140E-1,9.688322991E-2,-1.433159709E0,-1.182355881E0
2.838807140E-1,8.564330637E-2,-1.397816777E0,-1.132421970E0
2.858822760E-1,7.182029635E-2,-1.365423441E0,-1.103397131E0
2.878822760E-1,5.698499829E-2,-1.338737369E0,-1.089207649E0
2.898807140E-1,4.373795167E-2,-1.317357063E0,-1.088858604E0
2.918807140E-1,3.188716620E-2,-1.301963210E0,-1.102768779E0
2.938807140E-1,2.225294709E-2,-1.292922497E0,-1.127535105E0
2.958916510E-1,1.136209350E-2,-1.288908243E0,-1.156926394E0
2.978900890E-1,1.221730490E-4,-1.287459612E0,-1.198866606E0
2.998807140E-1,-1.338667516E-2,-1.287634134E0,-1.251104355E0
3.018822760E-1,-2.867575921E-2,-1.289519072E0,-1.301090598E0
3.038822760E-1,-4.274311289E-2,-1.289274693E0,-1.349924922E0
3.058916510E-1,-6.010913849E-2,-1.288559079E0,-1.394587874E0
3.078822760E-1,-7.853981853E-2,-1.285487294E0,-1.437714934E0
3.098822760E-1,-9.452702850E-2,-1.275242209E0,-1.480667472E0
3.118807140E-1,-1.089609042E-1,-1.259830952E0,-1.522014380E0
3.138916510E-1,-1.247037724E-1,-1.239689946E0,-1.560464025E0
3.158869640E-1,-1.441118419E-1,-1.212951422E0,-1.599541903E0
3.178822760E-1,-1.650732458E-1,-1.184345484E0,-1.638916492E0
3.198807140E-1,-1.832595766E-1,-1.161080241E0,-1.668866396E0
3.218932140E-1,-1.976061761E-1,-1.142632127E0,-1.690421224E0
3.238807140E-1,-2.145184129E-1,-1.128145933E0,-1.710387707E0
3.258807140E-1,-2.351133078E-1,-1.118075371E0,-1.729848146E0
3.278838390E-1,-2.524967790E-1,-1.109034538E0,-1.742763638E0
3.298900890E-1,-2.676462531E-1,-1.101145625E0,-1.750844479E0
3.318854010E-1,-2.834589183E-1,-1.096520543E0,-1.760059834E0
3.338807140E-1,-3.004933298E-1,-1.092366695E0,-1.768053412E0
3.358822760E-1,-3.175801039E-1,-1.087252855E0,-1.770025611E0
3.379104010E-1,-3.310714960E-1,-1.075349689E0,-1.764423132E0
3.399072760E-1,-3.406358957E-1,-1.054911852E0,-1.760391474E0
3.418854010E-1,-3.485073447E-1,-1.036114693E0,-1.762224078E0
3.438822760E-1,-3.531150222E-1,-1.052293897E0,-1.761351347E0
3.458885260E-1,-3.485771716E-1,-1.138146639E0,-1.757319689E0
3.478947760E-1,-3.360806108E-1,-1.294248939E0,-1.759169698E0
3.499150890E-1,-3.234269619E-1,-1.487631440E0,-1.777478218E0
3.519041510E-1,-3.169692457E-1,-1.677540660E0,-1.816468835E0
3.539041510E-1,-3.190810978E-1,-1.828843236E0,-1.863296032E0
3.558838390E-1,-3.243345320E-1,-1.934104085E0,-1.902443767E0
3.578885260E-1,-3.312111199E-1,-2.026676416E0,-1.932271481E0
3.599291510E-1,-3.404090106E-1,-2.120295763E0,-1.948084116E0
3.618947760E-1,-3.486993313E-1,-2.205747128E0,-1.943843007E0
3.638822760E-1,-3.577052355E-1,-2.273238897E0,-1.920106530E0
3.658822760E-1,-3.718947470E-1,-2.284880400E0,-1.884955645E0
3.678900890E-1,-3.964864314E-1,-2.203617811E0,-1.839175582E0
3.699025890E-1,-4.329987466E-1,-2.039068222E0,-1.779590011E0
3.718822760E-1,-4.746772051E-1,-1.834480643E0,-1.712377429E0
3.738822760E-1,-5.123763084E-1,-1.658324599E0,-1.645182252E0
3.758916510E-1,-5.375962853E-1,-1.547007442E0,-1.577690363E0
3.778822760E-1,-5.516287684E-1,-1.478887320E0,-1.510634780E0
3.798822760E-1,-5.590813160E-1,-1.431606293E0,-1.453998923E0
3.818822760E-1,-5.616818666E-1,-1.388933063E0,-1.414048314E0
3.838822760E-1,-5.669003725E-1,-1.335735321E0,-1.389212251E0
3.858885260E-1,-5.731661320E-1,-1.267876983E0,-1.371148109E0
3.878822760E-1,-5.751557946E-1,-1.188673973E0,-1.353572607E0
3.898822760E-1,-5.776516199E-1,-1.103658915E0,-1.332332015E0
3.918822760E-1,-5.846329331E-1,-1.020197272E0,-1.295732379E0
3.938885260E-1,-5.929756165E-1,-9.399296045E-1,-1.249830246E0
3.958807140E-1,-5.996252894E-1,-8.618785143E-1,-1.196161389E0
3.979307140E-1,-6.054198146E-1,-7.864453793E-1,-1.124184012E0
3.998900890E-1,-6.119473577E-1,-7.060729265E-1,-1.038977027E0
4.018854010E-1,-6.167818904E-1,-6.222622395E-1,-9.410291910E-1
4.038900890E-1,-6.231523752E-1,-5.394288898E-1,-8.326965570E-1
4.059025890E-1,-6.335719824E-1,-4.495793581E-1,-7.229677439E-1
4.078885260E-1,-6.454750896E-1,-3.555584848E-1,-6.185272336E-1
4.098932140E-1,-6.593330503E-1,-2.612059712E-1,-5.185722113E-1
4.118994640E-1,-6.720913649E-1,-1.711993515E-1,-4.181983471E-1
4.138869640E-1,-6.830869317E-1,-9.147270769E-2,-3.212103844E-1
4.158822760E-1,-6.952693462E-1,-2.207841538E-2,-2.322509587E-1
4.178822760E-1,-7.074692249E-1,3.541272879E-2,-1.485798806E-1
4.198838390E-1,-7.199832201E-1,7.850491256E-2,-7.148868591E-2
4.218822760E-1,-7.347487211E-1,1.094670519E-1,-1.343903481E-3
4.238916510E-1,-7.500552535E-1,1.333082467E-1,6.433283538E-2
4.258822760E-1,-7.659552097E-1,1.529606581E-1,1.271821409E-1
4.278854010E-1,-7.836353779E-1,1.746550947E-1,1.867676824E-1
4.298822760E-1,-8.052425385E-1,2.033832222E-1,2.413964868E-1
4.318822760E-1,-8.306196332E-1,2.380978167E-1,2.898992002E-1
4.338807140E-1,-8.597317338E-1,2.851518989E-1,3.400774002E-1
4.358807140E-1,-8.931373358E-1,3.426779509E-1,3.866253197E-1
4.378807140E-1,-9.287420511E-1,3.974638283E-1,4.211305082E-1
4.398807140E-1,-9.645562172E-1,4.466471970E-1,4.524766207E-1
4.418807140E-1,-9.980840087E-1,4.851840734E-1,4.834387600E-1
4.439213390E-1,-1.029255509E0,5.096186996E-1,5.097059608E-1
4.458822760E-1,-1.063411713E0,5.202652216E-1,5.260771513E-1
4.478822760E-1,-1.122159481E0,4.672769904E-1,5.248379707E-1
4.498807140E-1,-1.188639045E0,3.653672338E-1,5.086238384E-1
4.518807140E-1,-1.236303926E0,2.702991366E-1,4.859869182E-1
4.539010260E-1,-1.274072886E0,1.724210829E-1,4.588645101E-1
4.558822760E-1,-1.309188962E0,6.712536514E-2,4.306599796E-1
4.578822760E-1,-1.342367649E0,-5.482079089E-2,3.956312239E-1
4.598822760E-1,-1.372753859E0,-1.840798706E-1,3.499036133E-1
4.618822760E-1,-1.414310098E0,-3.071604967E-1,2.879618704E-1
4.638947760E-1,-1.464540720E0,-4.271169603E-1,1.916895062E-1
4.658822760E-1,-1.515609026E0,-5.394638181E-1,4.794419557E-2
4.678807140E-1,-1.565281034E0,-6.347587705E-1,-1.352281123E-1
4.698807140E-1,-1.604393959E0,-7.042752504E-1,-3.325375915E-1
4.718807140E-1,-1.630294561E0,-7.448018193E-1,-5.226563215E-1
4.738869640E-1,-1.640801430E0,-7.633546591E-1,-6.887418032E-1
4.758916510E-1,-1.632982373E0,-7.733902931E-1,-8.293804526E-1
4.779260260E-1,-1.609507680E0,-7.860090137E-1,-9.774541855E-1
4.799010260E-1,-1.576590776E0,-8.044222593E-1,-1.121810317E0
4.818822760E-1,-1.538542628E0,-8.314748406E-1,-1.241801739E0
4.838807140E-1,-1.498469830E0,-8.677427769E-1,-1.352979183E0
4.858807140E-1,-1.456197977E0,-9.116727114E-1,-1.449460983E0
4.878807140E-1,-1.417870522E0,-9.553408623E-1,-1.525295615E0
4.898854010E-1,-1.387554169E0,-9.907710552E-1,-1.579522967E0
4.918822760E-1,-1.358930826E0,-1.021698236E0,-1.615529060E0
4.938822760E-1,-1.334461331E0,-1.059641719E0,-1.653053641E0
4.958807140E-1,-1.313290477E0,-1.101128221E0,-1.703633308E0
4.978822760E-1,-1.289623737E0,-1.135773063E0,-1.754579544E0
4.998822760E-1,-1.265887260E0,-1.165687919E0,-1.796415091E0
