"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.085052729E0,2.153651476E0,8.945139885E0
1.561430000E-3,2.036316395E0,2.100548029E0,9.036368370E0
3.558305000E-3,2.039266109E0,2.030723572E0,9.150322914E0
5.558305000E-3,2.069385290E0,1.985377431E0,9.222407341E0
7.558305000E-3,2.219961166E0,1.949866533E0,9.461416245E0
9.558305000E-3,2.313651085E0,1.936985850E0,9.554128647E0
1.155830500E-2,2.425527334E0,1.935300350E0,9.595385551E0
1.356768000E-2,2.482643604E0,1.937761426E0,9.606609344E0
1.556768000E-2,2.563155651E0,1.944417357E0,9.641804695E0
1.756143000E-2,2.584751368E0,1.965352297E0,9.668437958E0
1.955830500E-2,2.569514751E0,1.994676471E0,9.677046776E0
2.155830500E-2,2.511009932E0,2.025513887E0,9.697512627E0
2.355830500E-2,2.438877344E0,2.065382004E0,9.711495399E0
2.555830500E-2,2.496424675E0,1.986823440E0,9.731242180E0
2.755830500E-2,2.950815201E0,1.661384344E0,9.859590530E0
2.955830500E-2,3.197245598E0,1.555704355E0,1.001215935E1
3.155830500E-2,3.254151106E0,1.622675061E0,1.014038277E1
3.355830500E-2,3.193319082E0,1.838612795E0,1.023423576E1
3.555830500E-2,3.101171255E0,2.014768600E0,1.028665924E1
3.755830500E-2,2.986862421E0,2.164501905E0,1.030608082E1
3.955830500E-2,2.880818367E0,2.303719997E0,1.029863930E1
4.155830500E-2,2.778346777E0,2.397860050E0,1.026817608E1
4.355986700E-2,2.650936842E0,2.469168901E0,1.018935871E1
4.555830500E-2,2.573307037E0,2.493742943E0,1.011793423E1
4.755830500E-2,2.492708683E0,2.519858837E0,1.003541088E1
4.955830500E-2,2.428553820E0,2.519236565E0,9.948368073E0
5.156455500E-2,2.360338211E0,2.531839609E0,9.841346741E0
5.355830500E-2,2.309437513E0,2.539117813E0,9.760298729E0
5.555830500E-2,2.232171535E0,2.556317806E0,9.655279160E0
5.755830500E-2,2.185149670E0,2.575557709E0,9.599618912E0
5.955830500E-2,2.120611668E0,2.601252079E0,9.537225723E0
6.155830500E-2,2.086546898E0,2.627693892E0,9.500259399E0
6.355830500E-2,2.048115015E0,2.650419712E0,9.462115288E0
6.555830500E-2,2.011397600E0,2.682137966E0,9.416873932E0
6.755830500E-2,1.998622060E0,2.693390608E0,9.381918907E0
6.955830500E-2,1.975206733E0,2.704193354E0,9.385242462E0
7.155830500E-2,1.969997048E0,2.721565723E0,9.409701347E0
7.355830500E-2,1.956599116E0,2.740087271E0,9.442922592E0
7.555830500E-2,1.956704497E0,2.752403021E0,9.470475197E0
7.755830500E-2,1.972573280E0,2.772418499E0,9.528654099E0
7.955830500E-2,1.978865147E0,2.790432692E0,9.584285736E0
8.155830500E-2,1.978750229E0,2.803983688E0,9.629096031E0
8.358799200E-2,1.980311275E0,2.810744762E0,9.669969559E0
8.555830500E-2,1.980158091E0,2.795259237E0,9.731663704E0
8.755830500E-2,1.983806729E0,2.805238247E0,9.772164345E0
8.955830500E-2,2.000183105E0,2.804989338E0,9.820671082E0
9.156143000E-2,2.004732132E0,2.807450533E0,9.871734619E0
9.355830500E-2,2.012901068E0,2.792357445E0,9.895685196E0
9.561768000E-2,2.022123575E0,2.786132574E0,9.929807663E0
9.755830500E-2,2.027735710E0,2.786572933E0,9.978764534E0
9.956611700E-2,2.032227278E0,2.785079002E0,9.990658760E0
1.015583050E-1,2.043518305E0,2.798534393E0,1.001087570E1
1.035583050E-1,2.039170265E0,2.809662819E0,1.003878212E1
1.055583050E-1,2.025695801E0,2.812536001E0,1.005881691E1
1.075598670E-1,1.998315692E0,2.826134682E0,1.008429146E1
1.095583050E-1,1.965821505E0,2.837598324E0,1.010191345E1
1.115583050E-1,1.956196904E0,2.859941006E0,1.011544418E1
1.135583050E-1,1.928682685E0,2.873530626E0,1.012379551E1
1.155583050E-1,1.889149666E0,2.886564493E0,1.012700367E1
