"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.060060000E-4,4.692730904E-1,2.848448753E0,1.022587490E1
2.104444000E-3,4.559996724E-1,2.878060341E0,9.956421852E0
4.104444000E-3,4.629811347E-1,2.912077188E0,9.786586761E0
6.104444000E-3,4.673673511E-1,2.934630394E0,9.689975739E0
8.110694000E-3,4.694646597E-1,2.945356369E0,9.644006729E0
1.010444400E-2,4.704510570E-1,2.950460911E0,9.622143745E0
1.210444400E-2,4.932342768E-1,2.981250525E0,9.338038445E0
1.410444400E-2,5.232863426E-1,3.011877060E0,8.965087891E0
1.610913100E-2,5.496034026E-1,3.042455912E0,8.706993103E0
1.810444400E-2,5.894045830E-1,3.060603857E0,8.514039993E0
2.010444400E-2,6.339176297E-1,3.082352877E0,8.356837273E0
2.210444400E-2,7.106756568E-1,3.106342554E0,8.208309174E0
2.410913100E-2,7.845320106E-1,3.119730949E0,8.113011360E0
2.610444400E-2,8.563197851E-1,3.133684397E0,8.052466393E0
2.810913100E-2,9.249950647E-1,3.155605793E0,8.013776779E0
3.010444400E-2,1.009127259E0,3.172748327E0,7.995512962E0
3.210444400E-2,1.051743984E0,3.189182043E0,7.983532906E0
3.410444400E-2,1.101284862E0,3.211170435E0,7.991002560E0
3.610444400E-2,1.137676716E0,3.225985527E0,8.003653526E0
3.810444400E-2,1.169672847E0,3.231980801E0,8.019033432E0
4.010444400E-2,1.199083209E0,3.243616581E0,8.060424805E0
4.210444400E-2,1.228579879E0,3.274300814E0,8.101816177E0
4.410444400E-2,1.232017994E0,3.287439823E0,8.148492813E0
4.610444400E-2,1.231740117E0,3.307982206E0,8.206576347E0
4.810444400E-2,1.239401579E0,3.320872545E0,8.269275665E0
5.010444400E-2,1.227152824E0,3.321657896E0,8.354653358E0
5.210444400E-2,1.230514288E0,3.333590508E0,8.459500313E0
5.410444400E-2,1.222939134E0,3.329348087E0,8.560132980E0
5.610444400E-2,1.207644939E0,3.317932606E0,8.663399696E0
5.810444400E-2,1.187121868E0,3.312818527E0,8.777890205E0
6.010444400E-2,1.160383463E0,3.311161757E0,8.876953125E0
6.210444400E-2,1.144227266E0,3.298319340E0,9.028870583E0
6.410444400E-2,1.110363722E0,3.288244486E0,9.126217842E0
6.611225600E-2,1.076471448E0,3.266131639E0,9.236878395E0
6.810444400E-2,1.040558338E0,3.244009256E0,9.350315094E0
7.010444400E-2,1.000307083E0,3.209829569E0,9.447807312E0
7.210444400E-2,9.398391247E-1,3.170172215E0,9.560602188E0
7.410444400E-2,9.129857421E-1,3.137543917E0,9.650815964E0
7.610444400E-2,8.823399544E-1,3.115028858E0,9.750204086E0
7.810444400E-2,8.505162597E-1,3.085905790E0,9.826598167E0
8.010444400E-2,8.272925019E-1,3.061772108E0,9.901403427E0
8.210444400E-2,7.915996909E-1,3.011072397E0,9.976840019E0
8.410444400E-2,7.599770427E-1,2.985109806E0,1.003681946E1
8.610444400E-2,7.355945706E-1,2.954176664E0,1.007378483E1
8.810444400E-2,6.983311772E-1,2.924450397E0,1.010197926E1
9.011381900E-2,6.796851158E-1,2.902164936E0,1.012777042E1
9.210444400E-2,6.446052790E-1,2.860802889E0,1.016080952E1
9.410913100E-2,6.063555479E-1,2.834131479E0,1.014000893E1
9.610444400E-2,5.708159804E-1,2.813646793E0,1.012527084E1
9.810444400E-2,5.544683933E-1,2.785031319E0,1.010044765E1
1.001044440E-1,5.558857322E-1,2.763416290E0,1.006372070E1
1.021044440E-1,5.446138382E-1,2.735940456E0,1.002282715E1
1.041044440E-1,5.123878717E-1,2.712180376E0,9.971207619E0
1.061044440E-1,5.033952594E-1,2.699404955E0,9.908948898E0
1.081044440E-1,4.914721251E-1,2.697690725E0,9.854189873E0
1.101075690E-1,4.820006788E-1,2.675731182E0,9.788320541E0
1.121044440E-1,4.738604128E-1,2.657956600E0,9.669702530E0
1.141075690E-1,4.711980522E-1,2.651808023E0,9.615583420E0
1.161044440E-1,4.729601741E-1,2.655457020E0,9.612739563E0
