"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.527083280E-1,-1.257858723E-1,-9.051277488E-2,-3.786840737E-1
1.547614530E-1,-1.270076036E-1,-1.002866179E-1,-3.774623573E-1
1.567130150E-1,-1.367814541E-1,-9.662142396E-2,-3.884579241E-1
1.587161400E-1,-1.282293350E-1,-1.039518118E-1,-3.945665956E-1
1.607114530E-1,-1.343379915E-1,-1.051735431E-1,-4.006752372E-1
1.627083280E-1,-1.355597228E-1,-1.100604609E-1,-4.043404162E-1
1.647145780E-1,-1.294510663E-1,-1.088387296E-1,-4.214446545E-1
1.667302030E-1,-1.233424172E-1,-1.112821922E-1,-4.324402213E-1
1.687083280E-1,-1.111251116E-1,-1.283864230E-1,-4.336619675E-1
1.707208280E-1,-1.099033803E-1,-1.271646917E-1,-4.434357882E-1
1.727083280E-1,-1.025729999E-1,-1.332733482E-1,-4.495444596E-1
1.747130150E-1,-7.936012000E-2,-1.454906464E-1,-4.678704143E-1
1.767083280E-1,-7.447320223E-2,-1.442689151E-1,-4.886398315E-1
1.787083280E-1,-2.438225038E-2,-1.931381375E-1,-5.314003825E-1
1.807083280E-1,-3.612831468E-3,-2.151292861E-1,-5.228483081E-1
1.827130150E-1,-1.169370604E-3,-2.285683155E-1,-5.472828746E-1
1.847130150E-1,4.921828397E-3,-2.407856286E-1,-5.570567250E-1
1.867083280E-1,1.469567232E-2,-2.591115832E-1,-5.533915162E-1
1.887083280E-1,2.569124661E-2,-2.688854337E-1,-5.436177254E-1
1.907083280E-1,2.202605456E-2,-2.908765674E-1,-5.411742330E-1
1.927083280E-1,3.546509147E-2,-3.055373430E-1,-5.619436502E-1
1.947083280E-1,2.979277074E-2,-2.958507538E-1,-5.581737757E-1
1.967083280E-1,3.556980938E-2,-3.113842010E-1,-5.624148846E-1
1.987098900E-1,4.091051593E-2,-3.285931349E-1,-5.576850772E-1
2.007567650E-1,4.572762549E-2,-3.463431299E-1,-5.513843894E-1
2.027411400E-1,5.148721114E-2,-3.661700785E-1,-5.538628101E-1
2.047161400E-1,5.501277745E-2,-3.846705556E-1,-5.623276234E-1
2.067114530E-1,5.771803856E-2,-4.015828073E-1,-5.630432367E-1
2.087489530E-1,6.508332491E-2,-4.209908545E-1,-5.562015176E-1
2.107114530E-1,7.302457839E-2,-4.413588643E-1,-5.506339073E-1
2.127161400E-1,7.766715437E-2,-4.607320130E-1,-5.537754893E-1
2.147270780E-1,8.154178411E-2,-4.798782766E-1,-5.619785786E-1
2.167083280E-1,8.831366152E-2,-5.010316372E-1,-5.646663904E-1
2.187083280E-1,9.623745829E-2,-5.243842006E-1,-5.654168725E-1
2.207083280E-1,1.038819999E-1,-5.464800596E-1,-5.727123618E-1
2.227114530E-1,1.113694608E-1,-5.685235262E-1,-5.773199797E-1
2.247083280E-1,1.178969890E-1,-5.908288360E-1,-5.790653229E-1
2.267130150E-1,1.248084977E-1,-6.109001637E-1,-5.829574466E-1
2.287083280E-1,1.334129721E-1,-6.295053363E-1,-5.852263570E-1
2.307489530E-1,1.422966868E-1,-6.476742029E-1,-5.848947167E-1
2.327208280E-1,1.522276103E-1,-6.665238142E-1,-5.868145823E-1
2.347083280E-1,1.632755548E-1,-6.827204227E-1,-5.967978835E-1
2.367161400E-1,1.724908948E-1,-6.945537925E-1,-6.099576354E-1
2.387364530E-1,1.804845035E-1,-7.065965533E-1,-6.199584007E-1
2.407130150E-1,1.884606481E-1,-7.193025351E-1,-6.265557408E-1
2.427114530E-1,1.976061761E-1,-7.338760495E-1,-6.353173256E-1
2.447114530E-1,2.055648714E-1,-7.526906729E-1,-6.487563252E-1
2.467083280E-1,2.114291787E-1,-7.745596766E-1,-6.633996367E-1
2.487395780E-1,2.183057815E-1,-8.003905416E-1,-6.759660244E-1
2.507567650E-1,2.239082903E-1,-8.318239450E-1,-6.847624779E-1
2.527083280E-1,2.294584364E-1,-8.658055067E-1,-6.898413897E-1
2.547177030E-1,2.349736691E-1,-9.007993340E-1,-6.948155761E-1
2.567208280E-1,2.389879376E-1,-9.387078881E-1,-7.012558579E-1
2.587098900E-1,2.422342449E-1,-9.786933661E-1,-7.069281340E-1
2.607083280E-1,2.459867001E-1,-1.019743562E0,-7.113263607E-1
2.627161400E-1,2.511877716E-1,-1.064633369E0,-7.144505382E-1
2.647177030E-1,2.565459311E-1,-1.109680295E0,-7.151486874E-1
2.667083280E-1,2.628640234E-1,-1.152999401E0,-7.140141726E-1
2.687130150E-1,2.699849904E-1,-1.199337840E0,-7.134382129E-1
2.707130150E-1,2.774899006E-1,-1.251418471E0,-7.098428607E-1
2.727114530E-1,2.861292660E-1,-1.307914853E0,-7.041181922E-1
2.747114530E-1,2.968106866E-1,-1.362770557E0,-7.026870251E-1
2.767083280E-1,3.058514893E-1,-1.416788459E0,-7.007671595E-1
2.787302030E-1,3.146479428E-1,-1.472464442E0,-6.914122105E-1
2.807255150E-1,3.281219006E-1,-1.530793428E0,-6.794392467E-1
2.827223900E-1,3.415783942E-1,-1.591077089E0,-6.721437573E-1
2.847380150E-1,3.559249938E-1,-1.654467463E0,-6.648308039E-1
2.867161400E-1,3.734306395E-1,-1.717613459E0,-6.551093459E-1
2.887536400E-1,3.877249062E-1,-1.776745200E0,-6.504667401E-1
2.907270780E-1,4.013209939E-1,-1.833258986E0,-6.516885161E-1
2.927208280E-1,4.166275561E-1,-1.889598131E0,-6.517059207E-1
2.947083280E-1,4.316199124E-1,-1.949777126E0,-6.520200968E-1
2.967177030E-1,4.449542463E-1,-2.008297920E0,-6.533814669E-1
2.987348900E-1,4.550422430E-1,-2.060291290E0,-6.528753042E-1
3.007192650E-1,4.634721875E-1,-2.110155344E0,-6.517233849E-1
3.027083280E-1,4.701742530E-1,-2.159530878E0,-6.514266729E-1
3.047083280E-1,4.738743305E-1,-2.209848642E0,-6.539748907E-1
3.067255150E-1,4.733681977E-1,-2.257967234E0,-6.558772922E-1
3.087083280E-1,4.713087082E-1,-2.303747416E0,-6.556503773E-1
3.107114530E-1,4.675737023E-1,-2.348951340E0,-6.570292115E-1
3.127083280E-1,4.599640667E-1,-2.391764402E0,-6.571339369E-1
3.147083280E-1,4.495095611E-1,-2.433948994E0,-6.547777057E-1
3.167083280E-1,4.372922480E-1,-2.473707438E0,-6.487912536E-1
3.187083280E-1,4.250574708E-1,-2.511354208E0,-6.382494569E-1
3.207098900E-1,4.104490876E-1,-2.547622204E0,-6.298893094E-1
3.227083280E-1,3.937113583E-1,-2.579875946E0,-6.256307364E-1
3.247083280E-1,3.752981424E-1,-2.609790802E0,-6.210579872E-1
3.267083280E-1,3.575306833E-1,-2.640316725E0,-6.100449562E-1
3.287083280E-1,3.415783942E-1,-2.670842409E0,-5.942322612E-1
3.307083280E-1,3.229731917E-1,-2.700478077E0,-5.756968260E-1
3.327161400E-1,3.009122014E-1,-2.726082087E0,-5.530773997E-1
3.347130150E-1,2.782752812E-1,-2.746903896E0,-5.295677781E-1
3.367083280E-1,2.559525371E-1,-2.765596390E0,-5.073846579E-1
3.387130150E-1,2.164208293E-1,-2.779035330E0,-4.634372890E-1
3.407083280E-1,1.651255935E-1,-2.782578468E0,-4.009021223E-1
3.427083280E-1,1.219112501E-1,-2.776295185E0,-3.498512506E-1
3.447192650E-1,8.491026610E-2,-2.763501883E0,-3.097610474E-1
3.467098900E-1,4.836307466E-2,-2.747986078E0,-2.746624649E-1
3.487145780E-1,1.118756086E-2,-2.732609749E0,-2.429847419E-1
3.507083280E-1,-2.483603545E-2,-2.717268229E0,-2.151641846E-1
3.527083280E-1,-6.026621908E-2,-2.702869177E0,-1.917069703E-1
3.547223900E-1,-9.449212253E-2,-2.691035986E0,-1.722465456E-1
3.567083280E-1,-1.284213215E-1,-2.681104898E0,-1.527512223E-1
3.587114530E-1,-1.642703861E-1,-2.673652411E0,-1.320341527E-1
3.607083280E-1,-1.996307522E-1,-2.670458555E0,-1.097986624E-1
3.627161400E-1,-2.326174825E-1,-2.671819925E0,-8.977973461E-2
3.647098900E-1,-2.650108039E-1,-2.675519943E0,-7.298967242E-2
3.667302030E-1,-2.997952104E-1,-2.680389404E0,-5.543165654E-2
3.687083280E-1,-3.351904750E-1,-2.688278198E0,-3.661700711E-2
3.707083280E-1,-3.652101457E-1,-2.698278904E0,-1.773254573E-2
3.727083280E-1,-3.948807418E-1,-2.709361792E0,-4.520402756E-3
