"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.189666670E-3,3.686484993E-1,-2.293203324E-1,-1.738036610E-2
1.320166667E-2,5.458216667E-1,-3.068127036E-1,-7.663822267E-3
2.321266667E-2,6.532573700E-1,-3.207788765E-1,-1.830341667E-2
3.322466667E-2,7.136951685E-1,-3.145449460E-1,-2.756429277E-2
4.323566666E-2,7.123925686E-1,-2.735484242E-1,-4.318154231E-2
5.324766667E-2,6.413825750E-1,-2.298068106E-1,-5.527815223E-2
6.325866667E-2,5.074022412E-1,-1.843324602E-1,-5.741706491E-2
7.326966667E-2,3.299209774E-1,-1.292377859E-1,-5.531210080E-2
8.328166667E-2,1.218055040E-1,-7.674701512E-2,-5.124431849E-2
9.329266666E-2,-9.140956402E-2,-4.389186203E-2,-5.391600728E-2
1.033046667E-1,-2.785484791E-1,-2.872673050E-2,-5.460549891E-2
1.133156667E-1,-4.228459895E-1,-1.817262359E-2,-5.590219051E-2
1.233276667E-1,-5.117849708E-1,6.681581959E-3,-5.307098478E-2
1.333386667E-1,-5.399103761E-1,1.642369106E-2,-5.272370949E-2
1.433506667E-1,-5.092864633E-1,2.743007615E-3,-5.641831085E-2
1.533616667E-1,-4.363598228E-1,-3.068845347E-2,-5.618075654E-2
1.633726667E-1,-3.379172385E-1,-5.561057478E-2,-4.882603884E-2
1.733844167E-1,-2.266607583E-1,-5.820502341E-2,-3.975930810E-2
1.833954167E-1,-1.255030036E-1,-6.220811605E-2,-2.414819226E-2
1.934074167E-1,-3.852709755E-2,-5.773400515E-2,-4.141726531E-3
2.034184167E-1,2.296348475E-2,-5.035363883E-2,1.065612957E-2
2.134304167E-1,5.718350783E-2,-4.736663774E-2,2.207922749E-2
2.234414167E-1,5.916023254E-2,-5.210741609E-2,3.799008206E-2
2.334524167E-1,2.863028832E-2,-5.228478089E-2,3.615862504E-2
2.434644167E-1,-2.868192643E-2,-4.445199296E-2,2.810395882E-2
2.534754167E-1,-9.495682269E-2,-4.027935490E-2,1.482277364E-2
2.634874167E-1,-1.677117348E-1,-7.103129476E-2,-1.805880852E-2
2.734984167E-1,-2.271918505E-1,-1.266596615E-1,-5.307325348E-2
2.835104167E-1,-2.818572521E-1,-1.908955425E-1,-9.192138165E-2
2.935214167E-1,-3.285014331E-1,-2.498773634E-1,-1.161739901E-1
3.035324167E-1,-3.745521605E-1,-2.918103039E-1,-1.230435446E-1
3.135444167E-1,-4.071804285E-1,-3.048076034E-1,-1.142303497E-1
3.235554167E-1,-4.312383831E-1,-2.947830558E-1,-9.530505538E-2
3.335674167E-1,-4.409535825E-1,-2.690465450E-1,-7.614547759E-2
3.435784167E-1,-4.411107302E-1,-2.493114471E-1,-4.557371885E-2
3.535904167E-1,-4.346512258E-1,-2.409520447E-1,-1.615883969E-2
3.636014167E-1,-4.270100594E-1,-2.460374981E-1,1.292973571E-2
3.736134167E-1,-4.112899601E-1,-2.658623457E-1,3.081073426E-2
3.836244167E-1,-3.981976211E-1,-3.056378365E-1,3.909935802E-2
3.936354167E-1,-3.935634494E-1,-3.358114362E-1,4.737646133E-2
4.036474167E-1,-3.943858743E-1,-3.610232174E-1,4.570805654E-2
4.136584167E-1,-4.062766433E-1,-3.723757267E-1,2.875357494E-2
4.236704167E-1,-4.176195562E-1,-3.814558685E-1,6.518375129E-3
4.336814167E-1,-4.304594696E-1,-3.864993751E-1,-3.048092127E-2
4.436934167E-1,-4.350347519E-1,-3.443680108E-1,-6.674832106E-2
4.537044167E-1,-4.238593280E-1,-3.025984764E-1,-9.160306305E-2
4.637164167E-1,-3.966214955E-1,-2.636714876E-1,-1.071786284E-1
4.737274167E-1,-3.579726219E-1,-2.174728513E-1,-1.148562506E-1
4.837384167E-1,-3.136695623E-1,-1.716169268E-1,-1.150296256E-1
4.937504167E-1,-2.722672522E-1,-1.513947397E-1,-1.096753404E-1
5.037614167E-1,-2.354507148E-1,-1.453911513E-1,-1.156079322E-1
5.137734167E-1,-2.065287828E-1,-1.568291634E-1,-1.317522824E-1
5.237844167E-1,-2.005333304E-1,-1.662129462E-1,-1.517316550E-1
5.337964167E-1,-2.091422677E-1,-1.531959474E-1,-1.772380769E-1
5.438074167E-1,-2.231870443E-1,-1.555464566E-1,-2.207852900E-1
5.538184167E-1,-2.527406514E-1,-1.805604696E-1,-2.616362870E-1
5.638304167E-1,-2.940658331E-1,-1.925852299E-1,-2.837641239E-1
5.738414167E-1,-3.482214808E-1,-1.690929532E-1,-2.813986838E-1
5.838534167E-1,-4.195092022E-1,-1.058324426E-1,-2.510382533E-1
5.938644167E-1,-4.993723333E-1,-2.441294864E-2,-2.087973207E-1
6.038764167E-1,-5.858025551E-1,5.669149384E-2,-1.712574065E-1
6.138874167E-1,-6.759287119E-1,1.326046288E-1,-1.206973046E-1
6.238984167E-1,-7.753996253E-1,2.121284753E-1,-8.318947256E-2
6.339104167E-1,-8.679380417E-1,2.927671373E-1,-6.049534678E-2
6.439214167E-1,-9.559727907E-1,4.115431607E-1,-6.205868721E-2
6.539334167E-1,-9.888958335E-1,6.229755282E-1,-1.300310791E-1
6.639444167E-1,-9.701306224E-1,8.762137294E-1,-2.480780929E-1
6.739564167E-1,-9.352563024E-1,1.230027914E0,-2.990821600E-1
6.839674167E-1,-7.118217349E-1,1.266849160E0,-1.858363450E-1
6.939794167E-1,-5.461403728E-1,1.391450524E0,-5.500244349E-2
7.039904167E-1,-3.899895251E-1,1.244192481E0,6.898428500E-2
7.140014167E-1,-1.990768313E-1,7.581298947E-1,5.014960840E-2
7.240134167E-1,1.211385801E-1,3.473884165E-1,-1.667290330E-1
7.340244167E-1,4.312088192E-1,-8.648179471E-2,-5.949413776E-1
7.440364167E-1,5.235720873E-1,-7.045344114E-1,-1.192747355E0
7.540474167E-1,3.958524764E-1,-9.886364341E-1,-1.719897509E0
7.640594167E-1,1.241218671E-1,-1.151679397E0,-2.020085812E0
