"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.181320200E-2,-1.178206354E-1,1.267545391E-2,1.218294382E0
1.381320200E-2,-1.178206354E-1,1.267545391E-2,1.218294382E0
1.581320200E-2,-1.178206354E-1,1.267545391E-2,1.218294382E0
1.781320200E-2,-1.178206354E-1,1.267545391E-2,1.218294382E0
1.981320200E-2,-4.996114075E-1,7.254024595E-2,1.133384109E0
2.181320200E-2,-5.301546454E-1,7.987063378E-2,1.119945049E0
2.381320200E-2,-5.442045927E-1,8.109235764E-2,1.111392975E0
2.581320200E-2,-5.637522340E-1,8.231408894E-2,1.101619124E0
2.781320200E-2,-5.796347857E-1,8.720101416E-2,1.091845274E0
2.981320200E-2,-5.894085765E-1,8.720101416E-2,1.086347461E0
3.181075700E-2,-5.930737853E-1,8.964447677E-2,1.084514856E0
3.380815700E-2,-5.930737853E-1,8.964447677E-2,1.084514856E0
3.580824700E-2,-5.900194645E-1,9.758572280E-2,1.093677878E0
3.780833000E-2,-5.869651437E-1,1.024726480E-1,1.099786520E0
3.980840600E-2,-5.814673305E-1,1.061378345E-1,1.113836408E0
4.180847700E-2,-5.765804052E-1,1.098030284E-1,1.133384109E0
4.380854300E-2,-5.729152560E-1,1.085812971E-1,1.140714526E0
4.580860500E-2,-5.661957264E-1,1.085812971E-1,1.162705660E0
4.780860500E-2,-5.564218760E-1,1.036943719E-1,1.185918570E0
4.980860500E-2,-5.466480255E-1,8.842274547E-2,1.210353136E0
5.180860500E-2,-5.448154211E-1,8.536841720E-2,1.221959591E0
5.380860500E-2,-5.295438170E-1,6.398813426E-2,1.247004986E0
5.580860500E-2,-5.203808546E-1,4.444044828E-2,1.268385291E0
5.780860500E-2,-5.136613250E-1,3.161227703E-2,1.280602574E0
5.980860500E-2,-5.008331537E-1,7.177666761E-3,1.300761223E0
6.180860500E-2,-4.855615199E-1,-1.725694351E-2,1.325195789E0
6.380860500E-2,-4.776202738E-1,-3.130684420E-2,1.334969640E0
6.580860500E-2,-4.666246772E-1,-5.879577994E-2,1.357571602E0
6.780860500E-2,-4.519639313E-1,-9.056077152E-2,1.380784512E0
6.980860500E-2,-4.403574765E-1,-1.192714423E-1,1.403997421E0
7.180770800E-2,-4.128685594E-1,-2.090686262E-1,1.477301240E0
7.380684100E-2,-4.128685594E-1,-2.090686262E-1,1.477301240E0
7.580597400E-2,-4.128685594E-1,-2.090686262E-1,1.477301240E0
7.780534000E-2,-4.128685594E-1,-2.090686262E-1,1.477301240E0
7.980537300E-2,-4.085924923E-1,-2.396118939E-1,1.500514150E0
8.180540600E-2,-4.049273133E-1,-2.683225572E-1,1.524948716E0
8.380543900E-2,-4.018729627E-1,-2.799290121E-1,1.535944343E0
8.580547200E-2,-3.982077837E-1,-3.031418920E-1,1.559157133E0
8.780550500E-2,-3.945426047E-1,-3.251330256E-1,1.580537438E0
8.980553800E-2,-3.939317167E-1,-3.422372639E-1,1.597641706E0
9.180630400E-2,-3.927100003E-1,-3.483459055E-1,1.606193781E0
9.380717000E-2,-3.872122169E-1,-3.587306142E-1,1.620243669E0
9.580713600E-2,-3.866013288E-1,-3.636175394E-1,1.630628467E0
9.780710200E-2,-3.872122169E-1,-3.636175394E-1,1.633071899E0
9.980706800E-2,-3.853796124E-1,-3.642283976E-1,1.641623974E0
1.018070340E-1,-3.878230751E-1,-3.605632186E-1,1.643456578E0
1.038070000E-1,-3.890447915E-1,-3.581197560E-1,1.644678354E0
1.058069660E-1,-3.902665377E-1,-3.507893682E-1,1.641013145E0
1.078069660E-1,-3.969860375E-1,-3.410155177E-1,1.634293556E0
1.098069660E-1,-4.024838507E-1,-3.269656301E-1,1.622076273E0
1.118060990E-1,-4.128685594E-1,-2.787072659E-1,1.563433290E0
1.138052320E-1,-4.128685594E-1,-2.787072659E-1,1.563433290E0
1.158043650E-1,-4.165337384E-1,-2.683225572E-1,1.548772454E0
1.178034650E-1,-4.165337384E-1,-2.683225572E-1,1.548772454E0
1.198040650E-1,-4.140902758E-1,-2.561052442E-1,1.534722567E0
1.218040650E-1,-4.140902758E-1,-2.341141105E-1,1.501124978E0
1.238040650E-1,-4.092033505E-1,-2.194533348E-1,1.484631658E0
1.258040980E-1,-4.012621045E-1,-1.925752759E-1,1.451034069E0
1.278041310E-1,-3.872122169E-1,-1.632537395E-1,1.410716891E0
1.298041640E-1,-3.774383664E-1,-1.485929638E-1,1.388725758E0
1.318050640E-1,-3.572798073E-1,-1.168279797E-1,1.349019527E0
1.338059640E-1,-3.340669274E-1,-8.628471941E-2,1.307480693E0
1.358068640E-1,-3.090214431E-1,-5.329799280E-2,1.265331030E0
1.378075300E-1,-2.937498391E-1,-3.985895589E-2,1.247004986E0
1.398074960E-1,-2.662608922E-1,-1.175915636E-2,1.207298756E0
1.418074620E-1,-2.363284975E-1,1.939497143E-2,1.169425130E0
1.438074280E-1,-2.228894532E-1,3.405573592E-2,1.149266601E0
1.458073940E-1,-1.929570585E-1,6.398813426E-2,1.117501616E0
1.478073600E-1,-1.636355221E-1,9.392052889E-2,1.086347461E0
1.498073260E-1,-1.514182240E-1,1.104138941E-1,1.073519349E0
1.518064260E-1,-6.101016700E-2,2.344195396E-1,9.916633964E-1
1.538055590E-1,-6.101016700E-2,2.344195396E-1,9.916633964E-1
1.558047250E-1,-5.429064855E-2,2.509129047E-1,9.837220907E-1
1.578039910E-1,-5.429064855E-2,2.509129047E-1,9.837220907E-1
1.598032570E-1,-5.429064855E-2,2.509129047E-1,9.837220907E-1
1.618032900E-1,-4.268420860E-2,2.796235681E-1,9.721156955E-1
1.638033230E-1,-3.718642145E-2,2.955060601E-1,9.647852778E-1
1.658033560E-1,-2.741257846E-2,3.236058652E-1,9.586766362E-1
1.678033890E-1,-2.680171281E-2,3.553708494E-1,9.501245022E-1
1.698034220E-1,-2.374738641E-2,3.688098788E-1,9.446267486E-1
1.718042880E-1,-2.496911772E-2,3.975205719E-1,9.360746145E-1
1.738051540E-1,-3.168863431E-2,4.250094891E-1,9.263007641E-1
1.758060200E-1,-4.085161164E-2,4.555527568E-1,9.134725928E-1
1.778069200E-1,-4.451680556E-2,4.696026444E-1,9.067531228E-1
1.798063200E-1,-5.367978290E-2,5.025894046E-1,8.939249516E-1
1.818063200E-1,-6.467536092E-2,5.361869931E-1,8.768206835E-1
1.838063200E-1,-7.200574130E-2,5.532912016E-1,8.676577210E-1
1.858062860E-1,-8.544477820E-2,5.862779021E-1,8.474991918E-1
1.878062520E-1,-9.888381511E-2,6.198754907E-1,8.291732073E-1
1.898062180E-1,-1.062141955E-1,6.375905871E-1,8.163450360E-1
1.918053180E-1,-1.202640980E-1,6.675229669E-1,7.925212979E-1
1.938052840E-1,-1.318705380E-1,6.980662346E-1,7.705301642E-1
1.958052500E-1,-1.471421719E-1,7.261660695E-1,7.442629337E-1
1.978052160E-1,-1.538616866E-1,7.420485616E-1,7.314347625E-1
1.998052160E-1,-1.685224473E-1,7.701483369E-1,7.027240992E-1
2.018052160E-1,-1.825723499E-1,7.958046794E-1,6.734025478E-1
2.038052490E-1,-1.892918646E-1,8.135197759E-1,6.562983394E-1
2.058052820E-1,-2.033417672E-1,8.379544020E-1,6.294202805E-1
2.078053150E-1,-2.155590802E-1,8.660541773E-1,6.000987291E-1
2.098053480E-1,-2.198351324E-1,8.801041245E-1,5.878814459E-1
2.118062480E-1,-2.314415723E-1,9.088147879E-1,5.591707826E-1
2.138071480E-1,-2.418262810E-1,9.314168096E-1,5.347361565E-1
2.158080140E-1,-2.509892583E-1,9.546296597E-1,5.096907020E-1
2.178087800E-1,-2.546544373E-1,9.680687189E-1,4.962516427E-1
2.198095130E-1,-2.638174295E-1,9.845620394E-1,4.730387628E-1
2.218094790E-1,-2.735912800E-1,1.002887964E0,4.498258829E-1
2.238094450E-1,-2.790890634E-1,1.008385777E0,4.394411743E-1
