"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.501030770E-1,1.216254473E0,-2.621650934E0,9.548376083E0
2.521030770E-1,1.072602391E0,-2.638410330E0,9.296984673E0
2.541030770E-1,9.481038451E-1,-2.633621931E0,9.076718330E0
2.561030770E-1,8.930372596E-1,-2.609679937E0,8.921094894E0
2.581030770E-1,7.589619160E-1,-2.588132143E0,8.875604630E0
2.601030770E-1,6.248866320E-1,-2.549824715E0,8.889969826E0
2.621030770E-1,4.620809257E-1,-2.482787132E0,9.014469147E0
2.641030770E-1,4.046200812E-1,-2.420537949E0,9.203610420E0
2.661030770E-1,2.944868207E-1,-2.154781580E0,9.972148895E0
2.681030770E-1,-4.788403213E-2,-1.656787634E0,1.073589993E1
2.701030770E-1,-3.208230138E-1,-1.295263171E0,1.100883865E1
2.721031770E-1,-4.309562966E-2,1.101332754E-1,1.279012489E1
2.741009040E-1,-4.309562966E-2,1.101332754E-1,1.279012489E1
2.760988200E-1,-4.309562966E-2,1.101332754E-1,1.279012489E1
2.780968960E-1,-4.309562966E-2,-8.858546615E-2,1.279012489E1
2.800956810E-1,2.753331959E-1,-8.858546615E-2,1.282364368E1
2.820939470E-1,2.753331959E-1,-8.858546615E-2,1.282364368E1
2.840939470E-1,6.224924326E-1,-3.303998411E-1,1.287152767E1
2.860940050E-1,1.326387763E0,-8.331822157E-1,1.292659378E1
2.880940050E-1,1.965639591E0,-1.335964561E0,1.280209541E1
2.900940050E-1,2.221819162E0,-1.587355733E0,1.267999172E1
2.920940050E-1,2.691082716E0,-2.090138197E0,1.238311005E1
2.940940050E-1,3.074155092E0,-2.530671120E0,1.200003815E1
2.960940050E-1,3.169923067E0,-2.703053713E0,1.181329060E1
2.980940050E-1,3.184288263E0,-2.920926094E0,1.147810268E1
3.000940050E-1,3.035847664E0,-3.043030262E0,1.116925049E1
3.020940450E-1,2.877830505E0,-3.126827478E0,1.092025280E1
3.040940830E-1,2.808398485E0,-3.186682463E0,1.080772591E1
3.060936010E-1,2.664746523E0,-3.277662039E0,1.055394077E1
3.080936360E-1,2.523488522E0,-3.373430252E0,1.024987698E1
3.100936700E-1,2.456450939E0,-3.399766445E0,1.009664822E1
3.120937030E-1,2.303221941E0,-3.567360640E0,9.579500198E0
3.140928690E-1,2.303221941E0,-3.567360640E0,9.579500198E0
3.160929020E-1,2.276885748E0,-3.634398222E0,9.471760750E0
3.180929020E-1,2.221819162E0,-3.780444384E0,9.277831078E0
3.200929020E-1,2.214636564E0,-3.945644379E0,9.138967514E0
3.220929020E-1,2.240972757E0,-4.175487995E0,9.210793495E0
3.240929020E-1,2.157175779E0,-4.295197964E0,9.526827812E0
3.260929020E-1,1.735796213E0,-4.450820923E0,1.075026512E1
3.280929020E-1,1.508347034E0,-4.151545525E0,1.217960358E1
3.300929020E-1,1.577778935E0,-3.849876404E0,1.263210773E1
