"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.536266750E-1,4.345476151E0,3.440467834E0,7.336133480E0
2.556266750E-1,4.343081951E0,3.485957623E0,7.312191486E0
2.576266750E-1,4.340687752E0,3.596091032E0,7.230788231E0
2.596266750E-1,4.369418144E0,3.734954596E0,7.091924667E0
2.616266750E-1,4.395754337E0,3.933673382E0,6.869264126E0
2.636264250E-1,4.374206543E0,4.077325344E0,6.711246490E0
2.656262250E-1,4.261679173E0,4.393360138E0,6.273107529E0
2.676260580E-1,3.904942989E0,4.496310711E0,4.989815712E0
2.696259150E-1,3.701435804E0,4.493916512E0,3.742137194E0
2.716257900E-1,3.306392431E0,4.417302132E0,1.244984865E0
2.736256780E-1,2.959233284E0,4.187458992E0,1.213860273E0
2.756255780E-1,2.870647907E0,4.070142746E0,1.927332401E0
2.776254870E-1,2.789244890E0,3.928884983E0,3.545812607E0
2.796254030E-1,2.717418909E0,3.794809580E0,4.876988888E0
2.816253260E-1,2.650381327E0,3.651157618E0,5.574000835E0
2.836252540E-1,2.439691544E0,3.591302633E0,5.648221016E0
2.856251870E-1,2.082955360E0,3.280056238E0,5.188534260E0
2.876234990E-1,2.082955360E0,3.280056238E0,5.188534260E0
2.896219100E-1,2.193088770E0,3.253720045E0,5.301061630E0
2.916204100E-1,2.193088770E0,3.253720045E0,5.301061630E0
2.936203570E-1,2.470816135E0,3.280056238E0,5.688922405E0
2.956203570E-1,2.580949545E0,3.311181068E0,5.887641430E0
2.976203570E-1,2.758120298E0,3.426102638E0,6.251559734E0
2.996203570E-1,2.813186884E0,3.579331636E0,6.591536522E0
3.016203570E-1,2.815581083E0,3.718195200E0,6.739976883E0
3.036203570E-1,2.789244890E0,3.778050184E0,7.022492886E0
3.056203570E-1,2.691082716E0,3.864241600E0,7.293037415E0
3.076203570E-1,2.621650934E0,3.909731388E0,7.582736015E0
3.096203190E-1,2.604891539E0,3.916913986E0,7.740753174E0
3.116202830E-1,2.588132143E0,3.914519787E0,8.052000046E0
3.136202480E-1,2.576161146E0,3.919308186E0,8.334515572E0
3.156202140E-1,2.576161146E0,3.916913986E0,8.485349655E0
3.176201800E-1,2.537853718E0,3.907337189E0,8.755894661E0
3.196201460E-1,2.504334927E0,3.890577793E0,9.024045944E0
3.216201120E-1,2.482787132E0,3.878606796E0,9.150938034E0
3.236201120E-1,2.466027737E0,3.801992416E0,9.387964249E0
3.256201450E-1,2.382230759E0,3.629609823E0,1.004158115E1
3.276193110E-1,2.382230759E0,3.629609823E0,1.004158115E1
3.296193440E-1,2.346317768E0,3.684676409E0,1.032409668E1
3.316193770E-1,2.185906172E0,3.629609823E0,1.063055515E1
3.336194100E-1,2.035071373E0,3.394978046E0,1.068801594E1
3.356194430E-1,1.963245392E0,3.260902643E0,1.069998646E1
3.376194760E-1,1.845929503E0,3.031059265E0,1.071914005E1
3.396195090E-1,1.764526606E0,2.904166698E0,1.072392845E1
3.416195090E-1,1.731007814E0,2.861071110E0,1.072392845E1
3.436195090E-1,1.608903527E0,2.837129116E0,1.071914005E1
3.456195090E-1,1.484405041E0,2.806004286E0,1.068801594E1
3.476203750E-1,1.371877551E0,2.777273893E0,1.065210247E1
3.496212410E-1,1.450886250E0,2.624045134E0,1.064970875E1
3.516221070E-1,2.564189911E0,1.280897856E0,1.055154610E1
3.536221070E-1,3.873818398E0,-3.256114423E-1,9.629778862E0
3.556220730E-1,3.921702385E0,-4.189853072E-1,8.722375870E0
3.576220390E-1,3.014299870E0,9.816226959E-1,7.180510044E0
3.596220050E-1,2.583343744E0,3.083731890E0,7.616254807E0
3.616219710E-1,2.755726099E0,4.005499363E0,8.368034363E0
3.636219370E-1,3.136404276E0,5.090372086E0,9.251494408E0
3.656219030E-1,2.087743998E0,4.695029736E0,7.994538784E0
3.676210030E-1,2.087743998E0,4.695029736E0,7.994538784E0
3.696201030E-1,2.087743998E0,4.695029736E0,7.994538784E0
3.716201030E-1,1.388636947E0,4.599261284E0,7.465420246E0
3.736201360E-1,6.009446383E-1,4.340687752E0,7.020098686E0
3.756201690E-1,1.963245422E-1,4.079719543E0,6.739976883E0
3.776202020E-1,-4.692635238E-1,3.366247654E0,6.167762756E0
3.796202350E-1,-6.799532771E-1,2.935291290E0,5.842151642E0
3.816202680E-1,-7.086837292E-1,2.755726099E0,5.681739807E0
3.836203010E-1,-6.799532771E-1,2.487575531E0,5.437531471E0
3.856203010E-1,-4.381389022E-1,2.516305923E0,5.562029839E0
3.876209340E-1,1.292868853E-1,2.865859509E0,6.134243965E0
3.896209000E-1,5.003881454E-1,3.119644880E0,6.637026310E0
3.916208660E-1,9.193734527E-1,3.452438831E0,7.017704487E0
3.936208320E-1,9.289502501E-1,3.529053211E0,6.390423775E0
3.956207980E-1,1.051054597E0,3.603273630E0,6.285078526E0
3.976207640E-1,1.556231141E0,3.976768970E0,6.694487095E0
3.996207300E-1,2.063801765E0,4.359841347E0,7.118260860E0
4.016207300E-1,2.207453966E0,4.493916512E0,7.132626057E0
4.036207630E-1,2.367865562E0,4.599261284E0,6.840533733E0
4.056207960E-1,2.896984100E0,4.343081951E0,5.990592003E0
4.076199620E-1,2.896984100E0,4.343081951E0,5.990592003E0
4.096191620E-1,2.896984100E0,4.343081951E0,5.990592003E0
4.116191950E-1,3.265691042E0,4.185064793E0,5.765536785E0
4.136192280E-1,3.849876404E0,4.106055737E0,5.736806393E0
4.156192610E-1,4.165910721E0,4.065354347E0,5.760748386E0
4.176192940E-1,4.833893299E0,4.022258759E0,5.899612427E0
4.196192940E-1,5.468656063E0,4.048594952E0,6.151003361E0
4.216192940E-1,5.720046997E0,4.082113743E0,6.301837921E0
4.236192940E-1,6.105513573E0,4.158728123E0,6.627449512E0
4.256192940E-1,6.273107529E0,4.247313976E0,6.965032101E0
4.276201600E-1,6.287472725E0,4.307168961E0,7.328950882E0
4.296210600E-1,6.139032364E0,4.333505154E0,7.510910034E0
4.316210600E-1,5.844545841E0,4.364629745E0,7.874828815E0
4.336210260E-1,5.351340294E0,4.343081951E0,8.188468933E0
4.356209920E-1,5.016151905E0,4.316745758E0,8.346486092E0
4.376209580E-1,4.213795185E0,4.283226967E0,8.652944565E0
4.396209240E-1,3.323152065E0,4.280832767E0,8.952219009E0
4.416208900E-1,2.875436306E0,4.314351559E0,9.112630844E0
4.436208560E-1,2.032677174E0,4.429273129E0,9.447818756E0
4.456208220E-1,2.609679997E-1,4.881777287E0,1.016129112E1
4.476201550E-1,2.609679997E-1,4.881777287E0,1.016129112E1
4.496192550E-1,2.609679997E-1,4.881777287E0,1.016129112E1
4.516192880E-1,-1.460463107E-1,4.956296921E0,1.039831734E1
4.536193210E-1,-1.675941199E-1,4.845864296E0,1.069998646E1
4.556193540E-1,-2.633621916E-2,4.687847137E0,1.088912868E1
4.576193870E-1,6.967126727E-1,4.113238335E0,1.133205605E1
4.596194200E-1,1.596932530E0,3.440467834E0,1.153795719E1
4.616194530E-1,1.991975784E0,3.155557871E0,1.150443840E1
4.636194530E-1,2.528276920E0,2.753331900E0,1.123149967E1
4.656194530E-1,2.585737944E0,2.650381327E0,1.067365074E1
4.676202860E-1,2.427720547E0,2.655169725E0,1.035043335E1
4.696210860E-1,1.922544003E0,2.722207308E0,9.792584419E0
4.716210520E-1,1.395819545E0,2.861071110E0,9.519645691E0
4.736210180E-1,1.165976286E0,2.877830505E0,9.574711800E0
4.756209840E-1,1.161187768E0,2.863465309E0,9.694421768E0
4.776209500E-1,1.316810966E0,2.794033289E0,9.914688110E0
4.796209500E-1,1.582567334E0,2.717418909E0,9.955389977E0
4.816209500E-1,1.675941229E0,2.700659513E0,9.924264908E0
4.836209500E-1,1.728613615E0,2.731784105E0,9.723152161E0
4.856209500E-1,2.073378563E0,2.856282711E0,9.244312286E0
4.876200830E-1,2.073378563E0,2.856282711E0,9.244312286E0
4.896192160E-1,2.224213362E0,2.870647907E0,9.232340813E0
4.916183160E-1,2.224213362E0,2.870647907E0,9.232340813E0
4.936183160E-1,2.557007313E0,2.877830505E0,9.282619476E0
4.956183160E-1,2.717418909E0,2.875436306E0,9.296984673E0
4.976183490E-1,2.987963676E0,2.877830505E0,9.306561470E0
4.996183820E-1,3.141192675E0,2.901772499E0,9.232340813E0
5.016184150E-1,3.165134668E0,2.925714493E0,9.174880028E0
5.036184480E-1,3.155557871E0,2.975992680E0,9.038411140E0
5.056184810E-1,3.069366693E0,2.980781078E0,8.923488617E0
5.076193810E-1,3.021482468E0,2.964021683E0,8.894758224E0
5.096203140E-1,2.959233284E0,2.901772499E0,8.844480515E0
5.116203140E-1,2.896984100E0,2.822763920E0,8.741529465E0
5.136202800E-1,2.772485495E0,2.820369720E0,8.648156166E0
5.156202460E-1,2.731784105E0,2.853888512E0,8.624214172E0
5.176202120E-1,2.789244890E0,2.817975283E0,8.650549889E0
5.196201780E-1,3.055001259E0,2.691082716E0,8.724770546E0
5.216201440E-1,3.141192675E0,2.667140722E0,8.731952667E0
5.236201100E-1,3.241749048E0,2.645592928E0,8.734347343E0
5.256200760E-1,3.150769472E0,2.636016130E0,8.710405350E0
5.276192090E-1,3.150769472E0,2.636016130E0,8.710405350E0
5.296192420E-1,3.050212860E0,2.621650934E0,8.688857079E0
5.316192750E-1,2.863465309E0,2.573766708E0,8.638579369E0
5.336193080E-1,2.767697096E0,2.533065319E0,8.593089104E0
5.356193410E-1,2.753331900E0,2.513911724E0,8.576330185E0
5.376193740E-1,2.743755102E0,2.454056740E0,8.559570312E0
5.396194070E-1,2.717418909E0,2.387019157E0,8.540416718E0
5.416194400E-1,2.726995707E0,2.293645144E0,8.511686325E0
5.436194730E-1,2.703053713E0,2.255337954E0,8.528446198E0
5.456194730E-1,2.834734917E0,2.181117773E0,8.540416718E0
5.476203390E-1,2.908955097E0,2.135627985E0,8.557176590E0
5.496212050E-1,2.990357876E0,2.157175779E0,8.566753387E0
5.516221050E-1,3.045424461E0,2.217030764E0,8.559570312E0
5.536221050E-1,3.105279684E0,2.245761156E0,8.554781914E0
5.556221050E-1,3.265691042E0,2.233790159E0,8.538022995E0
5.576220710E-1,3.447650433E0,2.193088770E0,8.461407661E0
5.596220370E-1,3.627215624E0,2.082955360E0,8.296208382E0
5.616220030E-1,3.742137194E0,1.941697598E0,8.068758965E0
5.636219690E-1,3.828328609E0,1.687912226E0,7.539640427E0
5.656219350E-1,3.193865061E0,1.422155857E0,6.172551155E0
5.676210350E-1,3.193865061E0,1.422155857E0,6.172551155E0
5.696201350E-1,3.014299870E0,1.383848548E0,5.880458832E0
