"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.225548600E-2,-8.481100202E-1,4.596760869E-2,5.877287388E-1
1.426148600E-2,-8.481100202E-1,4.596760869E-2,5.877287388E-1
1.626148600E-2,-8.481100202E-1,4.596760869E-2,5.877287388E-1
1.826148600E-2,-8.481100202E-1,4.596760869E-2,5.877287388E-1
2.026148600E-2,-1.160873055E0,2.377792895E-1,8.076401949E-1
2.226148600E-2,-1.189583659E0,2.597704530E-1,8.326857090E-1
2.426148600E-2,-1.199968457E0,2.689334154E-1,8.412377834E-1
2.626148600E-2,-1.219516158E0,2.860376537E-1,8.546768427E-1
2.826148600E-2,-1.229289889E0,3.055853248E-1,8.613963723E-1
3.026148600E-2,-1.234787703E0,3.153591752E-1,8.589528799E-1
3.226148600E-2,-1.240285516E0,3.330742717E-1,8.540659547E-1
3.426148600E-2,-1.240896344E0,3.465133011E-1,8.442921042E-1
3.626148600E-2,-1.238452911E0,3.623957932E-1,8.320748210E-1
3.826148600E-2,-1.234787703E0,3.746131063E-1,8.247444630E-1
4.026148600E-2,-1.231122494E0,4.039346576E-1,8.064184785E-1
4.225970000E-2,-1.228068233E0,4.393648207E-1,7.715991735E-1
4.425810000E-2,-1.228068233E0,4.393648207E-1,7.715991735E-1
4.625816200E-2,-1.225013852E0,4.521929920E-1,7.483862638E-1
4.825822000E-2,-1.214018345E0,4.619668424E-1,7.190647721E-1
5.025827500E-2,-1.209742308E0,4.674646258E-1,7.056257129E-1
5.225832700E-2,-1.205466151E0,4.723515511E-1,6.775259376E-1
5.425837700E-2,-1.202411890E0,4.686863720E-1,6.530913115E-1
5.625842400E-2,-1.200579286E0,4.644103050E-1,6.225480437E-1
5.825842400E-2,-1.204855323E0,4.595233798E-1,6.084981561E-1
6.025842400E-2,-1.213407397E0,4.546364546E-1,5.779548883E-1
6.225842400E-2,-1.219516158E0,4.515821338E-1,5.443572998E-1
6.425842400E-2,-1.220126987E0,4.558582008E-1,5.266422033E-1
6.625842400E-2,-1.221348643E0,4.613559842E-1,4.936554730E-1
6.825842400E-2,-1.216461778E0,4.717406929E-1,4.643339515E-1
7.025842400E-2,-1.215240002E0,4.778493345E-1,4.521166384E-1
7.225842400E-2,-1.203633666E0,4.894557893E-1,4.264602959E-1
7.425842400E-2,-1.185918570E0,4.973970354E-1,4.044691622E-1
7.625842400E-2,-1.163316488E0,5.083925724E-1,3.855323195E-1
7.825842400E-2,-1.143768787E0,5.138903856E-1,3.739258945E-1
8.025842400E-2,-1.106505990E0,5.279402733E-1,3.568216562E-1
8.225755700E-2,-1.038699985E0,5.371032953E-1,3.378848433E-1
8.425665700E-2,-1.038699985E0,5.371032953E-1,3.378848433E-1
8.625665700E-2,-9.806677699E-1,5.468770862E-1,3.226132095E-1
8.825669000E-2,-9.220247269E-1,5.468770862E-1,3.134502172E-1
9.025672300E-2,-8.927031755E-1,5.474879742E-1,3.097850382E-1
9.225675600E-2,-8.340601325E-1,5.426010489E-1,2.994003296E-1
9.425678900E-2,-7.803040147E-1,5.316054821E-1,2.890156209E-1
9.625682200E-2,-7.540367842E-1,5.279402733E-1,2.835178375E-1
9.825685500E-2,-7.070001364E-1,5.138903856E-1,2.731331289E-1
1.002568880E-1,-6.642395854E-1,5.022839308E-1,2.621375620E-1
1.022577540E-1,-6.288093925E-1,4.931209683E-1,2.480876446E-1
1.042585540E-1,-6.123160720E-1,4.906775057E-1,2.377029359E-1
1.062585200E-1,-5.866597295E-1,4.864014387E-1,2.187661231E-1
1.082584860E-1,-5.652794242E-1,4.845688641E-1,1.979966909E-1
1.102584520E-1,-5.536729693E-1,4.845688641E-1,1.851685345E-1
1.122584180E-1,-5.353470445E-1,4.955644310E-1,1.595121920E-1
1.142583840E-1,-5.194645524E-1,5.334380865E-1,1.362993121E-1
1.162583500E-1,-5.121341348E-1,5.566509366E-1,1.228602752E-1
1.182583500E-1,-4.968625307E-1,6.177374721E-1,1.027017161E-1
1.202583830E-1,-4.828126132E-1,6.800457239E-1,7.826711237E-2
1.222575490E-1,-4.479933083E-1,7.637342811E-1,2.573269792E-2
1.242567150E-1,-4.479933083E-1,7.637342811E-1,2.573269792E-2
1.262567480E-1,-4.400520623E-1,7.716755271E-1,1.229366288E-2
