"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.551286000E-3,4.680754989E-2,1.907426715E-1,9.780716300E-1
9.551286000E-3,4.680754989E-2,1.907426715E-1,9.780716300E-1
1.155128600E-2,4.680754989E-2,1.907426715E-1,9.780716300E-1
1.355128600E-2,4.680754989E-2,1.907426715E-1,9.780716300E-1
1.555128600E-2,-1.492801905E-1,3.361285925E-1,1.053207994E0
1.755153600E-2,-1.706604809E-1,3.544545472E-1,1.060538411E0
1.955173600E-2,-1.859321147E-1,3.672827184E-1,1.061760187E0
2.155190200E-2,-1.914298981E-1,3.746131063E-1,1.063592792E0
2.355204400E-2,-2.005928755E-1,3.880521357E-1,1.062981844E0
2.555216900E-2,-2.012037337E-1,3.972151279E-1,1.060538411E0
2.754939100E-2,-2.030363381E-1,4.033237696E-1,1.049542904E0
2.954679100E-2,-2.030363381E-1,4.033237696E-1,1.049542904E0
3.154688100E-2,-1.987602860E-1,4.002694488E-1,1.043434143E0
3.354688100E-2,-1.957059503E-1,4.008803070E-1,1.039158106E0
3.554688100E-2,-1.926516294E-1,3.990477324E-1,1.026329994E0
3.754688100E-2,-1.889864355E-1,3.917173445E-1,1.016556144E0
3.954688100E-2,-1.834886521E-1,3.843869567E-1,1.003727913E0
4.154688100E-2,-1.847103834E-1,3.770565689E-1,9.982301593E-1
4.354688100E-2,-1.847103834E-1,3.581197560E-1,9.860128760E-1
4.554688100E-2,-1.865429729E-1,3.397938013E-1,9.701303840E-1
4.754688100E-2,-1.853212416E-1,3.281873465E-1,9.615782499E-1
4.954688100E-2,-1.889864355E-1,3.086396754E-1,9.487500787E-1
5.154688100E-2,-1.944842190E-1,2.866485119E-1,9.316458702E-1
5.354688100E-2,-1.957059503E-1,2.762638032E-1,9.249263406E-1
5.554688100E-2,-1.987602860E-1,2.432770878E-1,9.157633781E-1
5.754688100E-2,-2.048689276E-1,2.054034323E-1,9.120981693E-1
5.954688100E-2,-2.109775841E-1,1.815796942E-1,9.047678113E-1
6.154688100E-2,-2.140319049E-1,1.724167168E-1,9.023243189E-1
6.354691800E-2,-2.176970989E-1,1.644754708E-1,8.974373937E-1
6.554695300E-2,-2.152536362E-1,1.687515229E-1,8.925504684E-1
6.754609000E-2,-2.030363381E-1,2.066251636E-1,8.815549016E-1
6.954525600E-2,-2.030363381E-1,2.066251636E-1,8.815549016E-1
7.154532200E-2,-2.005928755E-1,2.200642079E-1,8.821657896E-1
7.354535500E-2,-1.938733608E-1,2.365575731E-1,8.791114688E-1
7.554538800E-2,-1.853212416E-1,2.774855494E-1,8.766679764E-1
7.754538800E-2,-1.767691374E-1,3.123048544E-1,8.766679764E-1
7.954535400E-2,-1.718822122E-1,3.336851299E-1,8.772788644E-1
8.154532000E-2,-1.596648991E-1,3.709479272E-1,8.742245436E-1
8.354528600E-2,-1.505019218E-1,4.051563740E-1,8.772788644E-1
8.554525200E-2,-1.443932652E-1,4.283692539E-1,8.803331852E-1
8.754608500E-2,-1.376737505E-1,4.344778955E-1,8.821657896E-1
8.954695100E-2,-1.315651089E-1,4.448626041E-1,8.907178640E-1
9.154691700E-2,-1.242347211E-1,4.497495294E-1,8.986591101E-1
9.354691700E-2,-1.217912585E-1,4.528038502E-1,9.017134309E-1
9.554695000E-2,-1.150717437E-1,4.552473128E-1,9.127090573E-1
9.754698300E-2,-1.114065498E-1,4.589125216E-1,9.298132658E-1
9.954701600E-2,-1.071304902E-1,4.564690590E-1,9.365327954E-1
1.015470490E-1,-1.022435725E-1,4.576907754E-1,9.560804963E-1
1.035470820E-1,-1.028544381E-1,4.625777006E-1,9.792933464E-1
1.055471150E-1,-1.040761694E-1,4.705189466E-1,1.001895308E0
1.075462810E-1,-1.052978933E-1,4.760167301E-1,1.014112711E0
1.095463140E-1,-1.114065498E-1,4.864014387E-1,1.039769053E0
1.115463140E-1,-1.242347211E-1,5.022839308E-1,1.061760187E0
1.135463140E-1,-1.315651089E-1,5.175555944E-1,1.072144866E0
1.155463140E-1,-1.474476010E-1,5.383250117E-1,1.092303395E0
1.175463140E-1,-1.633300930E-1,5.584835410E-1,1.112461925E0
1.195463140E-1,-1.718822122E-1,5.713117123E-1,1.119792342E0
1.215463140E-1,-1.932624876E-1,5.926920176E-1,1.133842230E0
1.235462800E-1,-2.146427780E-1,6.152940392E-1,1.147281289E0
1.255462460E-1,-2.372447848E-1,6.372851729E-1,1.153389931E0
1.275470790E-1,-2.488512248E-1,6.495024562E-1,1.155222535E0
1.295479120E-1,-2.738966942E-1,6.696610451E-1,1.156444311E0
1.315478450E-1,-3.013856411E-1,6.934847832E-1,1.154611707E0
1.335478110E-1,-3.154355288E-1,7.050912380E-1,1.150946498E0
1.355477770E-1,-3.417027593E-1,7.221954465E-1,1.145448685E0
1.375477430E-1,-3.704134226E-1,7.454082966E-1,1.136285663E0
1.395477430E-1,-3.862959146E-1,7.502952218E-1,1.132009625E0
1.415477760E-1,-4.180608988E-1,7.728972435E-1,1.121014118E0
1.435478090E-1,-4.486041665E-1,7.863363028E-1,1.105131626E0
1.455478420E-1,-4.822017550E-1,8.003861904E-1,1.089859962E0
1.475470080E-1,-5.310709476E-1,8.266534209E-1,1.068479657E0
1.495462080E-1,-5.310709476E-1,8.266534209E-1,1.068479657E0
1.515462410E-1,-5.603924990E-1,8.358163834E-1,1.052597165E0
