"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.583173080E-1,2.159569979E0,1.807622313E0,1.031451988E1
2.603443080E-1,2.149993181E0,1.848323703E0,1.025227070E1
2.623443080E-1,2.142810583E0,1.903390408E0,1.013495541E1
2.643443080E-1,2.111685991E0,1.934514999E0,9.998485565E0
2.663443080E-1,2.073378563E0,1.939303398E0,9.917082787E0
2.683443080E-1,2.032677174E0,1.896207690E0,9.739912033E0
2.703443080E-1,2.037465572E0,1.800439715E0,9.431059837E0
2.723441410E-1,2.116474390E0,1.671152830E0,9.038411140E0
2.743439980E-1,2.202665567E0,1.625662923E0,8.834903717E0
2.763438730E-1,2.403778553E0,1.525106430E0,8.439860344E0
2.783437610E-1,2.590526342E0,1.414973259E0,8.087912560E0
2.803436610E-1,2.683900118E0,1.345541358E0,7.910741806E0
2.823435700E-1,2.841917515E0,1.187524080E0,7.625831604E0
2.843434860E-1,2.990357876E0,9.457096457E-1,7.460631847E0
2.863434090E-1,3.071760893E0,7.972691655E-1,7.422324657E0
2.883434090E-1,3.258508444E0,4.620809257E-1,7.439084053E0
2.903434090E-1,4.498704910E0,-1.189918280E0,7.652167797E0
2.923417840E-1,4.695029736E0,-1.326387763E0,7.577947617E0
2.943402540E-1,4.695029736E0,-1.326387763E0,7.577947617E0
2.963388090E-1,4.695029736E0,-1.326387763E0,7.577947617E0
2.983373870E-1,4.695029736E0,-1.326387763E0,7.577947617E0
3.003373870E-1,4.867412090E0,-1.441309452E0,7.537246227E0
3.023373870E-1,5.030517101E0,-1.611297727E0,7.609072208E0
3.043373410E-1,5.052064896E0,-1.833958507E0,7.805397034E0
3.063372970E-1,5.076006889E0,-1.946485996E0,7.896376610E0
3.083372550E-1,5.195716858E0,-2.193088770E0,7.999327183E0
3.103372150E-1,5.363311291E0,-2.477998734E0,7.965808392E0
3.123371760E-1,5.605125427E0,-2.729389906E0,7.817368031E0
3.143371380E-1,5.751171589E0,-2.820369720E0,7.735964775E0
3.163371020E-1,5.870882034E0,-2.789244890E0,7.611466408E0
3.183370670E-1,5.516540051E0,-2.391807556E0,7.393594265E0
3.203370330E-1,5.193322659E0,-2.073378563E0,7.228394032E0
3.223369990E-1,4.532223701E0,-1.309628367E0,6.821380138E0
3.243369650E-1,3.926490784E0,-4.381389022E-1,6.455067158E0
3.263369310E-1,3.653551817E0,2.394201700E-3,6.294655323E0
3.283368970E-1,3.129221678E0,8.331822157E-1,6.014533997E0
3.303368630E-1,1.805228114E0,2.904166698E0,4.944325924E0
3.323361630E-1,1.874659896E0,2.841917515E0,4.824316502E0
3.343352960E-1,1.874659896E0,2.841917515E0,4.824316502E0
3.363344620E-1,1.874659896E0,2.841917515E0,4.824316502E0
3.383336280E-1,1.874659896E0,2.841917515E0,4.824316502E0
3.403331610E-1,1.994369984E0,2.715024710E0,4.714183331E0
3.423331940E-1,2.063801765E0,2.602497339E0,4.616020679E0
3.443332270E-1,2.001552582E0,2.439691544E0,4.434061527E0
3.463332600E-1,1.948880196E0,2.370259762E0,4.350264549E0
3.483332600E-1,1.872265697E0,2.276885748E0,4.199429989E0
