"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.326352000E-3,-1.025490016E-1,-3.483459055E-1,7.292203605E-2
1.130035200E-2,-1.025490016E-1,-3.483459055E-1,7.292203605E-2
1.330035200E-2,-1.025490016E-1,-3.483459055E-1,7.292203605E-2
1.531335200E-2,-1.025490016E-1,-3.483459055E-1,7.292203605E-2
1.732201800E-2,-2.241111845E-1,-3.184134960E-1,7.353290170E-2
1.932851800E-2,-2.259437889E-1,-3.275764883E-1,7.536549866E-2
2.133391800E-2,-2.289981097E-1,-3.416263759E-1,7.903069258E-2
2.333841800E-2,-2.332741618E-1,-3.642283976E-1,8.575020730E-2
2.534227500E-2,-2.387719452E-1,-3.862195611E-1,9.308059514E-2
2.734565000E-2,-2.393828183E-1,-4.033237696E-1,9.857837856E-2
2.934865000E-2,-2.436588705E-1,-4.314235747E-1,1.071304902E-1
3.135135000E-2,-2.448806018E-1,-4.601342380E-1,1.211803928E-1
3.335380400E-2,-2.479349375E-1,-4.735732675E-1,1.266781837E-1
3.535605400E-2,-2.461023331E-1,-5.016731024E-1,1.407280862E-1
3.735805400E-2,-2.454914749E-1,-5.303837657E-1,1.517236531E-1
3.935991100E-2,-2.436588705E-1,-5.438227654E-1,1.590540409E-1
4.136164400E-2,-2.406045496E-1,-5.749769211E-1,1.718822122E-1
4.336326900E-2,-2.369393557E-1,-6.006332636E-1,1.840995103E-1
4.536479800E-2,-2.332741618E-1,-6.299547553E-1,1.944842190E-1
4.736624200E-2,-2.302198410E-1,-6.440047026E-1,1.975385547E-1
4.936761000E-2,-2.259437889E-1,-6.721044779E-1,2.085341215E-1
5.136761000E-2,-2.161699384E-1,-7.533495426E-1,2.299144119E-1
5.336765700E-2,-2.161699384E-1,-7.533495426E-1,2.299144119E-1
5.536770200E-2,-2.137264758E-1,-7.698429227E-1,2.299144119E-1
5.736778800E-2,-2.137264758E-1,-7.698429227E-1,2.299144119E-1
5.936891300E-2,-2.137264758E-1,-7.857254148E-1,2.329687327E-1
6.136999300E-2,-2.112830132E-1,-8.174903989E-1,2.341904640E-1
6.337103100E-2,-2.100612819E-1,-8.516988754E-1,2.384665161E-1
6.537203100E-2,-2.125047445E-1,-8.657487631E-1,2.390773892E-1
6.737299500E-2,-2.125047445E-1,-8.932377100E-1,2.433534414E-1
6.937389100E-2,-2.106721550E-1,-9.207266569E-1,2.427425832E-1
7.137475700E-2,-2.094504237E-1,-9.518807530E-1,2.402991205E-1
7.337562300E-2,-2.118938863E-1,-9.702067375E-1,2.329687327E-1
7.537562300E-2,-2.143373489E-1,-1.003193498E0,2.231948823E-1
7.737562300E-2,-2.180025280E-1,-1.047786593E0,2.146427780E-1
7.937562300E-2,-2.241111845E-1,-1.070388675E0,2.115884423E-1
8.137558900E-2,-2.314415723E-1,-1.111927509E0,2.152536362E-1
8.337555500E-2,-2.363284975E-1,-1.147357702E0,2.268600762E-1
8.537552100E-2,-2.406045496E-1,-1.160185814E0,2.360230535E-1
8.737548700E-2,-2.485457957E-1,-1.184009552E0,2.574033439E-1
8.937545300E-2,-2.570978999E-1,-1.205389857E0,2.787836194E-1
9.137455300E-2,-3.169626892E-1,-1.201724648E0,3.184898794E-1
9.337365300E-2,-3.169626892E-1,-1.201724648E0,3.184898794E-1
9.537275300E-2,-3.169626892E-1,-1.201724648E0,3.184898794E-1
9.737188600E-2,-3.169626892E-1,-1.201724648E0,3.184898794E-1
9.937101900E-2,-3.328452110E-1,-1.166905284E0,3.184898794E-1
1.013710520E-1,-3.548363447E-1,-1.129642606E0,3.191007376E-1
