"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.435416777E-4,1.806742859E-1,2.742447052E0,8.332272949E0
1.050254167E-2,4.583468628E-1,3.158282318E0,8.416098633E0
2.056054166E-2,7.376660156E-1,3.113675079E0,8.825796661E0
3.061954171E-2,8.674461365E-1,3.176095276E0,8.970994720E0
4.067854170E-2,6.378236389E-1,3.632047119E0,8.490344238E0
5.073654169E-2,8.602610779E-1,3.726351013E0,8.276139679E0
6.079554168E-2,8.575666809E-1,3.683090973E0,8.383915558E0
7.085454167E-2,4.680766296E-1,3.631747742E0,8.721463623E0
8.091254166E-2,1.522334290E-1,3.353326721E0,9.294322357E0
9.097154171E-2,-3.263214111E-2,3.206482086E0,9.611363068E0
1.010305417E-1,5.179229736E-2,3.296594696E0,9.764644318E0
1.110885417E-1,3.150947571E-1,3.507206726E0,9.387578430E0
1.211475417E-1,6.361770630E-1,3.723057861E0,8.415200500E0
1.312065417E-1,1.037642212E0,3.576362915E0,7.075187073E0
1.412645417E-1,1.360371094E0,3.265459442E0,6.173911285E0
1.513235417E-1,1.375190277E0,2.877615967E0,6.025569763E0
1.613825417E-1,1.242865448E0,2.575394440E0,6.703659668E0
1.714405417E-1,7.903564453E-1,2.536625061E0,7.129673767E0
1.814995417E-1,4.269122314E-1,2.371967468E0,7.244634705E0
1.915585417E-1,6.400689697E-1,2.218386841E0,7.109615479E0
2.016165417E-1,1.412612457E0,2.339035950E0,7.058571625E0
2.116755417E-1,1.735940094E0,2.200274506E0,7.252717896E0
2.217335417E-1,1.467997284E0,1.687590637E0,7.996072083E0
2.317925417E-1,1.111289062E0,1.141825562E0,9.286388855E0
2.418515417E-1,9.889933777E-1,1.105002136E0,9.292077026E0
2.519095417E-1,8.912466431E-1,1.263672180E0,9.049730988E0
2.619685417E-1,9.190887451E-1,1.218316498E0,1.053718781E1
2.720275417E-1,1.797013092E0,2.016905823E0,1.043240570E1
2.820855417E-1,1.234033813E0,1.843715973E0,1.049946625E1
2.921445417E-1,3.788621521E-1,9.000782776E-1,9.870324554E0
3.022035417E-1,-4.460723877E-2,4.640350342E-2,9.268575897E0
3.122615417E-1,-4.879852295E-2,-3.674858093E-1,9.229357452E0
3.223205417E-1,-1.001417542E-1,-3.354524231E-1,9.737101593E0
