"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.517067300E-2,-7.734279037E-1,-8.155313134E-1,-1.398011595E-1
2.773848600E-2,-8.113015294E-1,-8.228617311E-1,-1.459098011E-1
3.029687100E-2,-8.430664539E-1,-8.253051639E-1,-1.495749950E-1
3.286327700E-2,-8.723879457E-1,-8.179748058E-1,-1.581270993E-1
3.543051700E-2,-8.980442882E-1,-8.057575226E-1,-1.679009348E-1
3.799994400E-2,-9.163702130E-1,-7.862098217E-1,-1.825616807E-1
4.056536100E-2,-9.334744215E-1,-7.629969716E-1,-2.008876354E-1
4.313452700E-2,-9.444699883E-1,-7.385623455E-1,-2.216570228E-1
4.570166300E-2,-9.518004060E-1,-7.116843462E-1,-2.448698878E-1
4.826864200E-2,-9.579090476E-1,-6.823627949E-1,-2.741914093E-1
5.083775700E-2,-9.591307640E-1,-6.542630196E-1,-3.047346473E-1
5.338171500E-2,-9.591307640E-1,-6.237198114E-1,-3.377213478E-1
5.597280900E-2,-9.530221224E-1,-5.968417525E-1,-3.731514812E-1
5.853931900E-2,-9.493569136E-1,-5.699636936E-1,-4.122468233E-1
6.110661100E-2,-9.444699883E-1,-5.491943359E-1,-4.562290907E-1
6.368598600E-2,-9.359179139E-1,-5.308683515E-1,-5.002113581E-1
6.624265200E-2,-9.285874963E-1,-5.198727846E-1,-5.454153419E-1
6.880937100E-2,-9.175919890E-1,-5.113207102E-1,-5.906193256E-1
7.137817300E-2,-9.102615714E-1,-5.064337850E-1,-6.358233094E-1
7.394515200E-2,-9.004877210E-1,-5.015468597E-1,-6.798055768E-1
7.651343400E-2,-8.907139301E-1,-4.929947853E-1,-7.189009190E-1
7.908129800E-2,-8.821617961E-1,-4.819992185E-1,-7.543310523E-1
8.164728800E-2,-8.736097217E-1,-4.673384726E-1,-7.860960364E-1
8.421713200E-2,-8.650575876E-1,-4.490125179E-1,-8.141958117E-1
8.678218400E-2,-8.601706624E-1,-4.306865931E-1,-8.349651694E-1
8.934958000E-2,-8.577272296E-1,-4.074737132E-1,-8.508476615E-1
9.191947500E-2,-8.552837372E-1,-3.818174005E-1,-8.606215119E-1
9.448447500E-2,-8.565055132E-1,-3.488306999E-1,-8.618432283E-1
9.705385000E-2,-8.613923788E-1,-3.121788204E-1,-8.569563031E-1
9.962208000E-2,-8.675010800E-1,-2.755269408E-1,-8.484042287E-1
1.021887460E-1,-8.772748709E-1,-2.327664047E-1,-8.325217366E-1
1.047555690E-1,-8.894922137E-1,-1.863406748E-1,-8.093088865E-1
1.073231210E-1,-9.029312134E-1,-1.411366910E-1,-7.812091112E-1
1.098927050E-1,-9.188137054E-1,-9.226752073E-2,-7.518876195E-1
1.124350480E-1,-9.395830631E-1,-4.217661172E-2,-7.176791430E-1
1.150277570E-1,-9.603524804E-1,7.914294489E-3,-6.810272932E-1
1.175710380E-1,-9.860088229E-1,5.556174368E-2,-6.407102346E-1
1.200871840E-1,-1.010443449E0,1.068743765E-1,-5.991714001E-1
1.226072880E-1,-1.037321448E0,1.557435691E-1,-5.576326251E-1
1.250998920E-1,-1.062977791E0,2.046127468E-1,-5.136503577E-1
1.276177570E-1,-1.089855909E0,2.498167306E-1,-4.708898365E-1
1.301343190E-1,-1.116733909E0,2.913555205E-1,-4.342379570E-1
1.326514550E-1,-1.144833684E0,3.280074000E-1,-3.939208984E-1
1.351693190E-1,-1.168046594E0,3.585506380E-1,-3.584907353E-1
1.376857250E-1,-1.191259384E0,3.842069507E-1,-3.242823184E-1
1.402031210E-1,-1.209585309E0,4.025329053E-1,-2.937390804E-1
1.427219230E-1,-1.226689577E0,4.110850096E-1,-2.644175589E-1
1.452387980E-1,-1.242572069E0,4.098632634E-1,-2.399829775E-1
1.477554650E-1,-1.258454561E0,3.988676965E-1,-2.241004854E-1
1.502731210E-1,-1.273115277E0,3.829852343E-1,-2.118831873E-1
1.527896320E-1,-1.288997769E0,3.585506380E-1,-2.069962770E-1
1.553080690E-1,-1.301215053E0,3.316725791E-1,-2.094397396E-1
1.578252050E-1,-1.317097545E0,3.023510873E-1,-2.131049186E-1
1.603416630E-1,-1.329314828E0,2.730295658E-1,-2.192135751E-1
1.628594750E-1,-1.339088678E0,2.437080890E-1,-2.277656794E-1
1.654026520E-1,-1.345197320E0,2.143865824E-1,-2.363177836E-1
1.678934860E-1,-1.351305962E0,1.862867922E-1,-2.424264252E-1
1.704106730E-1,-1.357414603E0,1.569653004E-1,-2.509785593E-1
1.729286420E-1,-1.361079812E0,1.239785925E-1,-2.570872009E-1
1.754458820E-1,-1.363523245E0,8.488325030E-2,-2.644175589E-1
1.779625480E-1,-1.364745021E0,3.845752776E-2,-2.729696929E-1
1.804797880E-1,-1.364745021E0,-1.529856492E-2,-2.803000510E-1
1.829976000E-1,-1.361079812E0,-7.271984965E-2,-2.876304388E-1
1.855144750E-1,-1.358636379E0,-1.325845867E-1,-2.974042594E-1
1.880317150E-1,-1.357414603E0,-1.924493313E-1,-3.071781099E-1
1.905493190E-1,-1.354971170E0,-2.535358071E-1,-3.157302141E-1
1.930661420E-1,-1.348862529E0,-3.134005666E-1,-3.230606019E-1
1.955838500E-1,-1.342753887E0,-3.732652962E-1,-3.291692436E-1
1.981006210E-1,-1.335423470E0,-4.380169511E-1,-3.364996016E-1
2.006181210E-1,-1.321984410E0,-5.076555014E-1,-3.426082432E-1
2.031359860E-1,-1.312210679E0,-5.895113945E-1,-3.511603773E-1
2.056534340E-1,-1.303658485E0,-6.994670033E-1,-3.670428395E-1
2.081697880E-1,-1.292662978E0,-8.265268803E-1,-3.817035854E-1
2.106876000E-1,-1.271893501E0,-9.548084736E-1,-3.963643610E-1
2.132044230E-1,-1.243793726E0,-1.067207575E0,-4.085816443E-1
2.157215070E-1,-1.213250518E0,-1.161280751E0,-4.232423902E-1
2.182393190E-1,-1.177820444E0,-1.237028003E0,-4.440118074E-1
2.207561420E-1,-1.139946818E0,-1.298114419E0,-4.696681201E-1
2.232739020E-1,-1.099629760E0,-1.344540119E0,-4.977678955E-1
2.258162460E-1,-1.056869149E0,-1.383635521E0,-5.283110738E-1
2.283080170E-1,-1.011665225E0,-1.411735296E0,-5.588543415E-1
2.308259860E-1,-9.676828980E-1,-1.426396012E0,-5.881758332E-1
2.333423920E-1,-9.224788547E-1,-1.423952579E0,-6.199408174E-1
2.358595800E-1,-8.760531545E-1,-1.409291863E0,-6.529275179E-1
2.383770800E-1,-8.345143795E-1,-1.389744163E0,-6.834707260E-1
2.408941630E-1,-7.941972613E-1,-1.355535746E0,-7.140139937E-1
2.434120800E-1,-7.575454116E-1,-1.312775254E0,-7.433354855E-1
2.459290590E-1,-7.245587111E-1,-1.255353928E0,-7.677700520E-1
2.484469230E-1,-6.940154433E-1,-1.185715318E0,-7.885394692E-1
2.509640590E-1,-6.708025932E-1,-1.106302977E0,-8.068653941E-1
2.534807770E-1,-6.500332355E-1,-1.020781875E0,-8.227478862E-1
2.559983820E-1,-6.365941763E-1,-9.254869819E-1,-8.325217366E-1
2.585158300E-1,-6.280421019E-1,-8.277485967E-1,-8.386303782E-1
2.610323920E-1,-6.231551766E-1,-7.287885547E-1,-8.386303782E-1
2.635504650E-1,-6.207116842E-1,-6.249415278E-1,-8.386303782E-1
2.660929650E-1,-6.207116842E-1,-5.174293518E-1,-8.325217366E-1
2.685845270E-1,-6.207116842E-1,-4.086954594E-1,-8.227478862E-1
2.711020800E-1,-6.194899678E-1,-2.975180745E-1,-8.105306029E-1
