"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.558708376E-3,-6.718029785E-1,2.479294281E0,9.695338440E0
8.501291624E-3,-5.864804077E-1,2.653531952E0,9.996212769E0
1.856229163E-2,-4.875361633E-1,2.800675964E0,1.014530273E1
2.862229163E-2,-3.103047180E-1,2.973865814E0,1.002016296E1
3.868229163E-2,-4.282594299E-1,3.273392944E0,9.404642944E0
4.874329164E-2,-4.544549561E-1,3.516188049E0,8.975485382E0
5.880329164E-2,-3.147953796E-1,3.653751984E0,8.746461639E0
6.886329164E-2,-4.007167053E-1,3.542233887E0,8.535101166E0
7.892429165E-2,-6.686595154E-1,3.128943329E0,8.504714355E0
8.898429165E-2,-9.211843872E-1,2.740501099E0,8.543184357E0
9.904429165E-2,-1.021176453E0,2.500250702E0,8.591982880E0
1.091052917E-1,-9.166937256E-1,2.425855408E0,8.771759033E0
1.191652917E-1,-8.184979248E-1,2.508184204E0,8.827592926E0
1.292262917E-1,-7.756869507E-1,2.749183044E0,8.746910706E0
1.392862916E-1,-4.790039062E-1,2.916535034E0,8.783285065E0
1.493462916E-1,-2.703378296E-1,2.925516357E0,8.779692535E0
1.594072916E-1,-2.011816406E-1,2.953508148E0,8.653954010E0
1.694672916E-1,-1.981878662E-1,3.027753754E0,8.467890930E0
1.795272916E-1,-6.182144165E-2,2.963537292E0,8.471184082E0
1.895882916E-1,7.858657837E-2,2.934647369E0,8.263116760E0
1.996482916E-1,1.968406677E-1,3.018922119E0,7.702083435E0
2.097082916E-1,6.861730957E-1,3.036286011E0,6.843618622E0
2.197692916E-1,1.269659729E0,2.756517792E0,6.559509430E0
2.298291667E-1,1.123114471E0,2.223326569E0,6.716532898E0
2.398891667E-1,3.697311401E-1,1.651815033E0,8.115673370E0
2.499501666E-1,-4.364923096E-1,1.271755371E0,1.039154068E1
2.600101666E-1,-9.050180054E-1,4.349954224E-1,1.198018707E1
2.700701666E-1,-1.463506622E0,-3.008743286E-1,1.193093948E1
2.801311666E-1,-1.722318420E0,-4.346960449E-1,1.144175674E1
2.901911666E-1,-1.695973206E0,-1.133143616E-1,1.022314087E1
3.002511666E-1,-2.051334229E0,4.348457336E-1,9.469757538E0
3.103121666E-1,-1.615889740E0,1.461860046E0,7.854316864E0
3.203721666E-1,-1.769919434E0,1.988015900E0,8.503816223E0
3.304321666E-1,-1.060544586E0,2.138602753E0,7.274871826E0
3.404931666E-1,-5.439688110E-1,2.362237701E0,7.180867310E0
3.505531666E-1,-3.900888062E-1,2.254910889E0,9.043294373E0
3.606131666E-1,-3.938310242E-1,1.856140137E0,1.222552689E1
3.706741667E-1,-1.767823792E-1,1.226250000E0,1.431742676E1
3.807341667E-1,-1.951940918E-1,1.073717194E0,1.043719574E1
3.907941667E-1,-4.613406372E-1,1.750310211E0,8.523724823E0
4.008551667E-1,-3.263214111E-1,2.478396149E0,1.058344162E1
4.109151667E-1,3.402424622E-1,3.401526489E0,1.382450180E1
4.209761666E-1,4.763095093E-1,2.622097321E0,1.834076019E1
4.310361666E-1,-7.110214233E-1,1.392105103E0,1.228345642E1
4.410961666E-1,-8.843609619E-1,1.234782257E0,9.445208588E0
4.511571666E-1,-2.429447937E-1,3.282673645E-1,1.144325363E1
4.612171666E-1,-2.363584900E-1,-1.945953369E-2,1.134865036E1
4.712771666E-1,-1.063089294E0,9.241781616E-1,9.513167267E0
4.813381666E-1,-1.124461670E0,2.114652557E0,7.260950775E0
4.913981666E-1,-8.625064087E-1,1.576970673E0,6.319558411E0
5.014581666E-1,-3.037184143E-1,1.160237274E0,6.176006927E0
5.115191666E-1,1.204994202E-1,1.299298096E0,6.429280243E0
5.215791666E-1,1.960922241E-1,1.235979767E0,7.218738556E0
5.316391666E-1,-2.082170105E-1,9.113049316E-1,7.978558502E0
5.417001667E-1,-1.088386688E0,7.565267944E-1,8.591084747E0
5.517601667E-1,-1.449735260E0,9.427395630E-1,8.879085846E0
5.618201667E-1,-1.112785950E0,1.096619568E0,9.057963867E0
5.718811667E-1,-2.324665833E-1,1.058448944E0,9.543554077E0
5.819411667E-1,3.676354980E-1,1.195414124E0,9.856253815E0
5.920011667E-1,-6.556365967E-2,1.474882965E0,9.693991241E0
6.020621667E-1,-1.399739227E0,1.629212036E0,9.702224121E0
6.121221666E-1,-2.536774750E0,1.648521881E0,1.018706589E1
6.221821666E-1,-2.455643463E0,1.653910675E0,1.072699310E1
6.322431666E-1,-7.623646545E-1,1.779948578E0,1.104223755E1
6.423031666E-1,1.219963074E0,1.845063171E0,1.125015518E1
6.523631666E-1,1.750609589E0,2.160307617E0,1.114896561E1
6.624241666E-1,8.893006897E-1,2.695594482E0,1.093416229E1
6.724841666E-1,-1.591191101E-1,2.794987793E0,1.080947159E1
6.825451666E-1,-2.378553772E-1,2.592159576E0,1.037492523E1
6.926051666E-1,1.281485138E0,2.786156158E0,9.924960938E0
7.026651666E-1,2.727328491E0,3.032693481E0,9.781409454E0
7.127261666E-1,2.959645386E0,3.100053406E0,9.356293488E0
7.227861666E-1,2.733166351E0,2.880609741E0,9.038803711E0
7.328461666E-1,-1.406026154E0,3.820056152E-1,9.607471161E0
7.429071667E-1,-6.889423370E0,-2.771187286E0,7.966882782E0
7.529671667E-1,-2.703228607E0,-1.003812561E0,7.282206573E0
7.630271667E-1,2.070494385E0,2.681673431E0,9.654772797E0
7.730881667E-1,2.291734314E0,1.551373901E0,8.436456299E0
7.831481667E-1,2.049537964E0,1.135987701E0,7.636370087E0
7.932081667E-1,1.507664795E0,1.022373962E0,7.930508423E0
8.032691666E-1,1.155746613E0,2.037562866E0,7.753726044E0
8.133291666E-1,1.586550751E0,2.919229431E0,7.499554596E0
8.233891666E-1,2.050585785E0,2.345472565E0,7.100634155E0
8.334501666E-1,2.486329651E0,1.587598572E0,6.975644073E0
8.435101666E-1,2.457739105E0,1.415905609E0,6.983278198E0
8.535701666E-1,2.468067627E0,1.274449768E0,6.516848145E0
8.636311666E-1,2.429148560E0,1.144969025E0,6.235283661E0
8.736911666E-1,1.747915192E0,1.116528168E0,6.239025879E0
8.837511666E-1,1.651815033E0,1.115031281E0,6.039191437E0
8.938121666E-1,2.088606720E0,9.933343506E-1,5.354814606E0
9.038721666E-1,2.307002563E0,1.052012329E0,4.994513855E0
9.139321666E-1,2.632575531E0,1.128054199E0,5.164260864E0
9.239931667E-1,3.068469086E0,1.024918671E0,5.687872009E0
9.340531667E-1,3.330124969E0,1.142723694E0,6.167175293E0
9.441131667E-1,3.523522797E0,1.057999878E0,6.496340790E0
9.541741667E-1,3.673211517E0,9.247769165E-1,6.953041077E0
9.642341667E-1,3.846551056E0,6.056405640E-1,6.870712280E0
9.742941667E-1,3.895050201E0,1.338217163E-1,6.122268677E0
9.843551666E-1,3.840413818E0,-2.772235107E-1,6.058950348E0
9.944151666E-1,4.036805420E0,-5.057981873E-1,6.105802917E0
1.004475167E0,4.128414917E0,-6.331832886E-1,6.005810852E0
1.014536167E0,4.633015594E0,-7.183561707E-1,6.056255951E0
1.024596167E0,5.344935150E0,-6.315367126E-1,6.215674438E0
1.034656167E0,5.698799286E0,-6.423143005E-1,6.549330597E0
1.044717167E0,6.357279968E0,-7.514373779E-1,7.221283264E0
1.054777167E0,7.081473999E0,-9.131011963E-1,7.800578613E0
1.064838167E0,7.650889893E0,-1.186283112E0,8.120613098E0
1.074898167E0,8.264913025E0,-1.504970398E0,8.164322205E0
1.084958167E0,8.888665924E0,-1.783541107E0,8.126001892E0
1.095019167E0,9.375453644E0,-1.975591736E0,7.979905701E0
1.105079167E0,9.804012451E0,-2.007325745E0,7.848928070E0
1.115139167E0,1.054467224E1,-1.929038544E0,7.901768188E0
1.125200167E0,1.129925308E1,-1.697619781E0,7.695497131E0
1.135260167E0,1.174951675E1,-1.449136505E0,7.346572723E0
1.145320167E0,1.198587524E1,-1.444645844E0,7.123087463E0
1.155381167E0,1.207973007E1,-1.506766663E0,7.024442596E0
1.165441167E0,1.184920944E1,-1.717827759E0,6.878945160E0
1.175501167E0,1.155073013E1,-1.980980530E0,6.595135345E0
1.185562167E0,1.126587250E1,-2.363884277E0,6.336473236E0
1.195622167E0,1.096320190E1,-2.625989227E0,6.189778290E0
1.205682167E0,1.078028229E1,-2.726580048E0,6.100114746E0
1.215743167E0,1.074450668E1,-2.628384247E0,6.029012604E0
1.225803167E0,1.069091812E1,-2.930156708E0,5.869893494E0
1.235863417E0,1.070483917E1,-2.854114838E0,5.883215790E0
1.245924417E0,1.062086380E1,-2.736609192E0,5.748495941E0
1.255984417E0,1.048584457E1,-2.857857056E0,5.501958618E0
1.266044417E0,1.031220566E1,-2.933898926E0,5.285808105E0
1.276105417E0,1.014185989E1,-3.024011536E0,5.035678253E0
1.286165417E0,1.000130219E1,-3.122357025E0,4.705914001E0
1.296225417E0,9.810598755E0,-3.223396912E0,4.353247375E0
1.306286417E0,9.641450500E0,-3.290457458E0,4.114643555E0
1.316346417E0,9.571994934E0,-3.214415588E0,3.939058685E0
1.326406417E0,9.431886292E0,-3.209026794E0,3.873045959E0
1.336467417E0,9.267378387E0,-3.228186951E0,3.863615570E0
1.346527417E0,9.110354919E0,-3.311563568E0,3.856580200E0
1.356587417E0,8.856782227E0,-3.410058746E0,3.926484833E0
1.366648417E0,8.471633148E0,-3.532204742E0,4.010759583E0
1.376708417E0,8.140671387E0,-3.591481476E0,3.967649231E0
1.386769417E0,7.810907135E0,-3.638633423E0,3.877386932E0
1.396829417E0,7.550448761E0,-3.702400818E0,3.926933899E0
1.406889417E0,7.487429810E0,-3.710633698E0,3.996988220E0
1.416950417E0,7.413633270E0,-3.711831207E0,3.940256195E0
1.427010417E0,7.264094238E0,-3.792363739E0,3.974684601E0
1.437070417E0,7.335346069E0,-3.420237579E0,3.957620087E0
1.447131417E0,7.579338684E0,-2.663411407E0,2.455344086E0
1.457191417E0,8.519383850E0,-2.496508484E0,4.629872131E-1
1.467251417E0,9.248367920E0,-2.782114563E0,-8.831634521E-3
1.477312417E0,8.993298340E0,-3.269051971E0,1.135239258E0
1.487372417E0,7.983348541E0,-3.830983429E0,2.341131592E0
1.497432417E0,7.503745880E0,-4.115691376E0,3.075654144E0
1.507493417E0,7.559280396E0,-4.173321533E0,3.478316803E0
1.517553417E0,7.623347168E0,-4.056414642E0,3.552113342E0
1.527613417E0,7.620503082E0,-4.150568848E0,3.352428589E0
1.537674417E0,7.694449310E0,-4.241280212E0,3.305276642E0
1.547734417E0,7.595355377E0,-4.217779083E0,3.090922394E0
1.557794417E0,7.283703461E0,-4.228706360E0,2.924618225E0
1.567855417E0,7.250771942E0,-5.972879333E0,2.755170593E0
1.577915417E0,7.588170319E0,-7.155420227E0,3.740421753E0
1.587975417E0,7.369325409E0,-4.451742554E0,4.561464386E0
1.598036417E0,7.688611450E0,-6.816524963E0,2.930905151E0
1.608096417E0,9.125922546E0,-6.167025604E0,2.501448212E0
1.618156417E0,9.917476501E0,-6.153553619E0,2.784210205E0
1.628217417E0,1.040860519E1,-6.594686279E0,2.004781036E0
1.638277417E0,9.532028046E0,-3.999233551E0,2.001936951E0
1.648337417E0,8.248147888E0,-5.269941101E0,2.029779053E0
1.658398417E0,7.118746490E0,-5.999374237E0,2.350711670E0
1.668458417E0,5.813311157E0,-6.962321777E0,3.305725708E0
1.678518417E0,5.318589935E0,-7.144193573E0,3.294199677E0
1.688579417E0,5.588478699E0,-6.814129944E0,2.055226135E0
1.698639417E0,5.373076630E0,-7.175628204E0,1.188378754E0
1.708699417E0,4.880151672E0,-7.465425568E0,1.243763580E0
