"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.292541665E-3,1.248385012E-1,1.497859508E-1,-3.146261275E-1
1.835254167E-2,1.331544109E-2,1.255008429E-1,-3.244137764E-1
2.841254167E-2,-1.335881203E-1,7.525710762E-2,-2.486187816E-1
3.847354167E-2,-2.673254311E-1,2.888899995E-3,-1.208499074E-1
4.853354167E-2,-3.631693125E-1,-7.185941935E-2,1.961261407E-2
5.859354167E-2,-4.226688445E-1,-1.631869376E-1,1.333756596E-1
6.865354168E-2,-4.593184888E-1,-2.310137749E-1,1.989159286E-1
7.871354168E-2,-4.891051650E-1,-2.598808110E-1,2.158887982E-1
8.877354168E-2,-5.027291179E-1,-2.378058285E-1,1.923716664E-1
9.883354168E-2,-4.860425591E-1,-1.696446240E-1,1.349288672E-1
1.088935417E-1,-4.377405643E-1,-1.011950746E-1,5.674615130E-2
1.189535417E-1,-3.598657548E-1,-4.140098020E-2,-2.473762725E-3
1.290135417E-1,-2.481302172E-1,2.993475460E-2,-2.498622425E-2
1.390735417E-1,-1.170406640E-1,1.218196750E-1,-4.135002848E-3
1.491335417E-1,2.121533826E-2,1.890823692E-1,5.092264712E-2
1.591935417E-1,1.457066685E-1,2.560907304E-1,1.396730244E-1
1.692535417E-1,2.393774241E-1,3.230460286E-1,2.241591215E-1
1.793135417E-1,2.917508781E-1,3.672140241E-1,2.770753205E-1
1.893735417E-1,3.048280776E-1,3.722253144E-1,2.856760025E-1
1.994335417E-1,2.913897634E-1,3.699094355E-1,2.459168732E-1
2.094935417E-1,2.828627825E-1,3.554768562E-1,1.514542401E-1
2.195535417E-1,2.991014123E-1,3.323419988E-1,2.739008889E-2
2.296135417E-1,3.580654860E-1,3.470282257E-1,-8.626779914E-2
2.396735417E-1,4.518788159E-1,3.591610491E-1,-1.380255371E-1
2.497335417E-1,5.574467778E-1,3.657246828E-1,-1.259174794E-1
2.597935417E-1,6.669192314E-1,4.854689240E-1,-7.219325751E-2
2.698535417E-1,7.700184584E-1,6.387000680E-1,-1.430845354E-2
2.799135417E-1,8.869229555E-1,7.234280109E-1,1.744228415E-2
2.899735417E-1,9.088413715E-1,5.542907119E-1,-5.892542377E-2
3.000335417E-1,5.644070506E-1,2.706843019E-1,-3.146858215E-1
3.100935417E-1,-6.529009938E-1,2.273532450E-1,-7.582564354E-1
3.201535417E-1,-1.052297235E0,-1.173551381E-1,-1.125236034E0
3.302135416E-1,-9.069391489E-1,2.880483270E-1,-1.264584899E0
3.402735416E-1,-5.058683753E-1,2.180663198E-1,-1.410106778E0
3.503335416E-1,-6.097097415E-3,2.896986902E-1,-1.451808095E0
3.603935416E-1,4.943984747E-1,3.744026423E-1,-1.332920790E0
3.704535416E-1,8.993148208E-1,6.781840324E-1,-1.155468225E0
3.805135416E-1,1.143236041E0,1.099832773E0,-9.499105811E-1
3.905735416E-1,1.324535251E0,1.518841028E0,-7.365502119E-1
4.006335416E-1,1.520356417E0,1.940984011E0,-5.861634016E-1
4.106935416E-1,1.767422199E0,2.397179127E0,-4.934322834E-1
4.207535416E-1,1.702431202E0,3.352181911E0,-4.993090630E-1
4.308135416E-1,1.123661518E0,4.294614792E0,-6.731032729E-1
4.408735416E-1,4.693622887E-1,4.073916435E0,-9.208148122E-1
4.509335416E-1,-7.668219507E-2,3.589722633E0,-8.293964863E-1
4.609935416E-1,-7.838606238E-1,3.146601915E0,-4.920959473E-1
4.710535416E-1,-8.299722075E-1,2.796277761E0,-2.317392975E-1
4.811135416E-1,-9.668490887E-1,2.122801542E0,-1.894933134E-1
4.911735416E-1,-1.084478855E0,1.197521329E0,-4.039508104E-1
5.012335416E-1,-1.235480070E0,4.946267605E-1,-5.234790444E-1
5.112945416E-1,-1.408769608E0,-6.730529666E-1,-4.153235555E-1
5.213545416E-1,-1.615603924E0,-1.442135811E0,-1.288121641E-1
5.314145416E-1,-1.811380148E0,-2.168072462E0,1.343954951E-1
5.414745416E-1,-1.831634045E0,-2.728903055E0,3.382868469E-1
5.515345416E-1,-1.764179587E0,-3.111380577E0,3.909094334E-1
5.615945417E-1,-1.596637487E0,-3.155581474E0,2.968463004E-1
5.716545417E-1,-1.379299283E0,-2.953471661E0,1.750038266E-1
5.817145417E-1,-1.219260097E0,-2.624673605E0,8.281236887E-2
5.917745417E-1,-1.074389696E0,-2.099938154E0,1.624725759E-2
6.018345417E-1,-9.234334230E-1,-1.409292221E0,-1.045447774E-3
6.118945417E-1,-7.201299667E-1,-7.026734352E-1,5.808861181E-2
6.219545417E-1,-4.622388184E-1,-2.123585939E-1,1.867339313E-1
6.320145417E-1,-1.644545346E-1,-4.649307951E-2,3.516372144E-1
6.420745417E-1,1.352594793E-1,-1.455320418E-1,4.708570838E-1
6.521345417E-1,3.909897208E-1,-2.861975431E-1,5.185292363E-1
6.621945417E-1,5.334522724E-1,-4.754047394E-1,4.393119216E-1
6.722545417E-1,5.221661329E-1,-6.682648063E-1,3.292729259E-1
6.823145417E-1,4.044407904E-1,-8.025445938E-1,2.348441333E-1
6.923745417E-1,2.528547049E-1,-8.920817971E-1,1.536729336E-1
7.024345417E-1,1.522769779E-1,-8.263949156E-1,7.172399759E-2
7.124942083E-1,1.278542131E-1,-6.642591357E-1,-4.368128255E-2
7.225542083E-1,1.665094644E-1,-4.981583059E-1,-2.063389122E-1
7.326142083E-1,2.220524400E-1,-3.499792516E-1,-3.511053920E-1
7.426742083E-1,2.668987513E-1,-2.314877510E-1,-4.411170483E-1
7.527342083E-1,3.139358461E-1,-1.444949061E-1,-4.367624223E-1
7.627942083E-1,3.925672770E-1,-1.209155396E-1,-3.222246468E-1
7.728542083E-1,5.036230683E-1,-1.893929392E-1,-1.397483945E-1
7.829142083E-1,6.662801504E-1,-3.402764499E-1,8.618673682E-2
7.929742083E-1,8.355007172E-1,-5.516227484E-1,2.554308176E-1
8.030342083E-1,9.555128813E-1,-8.033338189E-1,3.036428094E-1
8.130942083E-1,9.910650849E-1,-1.034461856E0,2.363717705E-1
8.231542083E-1,9.484062791E-1,-1.194716215E0,1.225280240E-1
8.332142083E-1,8.360751271E-1,-1.193569899E0,2.525955811E-2
8.432742083E-1,6.694874763E-1,-1.137531996E0,-1.129232813E-2
8.533342083E-1,4.697995782E-1,-1.161918640E0,-6.312938780E-2
8.633942083E-1,3.402825892E-1,-1.136405826E0,-8.287300169E-2
8.734542083E-1,2.811433077E-1,-1.101509094E0,-7.254272234E-3
8.835142083E-1,2.606156766E-1,-1.145056009E0,7.780922204E-2
8.935742083E-1,2.593363822E-1,-1.268872380E0,1.276602745E-1
9.036342083E-1,2.624096572E-1,-1.531573415E0,1.444949061E-1
9.136942083E-1,2.660995424E-1,-1.877721429E0,1.606864631E-1
9.237542083E-1,2.713829875E-1,-2.150258541E0,2.249860913E-1
9.338142083E-1,2.508333325E-1,-2.289320946E0,3.402045369E-1
9.438742083E-1,2.024095953E-1,-2.334100485E0,5.066872239E-1
9.539352083E-1,1.797679812E-1,-2.350818634E0,7.261027694E-1
9.639952083E-1,1.658290029E-1,-2.349634171E0,9.294359088E-1
9.740552083E-1,1.282003373E-1,-2.445787430E0,1.065759063E0
9.841152083E-1,4.124999419E-2,-2.581820488E0,1.133550882E0
9.941752083E-1,-1.385457516E-1,-2.551568747E0,1.085424423E0
1.004235208E0,-3.866913617E-1,-2.327083349E0,9.519254565E-1
1.014295208E0,-6.772382855E-1,-2.093045712E0,8.594516516E-1
1.024355208E0,-9.742801189E-1,-1.846876860E0,8.589139581E-1
1.034415208E0,-1.216158032E0,-1.630971074E0,9.344329238E-1
1.044475208E0,-1.331710935E0,-1.499693990E0,1.065164566E0
1.054535208E0,-1.312787056E0,-1.482954025E0,1.221344113E0
1.064595208E0,-1.183539152E0,-1.610167623E0,1.376684070E0
1.074655208E0,-1.000982523E0,-1.847028375E0,1.534031034E0
1.084715208E0,-8.288331032E-1,-2.095389605E0,1.667834282E0
1.094775208E0,-7.216423750E-1,-2.259069920E0,1.772686958E0
1.104835208E0,-7.481669188E-1,-2.327192068E0,1.871381044E0
1.114895208E0,-8.800732493E-1,-2.231903315E0,1.936942697E0
1.124955208E0,-1.056336284E0,-1.949783921E0,2.009960890E0
1.135015208E0,-1.228550315E0,-1.556318283E0,2.006109476E0
1.145075208E0,-1.314108014E0,-1.183963418E0,1.943944812E0
1.155135208E0,-1.269573450E0,-9.212536812E-1,1.874942303E0
1.165195208E0,-1.110581160E0,-7.610964775E-1,1.828000307E0
1.175255208E0,-8.661423922E-1,-6.934339404E-1,1.826484680E0
1.185315208E0,-6.038029194E-1,-7.409846783E-1,1.876900673E0
1.195375208E0,-3.359646797E-1,-9.060977697E-1,1.949033976E0
1.205435208E0,-1.026323438E-1,-1.110206485E0,2.001998186E0
1.215495208E0,4.481328279E-2,-1.302027106E0,2.030845404E0
1.225555208E0,1.409957409E-1,-1.371285319E0,2.036320448E0
1.235615208E0,2.296541482E-1,-1.264823914E0,2.042222261E0
1.245675208E0,3.250741661E-1,-1.102180123E0,2.041570187E0
1.255735208E0,4.583628476E-1,-1.011537671E0,2.011934996E0
1.265795208E0,6.898655891E-1,-1.037835240E0,1.971107721E0
1.275855208E0,1.000008702E0,-1.160424471E0,1.913882732E0
1.285915208E0,1.269055843E0,-1.263998270E0,1.960684896E0
1.295975208E0,1.380686164E0,-1.132837892E0,1.967416406E0
1.306035208E0,1.535075426E0,-1.202626824E0,1.775918603E0
1.316095208E0,1.592893004E0,-1.331458330E0,1.651015282E0
1.326155208E0,1.593172550E0,-1.261197805E0,1.618642092E0
1.336215208E0,1.532844067E0,-1.073144674E0,1.592843533E0
1.346276208E0,1.482882261E0,-1.023939013E0,1.464092970E0
1.356336208E0,1.401887774E0,-1.015031815E0,1.361536264E0
1.366396208E0,1.269796848E0,-8.261165023E-1,1.286009312E0
1.376456208E0,1.247259855E0,-7.079900503E-1,1.228793621E0
1.386516208E0,1.273517847E0,-5.340952277E-1,1.162997842E0
1.396576208E0,1.322544813E0,-3.869065046E-1,1.129209995E0
1.406636208E0,1.400573850E0,-4.070061743E-1,1.126682401E0
1.416696208E0,1.493676305E0,-4.834081233E-1,1.171744823E0
1.426756208E0,1.555954814E0,-5.696990490E-1,1.272189975E0
1.436816208E0,1.635701418E0,-5.876546502E-1,1.397601485E0
1.446876208E0,1.692559123E0,-6.567011476E-1,1.496852994E0
1.456936208E0,1.762882590E0,-7.450859547E-1,1.546324372E0
1.466996208E0,1.832405448E0,-8.693271875E-1,1.570113659E0
1.477056208E0,1.876818180E0,-1.008534312E0,1.573919773E0
1.487116208E0,1.900555968E0,-1.136858821E0,1.593623996E0
1.497176208E0,1.876144528E0,-1.241510987E0,1.612632513E0
1.507236208E0,1.801284909E0,-1.233473539E0,1.630543590E0
1.517296208E0,1.701033592E0,-1.101820230E0,1.676964641E0
1.527356208E0,1.590950251E0,-9.635406733E-1,1.749474049E0
1.537416208E0,1.489047408E0,-8.948694468E-1,1.818788052E0
1.547476208E0,1.450230241E0,-9.315427542E-1,1.902006865E0
1.557536208E0,1.475999475E0,-1.073960900E0,2.025676489E0
1.567596208E0,1.549575210E0,-1.300308585E0,2.177761555E0
1.577656208E0,1.592123151E0,-1.643100262E0,2.315060854E0
1.587716208E0,1.292109370E0,-2.330766678E0,2.222913265E0
1.597776208E0,9.576056600E-1,-2.686192513E0,2.116610527E0
1.607836208E0,7.151544094E-1,-2.645255566E0,2.054121017E0
1.617896208E0,5.818059444E-1,-2.419097662E0,2.010816574E0
1.627956208E0,5.770910978E-1,-2.158237219E0,1.993866563E0
1.638016208E0,6.444979310E-1,-1.921969175E0,1.979668856E0
1.648076208E0,7.179713249E-1,-1.767407060E0,1.972377658E0
1.658136208E0,7.810910344E-1,-1.710844517E0,1.995441675E0
