"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.769999888E-4,-5.722599792E-1,2.324516144E0,9.850715332E0
1.103699999E-2,-3.763174438E-1,2.039059753E0,9.962682495E0
2.109699999E-2,-1.984872437E-1,1.887125702E0,1.016102005E1
3.115699999E-2,-4.340972900E-2,2.024240570E0,1.011192215E1
4.121699999E-2,2.290237427E-2,2.232008514E0,9.666598206E0
5.127699999E-2,-8.382568359E-3,2.552492065E0,9.125174103E0
6.133800000E-2,-2.888992310E-2,2.833308105E0,8.889564056E0
7.139800000E-2,-2.383044434E-1,2.809657288E0,8.940308533E0
8.145800000E-2,-6.274951172E-1,2.571352844E0,8.961564331E0
9.151800000E-2,-9.246272278E-1,2.262545013E0,8.961414642E0
1.015780000E-1,-8.957373047E-1,2.104773102E0,8.881630554E0
1.116380000E-1,-6.728507996E-1,2.034419403E0,8.926088104E0
1.216980000E-1,-4.586462402E-1,2.114203491E0,9.006620636E0
1.317580000E-1,-1.880090332E-1,2.345921631E0,9.046886902E0
1.418180000E-1,3.996688843E-2,2.522254944E0,9.121282196E0
1.518780000E-1,1.718426514E-1,2.612517242E0,9.160949707E0
1.619380000E-1,2.549198914E-1,2.660417633E0,9.100176086E0
1.719980000E-1,2.261796570E-1,2.532733154E0,8.958720245E0
1.820580000E-1,-9.894424438E-2,2.043251038E0,8.951684875E0
1.921180000E-1,-3.887416077E-1,1.532363434E0,8.966653748E0
2.021780000E-1,-5.328918457E-2,1.228794708E0,9.057365112E0
2.122379999E-1,4.522096252E-1,7.806266785E-1,9.100176086E0
2.222990000E-1,3.354524231E-1,8.657995605E-1,8.885073395E0
2.323590000E-1,3.544628906E-1,1.558858337E0,9.202114105E0
2.424190000E-1,2.526745605E-1,2.369572449E0,9.164093170E0
2.524790000E-1,1.776805115E-1,2.074086914E0,9.033414917E0
2.625390000E-1,1.929487610E-1,1.656754761E0,9.609716492E0
2.725990000E-1,1.311273193E-1,1.229992218E0,1.019904099E1
2.826590000E-1,9.943821716E-1,1.559606781E0,9.703271942E0
2.927190000E-1,5.939648438E-1,1.162632294E0,8.133186951E0
3.027790000E-1,-9.937834167E-1,-1.058299255E-1,7.090006256E0
3.128390000E-1,-2.225422211E0,-1.302441559E0,7.834258575E0
3.228990000E-1,-1.811832275E0,-7.610174561E-1,1.011536499E1
3.329590000E-1,-3.772155762E-1,9.967771912E-1,1.152543274E1
3.430190000E-1,-3.321592712E-1,2.211800537E0,1.066876419E1
3.530790000E-1,-1.146016846E0,2.642904053E0,9.641151123E0
3.631390000E-1,-1.274449768E0,2.762505341E0,9.889634399E0
3.731990000E-1,-1.048569489E0,2.459235992E0,9.429790649E0
3.832600000E-1,-3.787124634E-1,2.790048065E0,8.377179565E0
3.933200000E-1,7.219487000E-1,3.455863495E0,7.903265076E0
4.033800000E-1,8.649014282E-1,3.027154999E0,7.901768188E0
4.134400000E-1,4.513114929E-1,2.364033966E0,8.542585602E0
4.235000000E-1,1.736389160E-2,2.572999420E0,9.314230957E0
4.335600000E-1,-4.049079895E-1,2.975063324E0,9.695488129E0
4.436200000E-1,-7.987390137E-1,3.442990265E0,1.023197250E1
4.536800000E-1,-7.634124756E-3,4.254003754E0,1.160701309E1
4.637400000E-1,-1.527573395E0,4.480782166E0,9.016051025E0
4.738000000E-1,-1.236428833E0,4.838538208E0,8.369844818E0
4.838600000E-1,-3.251239014E-1,5.037923584E0,9.730964355E0
4.939200000E-1,-2.007325745E-1,5.528303833E0,1.138457565E1
5.039800000E-1,-1.018931122E0,5.690566406E0,1.181567917E1
5.140400000E-1,-1.340312805E0,5.416186981E0,1.132335297E1
5.241000000E-1,-1.005159760E0,4.958588562E0,1.126512405E1
5.341610000E-1,-4.897814941E-1,4.449646912E0,1.122860001E1
5.442210000E-1,8.966354370E-2,4.289929047E0,1.075962524E1
5.542810000E-1,3.008743286E-1,4.377496948E0,9.552984467E0
5.643410000E-1,7.484436035E-3,4.276756439E0,8.230933685E0
5.744010000E-1,1.442999268E-1,3.918401642E0,8.714877319E0
5.844610000E-1,5.980064392E-1,3.783083038E0,8.835077362E0
5.945210000E-1,8.620573425E-1,3.841611328E0,8.245303802E0
6.045810000E-1,1.111289062E0,3.905678101E0,7.912246399E0
6.146410000E-1,1.038390656E0,3.897744598E0,8.174800415E0
6.247010000E-1,7.616162109E-1,3.733536072E0,7.603438568E0
6.347610000E-1,4.677772522E-1,3.407813416E0,6.742578735E0
6.448210000E-1,2.100132751E-1,3.211571503E0,7.372319183E0
6.548810000E-1,-1.796264648E-3,3.151546326E0,7.996371460E0
6.649410000E-1,-1.950444031E-1,3.123704224E0,8.050109711E0
6.750010000E-1,3.161425781E-1,3.348686371E0,8.350984039E0
6.850610000E-1,1.267115021E0,3.654500427E0,8.492439880E0
6.951220000E-1,1.891167297E0,3.840114441E0,8.362809448E0
7.051820000E-1,2.174827423E0,3.824995880E0,8.481811981E0
7.152420000E-1,1.821112976E0,4.045187988E0,8.602012024E0
7.253020000E-1,1.090781708E0,4.117637329E0,8.603059845E0
7.353620000E-1,3.674858093E-1,3.488795013E0,8.772208099E0
7.454219999E-1,8.861572266E-2,3.075205078E0,8.920699310E0
7.554819999E-1,3.634442139E-1,3.086282043E0,8.651708679E0
7.655420000E-1,5.833369446E-1,3.147205353E0,8.131989441E0
7.756020000E-1,1.151705017E0,3.230581970E0,7.964188385E0
7.856620000E-1,1.697470093E0,3.067421265E0,7.350314941E0
7.957220000E-1,1.586401062E0,2.744842072E0,6.754853210E0
8.057820000E-1,8.216413879E-1,2.358495483E0,6.249803467E0
8.158420000E-1,1.643582153E-1,2.239193573E0,5.743107147E0
8.259020000E-1,1.035845947E-1,1.850901031E0,6.473588104E0
8.359620000E-1,8.274792480E-1,2.013313293E0,8.370593262E0
8.460220000E-1,2.166594543E0,2.435136108E0,9.829160156E0
8.560830000E-1,2.571502533E0,2.314786377E0,1.072669373E1
8.661430000E-1,2.374512177E0,2.525248718E0,8.883576508E0
8.762030000E-1,2.212249603E0,2.273771667E0,8.512498169E0
8.862630000E-1,1.694925385E0,2.298919373E0,8.997938690E0
8.963230000E-1,1.483415222E0,2.494263153E0,8.944799194E0
9.063830000E-1,1.606758728E0,2.495760040E0,9.140741730E0
9.164426667E-1,1.673669586E0,2.420167236E0,8.846603394E0
9.265026667E-1,1.493444366E0,2.313139801E0,8.486302643E0
9.365626667E-1,1.306932220E0,2.229463806E0,8.495134277E0
9.466226667E-1,1.162482605E0,2.215842133E0,8.582851868E0
9.566826667E-1,1.372645569E0,2.279160461E0,8.553961945E0
9.667426667E-1,1.920655975E0,2.011067963E0,8.452323303E0
9.768026667E-1,2.257006531E0,2.356100464E0,8.615484009E0
9.868626667E-1,1.817221069E0,2.276016998E0,8.271199951E0
9.969226667E-1,1.891316986E0,1.988614655E0,8.150401154E0
1.006982667E0,2.251018982E0,2.224075012E0,8.300988007E0
1.017043667E0,2.585124207E0,2.255210266E0,8.068222046E0
1.027103667E0,2.771037598E0,2.095941467E0,7.781418457E0
1.037163667E0,2.911146240E0,2.077230377E0,7.716453552E0
1.047223667E0,3.123105469E0,2.100132751E0,7.654332733E0
1.057283667E0,3.253634033E0,2.006277924E0,7.485783234E0
1.067343667E0,3.363804932E0,1.824855194E0,7.259902954E0
1.077403667E0,3.529510345E0,1.589245148E0,6.901847534E0
1.087463667E0,3.687282257E0,1.410965881E0,6.616241455E0
1.097523667E0,3.924688568E0,1.433269501E0,6.802603912E0
1.107583667E0,4.130360870E0,1.484912109E0,6.924749908E0
1.117643667E0,4.227359161E0,1.400936737E0,6.738986206E0
1.127703667E0,4.374503174E0,1.269510040E0,6.636898499E0
1.137763667E0,4.779261475E0,1.131197662E0,6.872658234E0
1.147823667E0,5.208868103E0,1.013093262E0,7.147187347E0
1.157883667E0,5.335055695E0,7.848179626E-1,7.162605286E0
1.167943667E0,5.424868927E0,6.581813049E-1,7.366032257E0
1.178004667E0,5.427563324E0,5.986051941E-1,7.509284363E0
1.188064667E0,5.451962585E0,5.402265930E-1,7.466323700E0
1.198124667E0,5.470074921E0,4.724176025E-1,7.170389099E0
1.208184667E0,5.553152161E0,3.833528137E-1,6.911876678E0
1.218244667E0,5.631738739E0,2.574645996E-1,7.042554932E0
1.228304667E0,5.715265045E0,2.350112915E-1,7.223079529E0
1.238364667E0,6.077960815E0,2.984793091E-1,7.702382813E0
1.248424667E0,6.530020752E0,3.147953796E-1,8.355175323E0
1.258484667E0,6.791377258E0,2.947370911E-1,8.697663116E0
1.268544667E0,7.118147736E0,2.639012146E-1,8.811426544E0
1.278604667E0,7.355254669E0,1.284329224E-1,8.744365997E0
1.288664667E0,7.507188721E0,8.382568359E-2,8.555758209E0
1.298724667E0,7.670648804E0,-2.213896179E-1,8.244106293E0
1.308784667E0,7.795040131E0,-4.760101318E-1,7.805368652E0
1.318844667E0,8.000113678E0,-2.848576355E-1,7.636968842E0
1.328904667E0,8.066126404E0,-2.053729248E-1,7.361840973E0
1.338965667E0,8.058941345E0,-1.519340515E-1,7.004234619E0
1.349025667E0,8.115972748E0,-4.730163574E-2,6.752458191E0
1.359085667E0,8.199349365E0,2.778222656E-1,6.648424530E0
1.369145667E0,8.171806641E0,-8.008346558E-2,6.477929077E0
1.379205667E0,8.126001892E0,-3.221301270E-1,6.342760162E0
1.389265667E0,8.223149872E0,-6.162684631E-1,6.236331482E0
1.399325667E0,8.383167114E0,-8.355624390E-1,6.290818176E0
1.409385667E0,8.484656067E0,-9.466314697E-1,6.554270325E0
1.419445667E0,8.559799805E0,-9.689350891E-1,6.803352356E0
1.429505667E0,8.663085022E0,-9.752220154E-1,6.969207458E0
1.439565667E0,8.893306274E0,-8.027806091E-1,7.254963226E0
1.449625667E0,9.156459045E0,-7.426057434E-1,7.425159302E0
1.459685667E0,9.257947998E0,-6.132746887E-1,7.385491791E0
1.469745667E0,9.276808777E0,-4.540058899E-1,7.316036224E0
1.479805667E0,9.368268585E0,-4.114942932E-1,7.366930389E0
1.489866667E0,9.473649445E0,-4.599934387E-1,7.432643738E0
1.499926667E0,9.403445435E0,-5.574407959E-1,7.464377747E0
1.509986667E0,9.329948273E0,-6.881190491E-1,7.462282104E0
1.520046667E0,9.279353485E0,-1.039139099E0,7.543413391E0
1.530106667E0,9.375902710E0,-1.281934204E0,7.718998260E0
1.540166667E0,9.447603607E0,-1.319955139E0,7.820936279E0
1.550226667E0,9.377698975E0,-1.477427673E0,7.845934296E0
1.560286667E0,9.302854614E0,-1.565893707E0,7.831115112E0
1.570346667E0,9.166787567E0,-1.502874756E0,7.672445068E0
1.580406667E0,8.887169037E0,-1.396595764E0,7.520960083E0
1.590466667E0,8.551417236E0,-1.344504089E0,7.486082611E0
1.600526667E0,8.281079407E0,-1.223405914E0,7.342830505E0
1.610586667E0,7.976163483E0,-1.156644745E0,7.126829681E0
1.620646667E0,7.728728027E0,-1.333576813E0,7.006779327E0
1.630706667E0,7.606582031E0,-1.347048798E0,7.139852600E0
1.640766667E0,7.436685333E0,-1.405427399E0,7.242089996E0
1.650827667E0,7.194638672E0,-1.577868805E0,7.300767975E0
1.660887667E0,7.004833374E0,-1.614093475E0,7.420069885E0
1.670947667E0,6.876101074E0,-1.585951996E0,7.517217865E0
1.681007667E0,6.659351807E0,-1.547332306E0,7.489375763E0
1.691067667E0,6.471043396E0,-1.418001251E0,7.415429535E0
1.701127667E0,6.344556427E0,-1.300645294E0,7.348368988E0
1.711187667E0,6.226002960E0,-1.214574280E0,7.229366455E0
1.721247667E0,6.165977783E0,-1.085841980E0,7.015311584E0
1.731307667E0,6.196663971E0,-9.449848938E-1,6.738986206E0
1.741367667E0,6.142326965E0,-8.255332947E-1,6.613547058E0
1.751427667E0,6.044131165E0,-6.912625122E-1,6.618037720E0
1.761487667E0,5.932014313E0,-8.497828674E-1,6.596632233E0
1.771547667E0,6.012995911E0,-9.021739197E-1,6.646478577E0
1.781607667E0,6.075565796E0,-8.012837219E-1,6.718029785E0
1.791667667E0,6.048621826E0,-8.949888611E-1,6.759942627E0
1.801727667E0,5.981710968E0,-9.937834167E-1,6.790928192E0
1.811788667E0,5.960455170E0,-1.041534119E0,6.868466949E0
1.821848667E0,5.968538361E0,-1.131796417E0,6.845265198E0
1.831908667E0,5.931415558E0,-1.186432800E0,6.840026093E0
1.841968667E0,5.847290497E0,-1.187181244E0,6.906936951E0
1.852028667E0,5.712720337E0,-1.132245483E0,7.026089172E0
1.862088667E0,5.569468231E0,-1.089733887E0,7.103178864E0
1.872148667E0,5.442681885E0,-1.087039490E0,7.101382599E0
1.882208667E0,5.325325928E0,-1.127305756E0,7.166497192E0
1.892268667E0,5.171595612E0,-1.197809143E0,7.332352295E0
1.902328667E0,5.025349731E0,-1.209035797E0,7.453300781E0
1.912388167E0,4.846471710E0,-1.215023346E0,7.549550629E0
1.922448167E0,4.724625092E0,-1.228794708E0,7.650291138E0
1.932508167E0,4.662653961E0,-1.181493073E0,7.680378571E0
1.942568167E0,4.634961548E0,-1.137035522E0,7.722441101E0
1.952628167E0,4.591701508E0,-1.097966766E0,7.819738770E0
1.962688167E0,4.641248474E0,-9.970765686E-1,7.850574646E0
1.972748167E0,4.742887115E0,-8.607101440E-1,7.941435699E0
1.982809167E0,4.839136963E0,-7.107220459E-1,8.030201111E0
1.992869167E0,4.971162415E0,-5.589376831E-1,8.015381927E0
2.002929167E0,5.266348572E0,-4.529580688E-1,7.952662354E0
2.012989167E0,5.508245544E0,-4.267625427E-1,7.911348267E0
2.023049167E0,5.592220917E0,-3.700305176E-1,7.912396088E0
