"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.266006680E-1,-9.292753413E-3,6.195695326E-2,4.197403789E-2
1.290782720E-1,-5.627565086E-3,6.317868829E-2,4.808268696E-2
1.315557720E-1,-3.184106201E-3,6.317868829E-2,5.419133604E-2
1.340331680E-1,-3.184106201E-3,6.073522195E-2,5.663479120E-2
1.365105120E-1,-4.405835643E-3,5.707003549E-2,6.029998511E-2
1.389878030E-1,-6.849294528E-3,5.462658033E-2,6.518689543E-2
1.414649910E-1,-1.417967118E-2,4.973966256E-2,6.518689543E-2
1.439421260E-1,-2.151004784E-2,4.363101348E-2,6.763035804E-2
1.464192620E-1,-3.006215580E-2,3.630063683E-2,7.129554451E-2
1.488963450E-1,-3.983598948E-2,2.897026017E-2,7.129554451E-2
1.513733240E-1,-5.205328017E-2,2.163988352E-2,7.251727581E-2
1.538502510E-1,-6.427057832E-2,1.186604798E-2,7.373900712E-2
1.563271780E-1,-7.648786902E-2,4.535671324E-3,7.373900712E-2
1.587799910E-1,-8.992689103E-2,-6.459893659E-3,7.618246228E-2
1.612059280E-1,-1.033659205E-1,-1.379027031E-2,7.740419358E-2
1.636326990E-1,-1.155832112E-1,-7.681623101E-3,7.740419358E-2
1.660603030E-1,-1.229135916E-1,-3.512464464E-4,8.106938004E-2
1.684870740E-1,-1.290222406E-1,-6.459893659E-3,8.473456651E-2
1.709130640E-1,-1.375743449E-1,-2.356410585E-2,8.473456651E-2
1.733398870E-1,-1.473481804E-1,-4.677696526E-2,8.106938004E-2
1.757674390E-1,-1.583437473E-1,-7.243327796E-2,7.984765619E-2
1.781942620E-1,-1.742262393E-1,-9.320268035E-2,8.106938004E-2
1.806202510E-1,-1.901087165E-1,-1.078634411E-1,8.473456651E-2
1.830470220E-1,-2.072129250E-1,-1.176372766E-1,8.839976043E-2
1.854746260E-1,-2.230954170E-1,-1.274111122E-1,9.328667819E-2
1.879013970E-1,-2.401996255E-1,-1.359632164E-1,9.695186466E-2
1.903273870E-1,-2.548603714E-1,-1.445153207E-1,1.006170586E-1
1.927542090E-1,-2.682994008E-1,-1.567326188E-1,1.055039689E-1
1.951817620E-1,-2.817384303E-1,-1.677281708E-1,1.116126254E-1
1.976085840E-1,-2.951774597E-1,-1.750585586E-1,1.152778044E-1
2.000345740E-1,-3.073947430E-1,-1.823889315E-1,1.201647297E-1
2.024613450E-1,-3.159468472E-1,-1.884975731E-1,1.250516325E-1
2.048890010E-1,-3.257206976E-1,-1.909410357E-1,1.287168264E-1
2.073157200E-1,-3.330510557E-1,-1.933844984E-1,1.299385577E-1
2.097417090E-1,-3.367162347E-1,-1.970496774E-1,1.336037368E-1
2.121685320E-1,-3.391596973E-1,-1.982714087E-1,1.348254681E-1
2.145961370E-1,-3.391596973E-1,-2.019366026E-1,1.360471994E-1
2.170229070E-1,-3.391596973E-1,-1.994931400E-1,1.372689307E-1
2.194488970E-1,-3.367162347E-1,-1.970496774E-1,1.384906620E-1
2.218756680E-1,-3.330510557E-1,-1.933844984E-1,1.384906620E-1
2.243033240E-1,-3.293858767E-1,-1.860541105E-1,1.397123933E-1
2.267300430E-1,-3.257206976E-1,-1.787237376E-1,1.397123933E-1
2.291560320E-1,-3.183903098E-1,-1.689499021E-1,1.397123933E-1
2.315828550E-1,-3.098382056E-1,-1.579543352E-1,1.409341097E-1
2.340104590E-1,-3.012861013E-1,-1.518456936E-1,1.409341097E-1
2.364372300E-1,-2.939557135E-1,-1.420718580E-1,1.397123933E-1
2.388632200E-1,-2.841818929E-1,-1.310762912E-1,1.384906620E-1
2.412899910E-1,-2.756297886E-1,-1.225241870E-1,1.384906620E-1
2.437176470E-1,-2.646342218E-1,-1.151938140E-1,1.372689307E-1
2.461443660E-1,-2.573038340E-1,-1.066417098E-1,1.372689307E-1
2.485703550E-1,-2.475300133E-1,-9.686787426E-2,1.372689307E-1
2.509971780E-1,-2.377561629E-1,-9.320268035E-2,1.348254681E-1
2.534247820E-1,-2.304257900E-1,-8.709403872E-2,1.348254681E-1
