Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.00358592,0.003,-8.953050613,-0.765000045
0.02060934,-0.336000025,-8.754000664,-0.343950003
0.03763294,-0.667950034,-8.206049919,-0.327000022
0.0546564,-1.11105001,-8.083950043,-0.235950008
0.07167976,-1.453950047,-8.791950226,0.268050015
0.08870338,-1.356000066,-10.03695011,0.690000057
0.10572676,-2.31795001,-10.9260006,-0.202950016
0.12275021,-3.865050077,-9.742950439,-0.949950039
0.13977386,-2.469000101,-8.637000084,-0.286050022
0.15679725,-1.504050016,-10.70100021,0.00495
0.1738207,-3.261000156,-12.35700035,-0.316950023
0.19084406,-3.465000153,-12.46500015,0.607950032
0.20786767,-4.711950302,-11.4090004,1.402950048
0.22489114,-5.659950256,-10.16205025,1.927050114
0.24191452,-4.345950127,-11.36100101,1.113000035
0.25893789,0.408000022,-17.87400055,-0.940050066
0.27596149,10.24905014,-21.29505157,-4.399950027
0.29298493,9.754950523,-17.4090004,-1.704000115
0.31000855,4.146000385,-14.27295113,1.744950056
0.32703193,0.24000001,-13.54695034,2.220000029
0.34405541,-4.180950165,-11.00895023,-0.078000002
0.36107881,-2.605050087,-9.112950325,-1.491000056
0.37810243,0.322050005,-6.979950428,1.140000105
0.39512581,0.397950023,-6.424050331,2.527950048
0.41214928,0.655050039,-6.144000053,1.894050121
0.42917267,1.323000073,-6.192000389,0.418950021
0.44619629,1.651050091,-6.493950367,-1.641000032
0.46321967,1.830000043,-6.195000172,-2.764050245
0.48024316,2.635050058,-4.818000317,-1.894950032
0.49726678,3.292950153,-3.793050289,-0.676950038
0.51429022,2.901000023,-4.114050388,-0.325050026
0.5313136,2.251950026,-4.741050243,0.238950014
0.54833719,1.555050015,-5.266050339,1.267050028
0.56536061,1.198050022,-6.067950249,1.978050113
0.58238407,0.772050023,-7.261950493,3.096000195
0.59940766,-0.058050003,-8.827950478,3.927000284
0.61643104,-2.983950138,-10.86300087,3.843000174
0.63345452,-5.083050251,-12.70200062,5.770050049
