Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.013644789,0.217050016,-9.48195076,-0.363000006
0.016076499,0.220950007,-9.477000237,-0.367950022
0.018508191,0.202050015,-9.477000237,-0.352950007
0.020939884,0.163950011,-9.484050751,-0.346050024
0.023371576,0.151950002,-9.463050842,-0.30795002
0.025803368,0.115950003,-9.468000412,-0.328950018
0.02823506,0.126000002,-9.448050499,-0.328950018
0.030666753,0.115950003,-9.463050842,-0.340950012
0.033098445,0.087000005,-9.496050835,-0.337050021
0.035530137,0.106050007,-9.49905014,-0.33405003
0.03796182,0.085050002,-9.49905014,-0.358050019
0.040393512,0.054000001,-9.496050835,-0.376950026
0.042825435,0.079950005,-9.4789505,-0.403950006
0.045257129,0.085050002,-9.48900032,-0.408000022
0.047688822,0.078000002,-9.448050499,-0.399000019
0.050120495,0.034950003,-9.457950592,-0.435000032
0.052552187,0.067950003,-9.453000069,-0.436950028
0.054983955,0.031950001,-9.440999985,-0.384000003
0.057415649,-0.00495,-9.440999985,-0.399000019
0.059847359,-0.034050003,-9.436050415,-0.373050004
0.062279052,-0.099000007,-9.43200016,-0.379950017
0.064710744,-0.088950001,-9.427050591,-0.399000019
0.067142436,-0.088950001,-9.436050415,-0.423000008
0.069574128,-0.087000005,-9.427050591,-0.424950033
0.072006045,-0.087000005,-9.376950264,-0.463050008
0.074437739,-0.052950002,-9.36495018,-0.44205001
0.076869431,-0.082050003,-9.403050423,-0.418050021
0.079301124,-0.118050009,-9.49905014,-0.382050008
0.08173284,-0.115050003,-9.472050667,-0.337050021
0.084164532,-0.154050008,-9.445950508,-0.331950009
0.086596299,-0.187050015,-9.357000351,-0.384000003
0.089027917,-0.201000005,-9.301950455,-0.41595003
0.091459684,-0.187050015,-9.309000015,-0.460950017
0.093891377,-0.157950014,-9.319050789,-0.439950019
0.09632307,-0.168000013,-9.295050621,-0.454050034
0.098754762,-0.145950005,-9.307050705,-0.436950028
0.101186454,-0.131999999,-9.331050873,-0.408000022
0.103618375,-0.136950001,-9.325950623,-0.427950025
0.106050051,-0.139050007,-9.29805088,-0.459000021
0.108481743,-0.118050009,-9.301950455,-0.463050008
0.110913435,-0.096000001,-9.286050797,-0.471000016
0.113345128,-0.094050005,-9.289950371,-0.504000008
0.11577682,-0.088950001,-9.265950203,-0.526050031
0.118208531,-0.082050003,-9.288000107,-0.519000053
0.120640298,-0.088950001,-9.348000526,-0.527999997
0.123071993,-0.099000007,-9.345000267,-0.547049999
0.125503685,-0.100950003,-9.325950623,-0.556950033
0.127935377,-0.109950006,-9.340950012,-0.601950049
0.13036707,-0.096000001,-9.393000603,-0.636000037
0.132798991,-0.084000006,-9.391050339,-0.655050039
0.135230454,-0.088950001,-9.420000076,-0.637950003
0.137662375,-0.131999999,-9.361950874,-0.637950003
0.140094089,-0.124950007,-9.391050339,-0.649950028
0.142525781,-0.112950005,-9.409950256,-0.655050039
0.144957473,-0.118050009,-9.393000603,-0.660000026
0.147389166,-0.160950005,-9.372000694,-0.684000015
0.149820933,-0.156000003,-9.393000603,-0.66900003
0.152252626,-0.163050011,-9.400050163,-0.667050004
0.154684319,-0.172950015,-9.448050499,-0.667050004
0.157116011,-0.181950003,-9.469950676,-0.660000026
0.159547703,-0.175050005,-9.475050926,-0.645000041
0.161979624,-0.192000002,-9.511050224,-0.657000005
0.164411113,-0.187050015,-9.490950584,-0.688950062
0.166843034,-0.144000009,-9.544050217,-0.684000015
0.169274728,-0.163050011,-9.493950844,-0.66900003
0.171706421,-0.166050002,-9.490950584,-0.616950035
0.174138113,-0.156000003,-9.4789505,-0.636000037
0.176569815,-0.172950015,-9.436050415,-0.607050002
0.179001582,-0.190050006,-9.445950508,-0.600000024
0.181433277,-0.235050008,-9.433950424,-0.628950059
0.183864969,-0.229950011,-9.439050674,-0.63105005
0.186296661,-0.249000013,-9.436050415,-0.625950038
0.188728378,-0.247050017,-9.424050331,-0.612000048
0.19116007,-0.277950019,-9.424050331,-0.607050002
0.193591762,-0.316050023,-9.369000435,-0.684000015
0.196023683,-0.289950013,-9.384000778,-0.814950049
0.198455378,-0.325950027,-9.409950256,-0.106950007
0.20088707,-0.297000021,-9.250050545,-1.639050126
0.203318762,-0.300000012,-9.420000076,0.241950005
0.205750455,-0.300000012,-9.232950211,-1.680000067
0.208182222,-0.292050004,-9.405000687,-0.085050002
0.210613839,-0.331050009,-9.319050789,-1.069050074
0.213045582,-0.313950002,-9.373950005,-0.877950013
0.215477277,-0.343050003,-9.409950256,-0.291000009
0.217908969,-0.316050023,-9.337950706,-1.522050023
0.220340661,-0.360000014,-9.514950752,0.193950012
0.222772354,-0.381000012,-9.352950096,-1.6489501
0.225204065,-0.38805002,-9.526950836,0.010050001
0.227635986,-0.424050033,-9.429000854,-1.122000098
0.23006768,-0.403050005,-9.529950142,-0.667050004
0.232499373,-0.433950007,-9.537000656,-0.30795002
0.234931065,-0.441000015,-9.475050926,-1.323000073
0.237362776,-0.489000022,-9.62100029,0.25395
0.239794469,-0.486000031,-9.465000153,-1.488000035
0.242226161,-0.489000022,-9.613950729,0.189000011
0.244657928,-0.505950034,-9.487050056,-1.048050046
0.247089623,-0.556050003,-9.574950218,-0.420000017
0.249521301,-0.574950039,-9.520050049,-0.274050027
0.251952993,-0.574950039,-9.48195076,-1.066950083
0.254384685,-0.60405004,-9.574950218,0.292050004
0.256816607,-0.609000027,-9.445950508,-1.291950107
0.259248301,-0.654000044,-9.594000816,0.32100001
0.261680007,-0.679950059,-9.453000069,-0.982950032
0.2641117,-0.685050011,-9.565950394,-0.190950006
0.266543392,-0.699000061,-9.513000488,-0.295950025
0.268975084,-0.690000057,-9.511050224,-0.853950024
0.271406776,-0.738000035,-9.586950302,0.262950003
0.273838539,-0.702000022,-9.493950844,-1.20600009
0.276270233,-0.745050013,-9.633000374,0.32100001
0.278701925,-0.72300005,-9.490950584,-1.024049997
0.281133618,-0.703950048,-9.62100029,-0.124050006
0.28356531,-0.733050048,-9.55905056,-0.399000019
0.285997012,-0.697050035,-9.577950478,-0.724050045
