Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.00620761,-0.304050028,-7.167000294,0.313950002
0.0232323,0.44205001,-5.83095026,-0.082950003
0.04025691,1.225050092,-5.059950352,-0.106950007
0.05728173,1.986000061,-4.654950142,0.129000008
0.07430635,2.011950016,-4.798950195,0.559950054
0.091331,1.174050093,-5.476050377,1.204050064
0.10835564,-0.265950024,-6.658950329,2.217000008
0.12538033,-2.13105011,-8.754000664,4.333950043
0.14240516,-5.275050163,-11.0740509,6.193950176
0.15942977,-8.991000175,-12.50805092,5.773050308
0.1764544,-8.452050209,-10.68600082,5.029950142
0.19347901,-5.943000317,-9.037050247,3.381000042
0.21050369,-4.192950249,-8.005050659,2.386950016
0.22752832,-3.703950167,-6.870000362,1.867950082
0.24455318,-2.7900002,-6.89400053,1.216050029
0.26157779,-1.639950037,-9.919950485,0.754050016
0.27860238,-1.384050012,-16.67205048,1.803000093
0.29562704,-4.01295042,-21.44595146,3.733050108
0.31265167,-3.421950102,-20.09805107,10.26705074
0.32967651,4.407000065,-8.482950211,-4.347000122
0.34670114,6.856050491,-3.799950123,-1.989000082
0.36372577,7.279950142,-1.200000048,-5.344950199
0.38075036,4.045050144,-0.718950033,-5.958000183
0.39777505,-2.623950243,-6.429000378,-4.16505003
0.4147999,-5.608050346,-15.27795029,-0.006
0.4318245,-5.692050457,-18.99900055,3.598950148
0.4488491,-0.625050008,-11.91900063,1.261950016
0.46587374,0.310050011,-9.618000031,-1.801950097
0.48289846,-0.075000003,-9.397950172,-2.058000088
0.49992307,-0.570000053,-8.200950623,-4.393050194
0.51694771,-0.172950015,-7.686000347,-0.825000048
0.53397256,-0.679950059,-8.421000481,2.125950098
0.55099717,-1.48695004,-9.007950783,0.318000019
0.56802189,-1.513950109,-9.547050476,-0.553950012
0.5850465,-2.332050085,-8.625,0.441000015
0.60207113,-4.036950111,-7.975950241,0.36195001
0.61909597,-4.578000069,-7.834950447,-0.166950002
0.63612058,-4.62405014,-8.187000275,-0.046950001
0.65314529,-4.40805006,-8.433000565,0.091050006
0.67016991,-2.622000217,-9.007950783,0.310950011
0.68719452,-0.819000065,-9.271050453,0.417000026
0.70421935,-0.927000046,-8.74695015,0.52395004
0.72124394,-1.669050097,-8.62005043,0.112950005
0.73826865,-1.726950049,-8.910000801,-0.427950025
0.75529329,-1.672050118,-9.220950127,-0.918000042
0.77231788,-1.954050064,-10.0900507,-1.026000023
0.78934271,-2.176950216,-10.93500042,-0.780000031
0.80636734,-2.653050184,-12.27105045,-0.66900003
0.82339195,-3.199050188,-13.91805077,-0.76305002
0.84041666,-2.677050114,-14.16795063,-0.340950012
0.85744127,-2.871000051,-14.36895084,-0.124050006
0.87446585,-3.678000212,-15.54195118,0.453000009
0.89149069,-2.536050081,-15.81705093,1.549050093
0.90851539,-1.876950145,-14.53395081,2.152050018
0.92554001,-1.477950096,-12.57795048,1.966050148
0.9425646,-2.443050146,-11.22000027,1.446000099
0.95958945,-3.301950216,-10.41795063,0.715950012
0.97661408,-3.62100029,-9.982050896,-0.195000008
0.99363878,-3.36405015,-9.171000481,-0.976050019
1.01066338,-2.668050051,-8.638950348,-1.32795012
1.027688,-2.584050179,-9.115950584,-1.708950043
1.04471285,-1.578000069,-10.06095028,-0.973050058
1.0617375,-0.271050006,-9.967950821,-1.029000044
1.07876213,0.940050066,-10.19295025,-0.472950012
1.09578684,1.24605,-10.02795029,0.364050031
1.11281146,-0.012,-9.484050751,1.647000074
1.12983632,-3.642000198,-9.513000488,1.159050107
1.14686095,-4.024950027,-9.733050346,1.36500001
1.16388555,-2.365950108,-9.436050415,0.771000028
1.18091024,-1.21905005,-9.384000778,0.988950074
1.19793487,-0.433950007,-9.156000137,1.55400002
1.21495974,-0.261000007,-8.754000664,1.369950056
1.23198434,-0.951000035,-8.574000359,1.735950112
1.24900892,-1.339050055,-8.341950417,2.242950201
1.26603361,-1.366950035,-7.701000214,2.011049986
1.28305822,-1.558950067,-6.93405056,1.771950126
1.30008281,-1.353000045,-6.075000286,2.278950214
1.31710766,-0.172950015,-5.529000282,2.368050098
1.3341323,0.228000015,-4.570950031,2.314950228
1.35115697,0.054000001,-3.958050251,1.963050127
1.36818157,0.193050012,-3.361950159,2.05005002
1.3852064,0.187950015,-2.785050154,1.948950052
1.40223098,-0.168000013,-2.622000217,1.795950055
1.41925561,0.039000001,-2.311050177,1.791000128
1.43628032,0.636000037,-2.560050011,1.46295011
1.45330492,-6.349950314,-6.616050243,17.37495041
1.47032979,-16.18605042,-10.4779501,-8.053050041
1.48735451,0.420000017,-16.25100136,9.912000656
1.50437912,-7.156950474,-15.63000107,4.669050217
1.52140371,-5.590950489,-11.28495026,2.611950159
1.53842836,-2.620050192,-6.586950302,3.079050064
1.55545324,-2.055000067,-4.791000366,3.757050276
1.57247786,-1.726950049,-6.003000259,2.878050089
1.58950254,-1.366950035,-7.080000401,1.726050138
1.60652715,-1.453950047,-7.909050465,1.738050103
1.62355199,-1.99695015,-9.136950493,1.366950035
1.64057659,-3.213000059,-10.36800003,1.723950028
1.6576012,-4.684050083,-11.05500031,1.693050027
1.67462588,-5.605050087,-11.38800049,1.105949998
1.69165046,-5.59800005,-10.77195072,1.04400003
1.7086751,-4.705049992,-9.493950844,1.23300004
1.72569995,-3.817050219,-8.315999985,0.922050059
1.74272463,-2.77305007,-7.585950375,0.417000026
1.75974927,-1.992000103,-7.732050419,0.306000024
1.77677389,-2.170050144,-8.670000076,-0.685950041
1.79379875,-2.835000038,-9.597000122,-0.556950033
1.81082349,-3.787950277,-9.93900013,0.40200001
1.8278481,-3.694950104,-9.585000038,1.477050066
1.84487271,-3.123000145,-8.701050758,-0.150000006
1.86189732,-2.485950232,-7.993050575,0.103050008
1.87892219,-1.630950093,-7.54695034,0.538950026
1.8959468,-1.498950124,-7.387050152,0.742050052
1.91297149,-2.17200017,-7.554000378,0.436050028
1.92999612,-2.704050064,-7.756050587,-0.01305
1.94702094,-3.088950157,-7.662000179,0.21495001
1.96404556,-2.778000116,-7.782000542,-0.028050002
1.98107026,-3.466950178,-8.020950317,-0.636000037
1.99809485,-3.925050259,-7.99695015,-0.813000023
2.01511947,-4.240950108,-8.365950584,-0.700950027
2.03214429,-3.277950048,-9.376950264,-0.598050058
2.04916894,-3.039000034,-10.0900507,-0.589950025
2.0661936,-2.325000048,-11.35695076,-0.526050031
2.08321823,-1.734000087,-12.35295105,-0.913950026
2.10024306,-1.719000101,-12.62295055,-0.841950059
2.11726766,-1.846050143,-12.91800022,-0.247950018
2.13429235,-2.851950169,-13.35105038,-0.519000053
2.15131699,-3.787950277,-13.72200108,-0.399000019
2.16834184,-3.154050112,-13.63800049,0.498000026
2.18536644,-2.205000162,-12.52500057,1.425000072
2.20239105,-2.167050123,-11.54100037,2.229000092
2.21941577,-2.349000216,-11.25105095,2.575950146
2.23644038,-2.854050159,-11.06700039,2.758050203
2.25346523,-3.778950214,-10.16205025,2.686050177
2.27048982,-4.441950321,-9.355050087,1.846050143
2.28751451,-4.480050087,-9.094050407,0.366000027
2.30453912,-4.080000401,-10.1760006,-0.753000021
2.32156398,-1.912950039,-11.77095032,-0.145050004
2.33858859,-0.609000027,-11.97705078,0.52395004
2.35561328,-0.096000001,-11.30595016,0.421050012
2.37263792,-1.393950105,-10.60200024,1.207050085
2.38966255,-2.629050016,-10.10205078,1.609050035
2.40668739,-3.913050175,-9.73800087,1.36500001
2.42371197,-3.721050262,-9.367050171,0.91200006
2.44073668,-3.237000227,-8.641050339,1.477050066
2.45776131,-2.653050184,-8.323050499,1.671000123
2.47478618,-1.987950087,-7.758000374,1.690050125
