Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.01556245,-0.366987497,-2.160675049,0.436975002
0.03258584,-0.766425014,-1.779525042,0.114399999
0.04960927,-1.030287504,-1.367849946,-0.210512504
0.06663287,-1.20381248,-0.890174985,-0.388850004
0.08365631,-1.27957499,-0.344024986,-0.239800006
0.1006799,-1.395624995,0.599087477,0.0056375
0.11770335,-0.660137475,1.119524956,0.068062499
0.13472699,0.614075005,-0.207212493,0.500500023
0.15175038,1.097937465,-1.720950007,0.880412519
0.16877387,0.763125002,-1.632949948,0.693549991
0.18579748,0.148637503,-1.156512499,0.154825002
0.20282094,-0.270462513,0.0518375,-0.087174997
0.2198446,-0.271699995,1.224575043,0.075350001
0.23686806,-0.613662481,1.213575006,-0.0004125
0.25389167,-0.610087514,0.64556247,-0.0859375
0.27091513,-0.728612483,0.010312499,-0.303324997
0.28793875,-1.049812436,0.203225002,-0.71389997
0.30496221,-1.372387528,0.958237469,-1.112100005
0.3219858,-1.532437444,1.010900021,-1.600775003
0.33900919,-1.758487463,1.080474973,-1.812112451
0.35603265,-1.899012446,0.816612482,-1.85611248
0.37305626,-1.957587481,0.640612483,-1.999112487
0.39007971,-1.837824941,0.632087469,-1.963637471
0.4071033,-1.456674933,0.456225008,-1.752300024
0.42412676,-1.264862537,0.117699996,-1.415150046
0.4411504,-1.39191246,0.155650005,-1.052287459
0.45817387,-1.395624995,0.0749375,-0.853187501
0.47519748,-1.390674949,0.088412501,-0.840950012
0.49222094,-1.393149972,0.501325011,-0.85194999
0.50924458,-1.252624989,0.771375001,-0.848237515
0.52626804,-1.067000031,0.718850017,-0.894712508
0.54329142,-1.080337524,0.458562493,-1.062049985
0.56031504,-1.154862523,0.177650005,-1.218387485
0.57733849,-1.076762438,0.104362503,-1.261150002
0.5943621,-1.018049955,0.264412493,-1.200099945
0.61138557,-1.018049955,0.626037478,-1.031525016
0.62840917,-0.80795002,1.058475018,-0.835999966
0.64543264,-0.432987511,0.965662479,-0.61984998
0.66245628,0.041112501,0.591799974,-0.463375002
0.67947972,0.227974996,0.348699987,-0.275274992
0.69650309,0.546837509,0.527037501,0.127875
0.71352678,1.063699961,0.661374986,0.790075004
0.73055019,1.421612501,0.1519375,1.432612538
0.74757382,2.24867487,0.195937499,1.870000005
0.76459729,2.929162502,0.330274999,2.130287409
0.78162091,2.796062469,0.237462506,2.220624924
0.79864436,2.662824869,-0.424737483,2.048475027
0.81566798,2.456437588,-0.53460002,1.834662437
0.83269145,2.2816751,0.472037494,1.515799999
0.84971506,1.82228744,1.388337493,1.328799963
0.86673857,1.350800037,2.093300104,1.631850004
0.88376216,1.237087488,1.44333744,2.078999996
0.90078556,1.286037445,0.840950012,2.372149944
0.91780924,1.182224989,-0.116875,2.374624968
0.93483269,1.223749995,-0.93046248,2.324574947
0.95185631,1.270087481,-1.59018755,2.133862495
0.96887973,1.178512454,-2.120387554,1.843187451
