Time(s);X(m/s^2);Y(m/s^2);Z(m/s^2)
0,000738737;-0,814050019;-7,345950127;1,281000018
0,017766976;-3,10800004;-7,471050262;1,932000041
0,034795053;-3,937050104;-6,772050381;2,844000101
0,051823379;-2,49000001;-6,424050331;1,927050114
0,068851595;-1,707000136;-7,059000492;-0,295950025
0,085879674;-2,233950138;-6,664050102;0,043050002
0,102907961;-3,814050198;-6,271050453;3,177000046
0,119936187;-3,895950079;-7,381950378;4,018050194
0,136964288;-3,561000109;-11,05305099;3,603000164
0,153992619;-4,051050186;-13,46100044;4,747950077
0,17102085;-2,170050144;-13,74900055;4,687950134
0,188049136;2,520000219;-14,54100037;6,855000496
0,205077197;3,970950127;-15,4480505;7,104000568
0,222105408;1,876050115;-12,7140007;4,528050423
0,239133703;-0,484050036;-9,819000244;5,665050507
0,256161792;-1,144950032;-8,959950447;5,124000072
0,273190071;-0,838050067;-9,159000397;4,51995039
0,290218313;-0,201000005;-8,476050377;4,240050316
0,307246389;-0,472050011;-7,02300024;4,069950104
0,324274593;-0,397950023;-6,469950199;4,288050175
0,341302866;0,118050009;-6,372000217;3,979050159
0,35833098;0,658950031;-6,616050243;3,091050148
0,37535929;1,147950053;-6,712050438;2,341950178
0,392387543;1,236000061;-6,444000244;1,978050113
0,409415653;0,889050067;-5,917050362;2,133000135
0,426443884;0,295950025;-5,88105011;2,818050146
0,443472188;-0,594000042;-5,991000175;3,09795022
0,460500292;-1,765050054;-6,094050407;3,522000074
0,477528602;-2,727000237;-6,336000443;3,979050159
0,494556837;-3,625050068;-5,794950485;3,979050159
0,511584932;-4,032000065;-6,01995039;3,259050131
0,528613255;-4,405950069;-6,460050106;3,783000231
0,545641466;-3,751950264;-7,051950455;3,916950226
0,562669529;-2,419050217;-7,62405014;4,261950016
0,579697819;-1,317000031;-7,978050232;5,13105011
0,596726029;-0,670950055;-8,541000366;5,272050381
0,613754068;-0,106050007;-9,067950249;4,726050377
0,630782402;0,448950023;-9,529950142;4,699950218
