Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.027551356,-3.774000168,-8.54805088,-0.436950028
0.044574056,-3.778950214,-8.560050011,-0.384000003
0.061596857,-3.798000097,-8.529000282,-0.379950017
0.078619655,-3.817050219,-8.518950462,-0.436950028
0.095642423,-3.850050211,-8.480999947,-0.44205001
0.112665206,-3.879000187,-8.480999947,-0.418050021
0.129687975,-3.862050295,-8.473950386,-0.435000032
0.146710753,-3.817050219,-8.527050018,-0.432000011
0.163733294,-3.754950285,-8.551050186,-0.44205001
0.180756092,-3.775950193,-8.545949936,-0.448950023
0.197778857,-3.790950298,-8.515049934,-0.423000008
0.214801525,-3.795000076,-8.54295063,-0.400950015
0.231824362,-3.814050198,-8.562000275,-0.384000003
0.248847018,-3.80700016,-8.467050552,-0.796050012
0.265869764,-3.80700016,-8.449950218,-1.099950075
0.282892523,-3.805050135,-8.447999954,-1.183950067
0.299915302,-3.805050135,-8.431050301,-1.258050084
0.316938076,-3.822000265,-8.42595005,-1.30095005
0.333960831,-3.790950298,-8.443050385,-1.318050027
0.350983347,-3.775950193,-8.460000038,-1.323000073
0.368006117,-3.76695013,-8.437950134,-1.315950036
0.385028833,-3.786000252,-8.445000648,-1.243950009
0.402051708,-3.778950214,-8.445000648,-1.182000041
0.419074402,-3.759000063,-8.447999954,-1.138950109
0.436097196,-3.730950117,-8.449950218,-1.110000014
0.453119942,-3.723000288,-8.48595047,-1.036050081
0.470142768,-3.702000141,-8.530950546,-0.757950008
0.487165543,-3.585000277,-8.578950882,-0.610050023
0.504188119,-3.453000069,-8.497950554,-0.645000041
0.521210874,-3.345000267,-8.412000656,-0.721950054
0.538233675,-3.379050255,-8.400000572,-0.73605001
0.555256352,-3.538950205,-8.211000443,-0.901950061
0.572279068,-3.763950109,-7.95195055,-0.832050026
0.589301816,-4.150050163,-7.906050205,-0.70995003
0.606324586,-4.594950199,-8.020950317,-0.874950051
0.623347364,-4.834050179,-8.100000381,-1.062000036
0.640370124,-5.107050419,-8.044950485,-1.069050074
0.657392884,-5.316000462,-8.023950577,-0.958950043
0.674415398,-5.545950413,-8.160000801,-0.811050057
0.691438116,-5.862000465,-8.389950752,-0.447000027
0.708460891,-5.581050396,-8.800050735,0.169950008
0.72548365,-4.743000031,-9.027000427,0.637050033
0.742506352,-4.09005022,-8.893050194,0.927000046
0.759529138,-3.817050219,-8.562000275,0.121950008
0.776551908,-3.964950085,-8.220000267,-0.30795002
0.793574692,-4.120950222,-8.112000465,-0.516000032
0.810597437,-4.532999992,-7.999950409,-0.937950015
0.827620217,-4.705049992,-7.738950253,-1.32795012
0.844642747,-4.830000401,-7.341000557,-0.906000018
0.86166554,-5.124000072,-7.096950531,-0.352950007
0.878688314,-5.662950039,-7.309950352,-0.13305001
0.895711097,-6.228000164,-7.80300045,-0.078000002
0.912733794,-6.574950218,-8.320950508,0.117000006
0.92975664,-6.682950497,-8.281949997,0.457050026
0.946779331,-5.944950104,-8.593950272,0.955050051
0.96380209,-5.248950481,-9.013050079,1.48695004
0.980824864,-5.533950329,-9.493950844,2.967000246
0.997847653,-6.268950462,-10.54305077,4.759950161
1.014870422,-6.454950333,-11.64600086,5.362950325
1.031892962,-5.506950378,-11.48400021,4.564050198
1.048915747,-5.919000149,-10.11195087,3.852000237
1.06593854,-6.20595026,-8.959950447,3.486000061
1.082961299,-5.038050175,-7.846950531,1.908000112
1.099984068,-2.884950161,-6.879000187,-1.062000036
1.117006862,-2.026050091,-6.496050358,-1.822950125
1.134029573,-1.960950136,-7.036950111,-0.379950017
1.151052333,-1.600050092,-7.243050575,1.05795002
1.168075107,-0.880950034,-7.537950516,1.888950109
1.185097874,-0.631950021,-7.513950348,1.899000049
1.202120611,-1.261950016,-7.095000267,1.876950145
1.219143375,-2.008949995,-6.20595026,1.96995008
1.236165887,-3.088950157,-5.254050255,1.741050124
1.25318867,-4.180950165,-4.525950432,1.438950062
1.270211434,-4.80795002,-4.336950302,1.309950113
1.287234222,-5.188950062,-4.648050308,1.774050117
1.304256993,-5.301000118,-5.34705019,2.694000244
1.321279775,-4.327050209,-6.604050159,3.250950098
1.33830255,-3.376050234,-7.863000393,3.414000273
1.355325314,-2.613000154,-8.833050728,3.618000269
1.372348078,-2.964000225,-9.440999985,4.221000195
1.389370784,-4.243050098,-8.992950439,4.470000267
1.406393646,-4.858050346,-8.518950462,3.517050266
1.423416355,-5.481000423,-7.747950554,2.491950035
1.440439114,-5.74695015,-7.372950554,1.975050092
1.457461891,-5.823000431,-7.102050304,1.294950008
1.474484668,-5.383050442,-7.198050499,0.867000043
1.491507403,-4.867950439,-7.549950123,1.420050025
1.508530186,-4.393949986,-8.452050209,2.157000065
1.525552937,-4.518000126,-10.15200043,2.179050207
1.542575706,-6.040950298,-11.62995052,1.068000078
1.559598251,-7.126050472,-11.38305092,-0.241050005
1.576621004,-6.570000172,-10.03995037,-0.748050034
1.593643788,-5.197950363,-8.69204998,-0.622050047
1.610666531,-3.642000198,-8.076000214,0.583950043
1.627689281,-2.464050055,-8.116950035,1.063050032
1.644712031,-1.686000109,-8.179050446,0.625050008
1.661734781,-1.369950056,-8.116950035,-1.231950045
1.678757535,-1.899000049,-7.923000336,-2.512950182
1.69578031,-2.670000076,-8.170050621,-2.218950033
1.712803103,-3.123000145,-8.389950752,-1.869000077
1.729825877,-3.84795022,-8.62005043,-2.362050056
1.746848577,-4.995000362,-8.971950531,-3.0160501
1.763871358,-5.311050415,-9.420000076,-3.169050217
1.780894106,-5.488050461,-9.175050735,-2.560950041
1.797916877,-5.869050503,-8.167050362,-1.270050049
1.814939669,-6.157950401,-7.036950111,-0.475050032
1.831962454,-5.869050503,-6.244950294,-1.050000072
1.848985245,-5.032950401,-6.508050442,-2.068050146
1.866008029,-3.895950079,-6.802950382,-1.399950027
1.88303076,-2.512050152,-7.341000557,-0.487050027
1.900053496,-1.909050107,-7.714950562,-0.33405003
1.917076241,-2.042999983,-7.972950459,-0.45600003
1.934098995,-3.235050201,-7.902000427,-0.640950024
1.951121741,-4.008000374,-7.990050316,-0.946950018
1.968144295,-4.236000061,-8.191050529,-1.30095005
1.985167316,-4.138050079,-8.359050751,-1.777950048
2.002189857,-4.293000221,-8.62005043,-1.94595015
2.019212837,-4.534950256,-8.992950439,-2.07494998
2.036235572,-4.648050308,-9.232950211,-2.070000172
2.053258327,-4.618950367,-9.118050575,-1.909950137
2.070281135,-4.636050224,-8.698950768,-1.420950055
2.087303668,-4.951950073,-8.200950623,-1.063950062
2.104326465,-5.854050159,-8.071949959,-0.681000054
2.121349227,-6.963000298,-8.348999977,0.208050013
2.138372006,-7.180950165,-8.515049934,1.651950121
2.155394765,-7.186050415,-8.842950821,1.918050051
2.17241751,-7.59705019,-9.601950645,1.117950082
2.189440504,-7.933050156,-10.33395004,1.039050102
2.206463033,-7.654950142,-11.14605045,1.534950018
2.223485809,-6.831000328,-11.10300064,1.302000046
2.240508569,-5.467050076,-10.38195038,0.297000021
2.257531348,-4.305000305,-9.757050514,-0.186000004
2.274554146,-4.210050106,-10.9470005,0.25395
2.291576917,-3.843000174,-14.15100098,1.23300004
2.308599705,-1.351050019,-15.79305077,-0.373050004
2.325622469,0.268950015,-15.16605091,-0.598050058
2.342645281,-0.628050029,-11.15505028,-0.945000053
2.359668069,-1.356000066,-7.21200037,-1.1410501
2.376690837,-2.092950106,-5.400000095,-3.880050182
