Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.01222055,0.72132498,1.464650035,-0.337287486
0.0292437,0.964424968,1.155550003,-0.179712504
0.04626677,1.040187478,0.091437496,0.014575
0.06329007,0.948475003,-1.030149937,0.219862506
0.08031314,1.123237491,-1.489537477,0.577775002
0.09733622,1.58743751,-1.53339994,1.067687511
0.11435938,2.01382494,-1.418587446,1.420787454
0.13138247,2.193399906,-1.286725044,1.589362502
0.14840554,2.098112583,-1.221962452,1.617550015
0.16542886,2.153112411,-0.951912522,1.619887471
0.18245192,2.32911253,-0.551237524,1.578362465
0.19947501,2.315637589,-0.0320375,1.264449954
0.21649817,2.029774904,-0.060087498,0.907637477
0.23352125,1.480049968,-0.513287485,0.664537489
0.25054432,0.458700001,-1.406350017,0.533774972
0.26756765,0.0506,-1.129012465,0.647487521
0.28459074,0.589325011,-0.28490001,0.877112508
0.30161383,1.042662501,0.34306249,1.050637484
0.31863697,1.082949996,0.379774988,0.945587516
0.33566007,0.882475019,0.295487493,0.806299985
0.35268313,0.5000875,0.099962503,0.781825006
0.36970646,0.0188375,-0.36066249,0.879587472
0.38672953,-0.502837479,-0.839574993,0.987112522
0.40375259,-0.957412481,-1.130249977,0.994400024
0.42077574,-1.279850006,-1.297724962,0.863637507
0.43779884,-1.44608748,-1.275725007,0.631537497
0.45482198,-1.542612433,-1.177962542,0.345674992
0.47184528,-1.606137514,-0.820050001,0.072049998
0.48886834,-1.706237435,-0.215187505,-0.063662499
0.50589141,-1.661000013,0.273487508,-0.030662499
0.52291472,-1.312849998,0.161012501,-0.0171875
0.53993781,-0.997699976,-0.078374997,-0.063662499
0.55696084,-0.836412489,0.224537492,0.186862499
0.573984,-0.418549985,0.076724999,0.552200019
0.59100708,0.139699996,0.395587504,0.914924979
0.60803041,0.424462497,0.606925011,0.74634999
0.62505347,0.111649998,-0.288612485,0.349387497
0.64207655,-0.231687501,-1.31477499,-0.0342375
0.65909968,-0.489499986,-1.717924953,-0.557150006
0.67612274,-0.417312503,-1.472350001,-0.581624985
0.69314583,-0.485787511,-0.086899996,-0.454575002
0.71016915,-0.727649987,1.157887459,-0.543675005
0.72719223,-0.682412505,1.269124985,-0.607200027
0.74421541,-0.372212499,1.210549951,-0.63538748
0.76123849,-0.372212499,1.285074949,-0.81743747
0.77826177,-0.79241252,1.254412532,-1.132587552
0.79528484,-1.27751255,1.303362489,-1.332924962
0.81230792,-1.501087546,1.048025012,-1.137537479
0.82933108,-1.359325051,0.460350007,-0.84920001
0.84635417,-1.025750041,0.070675001,-0.797912478
0.86337749,-0.642125011,0.746212483,-0.905300021
0.88040055,-0.35997501,1.24712503,-0.807675004
0.89742363,-0.247500002,1.299649954,-0.590149999
0.9144467,-0.279262513,0.95273751,-0.486337483
0.93146986,0.101887502,-0.585474968,-0.375099987
0.94849292,0.208175004,-0.669762492,-0.503387511
0.96551624,-0.193737492,-0.260425001,-0.393525004
0.98253932,-0.593312502,0.40535,-0.218762502
0.99956251,-0.926750004,1.446225047,-0.250524998
1.0165856,-1.011175036,2.586100101,-0.431337506
1.03360889,-0.765599966,2.863437414,-0.674437523
1.05063197,-0.127875,1.746799946,-0.816200018
1.06765504,0.401225001,0.560587525,-0.880962491
1.08467821,0.503799975,0.339349985,-0.910250008
1.1017013,0.347462505,0.972262502,-0.890725017
1.1187246,0.233750001,1.62469995,-0.777149975
1.1357477,0.315699995,1.658800006,-0.643912494
1.15277084,0.5000875,1.375412464,-0.457049996
1.16979393,0.684612513,0.881787479,-0.267574996
1.18681697,0.761612475,-0.132137492,0.0182875
1.20384028,0.755424976,-1.402775049,0.431199998
1.22086334,1.18552494,-1.822975039,0.851400018
1.23788644,1.600912452,-1.675162435,1.313262463
1.25490962,1.829300046,-1.96844995,1.613837481
1.27193266,2.161637545,-2.242074966,1.786124945
1.28895594,2.594212532,-2.505937576,1.721362472
1.30597901,2.876362562,-1.824212432,1.458600044
1.32300206,2.73707509,-0.127324998,1.191162467
1.34002522,2.487925053,1.214125037,1.088449955
1.35704827,1.912487507,0.798737466,0.956587493
1.3740716,1.189237475,0.048675001,0.949162483
1.39109466,0.302224994,-0.626999974,0.932112515
1.40811785,-0.287787497,-0.7051,1.056687474
1.42514094,0.122649998,-0.0026125,1.222924948
1.44216422,0.630850017,0.374825001,1.320549965
1.45918731,0.914375007,0.212300003,1.112925053
1.47621046,0.869137466,-0.080849998,1.054212451
1.49323356,0.430512488,-0.591525018,1.087212443
1.51025689,-0.221787497,-0.98119998,1.095875025
1.52727996,-0.864462495,-1.180437446,1.077450037
1.54430313,-1.359325051,-1.335537434,1.077450037
1.56132623,-1.651237488,-1.47111249,1.009112477
1.57834934,-1.741712451,-1.465062499,0.777012467
1.59537262,-1.669525027,-1.237774968,0.484962493
1.61239568,-1.526662469,-0.743049979,0.135574997
1.62941883,-1.123512506,-0.283662498,-0.105187498
1.64644189,-0.595650017,0.074249998,-0.150287494
1.66346519,-0.701937497,0.516587496,0.0243375
1.68048828,-0.465025008,0.365062505,0.365199983
1.69751143,0.112887502,0.170774996,0.537487507
1.71453452,0.280225009,-0.124849998,0.390912503
1.7315578,-0.008112499,-0.182187498,0.0793375
1.74858085,-0.562650025,-0.100374997,-0.248050004
1.76560396,-1.079512477,-0.038087498,-0.812487483
1.78262706,-1.00622499,-0.333712488,-1.46973753
1.79965039,-1.05627501,-0.140662506,-1.396450043
1.81667347,-1.244512439,0.322299987,-0.939537466
1.83369655,-1.44608748,0.736450017,-0.746625006
1.85071973,-1.393562436,0.824450016,-0.632912517
1.86774281,-1.253037453,0.672924995,-0.564575017
1.88476611,-1.206562519,0.467637509,-0.691624999
1.90178919,-1.202987552,0.164725006,-0.784437478
1.91881236,-1.191987514,-0.28490001,-0.770962477
1.93583543,-1.041700006,-0.375237495,-0.718437493
1.95285874,-0.765599966,0.283250004,-0.641437471
1.96988178,-0.490737498,1.358362436,-0.631675005
1.98690491,-0.2182125,2.181712389,-0.656149983
2.003928,0.113987498,2.05095005,-0.669624984
2.02095132,0.253275007,1.039499998,-0.60967499
2.03797438,-0.086350001,0.330825001,-0.499812484
2.05499751,-0.342925012,0.356537491,-0.442337483
2.07202059,-0.340449989,0.696162522,-0.382524997
2.08904387,-0.363687486,1.260599971,-0.338524997
2.10606693,-0.544499993,1.939849973,-0.306762487
2.1230901,-0.688600004,2.279474974,-0.464337498
2.14011318,-0.709362507,1.800562501,-0.712387502
2.15713651,-0.498025,1.176312447,-0.788150013
2.17415957,-0.176687494,0.751162469,-0.812487483
2.19118272,0.0419375,0.837787509,-0.781962514
2.2082058,0.0749375,1.419412494,-0.772199988
2.22522911,0.050462499,1.75532496,-0.672100008
2.24225229,0.121412501,1.609987497,-0.477812499
2.25939374,0.403562486,1.239837527,-0.256712496
2.27629845,0.69561249,0.71321249,-0.098999999
2.29332176,0.800662518,-0.374137491,0.136675
2.31034486,0.76394999,-1.677637458,0.516725004
2.32736802,0.999899983,-2.26283741,0.805062473
2.34439107,1.687674999,-1.798637509,1.040874958
2.36141442,2.322925091,-0.999624968,1.198449969
2.37843753,2.447637558,-0.769862473,1.254687548
2.39546069,2.206875086,-1.003200054,1.255787492
2.41248376,2.032249928,-1.042387486,1.233924985
2.42950707,2.219112396,-0.581762493,1.171499968
2.44653016,2.469500065,0.151250005,1.060400009
2.46355332,2.366925001,-0.028324999,0.926062524
2.48057639,1.858724952,-0.584237516,0.713349998
2.49759968,0.744562507,-1.380774975,0.779349983
2.51462277,0.045649998,-1.257300019,0.995637476
2.53164596,0.359699994,-0.453474999,1.126399994
2.54866921,0.657800019,-0.0441375,1.112925053
2.56569226,0.76532501,0.0193875,1.007874966
2.58271531,0.701799989,0.244062498,0.879587472
2.59973846,0.436699987,0.074249998,0.88440001
2.61676153,0.0078375,-0.310474992,0.886874974
2.63378482,-0.411262512,-0.600049973,0.926062524
2.650808,-0.754599989,-0.761337519,0.943112493
2.66783106,-1.026987553,-0.881099999,0.853874981
2.68485438,-1.237087488,-1.048437476,0.693825007
2.70187752,-1.373899937,-1.118149996,0.467912495
2.71890058,-1.491187453,-1.015437484,0.179574996
2.73592367,-1.543712497,-0.56099999,-0.0562375
2.75294701,-1.365375042,-0.183424994,-0.143000007
2.76997011,-0.996462524,-0.0331375,-0.096524999
2.78699325,-0.854699969,0.167199999,-0.018424999
2.80401658,-0.670175016,0.070675001,0.194150001
2.82103968,-0.052112501,-0.102849998,0.379912496
2.83806283,0.607612491,0.125674993,0.493487507
2.8550859,0.6895625,-0.118662499,0.345674992
2.87210917,0.291224986,-0.361900002,0.170912504
2.88913223,-0.782649994,-0.190850005,-0.304287493
2.90615541,-1.438662529,-0.181087494,-0.989724994
2.92317871,-1.359325051,-0.646525025,-1.82902503
2.94020178,-1.741712451,-0.0075625,-1.587025046
2.95722491,-2.026337385,0.577637494,-0.590149999
2.974248,-1.943287492,0.415112495,-0.078237496
2.99127131,-1.543712497,-0.080849998,-0.0342375
3.00829434,-0.875462472,-0.226187497,-0.046475001
3.02531749,-0.135162503,0.338250011,-0.227287501
3.04234057,0.370700002,0.923449993,-0.366575003
3.05936391,0.558799982,1.474412441,-0.542575002
3.076387,0.613799989,1.746799946,-0.637862504
3.09341015,0.536800027,1.902037501,-0.711149991
3.11043324,0.199650005,1.765087485,-0.81743747
3.12745654,-0.511362493,1.136024952,-0.929775
3.14447972,-1.163800001,0.241724998,-0.822250009
3.16150279,-1.515662551,-0.0160875,-0.720912516
3.1785261,-1.322612524,0.355300009,-0.598675013
3.1955492,-0.738650024,0.687637508,-0.436287493
3.21257234,-0.419787496,1.230075002,-0.42157501
3.22959563,-0.301262498,1.737037539,-0.488812506
3.24661871,-0.224262506,2.1329,-0.612150013
3.26364188,-0.114399999,2.322237492,-0.728200018
3.28066519,-0.0276375,2.294187546,-0.882200003
3.29768826,-0.063112497,1.811562538,-1.021487474
3.31471142,-0.238975003,1.006500006,-1.092299938
3.3317345,-0.281737506,0.806024969,-0.942012489
3.34875782,-0.050875001,1.256887436,-0.658625007
3.36578091,0.371800005,1.444987535,-0.391050011
3.38280404,0.817712486,1.100549936,-0.182187498
3.39982738,1.163524985,0.518925011,-0.068475001
3.41685049,1.311337471,-0.100374997,0.043862499
3.43387363,1.37362504,-0.557287514,0.230862498
3.4508968,1.446912527,-0.900624991,0.607062519
3.46792003,1.584962487,-1.44677496,1.180024981
3.48494309,1.833012462,-2.093024969,1.573412538
3.50196624,2.050400019,-2.438837528,1.622362494
3.51898933,2.443787575,-2.477887392,1.50631249
3.53601261,2.857937574,-2.083262444,1.336500049
3.55303574,2.68702507,-0.906812489,1.088449955
3.57005884,2.316737413,0.537349999,0.83434999
3.58708214,1.820775032,0.660687506,0.616824985
3.60410528,1.231862545,0.302774996,0.599775016
3.62112839,0.089649998,-0.624525011,0.695062518
3.63815146,-0.478500009,-0.452237487,1.018737435
3.65517478,0.089649998,0.118249998,1.316837549
3.67219797,0.65161252,0.529924989,1.36083746
3.68922103,0.762712479,0.2050125,1.087212443
3.70624432,0.498849988,-0.160325006,0.982162476
3.72326749,-0.017875001,-0.59276247,1.005399942
3.74029059,-0.644599974,-1.160912514,1.089687467
3.75731386,-1.232275009,-1.603112459,1.144687533
3.77433701,-1.65989995,-1.890212536,1.189787507
3.79136009,-1.976287484,-2.129737377,1.125025034
3.80838315,-2.130287409,-2.129737377,0.899112523
3.82540646,-2.163287401,-1.871924996,0.520299971
3.84242958,-1.98605001,-1.265962481,0.140387505
3.85945288,-1.534087539,-0.420475006,0.025575001
3.87647596,-1.034412503,0.212300003,0.293150008
3.89349911,-0.733837485,0.186725006,0.636349976
3.9105222,-0.346500009,-0.311712503,0.73287499
3.92754551,0.464612484,-0.612287521,0.866112471
3.94456867,0.97171247,-0.846862495,0.713349998
3.96159174,0.435324997,-0.789524972,0.310200006
3.97861505,-0.225637496,-0.523187518,-0.047712501
3.99563814,-0.496787489,-0.238425002,-0.513287485
4.0126613,-0.704549968,0.2490125,-0.997012496
4.0296846,-1.174800038,1.336362481,-1.058062553
4.04670766,-1.173699975,2.152425051,-0.999487519
4.06373084,-0.985462487,1.713799953,-0.844250023
4.08075414,-0.595787525,0.415112495,-0.568149984
4.09777722,-0.334399998,-0.279949993,-0.376337498
4.11480036,-0.568837524,-0.0270875,-0.575574994
4.13182347,-0.941462517,0.471349984,-0.79914999
4.14884676,-1.179749966,0.653400004,-0.858962476
4.16586991,-1.257987499,0.606925011,-0.8749125
4.18289296,-1.212749958,0.319824994,-0.872437477
4.19991627,-0.939125001,0.165962502,-0.865012467
4.21693936,-0.522499979,0.390637487,-0.82348752
4.23396251,-0.419787496,0.410299987,-0.574337483
4.25098583,-0.528549969,0.053487498,-0.360525012
4.26800897,-0.297687501,-0.140799999,-0.351999998
4.28503229,-0.588500023,0.157299995,-0.441100001
4.30205537,-0.719124973,0.301537484,-0.128425002
4.31907844,-0.655600011,1.066312551,-0.168712497
4.3361016,-0.495550007,1.90079999,-0.411812484
4.35312492,-0.37826249,2.394287586,-0.631675005
4.37014799,-0.262212485,2.805962563,-0.827199996
4.38717114,-0.109587498,2.992962599,-0.971437514
4.40419444,0.0639375,2.36500001,-1.09353745
4.42121752,0.155512497,1.093124986,-1.08130002
4.43824066,-0.0105875,0.384587497,-1.078824997
4.45526388,-0.111924999,0.760924995,-0.839437485
4.47228702,-0.0033,1.032075047,-0.449762493
4.48931016,0.302224994,0.650924981,-0.128425002
4.50633346,0.773712516,0.157299995,0.0341
4.52335655,1.104812503,-0.258087486,0.169674993
4.5403797,1.165862441,-1.055862546,0.447012484
4.55740275,1.335675001,-1.801112533,0.886874974
4.57442608,1.773062468,-2.049025059,1.38654995
4.59144924,2.287450075,-2.006262541,1.580837488
4.60847232,2.567262411,-1.951262474,1.452549934
4.62549562,2.748075008,-1.676399946,1.242312551
4.64251878,2.778599977,-1.052150011,1.067687511
4.65954209,2.564787388,-0.124849998,0.873399973
4.67656517,2.278924942,0.468874991,0.690112472
4.69358827,1.790249944,0.0059125,0.568012476
4.71061142,1.158574939,-0.460762501,0.60224998
4.72763469,0.209274992,-0.845624983,0.789112508
4.74465777,0.190987498,-0.228662506,1.046924949
4.76168093,0.730949998,0.572687507,1.235025048
4.77870422,1.019287467,0.627687514,1.197212458
4.79572737,1.007050037,0.422399998,1.01639998
4.81275044,0.700424969,0.186725006,0.947924972
4.82977378,0.148224995,-0.306899995,1.010349989
4.84679694,-0.450450003,-0.767387509,1.088449955
4.86382005,-0.885362506,-0.993437469,1.089687467
4.88084331,-1.229937434,-1.132725,0.985875011
4.89786649,-1.484037519,-1.177962542,0.807537496
4.91488959,-1.689324975,-1.210962534,0.539962471
4.93191291,-1.728374958,-0.978725016,0.240624994
4.94893607,-1.568325043,-0.565812469,0.0182875
4.96595918,-1.173699975,-0.133375004,0.0463375
4.98298249,-0.88783747,0.198962495,0.356674999
5.00000567,-0.733837485,0.360249996,0.492249996
5.01702899,-0.338112503,0.147674993,0.702487469
5.03405205,0.297275007,0.042624999,0.767112494
5.0510752,0.471899986,-0.221375004,0.481249988
5.06809829,0.038224999,-0.435050011,0.142862499
5.08512161,-0.474925011,-0.618337512,-0.130762503
5.10214466,-0.480975002,-0.756387472,-0.039187498
5.11916777,-0.545737505,-0.295899987,0.229625002
5.13619109,-0.709500015,0.630162478,0.039049998
5.15321422,-0.666737497,-0.0319,-0.328762502
5.17023728,-0.428449988,-0.545050025,-0.621912479
5.18726057,-0.405212492,0.313775003,-1.006775022
5.20428373,-0.989175022,1.340075016,-1.502737522
5.2213068,-1.618374944,1.897087455,-1.881549954
5.23833007,-1.924999952,1.930087447,-1.765362501
5.25535322,-1.821187496,1.393837452,-1.352450013
5.27237652,-1.54756248,0.477537483,-0.998250008
5.2893996,-1.162699938,-0.283662498,-0.932250023
5.3064227,-0.818262518,-0.630575001,-0.945725024
5.32344585,-0.532262504,-0.209137499,-0.777012467
5.34046918,-0.129112497,0.136675,-0.474099994
5.35749235,0.625899971,-0.206662506,-0.316525012
5.3745156,0.057750002,0.327250004,-0.433812499
5.39153865,-0.456637502,0.02915,-0.282287508
5.4085618,-0.681312501,-0.277474999,-0.146712497
5.42558513,-0.676500022,0.799974978,-0.188237503
5.44260821,-0.699737489,2.4224751,-0.437387496
5.45963137,-0.740024984,3.286249876,-0.632912517
5.4766547,-0.572687507,3.028437376,-0.785674989
5.49367778,-0.267162502,2.090137482,-0.924962521
5.51070093,0.046750002,0.916024983,-0.98724997
5.52772425,0.138325006,0.086487502,-1.091062546
5.54474732,0.011275,0.140249997,-1.235162497
5.56177049,-0.044824999,0.807399988,-1.086112499
5.57879381,0.02475,1.27888751,-0.88577497
5.59581689,0.243512496,1.327837467,-0.684199989
5.61284004,0.489087492,1.104262471,-0.443574995
5.62986333,0.717474997,0.534874976,-0.279812485
5.6468864,0.828712523,-0.333712488,-0.080712497
5.66390954,0.778524995,-1.001962543,0.211337492
5.68093281,0.950812519,-1.335537434,0.492249996
5.6979559,1.276962519,-1.353824973,0.775775015
5.71497903,1.547012448,-1.382012486,1.083637476
5.73200232,1.859825015,-1.687399983,1.417075038
5.7490254,2.090687513,-2.183362484,1.535599947
5.76604856,2.349737406,-2.54498744,1.47578752
5.78307189,2.724699974,-2.322649956,1.381737471
5.80009506,2.739412546,-1.478399992,1.232687473
5.81711814,2.292262554,-0.279949993,0.983399987
5.83414148,1.713250041,0.132962495,0.838062525
5.85116463,1.291674972,0.348012507,0.75858748
5.86818773,0.454849988,-0.451000005,0.642537475
5.88521103,0.0297,-0.245712504,0.786774993
5.90223419,0.320512503,0.56911248,0.894299984
5.9192575,0.530612469,0.846449971,1.000587463
5.9362806,0.492662489,0.740162492,0.943112493
5.95330377,0.231274992,0.471349984,0.974874973
5.97032708,-0.196349993,-0.030662499,1.075112462
5.98735021,-0.694787502,-0.598812521,1.225262523
6.0043733,-1.211512446,-1.175487518,1.268025041
6.0213966,-1.658662438,-1.587162495,1.187450051
6.03841977,-1.928712487,-1.689875007,1.007874966
6.05544287,-2.02523756,-1.607924938,0.679250002
6.07246616,-2.008187532,-1.363587499,0.298099995
6.08948934,-1.918949962,-0.913962483,0.0292875
6.10651244,-1.694137454,-0.612287521,-0.013475
6.12353576,-1.323987484,-0.380187511,0.136812493
6.1405589,-1.023412466,-0.0001375,0.30043751
6.1575822,-0.830362499,0.401775003,0.459250003
6.1746053,-0.294112504,-0.0221375,0.733012497
6.19162844,0.296037495,-0.365474999,0.889349997
6.20865173,0.502425015,-0.652575016,0.662062526
6.22567481,0.271562487,-1.060675025,0.30786249
6.24269795,-0.051012501,-1.05696249,-0.0232375
6.25972126,-0.247637495,-0.873674989,-0.434912503
6.27674432,-0.317212492,-0.535287499,-0.88577497
6.29376748,-0.710737467,0.372487485,-0.836962521
6.31079076,-0.677737474,1.475649953,-0.466674984
6.32781392,-0.636212468,2.180612564,-0.140524998
6.34483698,-0.56168747,1.514699936,-0.106287502
6.36186027,-0.062012501,0.52511251,-0.123475
6.37888343,0.012512499,0.367537499,-0.369049996
6.39590653,-0.394212484,0.610637486,-0.718437493
6.41292983,-0.891550005,0.852500022,-0.997012496
6.42995301,-1.218937516,0.960025013,-1.062875032
6.44697608,-1.267750025,0.679112494,-1.075112462
6.46399941,-1.105224967,0.407824993,-1.088587523
6.48102259,-0.766837478,0.344300002,-1.01777494
6.49804587,-0.423637509,0.563062489,-0.915062487
6.51506903,-0.283112496,0.751162469,-0.79172498
6.53209235,-0.458974987,0.437249988,-0.675674975
6.54911553,-0.509162486,-0.332475007,-0.543675005
6.5661386,-0.123062499,0.300300002,-0.577912509
6.5831619,-0.400399983,0.509299994,-0.347050011
6.60018503,-0.550687492,0.749925017,-0.188237503
6.6172081,-0.691074967,1.362074971,-0.265100002
6.63423139,-0.807124972,2.251425028,-0.520437479
6.65125454,-0.815787494,2.829337597,-0.706200004
6.6682776,-0.637312472,2.769387484,-0.934724987
6.68530089,-0.246399999,1.700462461,-1.04211247
6.70232405,0.080987498,0.50077498,-1.019012451
6.71934734,0.291087508,0.244199991,-0.967587471
6.73637039,0.392562509,0.815925002,-0.850300014
6.75339351,0.374137491,1.341312528,-0.65367502
6.77041682,0.296037495,1.473175049,-0.426387489
6.78743993,0.451137483,1.224025011,-0.094187498
6.80446308,0.766425014,0.455537498,0.127049997
6.82148639,0.887287498,-0.593999982,0.311437488
6.83850949,0.791999996,-1.574924946,0.604725003
6.85553288,0.910525024,-2.295837402,0.824587524
6.87255595,1.603250027,-1.899974942,0.949162483
6.8895791,2.325262547,-1.129012465,1.09216249
6.90660243,2.521887541,-0.956862509,1.134925008
6.92362553,2.398550034,-1.054487467,1.172737479
6.9406487,2.347262383,-0.90543747,1.182500005
6.95767201,2.380262375,-0.441237509,1.126399994
6.97469515,2.383837461,0.2930125,1.017637491
6.9917182,2.067450047,0.297962487,0.850300014
7.00874149,1.595824957,0.114675,0.6523
7.02576463,0.633187473,-0.923862517,0.572962523
7.04278792,-0.1695375,-1.334300041,0.67058748
7.05981101,-0.03025,-0.933624983,0.830637515
7.07683439,0.49871251,-0.1871375,1.052974939
7.09385748,0.776049972,0.0682,0.987112522
7.11088065,0.733287513,0.070675001,0.880824983
7.12790395,0.394899994,-0.113849998,0.927162468
7.14492703,-0.068062499,-0.356949985,0.991925001
7.16195022,-0.495687485,-0.509712517,1.035925031
7.17897355,-0.873262525,-0.711287499,1.028637528
7.19599664,-1.184700012,-0.812624991,0.955349982
7.21301979,-1.444987535,-0.922625005,0.806299985
