Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.00481081,-1.653849959,0.909562469,-0.471349984
0.02183874,-1.490224957,0.951087475,-0.429825008
0.03886652,-1.34117496,0.86680001,-0.495687485
0.05589446,-1.237362504,0.745937467,-0.680212498
0.07292225,-1.150599957,0.600462496,-0.810975015
0.08995018,-1.047887444,0.448937506,-0.846312523
0.10697794,-0.968549967,0.390362501,-0.870787501
0.12400565,-0.883024991,0.279125005,-0.919737518
0.1410336,-0.801074982,0.104499996,-0.953837514
0.15806138,-0.765737474,-0.076312497,-0.9453125
0.17508931,-0.78154999,-0.233887494,-0.906262517
0.19211707,-0.768074989,-0.316937506,-0.804787517
0.20914502,-0.713074982,-0.137362495,-0.665499985
0.22617279,-0.633737505,0.374549985,-0.553162515
0.2432007,-0.582449973,1.206424952,-0.459112495
0.26022844,-0.578737497,1.560762525,-0.461450011
0.27725636,-0.777837515,1.185662508,-0.534874976
0.29428414,-1.049124956,0.165549994,-0.54944998
0.31131181,-1.309275031,-0.836274982,-0.592212498
0.3283397,-1.48527503,-1.702387452,-0.576399982
0.34536744,-1.513324976,-1.999249935,-0.485924989
0.36239535,-1.353274941,-1.76343751,-0.449349999
0.37942309,-1.093124986,-1.32494998,-0.424874991
0.39645099,-0.856074989,-0.827612519,-0.435874999
0.41347875,-0.751025021,-0.453887492,-0.45539999
0.43050666,-0.733974993,-0.177787498,-0.509162486
0.44753436,-0.732737482,0.044687498,-0.620262504
0.46456215,-0.753499985,0.285312504,-0.730262518
0.48159005,-0.744974971,-0.0067375,-0.858550012
0.49861784,-0.61173749,-0.181362495,-0.892787516
0.51564575,-0.413874984,0.003025,-0.861024976
0.53267354,-0.197587505,0.378125012,-0.788975
0.54970146,-0.033824999,0.769037485,-0.675262511
0.56672923,0.044275001,0.864324987,-0.529924989
0.58375693,0.116462499,0.479600012,-0.349112511
0.60078486,0.239800006,-0.200887501,-0.064487502
0.61781262,0.410849989,-0.60898751,0.131037504
0.63484054,0.674712479,-0.665224969,0.129799992
0.65186832,0.809050024,-0.635937512,-0.018012499
0.66889624,0.784574986,-0.738512516,-0.086487502
0.68592394,0.81881249,-0.988900006,-0.043724999
0.70295172,0.942287505,-1.061087489,0.0039875
0.71997964,1.192674994,-1.013375044,0.093087502
0.73700742,1.525012493,-1.046375036,0.229900003
0.75403522,1.819399953,-1.319999933,0.400949985
0.77106303,2.073499918,-1.692625046,0.570762515
0.78809082,2.234787464,-1.851437449,0.681999981
0.80511875,2.385075092,-1.886912465,0.822525024
0.82214652,2.468125105,-1.842912436,0.953149974
0.83917443,2.353312492,-1.416525006,0.965387523
0.85620211,1.926924944,0.324362487,0.993574977
0.87322988,1.248912454,1.070850015,1.016674995
0.89025779,0.609950006,0.427074999,1.125437498
0.90728559,0.317900002,-0.470937491,1.185387492
0.92431327,0.203087494,-1.043900013,1.119387507
0.94134122,0.045512501,-1.163662553,1.004575014
0.958369,-0.172012493,-1.305425048,1.041149974
0.97539692,-0.329587489,-1.319999933,1.039912462
0.99242471,-0.439449996,-1.461762547,0.998387516
1.00945239,-0.506687522,-1.581524968,0.943387508
1.02648032,-0.59345001,-1.641337514,0.950812519
1.04350808,-0.726687491,-1.652337432,1.083912492
1.06053602,-0.777975023,-1.568050027,1.219487548
1.0775637,-0.659449995,-1.417762518,1.302675009
1.09459149,-0.4296875,-1.415287495,1.357537508
1.11161939,-0.275824994,-1.344475031,1.27820003
1.12864705,-0.292874992,-0.891274989,1.164625049
1.14567479,-0.495550007,-0.605274975,1.081575036
1.1627027,-0.80588752,-0.637037516,1.020524979
1.17973046,-1.080749989,-0.881375015,0.989862502
1.19675816,-1.297037482,-1.23695004,0.998525024
1.21378608,-1.518137455,-1.593624949,1.018049955
