"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","Pixel 2"
"deviceBrand","google"
"deviceBoard","walleye"
"deviceManufacturer","Google"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","11"
"accelerometer Name","LSM6DSM Accelerometer"
"accelerometer Vendor","STMicroelectronics"
"accelerometer Range","156.90627"
"accelerometer Resolution","0.0023956299"
"accelerometer MinDelay","2500"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.15"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","Google"
"linear_acceleration Range","156.90625"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","20000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.0"
"linear_acceleration Version","2"
"gyroscope Name","LSM6DSM Gyroscope"
"gyroscope Vendor","STMicroelectronics"
"gyroscope Range","17.453308"
"gyroscope Resolution","0.0012207031"
"gyroscope MinDelay","2500"
"gyroscope MaxDelay","160000"
"gyroscope Power","0.45"
"gyroscope Version","1"
"magnetic_field Name","AK09915 Magnetometer"
"magnetic_field Vendor","AKM"
"magnetic_field Range","5160.006"
"magnetic_field Resolution","0.14953613"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.8"
"magnetic_field Version","1"
"pressure Name","BMP280 Pressure"
"pressure Vendor","BOSCH"
"pressure Range","1100.0001"
"pressure Resolution","0.0018005371"
"pressure MinDelay","38461"
"pressure MaxDelay","65535000"
"pressure Power","0.025"
"pressure Version","1040700"
"light Name","TMx490x ALS"
"light Vendor","AMS TAOS"
"light Range","32767.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.1"
"light Version","1"
"proximity Name","TMx490x PROX"
"proximity Vendor","AMS TAOS"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","0.1"
"proximity Version","2"
"temperature Name","LSM6DSM Thermometer"
"temperature Vendor","STMicroelectronics"
"temperature Range","85.0"
"temperature Resolution","0.00390625"
"temperature MinDelay","200000"
"temperature MaxDelay","65535000"
"temperature Power","0.45"
"temperature Version","1"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector"
"attitude Vendor","Google"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.0"
"attitude Version","2"
