"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.694535416E-1,-3.860287428E0,-1.925513625E0,3.331637681E-1
1.794325417E-1,-4.099707127E0,-1.155718088E0,4.550710320E-1
1.894425417E-1,-4.023830891E0,-1.630973518E-1,5.125425458E-1
1.994515416E-1,-3.591602802E0,4.812659323E-1,6.185528636E-1
2.094615417E-1,-2.886767864E0,8.529081345E-1,7.965041399E-1
2.194405416E-1,-2.041819096E0,9.878187776E-1,1.024029374E0
2.294505417E-1,-1.222581387E0,9.420012236E-1,1.237035871E0
2.394605416E-1,-5.431151986E-1,7.818752527E-1,1.394389749E0
2.494705417E-1,-3.567410260E-2,5.572628379E-1,1.471024513E0
2.594495417E-1,2.505920231E-1,3.528159261E-1,1.476096511E0
2.694595417E-1,3.111131489E-1,1.266980916E-1,1.427340746E0
2.794685417E-1,1.780139506E-1,-9.901838005E-2,1.338705897E0
2.894785416E-1,-7.379938662E-2,-3.344498873E-1,1.211327910E0
2.994885417E-1,-3.126857281E-1,-4.554037452E-1,1.050408363E0
3.094675416E-1,-2.907941639E-1,-5.779644251E-1,9.204889536E-1
3.194775417E-1,1.236648262E-1,-1.134615183E0,9.062501192E-1
3.294875416E-1,8.127151728E-1,-2.112555504E0,9.766873717E-1
3.394975417E-1,1.318984985E0,-1.937225819E0,8.841813803E-1
3.494765417E-1,1.364540219E0,-2.626197577E0,4.281342626E-1
3.594865417E-1,1.105109930E0,-3.190379381E0,-2.443410605E-1
3.694955417E-1,7.099793553E-1,-3.458963871E0,-1.072439671E0
3.795055416E-1,2.978258729E-1,-3.467046261E0,-1.859478354E0
3.894845417E-1,-8.728280663E-4,-3.407885551E0,-2.382164717E0
3.994945416E-1,-6.383740902E-2,-3.580971003E0,-2.529816866E0
4.095045417E-1,1.110285595E-1,-3.392111540E0,-2.316860437E0
4.195145416E-1,3.517234623E-1,-3.025859118E0,-1.882168293E0
4.294935417E-1,5.139100552E-1,-2.636636972E0,-1.379434586E0
4.395035417E-1,4.757480025E-1,-2.299199820E0,-9.665583372E-1
4.495125416E-1,8.699855208E-2,-1.436217785E0,-5.144049525E-1
4.595225417E-1,-8.159677982E-1,-4.222485125E-1,3.690502048E-1
4.695015416E-1,-1.091179490E0,-4.037938416E-1,9.502898455E-1
4.795115417E-1,-1.067764163E0,-2.182950824E-1,1.371744633E0
4.895215416E-1,-9.034662247E-1,-2.761923373E-1,1.722935438E0
4.995315417E-1,-6.978060007E-1,-3.650396466E-1,2.350806952E0
5.095105417E-1,-3.746977746E-1,-3.419202566E-1,2.820135832E0
5.195205417E-1,1.467760503E-1,-5.582152605E-1,3.053577900E0
5.295305417E-1,6.149907112E-1,-1.241194487E0,3.256260872E0
5.395395416E-1,8.206629157E-1,-2.043718338E0,3.443374157E0
5.495495417E-1,8.523458838E-1,-2.850853205E0,3.533240080E0
5.595285416E-1,9.109610319E-1,-3.699351311E0,3.558561087E0
5.695385417E-1,1.134951711E0,-4.712701321E0,3.760894775E0
5.795485416E-1,1.277392745E0,-5.578214645E0,3.825541258E0
5.895585417E-1,1.255531430E0,-6.186437130E0,3.506229401E0
5.995375417E-1,1.180754662E0,-6.373385429E0,3.041837215E0
6.095475417E-1,1.127755165E0,-6.093229294E0,2.793567896E0
6.195565417E-1,1.071869016E0,-5.641088963E0,3.078054428E0
6.295665416E-1,9.886338115E-1,-5.198138237E0,3.682642937E0
6.395455417E-1,7.338545322E-1,-4.733769417E0,4.224531651E0
6.495555416E-1,2.515529096E-1,-4.254637241E0,4.684339046E0
6.595655417E-1,-2.163717151E-1,-3.554672241E0,5.085775375E0
6.695755417E-1,-7.456293106E-1,-3.262742758E0,5.485531807E0
6.795545417E-1,-1.134693742E0,-3.059117317E0,5.756406307E0
6.895645417E-1,-1.290419459E0,-2.945095301E0,5.969167709E0
6.995735416E-1,-1.157279491E0,-3.088762999E0,6.131107807E0
7.095835417E-1,-8.288597465E-1,-3.570861101E0,6.390900612E0
7.195625416E-1,-4.660099149E-1,-4.373996258E0,6.701759815E0
7.295893750E-1,-5.377775803E-2,-5.529746056E0,7.070712090E0
7.395993750E-1,4.154416621E-1,-6.667899609E0,7.419090271E0
7.496093750E-1,8.230136633E-1,-7.410622120E0,7.633158684E0
7.595883750E-1,1.111357331E0,-7.566070557E0,7.654942513E0
7.695983750E-1,1.246154547E0,-6.971916676E0,7.574932098E0
7.796083750E-1,1.239034891E0,-5.845300674E0,7.365799427E0
7.896173750E-1,1.246017098E0,-4.640472889E0,7.136579037E0
7.996273750E-1,1.307744861E0,-3.572450161E0,6.739219189E0
8.096063750E-1,1.400738716E0,-2.793332577E0,6.179623604E0
