,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
2488,25.00668788,-2.624941406,9.417815552,-0.1017883301
2489,25.01673887,-2.661315765,9.393266602,-0.1314266968
2490,25.02678887,-2.655028839,9.369316406,-0.1172062683
2491,25.03683888,-2.657423859,9.334289246,-0.09086105347
2492,25.04688987,-2.663860474,9.303603058,-0.1001417542
2493,25.05693988,-2.663860474,9.307345276,-0.1001417542
2494,25.06699088,-2.668201447,9.339827728,-0.1037342834
2495,25.07704087,-2.680775299,9.390871582,-0.1052311707
2496,25.08709088,-2.693798218,9.417665863,-0.1026864624
2497,25.09714187,-2.704725494,9.429940338,-0.09969268799
2498,25.10719187,-2.703827362,9.398954773,-0.1089733887
2499,25.11724288,-2.705174561,9.382638702,-0.1225950623
2500,25.12729287,-2.705324249,9.361083527,-0.1487905884
2501,25.13734388,-2.696492615,9.353748779,-0.1438508606
2502,25.14739388,-2.697241058,9.338330841,-0.154329071
2503,25.15744387,-2.697690125,9.325756989,-0.169896698
2504,25.16749488,-2.704875183,9.328002319,-0.1842668152
2505,25.17754487,-2.728825378,9.358688507,-0.1886077881
2506,25.18759588,-2.758014679,9.409133606,-0.1592687988
2507,25.19764588,-2.770438843,9.425449677,-0.1182540894
2508,25.20769687,-2.772085419,9.411678314,-0.09669891357
2509,25.21774696,-2.750530243,9.365125122,-0.1038839722
2510,25.22779696,-2.729873199,9.342522125,-0.1276844788
2511,25.23784796,-2.703977051,9.341324615,-0.1513352966
2512,25.24789796,-2.714305573,9.377399597,-0.1678010559
2513,25.25794896,-2.722239075,9.396110687,-0.1507365417
2514,25.26799896,-2.714754639,9.38757843,-0.1146615601
2515,25.27804896,-2.692001953,9.359137573,-0.1279838562
2516,25.28809996,-2.685565338,9.335636444,-0.1429527283
2517,25.29814996,-2.679428101,9.328900452,-0.1745370483
2518,25.30820096,-2.679577789,9.335037689,-0.1686991882
2519,25.31825096,-2.691852264,9.362430725,-0.1627116394
2520,25.32830196,-2.714455261,9.382039948,-0.1724414062
2521,25.33835196,-2.732567596,9.385482788,-0.1727407837
2522,25.34840296,-2.731669464,9.372759247,-0.1667532349
2523,25.35845296,-2.719993744,9.362580414,-0.1438508606
2524,25.36850296,-2.701582031,9.367071075,-0.1363664246
2525,25.37855396,-2.680475922,9.341174927,-0.135617981
2526,25.38860396,-2.682421875,9.356143799,-0.1448986816
2527,25.39865496,-2.696492615,9.371112671,-0.1513352966
2528,25.40870496,-2.708467712,9.388177185,-0.1525328064
2529,25.41875596,-2.718197479,9.403595123,-0.1450483704
2530,25.42880596,-2.705024872,9.424252167,-0.1243913269
2531,25.43885596,-2.705623627,9.43562851,-0.1011895752
2532,25.44890696,-2.716101837,9.427545319,-0.1197509766
2533,25.45895696,-2.735112305,9.415270844,-0.160765686
2534,25.46900796,-2.745141449,9.369166718,-0.1567240906
2535,25.47905796,-2.739453278,9.355545044,-0.1164578247
2536,25.48910896,-2.723137207,9.374555511,-0.09639953613
2537,25.49915896,-2.696941681,9.403295746,-0.07364685059
2538,25.50920896,-2.668500824,9.43787384,-0.06301895142
2539,25.51925996,-2.631827087,9.437574463,-0.0889151001
2540,25.52930996,-2.621348877,9.426048431,-0.1347198486
2541,25.53936096,-2.641257477,9.388626251,-0.1788780212
2542,25.54941096,-2.681673431,9.356293488,-0.1565744019
2543,25.55946196,-2.725681915,9.343569946,-0.1380130005
2544,25.56951196,-2.765798492,9.337133331,-0.1663041687
2545,25.57956296,-2.769690399,9.324110413,-0.1663041687
2546,25.58961296,-2.743494873,9.319470062,-0.146844635
2547,25.59966296,-2.724933472,9.309590607,-0.1222956848
2548,25.60971396,-2.715054016,9.307794342,-0.1050814819
2549,25.61976396,-2.726130981,9.335786133,-0.08936416626
2550,25.62981496,-2.739453278,9.372908936,-0.09654922485
2551,25.63986496,-2.749183044,9.373657379,-0.1037342834
2552,25.64991596,-2.740052032,9.363328857,-0.07349716187
2553,25.65996596,-2.710114288,9.355545044,-0.06825805664
2554,25.67001696,-2.695145416,9.352700958,-0.07813751221
2555,25.68006696,-2.701582031,9.368717651,-0.1076261902
2556,25.69011696,-2.703228607,9.367370453,-0.1252894592
2557,25.70016796,-2.698288879,9.378297729,-0.1230441284
2558,25.71021796,-2.691403198,9.387129364,-0.1017883301
