,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
6467,65.00351912,-0.1588197327,9.727820892,-0.06765930176
6468,65.01357012,-0.154329071,9.724078674,-0.06661148071
6469,65.02362112,-0.1516346741,9.724976807,-0.093256073
6470,65.03367312,-0.1700463867,9.721833344,-0.08756790161
6471,65.04372413,-0.1905537415,9.723479919,-0.0802331543
6472,65.05377512,-0.2076182556,9.738299103,-0.09909393311
6473,65.06382612,-0.2001338196,9.742041321,-0.08472381592
6474,65.07387712,-0.1896556091,9.729916534,-0.09310638428
6475,65.08392812,-0.1830693054,9.744586029,-0.09056167603
6476,65.09398012,-0.182769928,9.754764862,-0.03712280273
6477,65.10403112,-0.1749861145,9.753717041,-0.01901046753
6478,65.11408213,-0.1826202393,9.753717041,-0.05373825073
6479,65.12413312,-0.1919009399,9.769733734,-0.1203497314
6480,65.13418412,-0.1869612122,9.776769104,-0.1365161133
6481,65.14423512,-0.1941462708,9.778565369,-0.1191522217
6482,65.15428712,-0.1959425354,9.755363617,-0.1044827271
6483,65.16433812,-0.2010319519,9.722731476,-0.06765930176
6484,65.17438912,-0.2019300842,9.717043304,-0.04999603271
6485,65.18444013,-0.1872605896,9.719438324,-0.04490661621
6486,65.19449112,-0.1794767761,9.737700348,-0.08008346558
6487,65.20454212,-0.1749861145,9.754465485,-0.1222956848
6488,65.21459412,-0.1564247131,9.764045563,-0.1742376709
6489,65.22464512,-0.12753479,9.766889648,-0.1481918335
6490,65.23469612,-0.100740509,9.769434357,-0.09265731812
6491,65.24474712,-0.1203497314,9.757758636,-0.06227050781
6492,65.25479813,-0.1558259583,9.745334473,-0.05912704468
6493,65.26484912,-0.190254364,9.742939453,-0.04415817261
6494,65.27490012,-0.1905537415,9.75970459,-0.05553451538
6495,65.28495212,-0.1823208618,9.789941711,-0.06616241455
6496,65.29500312,-0.1643582153,9.796827393,-0.09879455566
6497,65.30505412,-0.1483415222,9.77138031,-0.1422042847
6498,65.31510512,-0.1335223389,9.751621399,-0.1508862305
6499,65.32515613,-0.1196012878,9.728419647,-0.1279838562
6500,65.33520712,-0.1187031555,9.725126495,-0.09804611206
6501,65.34525912,-0.1234931946,9.723928986,-0.08876541138
6502,65.35531012,-0.1425036621,9.740394745,-0.09430389404
6503,65.36536112,-0.1357676697,9.74683136,-0.1122665405
6504,65.37541212,-0.1197509766,9.769883423,-0.1031355286
6505,65.38546312,-0.1130149841,9.749675446,-0.1209484863
6506,65.39551413,-0.1178050232,9.710007935,-0.1538800049
6507,65.40556612,-0.1245410156,9.733359375,-0.1681004333
6508,65.41561712,-0.146844635,9.768236847,-0.1288819885
6509,65.42566812,-0.1552272034,9.766440582,-0.09999206543
6510,65.43571912,-0.1440005493,9.760752411,-0.1079255676
6511,65.44577013,-0.1585203552,9.778265991,-0.1347198486
6512,65.45582112,-0.1761836243,9.789342957,-0.1528321838
6513,65.46587313,-0.1863624573,9.781409454,-0.1252894592
6514,65.47592412,-0.1781295776,9.769733734,-0.1450483704
6515,65.48597512,-0.1556762695,9.779014435,-0.1655557251
6516,65.49602612,-0.1489402771,9.772278442,-0.1802252197
6517,65.50607712,-0.1287322998,9.755513306,-0.16615448
6518,65.51612813,-0.107177124,9.740245056,-0.1772314453
6519,65.52618012,-0.1019380188,9.716743927,-0.1826202393
6520,65.53623113,-0.1149609375,9.687704315,-0.1812730408
6521,65.54628212,-0.1309776306,9.717342682,-0.1633103943
6522,65.55633312,-0.1312770081,9.765841827,-0.167202301
6523,65.56638467,-0.1386117554,9.790540466,-0.1523831177
6524,65.57643567,-0.1347198486,9.788744202,-0.1496887207
6525,65.58648667,-0.1197509766,9.777667236,-0.1496887207
6526,65.59653867,-0.1065783691,9.742041321,-0.1856140137
6527,65.60658967,-0.1002914429,9.708511047,-0.2189945984
6528,65.61664067,-0.1011895752,9.702972565,-0.1899549866
6529,65.62669167,-0.09460327148,9.72692276,-0.1547781372
6530,65.63674267,-0.09774673462,9.773625641,-0.1643582153
6531,65.64679367,-0.1204994202,9.837991791,-0.2137554932
6532,65.65684567,-0.1281335449,9.837991791,-0.2038760376
6533,65.66689667,-0.1267863464,9.781858521,-0.1603166199
6534,65.67694767,-0.1086740112,9.760153656,-0.126486969
6535,65.68699867,-0.1272354126,9.736502838,-0.1381626892
6536,65.69704967,-0.1514849854,9.702074432,-0.1583706665
6537,65.70710067,-0.1493893433,9.682315521,-0.1775308228
6538,65.71715267,-0.1288819885,9.713301086,-0.1796264648
6539,65.72720367,-0.1097218323,9.750872955,-0.1905537415
6540,65.73725467,-0.1044827271,9.765243073,-0.1874102783
6541,65.74730567,-0.112565918,9.756112061,-0.1745370483
6542,65.75735667,-0.1203497314,9.754914551,-0.1516346741
6543,65.76740767,-0.1492396545,9.753417664,-0.1254391479
6544,65.77745967,-0.1499880981,9.767189026,-0.1392105103
6545,65.78751067,-0.1380130005,9.779912567,-0.16615448
6546,65.79756167,-0.1501377869,9.799671478,-0.1683998108
6547,65.80761267,-0.1562750244,9.796977081,-0.1685494995
6548,65.81766367,-0.1276844788,9.774374084,-0.146844635
6549,65.82771467,-0.09984237671,9.748328247,-0.1416055298
6550,65.83776567,-0.09505233765,9.730515289,-0.1462458801
6551,65.84781767,-0.09520202637,9.734257507,-0.1598675537
6552,65.85786867,-0.1145118713,9.733059998,-0.185464325
6553,65.86791967,-0.1450483704,9.723928986,-0.200433197
6554,65.87797067,-0.1598675537,9.723928986,-0.1787283325
6555,65.88802167,-0.1484912109,9.738149414,-0.1652563477
6556,65.89807267,-0.1517843628,9.764794006,-0.1447489929
6557,65.90812467,-0.1519340515,9.764644318,-0.1586700439
6558,65.91817567,-0.1435514832,9.754615173,-0.1812730408
6559,65.92822667,-0.1398092651,9.785001984,-0.2038760376
6560,65.93827767,-0.1308279419,9.798473969,-0.2281256104
6561,65.94832867,-0.1585203552,9.788594513,-0.1826202393
