Time (s),X (rad/s),Y (rad/s),Z (rad/s)
20.00757912,0.00069442,0.0392907,0.007391562
20.01763112,-0.001160739,0.035338838,0.00132568
20.02768312,-0.007329564,0.02956816,0.002794428
20.03773412,-0.011327501,0.022321433,0.004961974
20.04778612,-0.008096715,0.026934307,0.006306751
20.05783713,-0.009152925,0.032345586,0.000600928
20.06788912,-0.00787165,0.027123209,-0.001853817
20.07794113,-0.007771781,0.012172489,6.63E-05
20.08799212,-0.007027667,0.011050655,0.001382807
20.09804413,-0.009111324,0.030034997,0.002597208
20.10809512,-0.004328581,0.043156505,-0.001963539
20.11814713,0.001160994,0.030517675,0.000261266
20.12819912,0.003923424,0.008387521,0.006400538
20.13825012,0.006823872,-0.011473269,0.011857888
20.14830212,0.002943022,-0.013867086,0.008418939
20.15835412,-0.00035264,-0.009270471,0.003758673
20.16840513,-0.001079883,-0.008385417,0.003062638
20.17845712,-0.006724187,-0.018877208,0.003112972
20.18850813,-0.008183027,-0.028382367,0.005800132
20.19856012,-0.01209015,-0.038307969,0.004931941
20.20861213,-0.017182739,-0.052763045,0.008804512
20.21866312,-0.021206509,-0.061325375,0.008855112
20.22871513,-0.025440019,-0.06147046,0.01035483
20.23876612,-0.022408277,-0.047345586,0.013066993
20.24881812,-0.017192073,-0.025795652,0.010815517
20.25887012,-0.006082964,-0.005928736,0.005644191
20.26892112,0.010067843,0.004030506,0.003098058
20.27897313,0.025498463,0.01661554,-0.002197904
20.28902512,0.03105648,0.020515207,-0.008759934
20.29907613,0.034034692,0.015770253,-0.012979978
20.30912812,0.035673764,-0.002091317,-0.011680234
20.31917913,0.036096405,-0.029380728,-0.009957967
20.32923112,0.03410745,-0.042078692,-0.007179903
20.33928313,0.026821578,-0.039048281,-0.011452679
20.34933412,0.021514308,-0.031441554,-0.0118352
20.35938612,0.017068427,-0.024689108,-0.010110004
20.36943712,0.01878068,-0.022058155,-0.007514874
20.37948912,0.02360473,-0.017842906,-0.005991813
20.38954112,0.024496583,-0.01605612,-0.004314318
20.39959212,0.026238823,-0.013225979,-0.005766007
20.40964413,0.020890329,-0.018807784,-0.001914126
20.41969612,0.024274144,-0.022313835,0.0002947
20.42974713,0.021180162,-0.035500348,0.002116895
20.43979912,0.021456331,-0.048661426,0.002674561
20.44985013,0.025938965,-0.056452505,0.001418082
20.45990212,0.029658336,-0.064976215,-0.003791328
20.46995413,0.02944535,-0.074674033,-0.007191537
20.48000512,0.023059621,-0.071801543,-0.009967084
20.49005712,0.022188073,-0.065826274,-0.008351919
20.50010813,0.02517321,-0.058524683,-0.007810232
20.51016012,0.02416442,-0.053669095,-0.006510742
20.52021213,0.020083927,-0.048094299,-0.008933952
20.53026312,0.022476777,-0.039486963,-0.007233257
20.54031513,0.023103684,-0.034454122,-0.006565603
20.55036712,0.023191221,-0.037819151,-0.007177126
20.56041813,0.024772074,-0.045388121,-0.000816698
20.57047012,0.02257436,-0.049964651,1.82E-05
20.58052112,0.02525856,-0.053725302,0.001435776
20.59057312,0.019375134,-0.050277952,0.00108991
20.60062512,0.018548489,-0.04932747,-0.003859841
20.61067612,0.017415559,-0.047467601,-0.006497867
20.62072812,0.014096461,-0.041731682,-0.007304273
20.63077842,0.012301944,-0.034535181,-0.006124781
20.64083042,0.010948526,-0.028314037,-0.006836112
20.65088242,0.016394008,-0.02458819,-0.004858928
20.66093342,0.01928274,-0.017990738,-0.004471704
20.67098542,0.022668296,-0.01485439,-0.005269146
20.68103642,0.025766887,-0.014065295,-0.008501957
20.69108842,0.020683555,-0.011034101,-0.009044796
20.70114042,0.018721337,-0.010227431,-0.007785654
20.71119142,0.017162342,-0.004861846,-0.007338116
20.72124342,0.014575082,-0.002584311,-0.005618779
20.73129442,0.013160381,-0.002423877,-0.004983163
20.74134642,0.013041072,0.000561793,-0.003981281
20.75139842,0.014798203,0.007072073,-0.007603878
20.76144942,0.012317736,0.009114185,-0.009245185
20.77150142,0.012450932,0.007158023,-0.00862224
20.78155342,0.012196334,0.013260657,-0.008105054
20.79160442,0.015745353,0.01628804,-0.004635478
20.80165642,0.01556346,0.021041516,-0.005181692
20.81170742,0.013824564,0.026340086,-0.005121864
20.82175942,0.009517168,0.030118845,-0.002577214
20.83181142,0.005421094,0.034520954,-0.002752755
20.84186242,0.002763791,0.030144313,-0.003243044
20.85191442,-0.000215034,0.027589951,-0.00351954
20.86196542,-0.001841693,0.016963139,-0.002716863
20.87201742,-0.00116874,0.013803143,-0.002608823
20.88206942,9.25E-05,0.01330593,-0.0028541
20.89212042,-0.000334162,0.012850221,0.000637674
20.90217242,-0.0003054,0.017125927,0.001155925
20.91222442,0.000636363,0.020219805,-0.001437349
20.92227542,-0.000774846,0.021543397,-0.000122547
20.93232742,-0.003034647,0.018135067,0.00161955
20.94237842,-0.001902537,0.018605648,-0.000432682
20.95243042,0.001425422,0.011988493,0.00326397
20.96248242,0.000998251,0.003970248,0.003142264
20.97253342,0.003837296,0.004702828,0.000716866
20.98258542,0.004667936,0.014012439,-0.001231237
20.99263742,0.001385232,0.02491758,-0.002474333
21.00268842,0.001898956,0.036077823,-0.00309192
21.01274042,0.0022639,0.034121897,-0.003322007
21.02279142,0.002201581,0.031356473,-0.005690089
21.03284342,-0.000851291,0.025922656,-0.005022978
21.04289542,-0.004901426,0.020973969,-0.003276478
21.05294642,-0.008595929,0.024633363,-0.002595811
21.06299842,-0.008958651,0.025035767,-0.003045619
21.07304942,-0.006201424,0.019168671,0.001402214
21.08310142,-0.004985158,0.012499316,6.85E-05
21.09315342,-0.007029399,0.013418568,0.000445413
21.10320442,-0.005750549,0.010294947,-0.000616922
21.11325642,-0.007575307,0.010137483,0.000113081
21.12330842,-0.008917008,0.011258941,0.000516816
21.13335942,-0.012504276,0.01450431,0.001661659
21.14341142,-0.014073409,0.016095283,0.000611309
