Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
45.00512838,0.486937408,-9.883796539,2.377206573
45.01518037,0.311502228,-9.713450775,2.38813385
45.02523238,0.2667453,-9.809251556,2.379302216
45.03528437,0.12992981,-9.974208527,2.239043884
45.04533638,0.02574646,-10.14784744,2.06046524
45.05538837,-0.149389343,-10.20068756,1.87335434
45.06544038,-0.245938568,-10.2213446,1.6814534
45.07549275,-0.331560516,-10.13542328,1.661395111
45.08554475,-0.411793671,-10.00264938,1.688339081
45.09559675,-0.231568451,-9.931247864,1.695524139
45.10564875,0.223036194,-9.919871521,1.803000641
45.11570075,0.608185272,-9.845476227,2.001338196
45.12575275,0.908610535,-9.783505096,2.258353729
45.13580475,1.154998169,-9.811646576,2.47001358
45.14585675,1.202599182,-9.854607239,2.481240234
45.15590875,1.11039093,-9.775870972,2.286644897
45.16596075,1.067729645,-9.657467194,2.050885162
45.17601275,1.064137115,-9.569450226,1.817071381
45.18606475,1.027762756,-9.70821167,1.758543091
45.19611675,1.323996735,-9.44490921,2.025587769
45.20616775,1.519340515,-9.551188202,2.206711121
45.21622075,1.313368835,-9.873917084,2.157762909
45.22627275,1.208437042,-9.995464325,1.851200409
45.23632475,1.063388672,-9.974507904,1.623823242
45.24637675,0.787811737,-10.24739044,1.646126862
45.25642875,0.35925293,-10.91081085,1.837129669
45.26647975,-0.363444214,-11.18414246,2.063009949
45.27653275,-1.150956573,-10.60005707,1.91421936
45.28658475,-1.621278534,-9.776769104,1.426533508
45.29663675,-1.641785889,-8.989406433,1.119072876
45.30668875,-1.483265533,-8.538843384,0.955612793
45.31674075,-1.349443817,-8.436905365,0.897982636
45.32679275,-1.24032074,-8.42807373,0.947529602
45.33684475,-1.063987427,-8.586294708,0.999172211
45.34689675,-0.660426636,-8.754844208,0.859063568
45.35694875,0.261356506,-9.073531494,0.954415283
45.36699975,1.515747986,-9.081914063,0.742156677
45.37705175,2.549049225,-9.04119873,0.350421295
45.38710475,3.229683838,-9.194779358,0.179177399
45.39715575,3.45646225,-9.442214813,-0.076490936
45.40720875,3.546874237,-9.369017029,-0.421972504
45.41725975,3.242407379,-9.493258667,-0.631985779
45.42731275,2.550995178,-9.672585754,-0.908161469
45.43736475,1.888323212,-9.887389069,-1.169817352
45.44741575,1.823657684,-9.977052612,-1.256936188
45.45746775,1.744023285,-10.03258713,-1.302591248
45.46751975,1.519041138,-9.907746735,-1.417252808
45.47757275,1.135987701,-9.759405212,-1.579066315
45.48762375,0.554447022,-9.823022919,-1.858235779
45.49767575,0.057779846,-9.949360199,-2.160756683
45.50772775,-0.279468842,-9.985884247,-2.198178864
45.51777975,-0.679137726,-10.04067032,-1.943857727
45.52783175,-0.971928864,-10.02450394,-1.638941803
45.53788375,-0.953068085,-9.935588837,-1.381776581
45.54793575,-0.831071777,-9.987231445,-1.180894318
45.55798775,-0.515677643,-10.27358597,-0.918639679
45.56803975,-0.261805573,-10.4523143,-0.859662323
45.57809175,-0.176183624,-10.57745407,-1.029259644
45.58814375,0.595761108,-11.24102417,-0.552052002
45.59819575,1.05545517,-11.47049698,-0.301622772
45.60824775,0.770447846,-10.92787537,-1.067579956
45.61829975,0.581690369,-10.32073792,-1.169218597
45.62835175,0.406853943,-9.891430664,-1.261726227
45.63840375,0.353864136,-9.711355133,-1.491199036
45.64845575,0.136665802,-9.65552124,-1.793121185
45.65850775,-0.227077789,-9.541757812,-2.05821991
45.66855975,-0.401165772,-9.674980774,-2.181563416
45.67861175,-0.599203949,-9.670939178,-2.353555756
45.68866375,-0.880169678,-9.344617767,-2.418820038
45.69871575,-1.018182678,-9.357341309,-2.061513062
45.70876775,-0.979562988,-9.507778473,-1.394649811
45.71881975,-1.02027832,-9.244775391,-0.944685516
45.72887175,-1.038690033,-9.024134216,-0.706830139
45.73892375,-0.965043182,-9.020092621,-0.954115906
45.74897575,-0.948427734,-9.171278229,-1.414109344
45.75902775,-0.852776642,-9.341025238,-1.77500885
45.76907975,-0.637823639,-9.364526367,-1.995200958
45.77913175,-0.43873764,-9.20391037,-2.171833649
45.78918375,-0.647703095,-9.041498108,-2.418670349
45.79923575,-0.397722931,-9.020092621,-2.22781723
45.80928775,-0.162412262,-8.800648956,-1.946851501
45.81933975,-0.162262573,-8.625513153,-1.858984222
45.82939175,-0.177680512,-8.490493927,-1.92709259
45.83944375,-0.239501953,-8.498577118,-2.019749908
45.84949575,-0.43409729,-8.605155487,-2.147284698
45.85954775,-0.547411652,-8.80259491,-2.240840149
45.86959975,-0.562081146,-9.097332001,-2.349364471
45.87965175,-0.576451263,-9.232650604,-2.346520386
45.88970375,-0.758023682,-9.326355743,-2.290686493
45.89975575,-1.016087036,-9.435029755,-2.268532562
45.90980775,-0.952169952,-9.590855713,-2.33080307
45.91985975,-0.034278717,-9.702673187,-2.734812927
