,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
4477,45.00512838,0.4869374084,-9.883796539,2.377206573
4478,45.01518037,0.3115022278,-9.713450775,2.38813385
4479,45.02523238,0.2667453003,-9.809251556,2.379302216
4480,45.03528437,0.1299298096,-9.974208527,2.239043884
4481,45.04533638,0.02574645996,-10.14784744,2.06046524
4482,45.05538837,-0.1493893433,-10.20068756,1.87335434
4483,45.06544038,-0.2459385681,-10.2213446,1.6814534
4484,45.07549275,-0.3315605164,-10.13542328,1.661395111
4485,45.08554475,-0.4117936707,-10.00264938,1.688339081
4486,45.09559675,-0.2315684509,-9.931247864,1.695524139
4487,45.10564875,0.2230361938,-9.919871521,1.803000641
4488,45.11570075,0.6081852722,-9.845476227,2.001338196
4489,45.12575275,0.9086105347,-9.783505096,2.258353729
4490,45.13580475,1.154998169,-9.811646576,2.47001358
4491,45.14585675,1.202599182,-9.854607239,2.481240234
4492,45.15590875,1.11039093,-9.775870972,2.286644897
4493,45.16596075,1.067729645,-9.657467194,2.050885162
4494,45.17601275,1.064137115,-9.569450226,1.817071381
4495,45.18606475,1.027762756,-9.70821167,1.758543091
4496,45.19611675,1.323996735,-9.44490921,2.025587769
4497,45.20616775,1.519340515,-9.551188202,2.206711121
4498,45.21622075,1.313368835,-9.873917084,2.157762909
4499,45.22627275,1.208437042,-9.995464325,1.851200409
4500,45.23632475,1.063388672,-9.974507904,1.623823242
4501,45.24637675,0.7878117371,-10.24739044,1.646126862
4502,45.25642875,0.3592529297,-10.91081085,1.837129669
4503,45.26647975,-0.3634442139,-11.18414246,2.063009949
4504,45.27653275,-1.150956573,-10.60005707,1.91421936
4505,45.28658475,-1.621278534,-9.776769104,1.426533508
4506,45.29663675,-1.641785889,-8.989406433,1.119072876
4507,45.30668875,-1.483265533,-8.538843384,0.955612793
4508,45.31674075,-1.349443817,-8.436905365,0.8979826355
4509,45.32679275,-1.24032074,-8.42807373,0.9475296021
4510,45.33684475,-1.063987427,-8.586294708,0.9991722107
4511,45.34689675,-0.6604266357,-8.754844208,0.8590635681
4512,45.35694875,0.2613565063,-9.073531494,0.9544152832
4513,45.36699975,1.515747986,-9.081914063,0.7421566772
4514,45.37705175,2.549049225,-9.04119873,0.3504212952
4515,45.38710475,3.229683838,-9.194779358,0.1791773987
4516,45.39715575,3.45646225,-9.442214813,-0.07649093628
4517,45.40720875,3.546874237,-9.369017029,-0.4219725037
4518,45.41725975,3.242407379,-9.493258667,-0.6319857788
4519,45.42731275,2.550995178,-9.672585754,-0.9081614685
4520,45.43736475,1.888323212,-9.887389069,-1.169817352
4521,45.44741575,1.823657684,-9.977052612,-1.256936188
4522,45.45746775,1.744023285,-10.03258713,-1.302591248
4523,45.46751975,1.519041138,-9.907746735,-1.417252808
4524,45.47757275,1.135987701,-9.759405212,-1.579066315
4525,45.48762375,0.5544470215,-9.823022919,-1.858235779
4526,45.49767575,0.05777984619,-9.949360199,-2.160756683
4527,45.50772775,-0.2794688416,-9.985884247,-2.198178864
4528,45.51777975,-0.6791377258,-10.04067032,-1.943857727
4529,45.52783175,-0.9719288635,-10.02450394,-1.638941803
4530,45.53788375,-0.9530680847,-9.935588837,-1.381776581
4531,45.54793575,-0.8310717773,-9.987231445,-1.180894318
4532,45.55798775,-0.5156776428,-10.27358597,-0.918639679
4533,45.56803975,-0.2618055725,-10.4523143,-0.859662323
4534,45.57809175,-0.1761836243,-10.57745407,-1.029259644
4535,45.58814375,0.5957611084,-11.24102417,-0.552052002
4536,45.59819575,1.05545517,-11.47049698,-0.3016227722
4537,45.60824775,0.7704478455,-10.92787537,-1.067579956
