Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
65.00038683,-1.853296051,-9.614955597,0.395627289
65.01043783,-1.892664185,-9.622889099,0.449515228
65.02048883,-1.919757843,-9.646539917,0.484692078
65.03053983,-1.967059479,-9.70357132,0.502505035
65.04058983,-2.009720764,-9.743687897,0.524658966
65.05064083,-2.042502594,-9.759255524,0.53124527
65.06069183,-2.068997498,-9.756561127,0.524359589
65.07074283,-2.063608704,-9.755812683,0.490979004
65.08079383,-2.046095123,-9.749974823,0.440234528
65.09084383,-2.012714539,-9.730814667,0.402812347
65.10089483,-1.963466949,-9.688003693,0.373772736
65.11094583,-1.917512512,-9.679621124,0.313897247
65.12099683,-1.889820099,-9.672735443,0.260009308
65.13104783,-1.865271149,-9.651329956,0.215851135
65.14109783,-1.826801147,-9.625882874,0.208217011
65.15114883,-1.827100525,-9.603728943,0.199984131
65.16119983,-1.820364532,-9.6122612,0.20357666
65.17125083,-1.811832275,-9.611961823,0.203127594
65.18130183,-1.793570251,-9.613608398,0.197439423
65.19135183,-1.765279083,-9.619895325,0.189356232
65.20140283,-1.739682312,-9.628277893,0.187410278
65.21145383,-1.707948303,-9.655072174,0.198636932
65.22150483,-1.704206085,-9.683363342,0.201031952
65.23155583,-1.70016449,-9.734856262,0.21180954
65.24160583,-1.712139587,-9.783505096,0.212707672
65.25165683,-1.747615814,-9.818981323,0.217797089
65.26170783,-1.767225037,-9.867779846,0.209115143
65.27175883,-1.780397644,-9.882299652,0.211659851
65.28180883,-1.790726166,-9.862091675,0.214204559
65.29186,-1.787732391,-9.840237122,0.207019501
65.301911,-1.7703685,-9.800270233,0.195493469
65.311962,-1.721719666,-9.770781555,0.195493469
65.322013,-1.644629974,-9.739945679,0.17902771
65.332063,-1.573527832,-9.711804199,0.140258331
65.342114,-1.492546234,-9.716294861,0.115260315
65.352165,-1.397942963,-9.71868988,0.100291443
65.362216,-1.337618408,-9.736802216,0.105380859
65.372267,-1.290765839,-9.75147171,0.146694946
65.382317,-1.225950623,-9.756112061,0.209863586
65.392368,-1.213825836,-9.789193268,0.254021759
65.402419,-1.227597198,-9.825417938,0.268990631
65.41247,-1.238823853,-9.870174866,0.241896973
65.422521,-1.235081635,-9.879754944,0.214503937
65.432571,-1.228495331,-9.875863037,0.201031952
65.442622,-1.216669922,-9.877659302,0.175884247
65.452673,-1.211730194,-9.893376617,0.166453857
65.462724,-1.212478638,-9.893526306,0.166304169
65.472775,-1.211131439,-9.930649109,0.178578644
65.482825,-1.217418365,-9.912387085,0.202678528
65.492876,-1.244212646,-9.824519806,0.217946777
65.502927,-1.2859758,-9.760453033,0.203426971
65.512978,-1.34555191,-9.789941711,0.167801056
65.523029,-1.393003235,-9.770482178,0.163160706
65.533079,-1.438358917,-9.745783539,0.174836426
65.54313,-1.506467285,-9.745783539,0.195942535
65.553181,-1.576671295,-9.75850708,0.202229462
65.563232,-1.62636795,-9.743089142,0.24803421
