Time (s),X (rad/s),Y (rad/s),Z (rad/s)
65.00289983,-0.03049981,0.047097705,-0.026443973
65.01295083,-0.034461502,0.034238603,-0.028108234
65.02300183,-0.032616995,0.0211228,-0.024794197
65.03305183,-0.025796184,0.003882387,-0.022360256
65.04310283,-0.016141692,-0.01222814,-0.020399103
65.05315383,-0.008575311,-0.028136013,-0.013921309
65.06320483,-0.001651625,-0.041466467,-0.012095979
65.07325483,0.005271757,-0.054633033,-0.009645831
65.08330583,0.005928227,-0.064064085,-0.007371491
65.09335683,0.004366333,-0.080944069,-0.008965153
65.10340783,0.00765214,-0.086726584,-0.010747607
65.11345883,0.005320039,-0.092855722,-0.010899724
65.12350983,0.002469924,-0.099098437,-0.008438164
65.13355983,-0.005421288,-0.108444773,-0.010664563
65.14361083,-0.01409547,-0.120400235,-0.009614744
65.15366183,-0.021359511,-0.125800252,-0.009171065
65.16371283,-0.029559117,-0.131513521,-0.012209998
65.17376283,-0.032017205,-0.135754764,-0.014659297
65.18381383,-0.035748828,-0.140199587,-0.019513175
65.19386483,-0.042689987,-0.137749389,-0.021996429
65.20391583,-0.048709258,-0.140472204,-0.028122231
65.21396683,-0.050913293,-0.137603909,-0.035225153
65.22401683,-0.052600674,-0.134670436,-0.036872853
65.23406783,-0.051452205,-0.130782574,-0.039304428
65.24411883,-0.046998069,-0.130482972,-0.038615733
65.25416983,-0.040263731,-0.130412325,-0.034954958
65.26422083,-0.031950675,-0.130882099,-0.028936479
65.27427083,-0.022362566,-0.134372234,-0.024138443
65.28432183,-0.00841639,-0.141038388,-0.015710603
65.294373,-0.002034435,-0.142817766,-0.008395136
65.304424,0.007266389,-0.150015488,-0.004513047
65.314475,0.008816089,-0.153755069,0.000147228
65.324525,0.005895933,-0.160905659,0.006405124
65.334576,-0.001251047,-0.157467634,0.007461973
65.344627,-0.00249208,-0.152148768,0.009244427
65.354678,-0.012456678,-0.154946864,0.009252529
65.364729,-0.019298339,-0.149935588,0.007992054
65.374779,-0.028030304,-0.141252503,0.006102018
65.38483,-0.029927274,-0.133137062,0.003183726
65.394881,-0.034427453,-0.123325281,0.001918947
65.404932,-0.026650488,-0.110609219,0.003118168
65.414983,-0.032348618,-0.09980467,0.003483065
65.425033,-0.0225647,-0.090598658,0.003151501
65.435084,-0.014693039,-0.076929711,0.005672567
65.445135,-0.005583963,-0.066505298,0.011799169
65.455186,0.001993216,-0.051132936,0.01197896
65.465236,0.002420387,-0.03202289,0.016175304
65.475287,0.007947292,-0.010819132,0.017983029
65.485338,0.014914655,0.007208871,0.018457605
65.495389,0.027759193,0.028190047,0.01398311
65.50544,0.03421203,0.051801901,0.014287776
65.51549,0.036100209,0.073307186,0.014021993
65.525541,0.035446942,0.083157957,0.017699551
65.535592,0.035542317,0.08883404,0.017360225
65.545643,0.029687889,0.091352589,0.015603072
65.555694,0.022884917,0.088941082,0.014340386
65.565744,0.023465484,0.087894194,0.014602706
65.575795,0.021997437,0.089407943,0.013608664
65.585846,0.02263047,0.092066839,0.01329308
65.595897,0.02737833,0.087275572,0.01584737
65.605948,0.028772762,0.081345513,0.016666025
65.615998,0.034203313,0.074516445,0.014466396
65.626049,0.036925331,0.070536345,0.016074413
65.6361,0.047558919,0.069371663,0.018087652
65.646151,0.053504691,0.064092219,0.01415869
65.656202,0.058945071,0.063022144,0.013706136
65.666252,0.060892638,0.053601205,0.015505368
65.676303,0.058410913,0.050018977,0.011778461
65.686354,0.052261408,0.045546997,0.010384295
