Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
20.00570708,-0.040565643,-9.857750702,0.334254913
20.01575908,-0.03278183,-9.841135254,0.297581177
20.02581108,-0.006735992,-9.844877472,0.271984406
20.03586308,-0.016765137,-9.878707123,0.282911682
20.04591121,-0.051193542,-9.91059082,0.300125885
20.05596321,-0.077688446,-9.893825684,0.315394135
20.06601521,-0.085771637,-9.864187317,0.299227753
20.07606721,-0.068707123,-9.848470001,0.289198608
20.08611921,-0.061671753,-9.870623932,0.307161255
20.09617121,-0.072898407,-9.858050079,0.320333862
20.10622321,-0.081580353,-9.867630157,0.327369232
20.11627521,-0.08307724,-9.866881714,0.338595886
20.12632721,-0.061372375,-9.882748718,0.325872345
20.13637921,-0.048050079,-9.877509613,0.311651917
20.14643121,-0.044158173,-9.863139496,0.308209076
20.15648321,-0.058228912,-9.847122803,0.299078064
20.16653521,-0.063767395,-9.840835876,0.294437714
20.17658721,-0.067509613,-9.851314087,0.294737091
20.18663921,-0.067509613,-9.875114594,0.295186157
20.19669121,-0.079484711,-9.870773621,0.303269348
20.20674321,-0.077089691,-9.873018951,0.290545807
20.21679521,-0.072299652,-9.881850586,0.286055145
20.22684721,-0.050744476,-9.895023193,0.28545639
20.23689921,-0.054935761,-9.884095917,0.281414795
20.24695121,-0.057779846,-9.896370392,0.268990631
20.25700321,-0.040565643,-9.882000275,0.273181915
20.26705521,-0.028141479,-9.876461792,0.279768219
20.27710721,-0.04565506,-9.878258057,0.290396118
20.28715921,-0.051343231,-9.870025177,0.295635223
20.29721121,-0.062120819,-9.875713348,0.314645691
20.30726321,-0.069754944,-9.864486694,0.32063324
20.31731521,-0.077089691,-9.868228912,0.323327637
20.32736721,-0.088615723,-9.864187317,0.324525147
20.33741921,-0.08771759,-9.864486694,0.333057404
20.34747121,-0.077688446,-9.866732025,0.34278717
20.35752321,-0.090411987,-9.865235138,0.341439972
20.36757521,-0.099243622,-9.868827667,0.34518219
20.37762721,-0.099393311,-9.866732025,0.355361023
20.38767921,-0.099093933,-9.865534515,0.357456665
20.39773121,-0.084873505,-9.873617706,0.35221756
20.40778321,-0.092807007,-9.862840118,0.348026276
20.41783521,-0.093106384,-9.868827667,0.35102005
20.42788721,-0.08771759,-9.87197113,0.355810089
20.43793921,-0.067509613,-9.866282959,0.362845459
20.44799121,-0.0690065,-9.865534515,0.367635498
20.45804321,-0.08068222,-9.86613327,0.367036743
20.46809521,-0.082029419,-9.867480469,0.3662883
20.47814721,-0.092807007,-9.872719574,0.368383942
20.48819921,-0.086969147,-9.865085449,0.370180206
20.49825121,-0.067060547,-9.88723938,0.364042969
20.50830321,-0.066910858,-9.890981598,0.374521179
20.51835521,-0.074095917,-9.886790314,0.375569
20.52840721,-0.079484711,-9.88020401,0.37212616
20.53845921,-0.072898407,-9.888287201,0.370180206
20.54851121,-0.064066772,-9.873617706,0.360899506
20.55856321,-0.069605255,-9.875413971,0.382903748
20.56861521,-0.082478485,-9.873468018,0.389939117
20.57866721,-0.070653076,-9.878108368,0.404458923
20.58871921,-0.085771637,-9.871072998,0.412093048
20.59877121,-0.112116852,-9.870474243,0.4153862
20.60882321,-0.10762619,-9.867630157,0.404458923
20.61887521,-0.088016968,-9.865983582,0.393082581
20.62892721,-0.105231171,-9.875713348,0.395178223
20.63897921,-0.09834549,-9.876312103,0.404009857
20.64903121,-0.086969147,-9.884694672,0.413889313
20.65908321,-0.079484711,-9.877359924,0.417332153
20.66913521,-0.071251831,-9.865684204,0.429756317
20.67918721,-0.070054321,-9.862989807,0.436641998
20.68923921,-0.085921326,-9.855804749,0.447120209
20.69929121,-0.104782105,-9.851314087,0.450263672
20.70934321,-0.12169693,-9.872569885,0.45161087
20.71939521,-0.133222961,-9.884694672,0.460592194
20.72944721,-0.121247864,-9.885892181,0.462687836
20.73949921,-0.121846619,-9.890233154,0.440683594
20.74955121,-0.119002533,-9.894873505,0.438138886
