Time (s),X (rad/s),Y (rad/s),Z (rad/s)
50.00004229,-0.022583976,0.042603526,0.034609616
50.01009429,-0.043945938,0.024257664,0.031411633
50.02014629,-0.065078653,0.01070537,0.025534038
50.03019929,-0.08000847,0.002716462,0.032064226
50.04025129,-0.095814332,-0.016376272,0.035944719
50.05030429,-0.102464214,-0.038373455,0.045427222
50.06035629,-0.103121214,-0.060530953,0.050466988
50.07040829,-0.103921279,-0.086255081,0.053230606
50.08046129,-0.094118983,-0.095050439,0.052964024
50.09051329,-0.088523425,-0.089667059,0.052962083
50.10056629,-0.075720541,-0.091253236,0.045575008
50.11061829,-0.059190858,-0.10899289,0.039247852
50.12067029,-0.049481507,-0.1352285,0.031196851
50.13072329,-0.047535323,-0.157186359,0.025415763
50.14077529,-0.048654117,-0.175615177,0.013298115
50.15082829,-0.048630714,-0.1934461,0.011621606
50.16088029,-0.040523518,-0.203775704,0.007980798
50.17093329,-0.036143932,-0.188244551,0.013659349
50.18098529,-0.041663598,-0.161570057,0.019308444
50.19103729,-0.050821397,-0.144308373,0.029111432
50.20109029,-0.052752189,-0.152929306,0.023913208
50.21114229,-0.04509344,-0.169898897,0.019656915
50.22119429,-0.042586077,-0.176948562,0.013736974
50.23124729,-0.04913599,-0.183943063,0.0081998
50.24129929,-0.050727762,-0.201131642,0.001075578
50.25135229,-0.04371126,-0.221520022,-0.003264646
50.26140429,-0.045227133,-0.245562241,-0.00614672
50.27145729,-0.04023014,-0.256771773,-0.008186599
50.28150929,-0.031055817,-0.252904862,-0.001720445
50.29156129,-0.03359234,-0.244518608,-0.000144457
50.30161429,-0.028446313,-0.243350804,0.00046514
50.31166629,-0.022799149,-0.238782674,0.015096767
50.32171929,-0.024794389,-0.236014053,0.019961562
50.33177129,-0.014565661,-0.232336447,0.018640868
50.34182329,-0.012754711,-0.234869644,0.020928524
50.35187629,-0.014043286,-0.225268364,0.019166963
50.36192829,-0.012154838,-0.210882232,0.019965645
50.37197779,-0.011582388,-0.195545942,0.018261902
50.38202979,-0.018257601,-0.1819489,0.01534281
50.39208279,-0.020642642,-0.162823841,0.012558999
50.40213479,-0.023762003,-0.142664507,0.017560149
50.41218679,-0.022515222,-0.127678528,0.023876941
50.42223979,-0.024566922,-0.112526216,0.026347822
50.43229179,-0.026415026,-0.088682622,0.03279572
50.44234479,-0.03573662,-0.064926691,0.036382731
50.45239679,-0.039541721,-0.045475706,0.043633688
50.46244879,-0.036205843,-0.028802719,0.042310897
50.47250179,-0.039823484,-0.012985939,0.044264592
50.48255379,-0.037480168,0.005258844,0.0459296
50.49260679,-0.041454751,0.021150807,0.047184303
50.50265879,-0.041675258,0.045209005,0.048207223
50.51271079,-0.038959272,0.0573701,0.052370034
50.52276379,-0.041160375,0.072771691,0.05806414
