"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.951408331E-2,3.865876794E-1,4.053216279E-1,2.364771217E-1
5.950708326E-2,3.081181943E-1,4.072681963E-1,2.564298511E-1
6.950008334E-2,2.557263672E-1,3.891097009E-1,2.864955962E-1
7.949308329E-2,2.451218814E-1,3.949781954E-1,3.306315839E-1
8.948708326E-2,2.915511727E-1,4.114439785E-1,3.821775913E-1
9.948008333E-2,3.596150577E-1,4.072244763E-1,4.594417214E-1
1.094730833E-1,4.161012471E-1,3.695836067E-1,5.377815366E-1
1.194660834E-1,4.627740979E-1,3.316767812E-1,6.144600511E-1
1.294590833E-1,4.975701869E-1,3.224867284E-1,6.835491061E-1
1.394520833E-1,5.250877142E-1,3.635408878E-1,7.343021035E-1
1.494450833E-1,5.606273413E-1,4.096455574E-1,7.742670774E-1
1.594390833E-1,6.019326448E-1,4.258274138E-1,8.127192259E-1
1.694320833E-1,6.361934543E-1,4.594833851E-1,8.394158483E-1
1.794250833E-1,6.407288313E-1,5.336120129E-1,8.504146934E-1
1.894180833E-1,6.109797359E-1,6.509642005E-1,8.535268903E-1
1.994110834E-1,5.578757524E-1,7.478275895E-1,8.373011947E-1
2.094040833E-1,5.149576068E-1,8.001896143E-1,8.083702326E-1
2.193970833E-1,4.563786685E-1,7.973234653E-1,7.862547636E-1
2.293900833E-1,3.781395257E-1,7.264953256E-1,7.667024136E-1
2.393840833E-1,3.071902692E-1,6.656180620E-1,7.211576104E-1
2.493770833E-1,3.052397668E-1,6.386046410E-1,6.183449626E-1
2.593700833E-1,3.617165685E-1,5.764119029E-1,4.829961956E-1
2.693630833E-1,4.082539678E-1,5.174601674E-1,3.554555476E-1
2.793560834E-1,4.283452034E-1,4.473943710E-1,2.459630370E-1
2.893490833E-1,3.816195130E-1,3.265366554E-1,1.588499695E-1
2.993420833E-1,2.759901583E-1,2.678777874E-1,5.533723161E-2
3.093360834E-1,1.518628746E-1,2.926859260E-1,-3.428133577E-2
3.193290833E-1,-3.866467252E-2,3.686808944E-1,-1.161822975E-1
3.293220833E-1,-2.879690528E-1,3.709251285E-1,-1.943634003E-1
3.393150833E-1,-4.673207402E-1,3.054749668E-1,-2.584419847E-1
3.493080833E-1,-5.008525848E-1,1.637668312E-1,-3.349034786E-1
3.593010833E-1,-4.999133348E-1,-3.289569914E-2,-4.275213182E-1
3.692940833E-1,-6.148332953E-1,-8.477087319E-2,-5.400140882E-1
3.792870833E-1,-7.971194983E-1,2.574831992E-2,-5.963208675E-1
3.892810834E-1,-9.966816306E-1,1.645389646E-1,-6.146777868E-1
3.992740833E-1,-1.156217337E0,1.986178458E-1,-6.291891932E-1
4.092670833E-1,-1.268645883E0,1.026404500E-1,-6.097643375E-1
4.192600833E-1,-1.359751105E0,-2.216044813E-2,-6.172814369E-1
4.292530833E-1,-1.466025949E0,-7.879656553E-2,-6.780121326E-1
4.392460833E-1,-1.592061639E0,-1.212821342E-3,-7.961753011E-1
4.492390833E-1,-1.682963610E0,1.506392956E-1,-8.660840392E-1
4.592320833E-1,-1.728438139E0,1.359588951E-1,-9.094088674E-1
4.692260833E-1,-1.764410973E0,-1.501756608E-1,-9.270893335E-1
4.792190833E-1,-1.762495279E0,-5.348541737E-1,-8.750997186E-1
4.892120833E-1,-1.718550444E0,-8.320001364E-1,-7.733224630E-1
4.992050834E-1,-1.616103649E0,-9.066311717E-1,-7.307754159E-1
5.091980833E-1,-1.512352228E0,-7.881583571E-1,-7.234778404E-1
5.191910833E-1,-1.430728316E0,-5.501714945E-1,-7.090044022E-1
5.291840833E-1,-1.395040631E0,-3.567339182E-1,-7.471818924E-1
5.391770833E-1,-1.385115504E0,-2.572033405E-1,-7.840383649E-1
5.491710833E-1,-1.431880593E0,-1.862378418E-1,-7.732757330E-1
5.591640833E-1,-1.489353895E0,2.321392484E-2,-7.484480739E-1
5.691570833E-1,-1.472465634E0,1.391991228E-1,-6.924130321E-1
5.791500834E-1,-1.447959423E0,9.514214844E-2,-7.059007883E-1
5.891430833E-1,-1.341858268E0,1.505835652E-1,-6.804420352E-1
5.991360833E-1,-1.212721467E0,2.173144072E-1,-6.739252806E-1
6.091290833E-1,-1.120109439E0,2.583611906E-1,-6.880498528E-1
6.191230833E-1,-9.394431710E-1,2.415695228E-2,-7.113670707E-1
6.291160833E-1,-7.355701923E-1,-2.006231695E-1,-8.111658692E-1
