"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.158645380E-1,1.288925707E-1,4.050036669E-1,-1.160643995E-1
3.208695380E-1,8.552113175E-2,2.614503205E-1,-8.979719132E-2
3.258745380E-1,5.619960278E-2,1.661553532E-1,-5.986479297E-2
3.308175380E-1,2.504547499E-2,9.712757170E-2,-3.115412779E-2
3.357615380E-1,2.199114859E-2,3.298672289E-2,-1.221730467E-2
3.408275380E-1,2.382374369E-2,-2.748893574E-2,1.527163107E-2
3.458325380E-1,3.665191308E-2,-8.124507964E-2,3.481931984E-2
3.508375380E-1,4.886921868E-2,-1.270599663E-1,4.642575979E-2
3.558425380E-1,5.253441259E-2,-1.514945775E-1,5.864306539E-2
3.608475380E-1,5.009094998E-2,-1.679879427E-1,6.108652428E-2
3.658515380E-1,4.092797264E-2,-1.759291887E-1,6.291911751E-2
3.708565380E-1,2.443460934E-2,-1.685988009E-1,6.780604273E-2
3.758615380E-1,1.588249579E-2,-1.508837193E-1,6.719517708E-2
3.808665380E-1,1.710422710E-2,-1.301143020E-1,6.230825558E-2
3.858715380E-1,2.687807009E-2,-9.590584040E-2,5.864306539E-2
3.908765380E-1,2.871066704E-2,-4.459316283E-2,5.375614017E-2
3.958205380E-1,1.588249579E-2,-1.221730490E-3,7.086037099E-2
4.008255380E-1,-2.321287990E-2,5.742133409E-2,9.285151958E-2
4.058295380E-1,-1.026253626E-1,1.411098689E-1,1.313360333E-1
4.108345380E-1,-2.064724565E-1,2.620611787E-1,1.655444801E-1
4.158395380E-1,-3.194825351E-1,4.251621962E-1,1.863138974E-1
4.208445380E-1,-4.660901725E-1,6.640105247E-1,1.820378453E-1
4.268255380E-1,-7.348709106E-1,1.377501130E0,8.613199741E-2
4.318305380E-1,-9.816604257E-1,1.880854130E0,1.368338168E-1
4.368355380E-1,-1.240667343E0,2.456289053E0,2.425135076E-1
4.418405380E-1,-1.443474531E0,3.025004625E0,3.506366611E-1
4.468455380E-1,-1.585806131E0,3.502090454E0,4.581489265E-1
4.518505380E-1,-1.721418262E0,3.831346750E0,5.369505286E-1
4.568555380E-1,-1.877799749E0,4.018882275E0,5.821545720E-1
4.618605380E-1,-2.028072596E0,4.117842674E0,5.864306092E-1
4.668645380E-1,-2.114204645E0,4.041484356E0,5.216789246E-1
4.718695380E-1,-2.147802114E0,3.719558477E0,4.269948006E-1
4.768745380E-1,-2.144136906E0,3.211318493E0,3.634648323E-1
4.818185380E-1,-2.074498415E0,2.712852478E0,3.390302062E-1
4.868235380E-1,-1.932777643E0,2.343889952E0,3.341432810E-1
4.918285380E-1,-1.777006984E0,1.951714516E0,3.231477141E-1
4.968335380E-1,-1.621236324E0,1.436144233E0,2.956587672E-1
5.028755380E-1,-1.438587666E0,7.874053121E-1,2.040289938E-1
5.088565380E-1,-1.221730471E0,2.767219543E-1,5.742133409E-2
5.138615380E-1,-1.054353356E0,-1.710422710E-2,-1.099557430E-1
5.188665380E-1,-8.790351152E-1,-1.637118906E-1,-2.632829249E-1
5.238715380E-1,-7.183775306E-1,-2.669481039E-1,-3.830125034E-1
5.288765380E-1,-5.876523852E-1,-3.402519524E-1,-4.612032473E-1
5.338205380E-1,-4.740314186E-1,-3.995058835E-1,-5.161811113E-1
5.388255380E-1,-4.074471295E-1,-4.844161272E-1,-5.442809463E-1
5.438305380E-1,-3.604104817E-1,-5.791002512E-1,-5.461135507E-1
5.488345380E-1,-3.500257730E-1,-6.768386960E-1,-5.369505286E-1
5.538395380E-1,-3.323107064E-1,-7.690793276E-1,-5.137376785E-1
5.588445380E-1,-3.286454976E-1,-8.326093554E-1,-4.948008358E-1
5.638495380E-1,-3.188716471E-1,-8.741481900E-1,-4.612032473E-1
5.688545380E-1,-2.907718420E-1,-8.967501521E-1,-4.056145251E-1
5.738595380E-1,-2.638937831E-1,-8.765916228E-1,-3.329215646E-1
5.788035380E-1,-2.351831198E-1,-8.478809595E-1,-2.437352389E-1
5.838685380E-1,-1.997529417E-1,-7.910705209E-1,-1.374446750E-1
5.888735380E-1,-1.783726513E-1,-6.652322412E-1,-3.359758854E-2
5.937565380E-1,-2.944370508E-1,-3.390302062E-1,9.773843735E-2
5.988225380E-1,-3.781255782E-1,-5.070181563E-2,1.850921661E-1
6.038275380E-1,-4.673119187E-1,2.938261926E-1,2.272418737E-1
6.088325380E-1,-6.023131609E-1,6.860016584E-1,2.547308207E-1
6.138375380E-1,-7.623597980E-1,1.084285855E0,2.987131178E-1
6.188425380E-1,-8.802568316E-1,1.447750688E0,3.237585723E-1
6.238465380E-1,-9.309586287E-1,1.797776461E0,3.145956099E-1
6.288515380E-1,-9.071348906E-1,2.153910875E0,2.901609838E-1
6.338565380E-1,-8.399397135E-1,2.583349228E0,3.097086847E-1
6.388615380E-1,-7.941248417E-1,2.862514496E0,3.652974069E-1
6.436835380E-1,-7.195992470E-1,3.176499367E0,4.612032473E-1
6.486885380E-1,-7.067710757E-1,3.204599142E0,4.679227769E-1
6.538765380E-1,-6.597344875E-1,3.284622431E0,5.033529401E-1
6.598575380E-1,-5.803219676E-1,3.385415077E0,5.601634383E-1
6.648625380E-1,-5.021312237E-1,3.470936298E0,6.481280327E-1
6.698675380E-1,-4.074471295E-1,3.561955214E0,7.379252315E-1
6.748725380E-1,-3.072652221E-1,3.598607063E0,8.326093554E-1
6.798775380E-1,-2.162462920E-1,3.567453146E0,9.260717034E-1
6.848205380E-1,-1.594358236E-1,3.471547127E0,1.006705880E0
6.898255380E-1,-1.295034289E-1,3.307224512E0,1.054353356E0
6.948305380E-1,-1.185078546E-1,3.117245436E0,1.078177214E0
6.998355380E-1,-1.404990107E-1,2.880840540E0,1.065959811E0
7.048405380E-1,-2.449569702E-1,2.484999895E0,1.029918790E0
7.098455380E-1,-4.105014503E-1,1.951714516E0,9.834930301E-1
7.148505380E-1,-5.571091175E-1,1.371392488E0,8.790351152E-1
7.198545380E-1,-5.723807216E-1,7.812966704E-1,7.531968355E-1
7.248595380E-1,-5.381723046E-1,4.416555762E-1,6.157521605E-1
7.298035380E-1,-4.862487316E-1,1.857030392E-1,4.948008358E-1
7.348695380E-1,-4.563163519E-1,-3.909537569E-2,3.897320330E-1
7.397525380E-1,-4.379903674E-1,-2.663372457E-1,2.919935882E-1
7.448185380E-1,-4.379903674E-1,-3.720169365E-1,2.516764700E-1
