"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.625539000E-3,-4.951209068E0,4.687847137E0,6.179434776E0
6.600680800E-2,-4.951209068E0,4.687847137E0,6.179434776E0
6.997038500E-2,-4.951209068E0,4.687847137E0,6.179434776E0
7.497538500E-2,-4.951209068E0,4.687847137E0,6.179434776E0
7.998038500E-2,-4.951209068E0,4.687847137E0,6.179434776E0
8.498538500E-2,-3.969586372E0,4.505887508E0,7.098807812E0
8.999038500E-2,-4.055777550E0,4.546588898E0,6.866570473E0
9.499538500E-2,-4.170699596E0,4.546588898E0,6.797138691E0
9.999350000E-2,-4.228160381E0,4.592078686E0,6.734889507E0
1.049455000E-1,-4.252102375E0,4.627991676E0,6.766014099E0
1.099316540E-1,-4.247313976E0,4.709394932E0,6.797138691E0
1.149366540E-1,-4.276044369E0,4.814739704E0,6.873753071E0
1.209186540E-1,-4.362235546E0,4.845864296E0,6.902483463E0
1.259096150E-1,-4.510675907E0,4.795586109E0,7.015010834E0
1.309136150E-1,-4.606443882E0,4.678270340E0,7.105990410E0
1.358704230E-1,-4.663905144E0,4.572925091E0,7.275979042E0
1.408754230E-1,-4.635174274E0,4.474762917E0,7.393294811E0
1.458804230E-1,-4.527435303E0,4.422090530E0,7.491456985E0
1.508854230E-1,-4.407725334E0,4.426878929E0,7.663839817E0
1.558294230E-1,-4.268861771E0,4.434061527E0,7.860164165E0
1.608344230E-1,-4.146757126E0,4.481945515E0,8.118738174E0
1.658384230E-1,-4.084507942E0,4.469974518E0,8.293514252E0
1.708434230E-1,-4.079719543E0,4.422090530E0,8.422801971E0
1.758061540E-1,-4.065354347E0,4.357447147E0,8.429984093E0
1.808111540E-1,-4.029441357E0,4.247313976E0,8.264783859E0
1.858161540E-1,-3.960009575E0,4.230554581E0,8.085219383E0
1.908211540E-1,-3.907337189E0,4.237737179E0,7.881711960E0
1.958261540E-1,-3.830722809E0,4.335899353E0,7.666234016E0
2.008311540E-1,-3.821146011E0,4.422090530E0,7.467514992E0
2.056521540E-1,-3.943250179E0,4.517858505E0,7.319074631E0
2.118171540E-1,-4.134786129E0,4.551377296E0,7.323863029E0
2.167888850E-1,-4.347870350E0,4.580107689E0,7.407660007E0
2.216098850E-1,-4.422090530E0,4.558559895E0,7.601590633E0
2.267368850E-1,-4.280832767E0,4.537012100E0,7.699752808E0
2.318028850E-1,-4.086902142E0,4.481945515E0,7.778761387E0
2.377848850E-1,-3.960009575E0,4.378994942E0,7.795520782E0
2.427898850E-1,-4.003105164E0,4.319139957E0,7.625532627E0
2.477948850E-1,-4.024652958E0,4.304774761E0,7.309497833E0
2.527988850E-1,-4.082113743E0,4.319139957E0,6.928819656E0
2.577726150E-1,-4.319139957E0,4.259284973E0,6.672640324E0
2.627776150E-1,-4.860229492E0,4.462791920E0,6.323086739E0
2.677826150E-1,-5.044582844E0,4.742913723E0,5.801150799E0
2.727266150E-1,-5.111620426E0,4.850652695E0,5.408501625E0
2.777316150E-1,-5.082890034E0,4.630385876E0,5.456385612E0
2.827366150E-1,-4.905719280E0,4.321534157E0,6.054935932E0
2.877406150E-1,-4.608838081E0,4.036623955E0,6.897695065E0
2.927456150E-1,-4.259284973E0,3.849876404E0,7.793126583E0
2.977093460E-1,-4.015076160E0,3.682282209E0,8.458714485E0
3.027143460E-1,-3.806780815E0,3.524264812E0,8.793902397E0
3.077193460E-1,-3.581725836E0,3.521870613E0,8.825027466E0
3.127243460E-1,-3.275267839E0,3.636792421E0,8.659827232E0
3.177293460E-1,-3.136404276E0,3.861847401E0,8.350975990E0
3.227343460E-1,-3.165134668E0,4.041412354E0,7.898471355E0
3.277383460E-1,-3.265691042E0,4.175487995E0,7.469909191E0
3.326213460E-1,-3.303998232E0,4.091690540E0,7.098807812E0
3.376873460E-1,-3.289633036E0,3.837905407E0,6.763619900E0
3.426923460E-1,-3.830722809E0,4.062960148E0,6.811503887E0
3.476973460E-1,-4.125209332E0,4.323928356E0,6.761225700E0
3.525803460E-1,-4.572925091E0,4.505887508E0,6.392518520E0
3.577073460E-1,-4.735731125E0,4.489128113E0,6.212953568E0
3.627113460E-1,-4.821922302E0,4.335899353E0,6.124367714E0
3.676553460E-1,-4.891354084E0,4.050989151E0,6.234501362E0
3.727213460E-1,-4.838681698E0,3.696647406E0,6.469132900E0
3.777263460E-1,-4.596867085E0,3.507505417E0,6.746860504E0
3.827313460E-1,-4.094084740E0,3.557783842E0,7.067683220E0
3.877363460E-1,-3.572149038E0,3.591302633E0,7.240066051E0
3.927413460E-1,-3.234566450E0,3.495534420E0,7.268796444E0
3.976853460E-1,-3.112462282E0,3.325546265E0,7.062894821E0
4.026893460E-1,-3.208230257E0,3.107673883E0,6.730101109E0
4.076943460E-1,-3.481169224E0,2.851494312E0,6.404489517E0
4.137373460E-1,-3.756502390E0,2.624045134E0,5.944802761E0
4.187423460E-1,-3.399766445E0,2.779668093E0,5.516240597E0
4.236853460E-1,-3.172317266E0,2.647987127E0,5.410895824E0
4.286903460E-1,-2.990357876E0,2.521094322E0,5.530605793E0
4.336953460E-1,-2.743755102E0,2.336740971E0,5.669469833E0
4.387003460E-1,-2.645592928E0,2.032677174E0,5.947196960E0
4.437053460E-1,-1.137245774E0,2.272097349E0,6.667851925E0
4.487103460E-1,1.173158884E0,2.571372509E0,8.868123055E0
4.537153460E-1,1.666364431E0,2.408566952E0,1.114979744E1
4.587203460E-1,1.130063176E0,2.063801765E0,1.275870132E1
