"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.811578460E-1,-8.246681094E-2,-2.241875380E-1,3.420845419E-2
2.861618460E-1,-5.925392732E-2,-2.724458873E-1,2.993239649E-2
2.911668460E-1,-3.909537569E-2,-3.066543639E-1,2.748893574E-2
2.961718460E-1,-2.443460934E-2,-3.396410644E-1,2.443460934E-2
3.011768460E-1,-2.321287990E-2,-3.597996235E-1,1.832595654E-2
3.061818460E-1,-1.710422710E-2,-3.695734739E-1,1.343903504E-2
3.111868460E-1,-3.298672289E-2,-3.714060783E-1,1.282817032E-2
3.161918460E-1,-5.009094998E-2,-3.659082949E-1,9.773843922E-3
3.211348460E-1,-7.086037099E-2,-3.445279896E-1,1.221730467E-2
3.261398460E-1,-9.773843735E-2,-3.152064681E-1,1.649336144E-2
3.310868460E-1,-1.191187203E-1,-2.864958048E-1,2.199114859E-2
3.361528460E-1,-1.386664063E-1,-2.565633953E-1,1.649336144E-2
3.411578460E-1,-1.521054506E-1,-2.211332172E-1,1.771509275E-2
3.471388460E-1,-1.673770845E-1,-1.832595766E-1,6.719517522E-3
3.531808460E-1,-1.734857261E-1,-1.429424733E-1,6.719517522E-3
3.581858460E-1,-1.753183305E-1,-1.142318025E-1,1.466076635E-2
3.631908460E-1,-1.734857261E-1,-7.819075137E-2,2.443460934E-2
3.681348460E-1,-1.704314053E-1,-5.009094998E-2,3.420845419E-2
3.731398460E-1,-1.722639948E-1,-1.343903504E-2,3.787364438E-2
3.781448460E-1,-1.832595766E-1,1.832595654E-2,4.031710699E-2
3.831498460E-1,-1.881465018E-1,3.970624134E-2,3.970624134E-2
3.881538460E-1,-1.991420686E-1,5.375614017E-2,4.825835302E-2
3.931588460E-1,-2.046398520E-1,5.009094998E-2,5.253441259E-2
3.981638460E-1,-2.101376504E-1,3.543018550E-2,5.681046844E-2
4.031688460E-1,-2.119702399E-1,3.054326167E-3,5.742133409E-2
4.081738460E-1,-1.997529417E-1,-2.993239649E-2,5.375614017E-2
4.131788460E-1,-1.893682331E-1,-6.841690838E-2,4.642575979E-2
4.181838460E-1,-1.667662114E-1,-1.105666086E-1,4.703662544E-2
4.231888460E-1,-1.435533315E-1,-1.533271819E-1,4.276056588E-2
4.281928460E-1,-1.215621829E-1,-1.930334121E-1,3.909537569E-2
4.331368460E-1,-1.160643995E-1,-2.327396572E-1,3.176499158E-2
4.381418460E-1,-1.148426682E-1,-2.553416789E-1,2.871066704E-2
4.431468460E-1,-1.160643995E-1,-2.626720667E-1,2.382374369E-2
4.481518460E-1,-1.246165112E-1,-2.474004179E-1,1.649336144E-2
4.531568460E-1,-1.441642046E-1,-2.284636050E-1,1.588249579E-2
4.581618460E-1,-1.521054506E-1,-1.960877478E-1,1.527163107E-2
4.631668460E-1,-1.802052408E-1,-1.631010175E-1,2.565634064E-2
4.681708460E-1,-2.180788964E-1,-1.343903542E-1,3.176499158E-2
4.731758460E-1,-2.302961946E-1,-1.001819000E-1,4.031710699E-2
4.781808460E-1,-2.553416789E-1,-8.124507964E-2,4.581489414E-2
4.831858460E-1,-2.675589919E-1,-7.147123665E-2,5.314527452E-2
4.881908460E-1,-2.675589919E-1,-7.086037099E-2,6.352998316E-2
4.931348460E-1,-2.516764700E-1,-7.819075137E-2,6.414084882E-2
4.981398460E-1,-2.345722616E-1,-9.162978828E-2,6.047565863E-2
5.031438460E-1,-2.144137025E-1,-1.148426682E-1,5.803219974E-2
5.081488460E-1,-2.046398520E-1,-1.282816976E-1,4.214970022E-2
5.131538460E-1,-1.912008226E-1,-1.478293836E-1,2.199114859E-2
