"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","Redmi 8"
"deviceBrand","Xiaomi"
"deviceBoard","QC_Reference_Phone"
"deviceManufacturer","Xiaomi"
"deviceBaseOS","Xiaomi/olive_eea/olive:9/PKQ1.190319.001/V11.0.3.0.PCNEUXM:user/release-keys"
"deviceCodename","REL"
"deviceRelease","9"
"accelerometer Name","LIS2HH Accelerometer"
"accelerometer Vendor","STMicroelectronics"
"accelerometer Range","39.22661"
"accelerometer Resolution","0.0"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.18"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","39.22661"
"linear_acceleration Resolution","0.0"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.2890625"
"linear_acceleration Version","2"
"gyroscope Name","Pseudo Gyro"
"gyroscope Vendor","QTI"
"gyroscope Range","5.2"
"gyroscope Resolution","0.01"
"gyroscope MinDelay","10000"
"gyroscope MaxDelay","2147483647"
"gyroscope Power","1.0999908"
"gyroscope Version","2"
"magnetic_field Name","AK09918 Magnetometer"
"magnetic_field Vendor","AKM"
"magnetic_field Range","4911.9995"
"magnetic_field Resolution","0.14953613"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.1"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","stk3x3x alsprx"
"light Vendor","Sensortek"
"light Range","4096.0"
"light Resolution","0.5399933"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.09"
"light Version","1"
"proximity Name","stk3x3x alsprx"
"proximity Vendor","Sensortek"
"proximity Range","5.000305"
"proximity Resolution","0.05000305"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","0.1"
"proximity Version","2"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector"
"attitude Vendor","QTI"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","200000"
"attitude Power","1.2890625"
"attitude Version","2"
