"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.835566669E-2,-4.720276594E-2,-1.146265492E-1,-3.309541941E-2
5.836466665E-2,-7.455449551E-2,-1.734038442E-1,-6.265144795E-2
6.837266660E-2,-5.441331118E-2,-1.403770447E-1,-5.433637649E-2
7.838166668E-2,-5.006436631E-2,-1.969412565E-1,-3.791452572E-2
8.838966663E-2,-7.869532704E-2,-2.371041775E-1,-3.190172091E-2
9.839866660E-2,-8.340645581E-2,-2.729391158E-1,-3.545837104E-2
1.084076667E-1,-6.776308268E-2,-3.008624911E-1,-3.433410078E-2
1.184156666E-1,-4.821734503E-2,-3.220301270E-1,-3.277935088E-2
1.284246666E-1,-3.855057061E-2,-3.449906707E-1,-4.554243386E-2
1.384336667E-1,-3.297550976E-2,-3.566777110E-1,-4.905381054E-2
1.484416666E-1,-3.123178519E-2,-3.566239774E-1,-5.284223706E-2
1.584506667E-1,-2.781281993E-2,-3.406242430E-1,-5.227471888E-2
1.684586667E-1,-1.042676903E-2,-3.199138641E-1,-4.933451861E-2
1.784676666E-1,1.116170548E-3,-3.043791056E-1,-4.352296889E-2
1.884766667E-1,-1.406466588E-3,-3.043836951E-1,-4.343810305E-2
1.984846666E-1,-1.478565577E-2,-3.194822073E-1,-3.877677023E-2
2.084936666E-1,-2.873306349E-2,-3.313398361E-1,-3.940972313E-2
2.185026667E-1,-4.359856248E-2,-3.468572497E-1,-4.136794433E-2
2.285106666E-1,-5.033364147E-2,-3.442852497E-1,-4.213975742E-2
2.385196666E-1,-4.969634861E-2,-3.210236132E-1,-3.849868476E-2
2.485276667E-1,-3.600978479E-2,-3.006936014E-1,-3.540411219E-2
2.585366666E-1,-1.353457011E-2,-2.692999840E-1,-2.529715002E-2
2.685456666E-1,2.066294663E-3,-2.637441158E-1,2.462543081E-3
2.785536667E-1,2.256997302E-2,-2.485704869E-1,1.257882640E-2
2.885626666E-1,2.262787335E-2,-2.441594303E-1,9.347690269E-3
2.985716667E-1,1.284022443E-2,-2.220674455E-1,4.498873837E-3
3.085796667E-1,-4.956361838E-3,-2.232394665E-1,-5.898632109E-3
3.185886666E-1,-4.947041161E-3,-1.890300959E-1,-2.275934443E-3
3.285966667E-1,5.760332569E-3,-1.556065828E-1,5.428921431E-3
3.386056666E-1,1.515303552E-2,-1.231514290E-1,-7.338994183E-4
3.486146666E-1,8.549625985E-3,-1.258262396E-1,-3.151466325E-2
3.586226667E-1,-6.903366651E-3,-1.511227936E-1,-2.188573778E-2
3.686316666E-1,1.016213931E-2,-1.011981517E-1,1.845850423E-2
3.786396666E-1,2.098788880E-2,-1.368799806E-1,1.385469735E-2
3.886486667E-1,5.357509106E-2,-1.015546992E-1,3.606201336E-2
3.986576666E-1,7.371817529E-2,-9.418439865E-2,3.907591477E-2
4.086656666E-1,5.516736954E-2,-1.239619926E-1,-1.306929998E-2
4.186746667E-1,6.310971826E-2,-2.927703038E-2,2.192064002E-2
4.286836666E-1,6.608493626E-2,-1.493615285E-2,3.705914691E-2
4.386916667E-1,6.813050807E-2,6.630391348E-3,4.093777388E-2
4.487006667E-1,7.640470564E-2,5.308657419E-3,4.224191606E-2
4.587086666E-1,8.651752770E-2,-1.145887095E-2,4.083363712E-2
4.687176667E-1,7.250931859E-2,-2.951990440E-2,3.604366258E-2
4.787266667E-1,5.487067625E-2,-2.616991289E-2,2.305223048E-2
4.887346666E-1,4.998023435E-2,-5.383782089E-3,2.671238407E-2
4.987436667E-1,6.803167611E-2,3.949660808E-2,3.989582881E-2
5.087516666E-1,1.076093316E-1,1.002081037E-1,6.963234395E-2
5.187606666E-1,1.549784392E-1,1.704106331E-1,9.300930053E-2
5.287696667E-1,2.006707937E-1,2.311890870E-1,9.537794441E-2
5.387776666E-1,2.265716344E-1,2.723972201E-1,8.163256943E-2
5.487866666E-1,2.025300115E-1,2.100995034E-1,7.008640468E-2
5.587956667E-1,1.242764965E-1,8.557727933E-2,5.937756598E-2
5.688036666E-1,4.810369015E-2,3.164514527E-2,4.023196176E-2
5.788126667E-1,1.253477950E-2,-1.303976681E-2,3.586757183E-2
5.888206667E-1,-2.915883437E-3,-2.865660191E-2,3.288048133E-2
5.988296666E-1,-3.296981566E-3,-2.425439656E-2,3.600543365E-2
6.088386667E-1,1.188614406E-2,-2.916858997E-3,2.999871597E-2
6.188466666E-1,2.665390447E-2,3.669526428E-2,1.992424205E-2
6.288556666E-1,4.329493642E-2,8.621443063E-2,8.855471388E-3
6.388636667E-1,5.727786198E-2,1.099091098E-1,1.069837995E-2
6.488726666E-1,7.581533492E-2,1.572393924E-1,6.790990941E-3
6.588816666E-1,9.298233688E-2,1.904775053E-1,1.810330153E-2
6.688896667E-1,1.201854050E-1,2.301246673E-1,3.233006224E-2
6.788986666E-1,1.342458278E-1,2.483942062E-1,4.760648683E-2
6.889066666E-1,1.202082559E-1,2.418158203E-1,5.551756918E-2
6.989156667E-1,9.205305576E-2,2.167544067E-1,5.491010100E-2
7.089246666E-1,4.874691367E-2,1.791453660E-1,5.140548944E-2
7.189326667E-1,3.711793572E-3,1.330806762E-1,3.755092621E-2
