"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.333007100E-2,-1.246128440E0,-1.074327588E0,3.445178568E-1
3.588173700E-2,-1.286444306E0,-1.098761559E0,3.384093940E-1
3.841210200E-2,-1.326760292E0,-1.119530320E0,3.310792148E-1
4.091652900E-2,-1.365854502E0,-1.139077425E0,3.200839758E-1
4.343022700E-2,-1.402505279E0,-1.150072694E0,3.115321100E-1
4.592788300E-2,-1.437934399E0,-1.161067963E0,2.980934680E-1
4.844220600E-2,-1.470920205E0,-1.167176366E0,2.870981991E-1
5.094210200E-2,-1.506349325E0,-1.169619799E0,2.724378705E-1
5.345288300E-2,-1.534448266E0,-1.174506545E0,2.614426315E-1
5.595303900E-2,-1.567434072E0,-1.170841455E0,2.492256761E-1
5.846418500E-2,-1.596754789E0,-1.165954709E0,2.357870489E-1
6.096569600E-2,-1.626075387E0,-1.161067963E0,2.247917950E-1
6.347491400E-2,-1.656617761E0,-1.157402873E0,2.137965411E-1
6.597647700E-2,-1.687160134E0,-1.152516007E0,2.015796006E-1
6.848725800E-2,-1.717702508E0,-1.156181097E0,1.918060333E-1
7.098882100E-2,-1.747023106E0,-1.162289619E0,1.820324808E-1
7.347288300E-2,-1.780008912E0,-1.180615067E0,1.734806150E-1
7.600074800E-2,-1.817881465E0,-1.196497083E0,1.649287641E-1
7.850923700E-2,-1.855754018E0,-1.211157441E0,1.563768983E-1
8.101314400E-2,-1.898513317E0,-1.224596024E0,1.490467340E-1
8.349637300E-2,-1.943715930E0,-1.240478039E0,1.417165697E-1
8.602788300E-2,-1.992583752E0,-1.253916740E0,1.356080920E-1
8.853158100E-2,-2.042673349E0,-1.263690233E0,1.307213157E-1
9.103830000E-2,-2.095206022E0,-1.261246920E0,1.282779276E-1
9.354772700E-2,-2.151404142E0,-1.253916740E0,1.258345395E-1
9.604970600E-2,-2.205158710E0,-1.235591292E0,1.258345395E-1
9.856048700E-2,-2.262578249E0,-1.212379098E0,1.294996142E-1
1.010620500E-1,-2.316332817E0,-1.163511276E0,1.368297935E-1
1.035751230E-1,-2.366422176E0,-1.108535051E0,1.490467340E-1
1.060752790E-1,-2.420176744E0,-1.041341901E0,1.600419879E-1
1.085838730E-1,-2.470266342E0,-9.765920639E-1,1.722589284E-1
1.110874670E-1,-2.515469074E0,-8.996253014E-1,1.893626451E-1
1.135693940E-1,-2.557006598E0,-8.287670016E-1,2.064663768E-1
1.160975710E-1,-2.594879150E0,-7.591304183E-1,2.260134816E-1
1.186070500E-1,-2.622978210E0,-6.968240142E-1,2.492256761E-1
1.211093940E-1,-2.647412062E0,-6.406260729E-1,2.748812735E-1
1.235936120E-1,-2.663294077E0,-5.966450572E-1,3.005368412E-1
1.261226230E-1,-2.671845913E0,-5.575508475E-1,3.274141252E-1
1.286028310E-1,-2.679176092E0,-5.343386531E-1,3.567348123E-1
1.310356960E-1,-2.674289227E0,-5.184566379E-1,3.823903799E-1
1.334922580E-1,-2.668180943E0,-5.233433843E-1,4.080459774E-1
1.359496540E-1,-2.664515734E0,-5.270084739E-1,4.324798584E-1
1.384065290E-1,-2.649855375E0,-5.331169367E-1,4.532486796E-1
1.408625710E-1,-2.633973360E0,-5.257867575E-1,4.727957845E-1
1.433202270E-1,-2.602209330E0,-4.915793240E-1,4.947862923E-1
1.457767370E-1,-2.560671806E0,-4.304946065E-1,5.106683373E-1
1.482338210E-1,-2.503252029E0,-3.449759781E-1,5.314370990E-1
1.506906960E-1,-2.426285267E0,-2.203631550E-1,5.473191738E-1
1.531475190E-1,-2.337101698E0,-9.208522737E-2,5.595360994E-1
1.556041850E-1,-2.236922741E0,3.130592033E-2,5.680879354E-1
1.580808000E-1,-2.125748396E0,1.485885978E-1,5.766398311E-1
1.605184560E-1,-2.002357244E0,2.768665254E-1,5.839699507E-1
1.629753830E-1,-1.869192600E0,4.112529159E-1,5.900784731E-1
1.654319980E-1,-1.721367598E0,5.285356045E-1,5.925218463E-1
1.678890810E-1,-1.558882236E0,6.336013079E-1,5.937435627E-1
1.703467370E-1,-1.396396875E0,7.252284288E-1,5.913001299E-1
1.728039770E-1,-1.226581335E0,7.973083854E-1,5.888567567E-1
1.752597060E-1,-1.062874198E0,8.364025950E-1,5.827482939E-1
1.777193420E-1,-9.126058221E-1,8.376243114E-1,5.741963983E-1
1.801761640E-1,-7.672241330E-1,8.388460279E-1,5.644228458E-1
1.826334040E-1,-6.071822047E-1,8.889354467E-1,5.558710098E-1
1.850875190E-1,-4.398100376E-1,9.585720897E-1,5.448757410E-1
1.875449670E-1,-2.724378705E-1,1.024543524E0,5.326588154E-1
1.900014250E-1,-1.038440317E-1,1.091736794E0,5.216635466E-1
1.924583520E-1,5.986303091E-2,1.151599765E0,5.057815313E-1
1.949162690E-1,2.174616307E-1,1.200467587E0,4.886777997E-1
1.973724140E-1,3.652866483E-1,1.245670319E0,4.691306949E-1
1.998299670E-1,5.033381581E-1,1.282321095E0,4.520269632E-1
2.022868420E-1,6.352811456E-1,1.304311633E0,4.361449480E-1
