"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.389958332E-3,5.264252930E0,-8.624165955E0,4.267924805E0
1.239895834E-2,5.368436279E0,-8.980574799E0,4.125421143E0
2.240895834E-2,5.282215576E0,-9.383985901E0,4.099524994E0
3.241795834E-2,4.798870697E0,-9.780661011E0,4.207001495E0
4.242695835E-2,4.014801178E0,-1.018916153E1,4.581372986E0
5.243595834E-2,3.583697662E0,-1.067385361E1,5.334007874E0
6.244595833E-2,3.609743500E0,-1.088237000E1,6.151907043E0
7.245495834E-2,3.710633698E0,-1.080168777E1,6.512357483E0
8.246395834E-2,3.732787628E0,-1.051353699E1,6.265820160E0
9.247395834E-2,3.998185730E0,-1.021730301E1,5.602699127E0
1.024829583E-1,4.269122314E0,-1.015967285E1,4.804109802E0
1.124919583E-1,4.231251068E0,-1.025442581E1,4.057312775E0
1.225009583E-1,4.049079895E0,-1.044453049E1,3.351979523E0
1.325109583E-1,3.584146729E0,-1.066023193E1,2.880010986E0
1.425199583E-1,2.979553986E0,-1.106214615E1,2.855611725E0
1.525289583E-1,2.533631287E0,-1.158560760E1,3.032094727E0
1.625389583E-1,2.148631897E0,-1.192899353E1,3.335364075E0
1.725479583E-1,2.060914307E0,-1.190998306E1,3.778292999E0
1.825569583E-1,2.250270538E0,-1.147184418E1,4.366869049E0
1.925659583E-1,2.577490082E0,-1.070139633E1,4.992717590E0
2.025759583E-1,2.646795959E0,-9.696086884E0,5.391039276E0
2.125849583E-1,2.581381989E0,-9.040899353E0,5.522615662E0
2.225939583E-1,2.505938873E0,-8.775351563E0,5.390440521E0
2.326039583E-1,2.228266296E0,-8.581354980E0,5.050048370E0
2.426129583E-1,1.833986206E0,-8.376131744E0,4.690346375E0
2.526219583E-1,1.304237823E0,-8.484057312E0,4.852159882E0
2.626309583E-1,9.041198730E-1,-8.703051910E0,5.206922150E0
2.726409583E-1,5.248086548E-1,-9.162745972E0,5.195695496E0
2.826499583E-1,6.866221619E-1,-9.271270294E0,4.836292877E0
2.926589583E-1,1.079704742E0,-8.906029816E0,4.486470337E0
3.026679583E-1,1.631906433E0,-8.391399994E0,4.258195038E0
3.126779583E-1,2.204465790E0,-7.820636902E0,4.121529236E0
3.226869583E-1,2.860252075E0,-7.429649963E0,4.245172119E0
3.326959583E-1,3.422183533E0,-7.352260895E0,4.408332825E0
3.427059583E-1,3.662284241E0,-7.477101288E0,4.307143250E0
3.527149583E-1,3.680097198E0,-7.428901520E0,4.026027832E0
3.627239583E-1,3.507356415E0,-7.028334503E0,3.833228760E0
3.727329583E-1,3.324885864E0,-6.638844452E0,3.812422028E0
3.827429583E-1,3.121159515E0,-6.505621490E0,3.928131409E0
3.927519583E-1,2.770289154E0,-6.611750793E0,4.129612427E0
4.027609583E-1,2.654430084E0,-6.805747375E0,4.427942047E0
4.127709583E-1,2.816542969E0,-6.953639832E0,4.703518982E0
4.227799583E-1,3.006048889E0,-6.977290649E0,4.719236298E0
4.327889583E-1,3.145259399E0,-6.816824341E0,4.468208313E0
4.427979583E-1,3.195704498E0,-6.596632233E0,4.101770325E0
4.528079583E-1,3.167113953E0,-6.491101685E0,3.892355804E0
4.628169583E-1,3.069965973E0,-6.524781647E0,3.936513977E0
4.728259583E-1,3.098706207E0,-6.652915192E0,4.159999237E0
4.828359583E-1,3.250490570E0,-6.767726440E0,4.362079010E0
4.928449583E-1,3.333567810E0,-6.836283875E0,4.589007111E0
5.028539583E-1,3.389252014E0,-6.901548157E0,4.757257233E0
5.128629583E-1,3.357368317E0,-6.960076447E0,4.766238556E0
5.228729583E-1,3.212319946E0,-6.994355164E0,4.615352325E0
5.328819583E-1,2.969824219E0,-7.020999756E0,4.451742554E0
5.428909583E-1,2.611619110E0,-7.101831665E0,4.308640137E0
5.529009583E-1,2.238594818E0,-7.244485016E0,4.183350677E0
5.629099583E-1,2.022743683E0,-7.351063385E0,4.150269470E0
5.729189583E-1,1.859582977E0,-7.486831055E0,4.119134216E0
5.829279583E-1,1.750459900E0,-7.641609192E0,4.085903320E0
