"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.409449990E-2,1.706247777E-1,4.456868470E-1,2.494629920E-1
5.410249997E-2,1.382226199E-1,3.815147877E-1,2.595443726E-1
6.411149993E-2,1.162220538E-1,3.318908811E-1,2.674524486E-1
7.411950000E-2,1.231348217E-1,2.984575629E-1,2.634087205E-1
8.412849996E-2,1.427617222E-1,2.974808514E-1,2.558409870E-1
9.413649992E-2,1.411848664E-1,2.626453936E-1,2.151494622E-1
1.041455000E-1,1.455697268E-1,2.647165358E-1,1.958122700E-1
1.141534999E-1,1.596738249E-1,2.842271030E-1,2.141963392E-1
1.241624999E-1,1.841937602E-1,3.741964102E-1,2.538853884E-1
1.341705000E-1,1.929821819E-1,4.924767017E-1,2.970195413E-1
1.441794999E-1,1.869349927E-1,5.753400326E-1,2.807419598E-1
1.541874999E-1,1.857600063E-1,7.249742746E-1,2.028913647E-1
1.641965000E-1,1.801008135E-1,8.153579831E-1,1.267703921E-1
1.742054999E-1,1.347892582E-1,8.533383608E-1,7.514822483E-2
1.842135000E-1,4.879212752E-2,8.036450744E-1,1.963175833E-2
1.942225000E-1,-1.371519268E-2,7.060317397E-1,-2.099289931E-2
2.042304999E-1,-1.427447982E-2,6.014089584E-1,-3.335794806E-2
2.142395000E-1,1.634841040E-2,5.011702180E-1,-2.727821842E-2
2.242475000E-1,4.295331985E-2,4.284752309E-1,3.336702939E-3
2.342564999E-1,4.584657773E-2,3.953673244E-1,2.194793709E-2
2.442645000E-1,5.211383104E-2,4.042006433E-1,3.651209176E-2
2.542734999E-1,9.540830553E-2,4.771622121E-1,4.724089801E-2
2.642814999E-1,1.735672355E-1,6.023699045E-1,5.755027384E-2
2.742905000E-1,2.446070611E-1,7.135350108E-1,6.672406942E-2
2.842984999E-1,2.981784940E-1,8.053942919E-1,7.296156883E-2
2.943074999E-1,3.321210146E-1,8.647188544E-1,7.212613523E-2
3.043165000E-1,3.433791399E-1,8.937394619E-1,6.943163276E-2
3.143244999E-1,3.311741352E-1,8.997198939E-1,7.800754160E-2
3.243335000E-1,3.083571196E-1,8.858575821E-1,1.028527394E-1
3.343415000E-1,3.032334745E-1,8.895223141E-1,1.217508018E-1
3.443504999E-1,3.380895853E-1,9.160131812E-1,1.269690990E-1
3.543585000E-1,3.727263808E-1,9.168773890E-1,1.234974042E-1
3.643674999E-1,3.841253519E-1,8.934606314E-1,1.200905889E-1
3.743754999E-1,3.623657525E-1,9.387325048E-1,1.272105575E-1
3.843845000E-1,3.220922351E-1,9.859528542E-1,1.218689531E-1
3.943934999E-1,2.718889713E-1,1.027290821E0,1.261414587E-1
4.044014999E-1,2.358105928E-1,1.051504970E0,1.214787290E-1
4.144105000E-1,2.057725340E-1,1.017408252E0,9.303376824E-2
4.244184999E-1,1.998366416E-1,9.393547177E-1,5.742464215E-2
4.344275000E-1,2.261188477E-1,8.712989688E-1,1.995795593E-2
4.444355000E-1,2.727850676E-1,8.421044946E-1,-7.397268899E-3
4.544444999E-1,3.156529069E-1,8.403715491E-1,-2.632488683E-2
4.644525000E-1,3.549167514E-1,9.266422987E-1,-3.180516139E-2
4.744615000E-1,3.629395366E-1,1.017888546E0,-3.741777316E-2
4.844694999E-1,3.335893154E-1,1.051248670E0,-2.818856761E-2
4.944785000E-1,2.722465992E-1,1.042798400E0,5.277513526E-3
5.044864999E-1,2.029770166E-1,1.011097431E0,5.299455673E-2
5.144954999E-1,1.450197101E-1,9.492785335E-1,1.056452543E-1
5.245045000E-1,8.246976137E-2,8.484478593E-1,1.650445312E-1
5.345124999E-1,2.616893314E-2,7.736985683E-1,2.300067544E-1
5.445214999E-1,-2.143914625E-2,7.788541317E-1,2.910807133E-1
5.545295000E-1,-6.867031008E-2,7.424500585E-1,3.248724937E-1
5.645384999E-1,-1.064325869E-1,7.157252431E-1,3.245412707E-1
5.745465000E-1,-1.342386454E-1,6.864203215E-1,3.219880760E-1
5.845555000E-1,-1.501742899E-1,6.282036304E-1,3.283591270E-1
5.945634999E-1,-1.673223823E-1,5.632427335E-1,3.502289951E-1
6.045725000E-1,-1.748685837E-1,5.087484717E-1,3.517479599E-1
6.145814999E-1,-1.738826782E-1,4.608813822E-1,3.283957839E-1
6.245894999E-1,-1.654419601E-1,3.748844266E-1,2.864067554E-1
6.345985000E-1,-1.420405060E-1,3.603401184E-1,3.160373569E-1
6.446064999E-1,-1.365278661E-1,3.504778743E-1,2.137942910E-1
6.546154999E-1,-1.301756799E-1,3.259898424E-1,1.216912642E-1
6.646235000E-1,-8.322312683E-2,4.069837928E-1,1.067749858E-1
6.746324999E-1,-3.547850624E-2,4.775029719E-1,1.221885607E-1
6.846405000E-1,-5.730294157E-3,5.420341492E-1,1.829385459E-1
6.946495000E-1,-1.516880281E-2,5.041751862E-1,2.564950585E-1
7.046584999E-1,-3.127254173E-2,3.129841983E-1,3.346008360E-1
7.146665000E-1,-2.906947397E-3,2.002086341E-1,4.476773143E-1
7.246755000E-1,1.071687974E-2,2.086628228E-1,5.573270917E-1
7.346834999E-1,8.009701967E-2,3.766987324E-1,7.063149214E-1
7.446925000E-1,1.241229400E-1,4.771125317E-1,7.121841908E-1
7.547004999E-1,1.729682535E-1,5.650916696E-1,7.059220076E-1
7.647094999E-1,2.478539795E-1,6.990482807E-1,6.835007071E-1
7.747175000E-1,2.517443001E-1,7.003380656E-1,5.692167282E-1
7.847264999E-1,2.237739265E-1,5.940915942E-1,4.573342800E-1
7.947345000E-1,2.290379256E-1,5.297544599E-1,3.823668361E-1
8.047435000E-1,2.360397279E-1,3.702593446E-1,3.415893912E-1
8.147524999E-1,2.553851902E-1,2.290795743E-1,3.130203187E-1
8.247605000E-1,2.678582370E-1,1.058899909E-1,3.142021894E-1
8.347695000E-1,2.971628606E-1,1.975163072E-1,3.616842330E-1
8.447774999E-1,2.659845948E-1,2.435736954E-1,4.622895718E-1
8.547865000E-1,2.404728532E-1,1.785925627E-1,4.943603873E-1
8.647944999E-1,2.537362874E-1,1.405817866E-1,5.039842129E-1
8.748034999E-1,2.247504443E-1,6.323081255E-2,5.045344234E-1
8.848115000E-1,1.488144100E-1,-8.734072000E-2,4.577529728E-1
8.948204999E-1,8.888423443E-2,-1.857961863E-1,4.348271489E-1
9.048294999E-1,9.010234475E-2,-2.672228813E-1,4.296837747E-1
9.148375000E-1,1.189832613E-1,-3.338341117E-1,4.120946527E-1
9.248464999E-1,1.615205407E-1,-4.310731888E-1,3.805579543E-1
9.348545000E-1,2.012338638E-1,-4.819259942E-1,3.351292312E-1
9.448635000E-1,2.519050539E-1,-6.036788225E-1,2.584898174E-1
9.548713750E-1,2.445408851E-1,-7.665249705E-1,2.604008913E-1
9.648803750E-1,1.983741075E-1,-9.186581373E-1,2.995330095E-1
9.748883749E-1,1.744128466E-1,-1.033261657E0,3.045333624E-1
9.848973750E-1,1.505893618E-1,-1.069567442E0,3.075315356E-1
9.949063750E-1,9.782229364E-2,-1.052371025E0,2.733799517E-1
1.004914375E0,5.432417616E-2,-9.508715272E-1,2.194053680E-1
1.014923375E0,2.388557419E-2,-7.443628311E-1,1.725369245E-1
1.024931375E0,-7.262796909E-2,-6.080011129E-1,1.079162732E-1
1.034940375E0,-2.179910392E-1,-4.684783220E-1,1.202729531E-2
1.044948375E0,-3.822537661E-1,-3.342396021E-1,-7.634143531E-2
1.054957375E0,-5.416189432E-1,-1.628435999E-1,-1.773024052E-1
1.064965375E0,-7.058714628E-1,-1.257229894E-1,-3.205529153E-1
1.074974375E0,-8.870984912E-1,-1.748119891E-1,-4.597126842E-1
1.084983375E0,-1.097939491E0,-2.128857225E-1,-5.057564378E-1
1.094991375E0,-1.324511409E0,-2.123815864E-1,-5.861284733E-1
1.105000375E0,-1.525182009E0,-1.286383569E-1,-6.212142706E-1
1.115008375E0,-1.673394561E0,2.406569570E-2,-5.724675059E-1
1.125017375E0,-1.791346908E0,2.138794363E-1,-5.259320736E-1
1.135025375E0,-1.953578949E0,4.732066393E-1,-5.824155807E-1
1.145034375E0,-1.982015014E0,8.538860083E-1,-6.911095381E-1
1.155042375E0,-1.946013331E0,9.704475403E-1,-1.178193450E0
1.165051375E0,-1.901742101E0,7.019130588E-1,-1.452915788E0
1.175060375E0,-1.793696880E0,1.392078698E-1,-1.454771996E0
1.185068375E0,-1.700085878E0,-3.794866800E-1,-1.402354956E0
1.195077375E0,-1.628684878E0,-7.355034351E-1,-1.333935380E0
1.205085375E0,-1.558793783E0,-7.933039665E-1,-1.218554616E0
1.215094375E0,-1.487162471E0,-5.955999494E-1,-1.137396097E0
1.225102375E0,-1.320642710E0,-3.545784056E-1,-1.124944925E0
1.235111375E0,-1.149665356E0,-1.857952625E-1,-1.121173263E0
1.245119375E0,-9.898251891E-1,-2.686485462E-2,-1.115664363E0
1.255128375E0,-8.400370479E-1,9.926298261E-2,-1.107412815E0
1.265137375E0,-7.105872631E-1,1.636094898E-1,-1.108870983E0
1.275145375E0,-5.955586433E-1,1.209781393E-1,-1.097277403E0
1.285154375E0,-4.686183929E-1,-3.423476219E-2,-1.012128592E0
1.295162375E0,-3.170941174E-1,-2.269669324E-1,-9.308388233E-1
1.305171375E0,-1.636261791E-1,-3.907830119E-1,-8.585824966E-1
1.315179375E0,-7.131808996E-2,-4.580520689E-1,-7.877631783E-1
1.325188375E0,1.029177383E-2,-4.205314517E-1,-7.138063908E-1
1.335196375E0,7.692380250E-2,-3.058362901E-1,-6.157970428E-1
1.345205375E0,1.851935685E-1,-1.473168433E-1,-4.867793620E-1
1.355214375E0,3.000788689E-1,-1.360298973E-2,-3.289124966E-1
1.365222375E0,3.957225382E-1,8.766466379E-2,-1.846035421E-1
1.375231375E0,5.199600458E-1,1.894810349E-1,-7.805952430E-2
1.385239375E0,6.441033483E-1,2.816985548E-1,2.513260115E-3
1.395248375E0,7.861097455E-1,3.267691135E-1,7.888898998E-2
1.405256375E0,9.885406494E-1,3.495893776E-1,9.876916558E-2
1.415265375E0,1.103553772E0,3.703138232E-1,1.561810672E-1
1.425273375E0,1.146050453E0,4.395477176E-1,2.216015905E-1
1.435282375E0,1.128811836E0,5.456784368E-1,3.560182452E-1
1.445291375E0,1.034962773E0,6.465372443E-1,5.192275643E-1
1.455299375E0,8.600763679E-1,7.073603868E-1,6.972526908E-1
1.465308375E0,6.569592953E-1,7.318431139E-1,8.512966037E-1
1.475316375E0,4.473834336E-1,7.532138824E-1,9.600387812E-1
1.485325375E0,2.648576498E-1,7.713192701E-1,1.024790883E0
1.495333375E0,1.324063987E-1,7.424242496E-1,1.036511302E0
1.505342375E0,5.728321522E-2,6.340583563E-1,9.917142987E-1
1.515350375E0,5.603777245E-3,4.792666733E-1,8.840605021E-1
1.525359375E0,-2.451878972E-2,2.649844289E-1,7.381197810E-1
1.535368375E0,-1.031760499E-1,2.493962180E-3,6.196283102E-1
1.545376375E0,-2.740561962E-1,-2.410731614E-1,4.731491208E-1
1.555385375E0,-3.385720849E-1,-2.211859971E-1,3.126236200E-1
1.565393375E0,-3.023909628E-1,-1.119200885E-1,1.799738556E-1
1.575402375E0,-2.578155100E-1,1.058939919E-1,6.520812958E-2
1.585410375E0,-2.649259567E-1,3.757582307E-1,-1.065891795E-2
1.595419375E0,-3.476144373E-1,7.271088362E-1,-2.837229371E-1
1.605428375E0,-2.934570312E-1,1.058420777E0,-5.013493896E-1
1.615436375E0,-2.413485497E-1,1.360392928E0,-4.892559350E-1
1.625445375E0,-2.753878534E-1,1.538982391E0,-5.218131542E-1
1.635453375E0,-3.831473589E-1,1.399562955E0,-5.898424983E-1
1.645462375E0,-3.682974577E-1,9.022812843E-1,-4.966273010E-1
1.655470375E0,-1.892635226E-1,2.626062632E-1,-3.669161797E-1
1.665479375E0,-6.271189544E-3,-1.239670292E-1,-2.188844383E-1
1.675487375E0,6.628955901E-2,-2.060571015E-1,-9.178078733E-3
1.685496375E0,1.090814024E-1,-1.432391256E-1,1.876318157E-1
1.695505375E0,1.807760894E-1,-9.540528804E-2,2.563565671E-1
1.705513375E0,2.772071660E-1,-7.040964067E-2,2.008028030E-1
1.715522375E0,4.234019220E-1,2.971403487E-2,1.073008031E-1
1.725530375E0,5.928221345E-1,1.017296389E-1,6.375492364E-2
1.735539375E0,5.575453639E-1,1.813219488E-1,1.275259256E-1
1.745547375E0,4.250639975E-1,2.584079206E-1,2.836564183E-1
1.755556375E0,3.058478534E-1,2.582726479E-1,4.586508572E-1
1.765565375E0,1.879471838E-1,1.166896597E-1,6.025230289E-1
1.775573375E0,1.396760494E-1,-6.194213033E-2,6.856203079E-1
1.785582375E0,1.922966391E-1,-3.302923739E-1,6.819632053E-1
1.795590375E0,3.015599847E-1,-5.862815380E-1,5.596331358E-1
1.805599375E0,4.158860445E-1,-7.648103237E-1,3.755977154E-1
1.815607375E0,4.862925708E-1,-8.378371000E-1,1.628167480E-1
1.825616375E0,5.249515176E-1,-9.122662544E-1,-5.835901946E-2
1.835625375E0,5.388516188E-1,-8.926938772E-1,-2.453954816E-1
1.845633375E0,5.899420381E-1,-8.467486501E-1,-3.639968634E-1
1.855642375E0,6.528645754E-1,-7.586616874E-1,-4.343216121E-1
1.865650375E0,6.604629755E-1,-6.105043292E-1,-4.369305372E-1
1.875659375E0,6.101995111E-1,-4.413946569E-1,-3.875632584E-1
1.885667375E0,5.013527870E-1,-2.588147223E-1,-3.348409832E-1
1.895676375E0,3.383452594E-1,-1.251354814E-1,-2.673836350E-1
1.905685375E0,1.449491233E-1,-6.856150925E-2,-2.095699012E-1
1.915693375E0,-2.312243730E-2,-1.164952144E-1,-1.336050928E-1
1.925702375E0,-7.406894863E-2,-1.703931093E-1,-2.072712034E-2
1.935710375E0,-2.503056452E-2,-9.314759076E-2,1.065775752E-1
1.945719375E0,-1.351007633E-2,2.846458927E-3,2.096564472E-1
1.955726792E0,-1.080906391E-1,9.275025129E-2,2.238684148E-1
1.965735792E0,-3.284939229E-1,1.439142525E-1,1.762531102E-1
1.975744792E0,-5.682474375E-1,4.612811841E-3,5.263556913E-2
1.985752792E0,-7.072266936E-1,-2.487668395E-1,-1.007711291E-1
1.995761792E0,-8.580196500E-1,-5.666822195E-1,-1.317993551E-1
2.005769792E0,-1.122703314E0,-9.388284683E-1,-2.651071846E-1
2.015778792E0,-1.447515965E0,-1.077750921E0,-5.444618464E-1
2.025786792E0,-1.666749597E0,-9.604335427E-1,-8.278892636E-1
2.035795792E0,-1.891211748E0,-5.256394744E-1,-9.508681893E-1
2.045804792E0,-1.871242523E0,-2.187218964E-1,-8.154743910E-1
2.055812792E0,-1.595595479E0,-2.639892399E-1,-8.958792686E-1
2.065821792E0,-1.368451238E0,-2.949210107E-1,-1.049968600E0
2.075829792E0,-1.057453156E0,-3.348109126E-1,-1.126391411E0
2.085838792E0,-8.367418647E-1,-5.322701931E-1,-1.158161283E0
2.095846792E0,-7.744950056E-1,-4.219931960E-1,-1.132196546E0
2.105855792E0,-7.322708368E-1,-1.254037917E-1,-1.018923998E0
2.115864792E0,-6.300970316E-1,1.427120715E-1,-8.499239087E-1
2.125872792E0,-4.221059680E-1,3.047444224E-1,-6.680815816E-1
2.135881792E0,-1.737121195E-1,4.007809460E-1,-4.506832063E-1
2.145889792E0,1.522449870E-2,4.138619602E-1,-2.466945201E-1
2.155898792E0,9.369374067E-2,2.667558789E-1,-5.375409871E-2
2.165906792E0,1.565230042E-1,7.409677841E-3,4.945818335E-2
2.175915792E0,2.963791788E-1,-1.741172373E-1,1.175757200E-1
2.185924792E0,5.123295784E-1,-2.236021310E-1,2.175548375E-1
2.195932792E0,7.449073792E-1,-1.469837874E-1,3.504851758E-1
2.205941792E0,9.043144584E-1,1.648678072E-2,4.955523014E-1
2.215949792E0,1.020165443E0,2.860274613E-1,6.308557987E-1
2.225958792E0,1.130142570E0,5.902084112E-1,7.424712777E-1
2.235966792E0,1.197739720E0,8.627262115E-1,8.456530571E-1
2.245975792E0,1.173945308E0,1.013164759E0,9.245401621E-1
2.255984792E0,1.010301471E0,1.013134956E0,9.820985198E-1
2.265992792E0,7.104483843E-1,9.043017626E-1,1.025531054E0
2.276001792E0,3.412642181E-1,7.888230681E-1,1.035596490E0
2.286009792E0,-5.977238994E-3,6.824023724E-1,9.877341986E-1
2.296018792E0,-2.393015772E-1,5.985128284E-1,8.988887668E-1
2.306026792E0,-3.396068513E-1,4.633437991E-1,7.816505432E-1
2.316035792E0,-3.796069920E-1,2.723645270E-1,6.872446537E-1
2.326044792E0,-3.718284070E-1,1.361784339E-1,6.033033729E-1
2.336052792E0,-2.122281045E-1,8.329072595E-2,5.250410438E-1
2.346061792E0,1.001501083E-1,8.320549130E-2,4.183351099E-1
2.356069792E0,4.083737135E-1,2.595864702E-3,3.318841159E-1
2.366078792E0,4.660758376E-1,-2.430747449E-1,2.461701632E-1
2.376086792E0,4.366380572E-1,-3.932280242E-1,9.872292727E-2
2.386095792E0,2.967812717E-1,-4.202194214E-1,-1.961478293E-1
2.396104792E0,1.046922728E-1,-1.742671728E-1,-4.954314828E-1
2.406112792E0,2.672669291E-2,1.936124414E-1,-6.230487227E-1
2.416121792E0,1.062313691E-1,7.507295012E-1,-4.853625000E-1
2.426129792E0,1.650539339E-1,1.298697233E0,-2.550050914E-1
2.436138792E0,2.096616179E-1,1.574357629E0,-1.091669202E-1
2.446146792E0,3.267808557E-1,1.557120562E0,-9.559851140E-2
2.456155792E0,3.740383685E-1,1.309854269E0,-1.913596541E-1
2.466164792E0,3.313694000E-1,1.008977413E0,-2.654619515E-1
2.476172792E0,1.110319719E-1,2.621940374E-1,-2.620664239E-1
2.486181792E0,-8.106755465E-2,-5.288658738E-1,-1.113124192E-1
2.496189792E0,-1.689167172E-1,-8.453745842E-1,9.813667834E-2
2.506198792E0,-2.745639980E-1,-9.526963830E-1,3.855699301E-1
2.516206792E0,-3.463641703E-1,-9.799245000E-1,6.384685040E-1
2.526215792E0,-3.195841610E-1,-9.029012322E-1,8.260012269E-1
2.536224792E0,-2.064605355E-1,-6.999459863E-1,8.450484276E-1
2.546232792E0,-4.476729780E-2,-5.146332979E-1,7.681173086E-1
2.556241792E0,8.730898052E-2,-2.759525180E-1,6.006401777E-1
2.566249792E0,1.621781588E-1,-5.679193512E-2,4.426284134E-1
2.576258792E0,1.947001368E-1,5.595059320E-2,2.989495397E-1
2.586267792E0,2.525269091E-1,5.150765181E-2,1.382336318E-1
2.596275792E0,3.247744739E-1,5.091030523E-2,8.172308095E-3
2.606284792E0,4.262758195E-1,8.938539028E-2,-6.109664962E-2
2.616292792E0,4.916862547E-1,1.259580553E-1,-5.142537877E-2
2.626301792E0,4.548989534E-1,1.592724621E-1,6.873475853E-3
2.636309792E0,3.795975447E-1,1.470453590E-1,5.906370655E-2
2.646318792E0,3.582790494E-1,5.919137970E-2,8.628516644E-2
2.656327792E0,3.005595803E-1,-4.435312375E-2,8.460124582E-2
2.666335792E0,2.677826881E-1,-1.492445171E-1,4.732832685E-2
2.676344792E0,2.211256772E-1,-2.686063051E-1,-2.460738271E-2
2.686352792E0,1.718478203E-1,-3.895083666E-1,-1.261170655E-1
2.696361792E0,1.865588576E-1,-5.533044934E-1,-2.382713109E-1
2.706369792E0,2.184487432E-1,-6.625081301E-1,-3.771345615E-1
2.716378792E0,2.302015424E-1,-7.353420854E-1,-5.016839504E-1
2.726387792E0,2.727784514E-1,-7.544487715E-1,-5.695374012E-1
2.736395792E0,3.523505032E-1,-7.046918869E-1,-5.846199393E-1
2.746404792E0,4.176390171E-1,-5.766929984E-1,-5.672287345E-1
2.756412792E0,3.999124765E-1,-4.098723233E-1,-4.921574295E-1
2.766421792E0,3.158732057E-1,-2.693843246E-1,-4.173277915E-1
2.776430792E0,1.937169433E-1,-1.995141506E-1,-3.680838048E-1
2.786438792E0,1.236433536E-1,-1.897635311E-1,-3.416812420E-1
2.796447792E0,1.417975873E-1,-2.161969990E-1,-3.074936867E-1
2.806455792E0,1.968797892E-1,-1.910415739E-1,-2.547298372E-1
2.816464792E0,2.360194623E-1,-1.132229492E-1,-1.457125545E-1
2.826473792E0,2.046175748E-1,6.652671099E-2,-1.055924073E-1
2.836481792E0,4.942851514E-2,9.731205553E-2,-1.245541200E-1
2.846490792E0,-2.062011957E-1,-8.692487329E-2,-1.288598925E-1
2.856498792E0,-4.737170637E-1,-3.007820249E-1,-1.721538417E-2
2.866507792E0,-8.421516418E-1,-4.307437539E-1,8.200737834E-2
2.876515792E0,-1.377982855E0,-4.371313453E-1,7.426689565E-2
