"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.236416680E-3,-2.254611511E0,1.032971924E1,1.102457428E0
1.224441675E-2,-1.228794708E0,9.547445984E0,1.557361450E0
2.225241670E-2,-4.522096252E-1,9.164392548E0,1.709145813E0
3.226141667E-2,-1.609153748E-1,9.114097137E0,1.614991608E0
4.226941674E-2,-1.457968140E-1,9.253457336E0,1.222956848E0
5.227741669E-2,-4.900808716E-1,9.657018127E0,1.100062408E0
6.228641677E-2,-1.162931671E0,1.005773483E1,1.288520508E0
7.229441672E-2,-1.451980591E0,1.018107834E1,1.713337097E0
8.230241667E-2,-1.199605408E0,9.809101868E0,1.768871613E0
9.231141675E-2,-9.710307312E-1,9.327403564E0,1.556313629E0
1.023194167E-1,-7.849676514E-1,8.956175537E0,1.261127472E0
1.123274167E-1,-6.580316162E-1,8.847800903E0,1.016536102E0
1.223364167E-1,-6.959028625E-1,9.148076477E0,1.002764740E0
1.323444167E-1,-9.169931030E-1,9.737400970E0,1.155297546E0
1.423524168E-1,-9.955796814E-1,1.040321640E1,1.102756805E0
1.523614167E-1,-8.518785095E-1,1.080213684E1,9.491761780E-1
1.623694167E-1,-5.272036743E-1,1.092084000E1,6.526428223E-1
1.723774167E-1,-1.339714050E-1,1.091410400E1,6.283932495E-1
1.823863750E-1,1.576222229E-1,1.093371323E1,6.340814209E-1
1.923943750E-1,3.264710999E-1,1.101499420E1,6.899153137E-1
2.024023751E-1,3.734733582E-1,1.099074463E1,9.139993286E-1
2.124113750E-1,3.207829285E-1,1.089359665E1,1.198108521E0
2.224193751E-1,1.089733887E-1,1.080707657E1,1.335822144E0
2.324273750E-1,-1.047821045E-1,1.068612808E1,1.303040314E0
2.424363750E-1,-8.831634521E-3,1.052655991E1,1.193617859E0
2.524443751E-1,1.242416382E-1,1.049901718E1,1.020428009E0
2.624523750E-1,3.448828125E-1,1.053134995E1,8.701405334E-1
2.724613750E-1,6.243516541E-1,1.068582870E1,7.653584290E-1
2.824693751E-1,9.553134155E-1,1.076172089E1,8.446934509E-1
2.924773750E-1,1.093176727E0,1.067100952E1,8.915460205E-1
3.024863751E-1,1.044527893E0,1.047626450E1,8.999285889E-1
3.124943750E-1,8.223898315E-1,1.037372772E1,8.752299500E-1
3.225023750E-1,7.063810730E-1,1.034453842E1,8.731343079E-1
3.325113751E-1,7.952961731E-1,1.048659302E1,8.402027893E-1
3.425193750E-1,8.581654358E-1,1.079824493E1,6.650669861E-1
