"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.634191666E-2,3.892269135E-1,1.356132269E0,-5.341888070E-1
5.635091662E-2,3.928847611E-1,1.312551260E0,-4.692971408E-1
6.635891658E-2,3.211575747E-1,1.225355506E0,-2.600969374E-1
7.636691665E-2,4.772307873E-1,9.811932445E-1,-3.230034709E-1
8.637591661E-2,4.768140614E-1,8.585274220E-1,-3.736590445E-1
9.638391656E-2,4.593431950E-1,7.416931987E-1,-3.804729879E-1
1.063929166E-1,5.011017919E-1,7.242134213E-1,-3.579759300E-1
1.164009166E-1,5.773859024E-1,6.473450065E-1,-3.307134211E-1
1.264089167E-1,6.469858885E-1,5.909504890E-1,-3.104658127E-1
1.364179166E-1,6.899994016E-1,5.615212321E-1,-3.156813383E-1
1.464259166E-1,7.083495259E-1,5.460066795E-1,-3.243031800E-1
1.564349167E-1,7.178000212E-1,4.904485941E-1,-3.284055293E-1
1.664429166E-1,7.362239361E-1,4.240765572E-1,-3.068643510E-1
1.764509166E-1,7.605180740E-1,3.981272280E-1,-2.699193954E-1
1.864599166E-1,7.909944654E-1,4.051888585E-1,-1.945226938E-1
1.964679166E-1,7.847309709E-1,5.531117320E-1,-7.068358362E-2
2.064759167E-1,8.416889906E-1,5.353582501E-1,-1.887307689E-2
2.164849166E-1,8.273947239E-1,6.404069066E-1,4.775308818E-2
2.264929166E-1,7.678546906E-1,7.392164469E-1,7.159863412E-2
2.365019167E-1,5.309635997E-1,1.009459138E0,4.665200412E-2
2.465099166E-1,2.923538387E-1,1.072373748E0,3.600120172E-2
2.565179166E-1,1.691847742E-1,8.006266952E-1,1.015146971E-1
2.665269166E-1,1.095599160E-1,4.821312428E-1,8.895325661E-2
2.765349166E-1,7.388127595E-2,1.884540915E-1,-7.285397500E-3
2.865439167E-1,8.175981045E-2,-1.170534790E-1,-4.041838273E-2
2.965519166E-1,1.161516160E-1,-4.277532995E-1,4.790775105E-2
3.065599166E-1,1.235651225E-1,-6.537683010E-1,1.752183586E-1
3.165689167E-1,9.120186418E-2,-7.730315924E-1,2.526388466E-1
3.265769166E-1,4.448246211E-3,-8.460991979E-1,2.672715783E-1
3.365859166E-1,-1.406825781E-1,-8.623617887E-1,2.555520833E-1
3.465939166E-1,-2.732924223E-1,-9.135466218E-1,2.747556865E-1
3.566019166E-1,-3.268616498E-1,-1.044033289E0,3.609885871E-1
3.666109166E-1,-3.184648156E-1,-1.162109137E0,5.018897057E-1
3.766189166E-1,-3.048725724E-1,-1.237654209E0,6.723844409E-1
3.866269166E-1,-3.327953517E-1,-1.296075821E0,8.332123756E-1
3.966359167E-1,-4.433516860E-1,-1.399590850E0,9.593524933E-1
4.066439166E-1,-5.464161634E-1,-1.485191584E0,1.056384206E0
4.166529166E-1,-6.328559518E-1,-1.516542315E0,1.132582068E0
4.266609167E-1,-7.242119908E-1,-1.474724531E0,1.153907537E0
4.366689166E-1,-8.164907694E-1,-1.437816381E0,1.110851407E0
4.466779166E-1,-9.120667577E-1,-1.369976521E0,1.020275474E0
4.566859166E-1,-9.979912639E-1,-1.240777016E0,9.338505268E-1
4.666939166E-1,-1.010698915E0,-1.105223656E0,8.433138132E-1
4.767029167E-1,-1.006034136E0,-1.024588466E0,8.593380451E-1
4.867109166E-1,-1.139592290E0,-8.971738219E-1,1.013175011E0
4.967199166E-1,-1.344256759E0,-7.751184702E-1,1.145562887E0
5.067279167E-1,-1.498682141E0,-5.463273525E-1,1.202596068E0
5.167359166E-1,-1.499154568E0,-6.017320156E-1,1.166652203E0
5.267449166E-1,-1.510979533E0,-5.868137479E-1,1.349455953E0
5.367529166E-1,-1.350624681E0,-5.405461192E-1,1.324730873E0
5.467619166E-1,-1.160788894E0,-5.009222627E-1,1.299543023E0
5.567704167E-1,-9.271734357E-1,-6.259606481E-1,1.367211819E0
5.667784166E-1,-7.966247797E-1,-7.072888613E-1,1.515100479E0
5.767874166E-1,-9.265561104E-1,-6.827973723E-1,1.622035503E0
5.867954167E-1,-1.196260333E0,-5.847350359E-1,1.661547542E0
5.968034166E-1,-1.346769929E0,-4.183506072E-1,1.651287675E0
6.068124166E-1,-1.326968908E0,-2.852953672E-1,1.586156607E0
6.168204166E-1,-1.253048897E0,-2.825323343E-1,1.478965878E0
6.268294166E-1,-1.117275357E0,-4.161263704E-1,1.414468408E0
6.368374167E-1,-9.072008729E-1,-6.154653430E-1,1.365614891E0
6.468454166E-1,-7.080426812E-1,-7.098151445E-1,1.368873239E0
6.568544166E-1,-5.725266933E-1,-7.514699101E-1,1.341027498E0
6.668624167E-1,-5.421804190E-1,-6.706174612E-1,1.289395571E0
6.768704166E-1,-5.772848725E-1,-6.455730796E-1,1.181029439E0
6.868794166E-1,-5.945870280E-1,-5.903038383E-1,1.089700818E0
6.968874166E-1,-5.814024806E-1,-5.479507446E-1,9.282435179E-1
7.068964166E-1,-5.658439398E-1,-4.691385925E-1,7.660310268E-1
7.169044166E-1,-4.901119173E-1,-3.241291940E-1,6.211390495E-1
7.269124166E-1,-3.938365579E-1,-2.282293439E-1,4.703448117E-1
7.369214166E-1,-3.661221266E-1,-1.820381433E-1,3.396376371E-1
7.469294167E-1,-3.690876663E-1,-1.289895326E-1,2.342143953E-1
7.569384166E-1,-3.426371515E-1,-3.077028878E-2,1.178747341E-1
7.669464166E-1,-2.768450379E-1,1.933045126E-2,-1.671311818E-2
7.769544167E-1,-1.545074135E-1,2.481842600E-2,-1.527756155E-1
7.869634166E-1,-1.160015445E-2,-2.131722122E-2,-2.788640261E-1
7.969714166E-1,1.154009327E-1,-9.868950397E-2,-3.881593645E-1
8.069794166E-1,1.828194410E-1,-1.578915119E-1,-4.702278674E-1
8.169884166E-1,1.914834976E-1,-1.838006079E-1,-5.233278871E-1
8.269964167E-1,1.456115693E-1,-1.526327431E-1,-5.516531467E-1
8.370054166E-1,5.655493587E-2,-1.264051348E-1,-5.500667095E-1
8.470134166E-1,-9.179347754E-2,-1.015075743E-1,-4.973258376E-1
8.570214167E-1,-2.329985350E-1,-1.776404232E-1,-4.738026857E-1
