"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.213704800E-2,-4.059199691E-1,1.174388453E-1,-1.849394590E-1
9.437722100E-2,-4.134030640E-1,1.174388453E-1,-1.788308024E-1
9.663466600E-2,-4.170682430E-1,1.186605766E-1,-1.629483104E-1
9.889913200E-2,-4.221078753E-1,1.235474944E-1,-1.519527286E-1
1.011557840E-1,-4.208861589E-1,1.296561509E-1,-1.421788931E-1
1.034090200E-1,-4.184426963E-1,1.382082552E-1,-1.262963861E-1
1.056591410E-1,-4.147774875E-1,1.479821056E-1,-1.091921628E-1
1.079122550E-1,-4.088215530E-1,1.601994038E-1,-8.949175477E-2
1.101650620E-1,-4.002694488E-1,1.711949855E-1,-7.483099401E-2
1.124185420E-1,-3.892738819E-1,1.834122837E-1,-6.246097013E-2
1.146723860E-1,-3.795000315E-1,1.992947906E-1,-4.902193695E-2
1.169245830E-1,-3.721696436E-1,2.139555514E-1,-3.420845419E-2
1.191782450E-1,-3.672827184E-1,2.298380435E-1,-2.199114859E-2
1.214301990E-1,-3.599523604E-1,2.444988191E-1,-1.206458826E-2
1.236836770E-1,-3.526219726E-1,2.640464902E-1,1.527163084E-3
1.259366070E-1,-3.477350473E-1,2.835941911E-1,1.252273750E-2
1.281897810E-1,-3.379611969E-1,3.008511364E-1,2.611448988E-2
1.304399040E-1,-3.320052624E-1,3.142901659E-1,3.955352306E-2
1.326805660E-1,-3.234531581E-1,3.301726580E-1,4.948008433E-2
1.349358140E-1,-3.110831380E-1,3.399465084E-1,5.940664560E-2
1.372019270E-1,-2.988658249E-1,3.411682248E-1,6.918048859E-2
1.394581530E-1,-2.864958048E-1,3.399465084E-1,7.528914511E-2
1.417105950E-1,-2.718350291E-1,3.387247920E-1,8.399397135E-2
1.439572370E-1,-2.594650090E-1,3.313944042E-1,8.888089657E-2
1.462138290E-1,-2.446515262E-1,3.228422701E-1,9.269879758E-2
1.484673690E-1,-2.286163121E-1,3.106249869E-1,9.758572280E-2
1.507228010E-1,-2.174680233E-1,2.984076738E-1,9.880745411E-2
1.529740830E-1,-2.087631971E-1,2.813034356E-1,9.758572280E-2
1.552269510E-1,-1.988366395E-1,2.605340183E-1,9.758572280E-2
1.574795150E-1,-1.939497143E-1,2.422080636E-1,9.880745411E-2
1.597327500E-1,-1.901318133E-1,2.238821089E-1,1.000291854E-1
1.619864120E-1,-1.864666194E-1,2.043344229E-1,9.987647086E-2
1.642432480E-1,-1.826487035E-1,1.884519309E-1,9.987647086E-2
1.664925160E-1,-1.850921661E-1,1.737911552E-1,1.010981947E-1
1.687465450E-1,-1.863138974E-1,1.615738571E-1,1.021672115E-1
1.709972160E-1,-1.837177277E-1,1.493565589E-1,1.058324054E-1
1.732509990E-1,-1.837177277E-1,1.383609772E-1,1.058324054E-1
1.755041730E-1,-1.837177277E-1,1.272126883E-1,1.058324054E-1
1.777575910E-1,-1.824959964E-1,1.223257631E-1,1.119410545E-1
1.800104600E-1,-1.837177277E-1,1.198823079E-1,1.166752651E-1
1.822629620E-1,-1.898263693E-1,1.223257631E-1,1.191187203E-1
1.845168690E-1,-1.912008226E-1,1.235474944E-1,1.240056455E-1
1.867707140E-1,-1.948660165E-1,1.284344196E-1,1.264491081E-1
1.890229120E-1,-1.997529417E-1,1.357648075E-1,1.264491081E-1
1.912769390E-1,-2.047925740E-1,1.443169117E-1,1.325577646E-1
1.935288310E-1,-2.072360367E-1,1.540907621E-1,1.362229437E-1
1.957794420E-1,-2.134974003E-1,1.650863290E-1,1.386664063E-1
1.980241320E-1,-2.183843255E-1,1.748601794E-1,1.423316002E-1
2.002878640E-1,-2.234239578E-1,1.797471046E-1,1.435533315E-1
2.025415880E-1,-2.307543457E-1,1.809688359E-1,1.447750628E-1
2.047981190E-1,-2.331978083E-1,1.834122837E-1,1.447750628E-1
2.070475700E-1,-2.331978083E-1,1.858557463E-1,1.435533315E-1
2.093008040E-1,-2.382374406E-1,1.846340150E-1,1.386664063E-1
2.115532450E-1,-2.393064648E-1,1.760819107E-1,1.336267740E-1
2.138067240E-1,-2.417499274E-1,1.663080603E-1,1.262963861E-1
2.160596540E-1,-2.417499274E-1,1.577559561E-1,1.226311997E-1
2.183090450E-1,-2.417499274E-1,1.528690308E-1,1.177442744E-1
2.205531240E-1,-2.478585690E-1,1.430951804E-1,1.139263660E-1
2.228203960E-1,-2.551889420E-1,1.406517178E-1,1.053742543E-1
2.250724710E-1,-2.588541508E-1,1.308778822E-1,1.004873365E-1
2.273285140E-1,-2.637410760E-1,1.235474944E-1,9.422596544E-2
2.295778430E-1,-2.698497176E-1,1.162171140E-1,8.933904022E-2
2.318302840E-1,-2.735149264E-1,1.088867337E-1,7.956519723E-2
2.340771110E-1,-2.808452845E-1,1.101084575E-1,7.467827946E-2
2.363245460E-1,-2.845104933E-1,1.064432710E-1,7.086037099E-2
2.385909040E-1,-2.907718420E-1,1.015563458E-1,6.597344577E-2
2.408457860E-1,-2.968805134E-1,1.027780771E-1,6.352998316E-2
2.431009740E-1,-3.042109013E-1,1.052215397E-1,6.597344577E-2
2.453537810E-1,-3.116939962E-1,1.076650023E-1,6.459899992E-2
2.476025610E-1,-3.141374588E-1,1.125519201E-1,6.582073122E-2
2.498560410E-1,-3.190243840E-1,1.186605766E-1,6.826419383E-2
2.521081770E-1,-3.240640163E-1,1.172861308E-1,6.948592514E-2
2.543621430E-1,-3.265074790E-1,1.185078546E-1,7.070764899E-2
2.566155610E-1,-3.277291954E-1,1.221730486E-1,7.559457421E-2
2.588694060E-1,-3.265074790E-1,1.295034289E-1,8.048149943E-2
2.611183700E-1,-3.252857327E-1,1.270599663E-1,8.414668590E-2
2.633591530E-1,-3.191770911E-1,1.258382350E-1,8.414668590E-2
2.656113510E-1,-3.155119121E-1,1.246165112E-1,9.025534242E-2
2.678647070E-1,-3.092505336E-1,1.209513173E-1,9.651670605E-2
2.701236180E-1,-3.019201458E-1,1.197295859E-1,1.038470939E-1
2.723897310E-1,-2.933680415E-1,1.160643995E-1,1.087340117E-1
2.746433930E-1,-2.871066630E-1,1.148426682E-1,1.123992056E-1
2.768973610E-1,-2.761110961E-1,1.149953827E-1,1.162171140E-1
2.791459570E-1,-2.661845386E-1,1.125519201E-1,1.198823079E-1
