"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.391594400E-2,-1.526620865E0,-9.724431038E0,-9.499505758E-1
1.617702900E-2,-1.521835208E0,-9.705288887E0,-9.595218897E-1
1.843459700E-2,-1.545165181E0,-9.700503349E0,-9.738788009E-1
2.068549300E-2,-1.549950838E0,-9.671789169E0,-9.547362328E-1
2.293838200E-2,-1.536192179E0,-9.667003632E0,-9.541380405E-1
2.518911300E-2,-1.612164259E0,-9.667003632E0,-9.355936646E-1
2.744277600E-2,-1.626521230E0,-9.667003632E0,-9.547362328E-1
2.969656000E-2,-1.612164259E0,-9.657432556E0,-9.260223508E-1
3.194894100E-2,-1.645663738E0,-9.628718376E0,-9.403793216E-1
3.420235800E-2,-1.664208174E0,-9.652647018E0,-9.595218897E-1
3.645095500E-2,-1.697707653E0,-9.647860527E0,-9.308080077E-1
3.869741400E-2,-1.697707653E0,-9.623932838E0,-9.355936646E-1
4.096059700E-2,-1.688136339E0,-9.595218658E0,-9.690931439E-1
4.321401500E-2,-1.678565025E0,-9.585647583E0,-9.355936646E-1
4.546981300E-2,-1.668993831E0,-9.561718941E0,-9.397810698E-1
4.772109500E-2,-1.645065546E0,-9.547362328E0,-9.589236975E-1
4.997310900E-2,-1.668993831E0,-9.576076508E0,-9.349954724E-1
5.222628400E-2,-1.678565025E0,-9.585647583E0,-9.595218897E-1
5.447903000E-2,-1.635494232E0,-9.585647583E0,-9.684949517E-1
5.673189800E-2,-1.616351724E0,-9.576076508E0,-9.876375198E-1
5.898556000E-2,-1.583450437E0,-9.552147865E0,-9.870393276E-1
6.123873400E-2,-1.583450437E0,-9.561718941E0,-9.876375198E-1
6.349227500E-2,-1.606780410E0,-9.580862045E0,-1.006780148E0
6.574581400E-2,-1.592423439E0,-9.585647583E0,-1.011565804E0
6.799795000E-2,-1.559522152E0,-9.561718941E0,-1.039681435E0
7.024758400E-2,-1.568495274E0,-9.556933403E0,-1.068395257E0
7.248769700E-2,-1.558923960E0,-9.547362328E0,-1.106680512E0
7.474526500E-2,-1.544566989E0,-9.537791252E0,-1.130608678E0
7.701021800E-2,-1.554138303E0,-9.552147865E0,-1.130608678E0
7.926693300E-2,-1.567897081E0,-9.528220177E0,-1.159322619E0
8.152059500E-2,-1.524826288E0,-9.470791817E0,-1.220937729E0
8.376998500E-2,-1.501496196E0,-9.466006279E0,-1.240080357E0
8.602254800E-2,-1.515853167E0,-9.456435204E0,-1.220937729E0
8.827505000E-2,-1.505683661E0,-9.456435204E0,-1.259222865E0
9.052865100E-2,-1.496112347E0,-9.466006279E0,-1.283151150E0
9.278188600E-2,-1.505683661E0,-9.456435204E0,-1.311864972E0
9.503487700E-2,-1.500898004E0,-9.470791817E0,-1.321436286E0
9.728780600E-2,-1.472184181E0,-9.485149384E0,-1.364507079E0
9.953817300E-2,-1.453041553E0,-9.499505997E0,-1.378864050E0
1.017820690E-1,-1.453041553E0,-9.489934921E0,-1.378265858E0
1.040472050E-1,-1.438684583E0,-9.508479118E0,-1.397408366E0
1.063017210E-1,-1.414756417E0,-9.522835732E0,-1.440479279E0
1.085567260E-1,-1.418943882E0,-9.551549911E0,-1.441077471E0
1.108069100E-1,-1.423729420E0,-9.565906525E0,-1.455434322E0
1.130592290E-1,-1.423729420E0,-9.594620705E0,-1.445863128E0
1.153128910E-1,-1.405185103E0,-9.604191780E0,-1.445863128E0
1.175627690E-1,-1.404586911E0,-9.646664619E0,-1.470389485E0
1.198056280E-1,-1.395015597E0,-9.670592308E0,-1.479960799E0
1.220670410E-1,-1.380658627E0,-9.680164337E0,-1.484746456E0
1.243251600E-1,-1.356730461E0,-9.661021233E0,-1.517647743E0
1.265812630E-1,-1.337587833E0,-9.680164337E0,-1.536790371E0
1.288323000E-1,-1.304088354E0,-9.704092026E0,-1.555932879E0
1.310847410E-1,-1.299302697E0,-9.737591743E0,-1.561316729E0
1.333378540E-1,-1.289731383E0,-9.760921478E0,-1.570888042E0
1.355878550E-1,-1.275972724E0,-9.780064583E0,-1.546959877E0
1.378315680E-1,-1.261615753E0,-9.780064583E0,-1.566102386E0
1.400963380E-1,-1.242473125E0,-9.799206734E0,-1.590030670E0
1.423500610E-1,-1.213759303E0,-9.789635658E0,-1.637887120E0
1.446062260E-1,-1.204187989E0,-9.803992271E0,-1.623530149E0
1.468562260E-1,-1.194616675E0,-9.803992271E0,-1.642672777E0
1.491090330E-1,-1.175474167E0,-9.780064583E0,-1.632503271E0
1.513621460E-1,-1.180259824E0,-9.784850121E0,-1.622931957E0
1.536152590E-1,-1.175474167E0,-9.780064583E0,-1.613360643E0
1.558688610E-1,-1.156929731E0,-9.756733894E0,-1.608574986E0
1.581215460E-1,-1.161715388E0,-9.751948357E0,-1.608574986E0
1.603747190E-1,-1.156929731E0,-9.747162819E0,-1.613360643E0
1.626275270E-1,-1.147358418E0,-9.742377281E0,-1.608574986E0
1.648807620E-1,-1.147358418E0,-9.723235130E0,-1.599003673E0
1.671336300E-1,-1.166501045E0,-9.718449593E0,-1.594218135E0
1.693857660E-1,-1.176072359E0,-9.680164337E0,-1.574477315E0
1.716333860E-1,-1.180858016E0,-9.661021233E0,-1.574477315E0
1.738810050E-1,-1.171286702E0,-9.632905960E0,-1.569691658E0
1.761463260E-1,-1.161715388E0,-9.604191780E0,-1.536192179E0
1.784015130E-1,-1.171286702E0,-9.570692062E0,-1.530808330E0
1.806555410E-1,-1.138385415E0,-9.556335449E0,-1.545165181E0
1.829054190E-1,-1.152742267E0,-9.509077072E0,-1.515853167E0
1.851578610E-1,-1.162313581E0,-9.494720459E0,-1.496710539E0
1.874118290E-1,-1.152742267E0,-9.466006279E0,-1.515853167E0
1.896639650E-1,-1.143171072E0,-9.470791817E0,-1.515853167E0
1.919138420E-1,-1.147956610E0,-9.442078590E0,-1.482353687E0
1.941704950E-1,-1.143171072E0,-9.427721024E0,-1.487139225E0
1.964228140E-1,-1.119840980E0,-9.404391289E0,-1.481755376E0
1.986786130E-1,-1.115055323E0,-9.404391289E0,-1.481755376E0
2.009308100E-1,-1.100698471E0,-9.370891571E0,-1.438684583E0
2.031833740E-1,-1.086341500E0,-9.385248184E0,-1.438684583E0
2.054364250E-1,-1.081555843E0,-9.370891571E0,-1.429113269E0
2.076897820E-1,-1.072582722E0,-9.399605751E0,-1.424327731E0
2.099438710E-1,-1.057627559E0,-9.442676544E0,-1.448255897E0
2.121957630E-1,-1.048654556E0,-9.447462082E0,-1.433898926E0
2.144489370E-1,-1.043868899E0,-9.466604233E0,-1.448255897E0
2.167018060E-1,-1.024726272E0,-9.485149384E0,-1.443470240E0
2.189548580E-1,-9.672985673E-1,-9.490532875E0,-1.443470240E0
2.212074820E-1,-9.535398483E-1,-9.518648148E0,-1.448255897E0
2.234613880E-1,-9.337990284E-1,-9.533005714E0,-1.476969719E0
2.257148060E-1,-9.152546525E-1,-9.561718941E0,-1.472184181E0
2.279685900E-1,-9.008977413E-1,-9.585647583E0,-1.496710539E0
2.302203590E-1,-8.673982024E-1,-9.600004196E0,-1.520040631E0
2.324735330E-1,-8.386843204E-1,-9.619147301E0,-1.524826288E0
2.347265240E-1,-8.291130662E-1,-9.656833649E0,-1.549352646E0
2.369798200E-1,-7.956135273E-1,-9.652048111E0,-1.567897081E0
2.392323830E-1,-7.812566161E-1,-9.661619186E0,-1.567897081E0
2.414859840E-1,-7.525427341E-1,-9.643074989E0,-1.572682738E0
2.437392200E-1,-7.668996453E-1,-9.675976753E0,-1.596610904E0
2.459901360E-1,-7.429714203E-1,-9.671191216E0,-1.591825247E0
2.482321400E-1,-7.142575383E-1,-9.671191216E0,-1.620539188E0
2.504994730E-1,-7.190431952E-1,-9.685547829E0,-1.639681697E0
2.527511210E-1,-7.094719410E-1,-9.680762291E0,-1.649253011E0
2.550078350E-1,-6.759724021E-1,-9.656833649E0,-1.667797327E0
2.572569810E-1,-6.765705943E-1,-9.656833649E0,-1.658226132E0
2.595106430E-1,-6.717849374E-1,-9.619147301E0,-1.639083505E0
2.617638170E-1,-6.717849374E-1,-9.580862045E0,-1.639083505E0
2.640178450E-1,-6.765705943E-1,-9.528220177E0,-1.624128342E0
2.662666850E-1,-6.861419082E-1,-9.523433685E0,-1.633699656E0
2.685067370E-1,-7.046862841E-1,-9.509077072E0,-1.657627940E0
2.707627180E-1,-7.381857634E-1,-9.518648148E0,-1.619342685E0
2.730284040E-1,-7.387840152E-1,-9.495318413E0,-1.581057549E0
2.752851790E-1,-7.531409264E-1,-9.495318413E0,-1.561915040E0
2.775385970E-1,-7.531409264E-1,-9.466604233E0,-1.552343726E0
2.797889640E-1,-7.627122402E-1,-9.466604233E0,-1.533201098E0
2.820426250E-1,-7.722834945E-1,-9.437891006E0,-1.504487276E0
2.842941510E-1,-8.153542876E-1,-9.447462082E0,-1.480558991E0
