"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.854044500E-2,1.048855662E0,9.647089243E-1,-3.918700516E-1
9.079715900E-2,1.020603061E0,9.720393419E-1,-4.042400718E-1
9.306327200E-2,9.873109460E-1,9.805914164E-1,-4.080579877E-1
9.531980300E-2,9.650143981E-1,9.877691269E-1,-4.045455158E-1
9.757316000E-2,9.489791393E-1,9.926560521E-1,-3.949243724E-1
9.982364900E-2,9.329439402E-1,9.938777685E-1,-3.814853430E-1
1.020751140E-1,9.280570149E-1,9.926560521E-1,-3.596469164E-1
1.043253570E-1,9.230173826E-1,9.877691269E-1,-3.315471113E-1
1.065821930E-1,9.254608750E-1,9.790642858E-1,-2.997821271E-1
1.088353060E-1,9.303477407E-1,9.619600177E-1,-2.596177161E-1
1.110894570E-1,9.376781583E-1,9.363036752E-1,-2.205223590E-1
1.133416550E-1,9.439395070E-1,9.117164016E-1,-1.779145002E-1
1.155918380E-1,9.476047158E-1,8.799513578E-1,-1.365283877E-1
1.178356710E-1,9.476047158E-1,8.469646573E-1,-1.023199260E-1
1.201006870E-1,9.427177906E-1,8.187121153E-1,-7.925976813E-2
1.223550810E-1,9.378308654E-1,7.796167731E-1,-5.757404864E-2
1.246102690E-1,9.268352985E-1,7.330383062E-1,-4.062253982E-2
1.268602680E-1,9.172141552E-1,6.853908300E-1,-2.871066704E-2
1.291129540E-1,9.049968719E-1,6.352998614E-1,-1.908953860E-2
1.313667990E-1,8.952230215E-1,5.813909769E-1,-9.621127509E-3
1.336198520E-1,8.843801618E-1,5.227479339E-1,-5.039638374E-3
1.358732700E-1,8.733845949E-1,4.651738703E-1,4.581489135E-3
1.381260160E-1,8.625417352E-1,4.040873647E-1,1.160643995E-2
1.403789450E-1,8.478809595E-1,3.452915847E-1,2.229658142E-2
1.426305330E-1,8.332201838E-1,2.854267955E-1,3.420845419E-2
1.448799220E-1,8.174903989E-1,2.254092693E-1,4.734205827E-2
1.471382840E-1,8.028296232E-1,1.618792862E-1,6.169738993E-2
1.493915180E-1,7.893906236E-1,1.006400511E-1,7.360926270E-2
1.516428610E-1,7.698429227E-1,3.344487399E-2,8.307767659E-2
1.538852930E-1,7.516697049E-1,-2.779436857E-2,8.643743396E-2
1.561504920E-1,7.370089293E-1,-9.132435173E-2,8.979719132E-2
1.584038480E-1,7.237225771E-1,-1.537853181E-1,9.071348608E-2
1.606599510E-1,7.165449262E-1,-2.173153162E-1,9.162978828E-2
1.629103170E-1,7.006624341E-1,-2.785545588E-1,8.888089657E-2
1.651631860E-1,6.959282160E-1,-3.335324228E-1,8.261952549E-2
1.674162990E-1,6.911939979E-1,-3.750712574E-1,7.635815442E-2
1.696691070E-1,6.887505651E-1,-4.190535545E-1,7.131851465E-2
1.719230130E-1,6.864598393E-1,-4.581489265E-1,6.261368841E-2
1.741758810E-1,6.939429045E-1,-4.851797223E-1,5.757404864E-2
1.764289340E-1,7.002043128E-1,-5.047274232E-1,4.902193695E-2
1.786818630E-1,7.052439451E-1,-5.143485069E-1,4.046982154E-2
1.809349140E-1,7.150177956E-1,-5.216789246E-1,3.451388702E-2
1.831883310E-1,7.176139355E-1,-5.204572082E-1,2.351831272E-2
1.854412610E-1,7.237225771E-1,-5.094616413E-1,1.985312067E-2
1.876913840E-1,7.286095023E-1,-4.899139404E-1,1.267545391E-2
1.899349750E-1,7.322747111E-1,-4.691445231E-1,9.162978269E-3
1.922002340E-1,7.357872128E-1,-4.386012554E-1,4.276056774E-3
1.944544450E-1,7.370089293E-1,-4.091269970E-1,7.635815418E-4
1.967099990E-1,7.392996550E-1,-3.785837293E-1,-3.970623948E-3
