"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.703416667E-3,4.289629669E0,-1.314207092E1,-1.875150604E0
8.275583343E-3,3.563489685E0,-1.245035934E1,-1.462758179E0
1.822458334E-2,2.695295105E0,-1.160656403E1,-1.198407898E0
2.820358334E-2,2.154619446E0,-1.096844101E1,-1.190324707E0
3.818358334E-2,1.999990997E0,-1.078522202E1,-1.085392914E0
4.813158335E-2,2.207010498E0,-1.077594131E1,-8.342152405E-1
5.811158333E-2,2.555036774E0,-1.076591217E1,-4.941224670E-1
6.809058334E-2,2.830613708E0,-1.073283096E1,-7.259902954E-2
7.803958334E-2,2.935096436E0,-1.066996170E1,2.209405518E-1
8.801858334E-2,2.832260284E0,-1.060574524E1,3.330574036E-1
9.796758334E-2,2.624492340E0,-1.056278458E1,4.447251892E-1
1.079465833E-1,2.494263153E0,-1.058284286E1,5.706134033E-1
1.179255833E-1,2.473007355E0,-1.060035645E1,6.200106812E-1
1.278745833E-1,2.453847198E0,-1.046428940E1,5.556445312E-1
1.378535833E-1,2.443818054E0,-1.031579819E1,3.119512939E-1
1.478025833E-1,2.593057709E0,-1.043165726E1,6.227050781E-2
1.577815833E-1,2.840642853E0,-1.077279785E1,-5.388793945E-3
1.677605833E-1,3.009342041E0,-1.097323105E1,3.787124634E-2
1.777095833E-1,2.943928070E0,-1.065184937E1,1.299298096E-1
1.876885833E-1,2.642754364E0,-1.008617569E1,4.969665527E-2
1.976675833E-1,2.273023224E0,-9.610315247E0,-3.817062378E-2
2.076165833E-1,2.051783295E0,-9.271569672E0,-9.894424438E-2
2.175955833E-1,2.034718781E0,-9.040300598E0,-7.873626709E-2
2.275445833E-1,2.076182556E0,-8.880283356E0,2.859054565E-2
2.375235833E-1,2.135908356E0,-8.816366272E0,7.783813477E-3
2.475035833E-1,2.304457855E0,-8.771609344E0,-6.810836792E-2
2.574515833E-1,2.562820587E0,-8.821455688E0,-2.781216431E-1
2.674315833E-1,2.974165192E0,-9.108259277E0,-4.809498596E-1
2.773795833E-1,3.365301819E0,-9.497449951E0,-3.725752258E-1
2.873595833E-1,3.525468750E0,-9.500743103E0,-2.526745605E-1
2.973385833E-1,3.480562134E0,-9.173224182E0,-3.531156921E-1
3.072875833E-1,3.318449249E0,-8.816066895E0,-5.372328186E-1
3.172665833E-1,3.107388153E0,-8.520281982E0,-6.988966370E-1
3.272155833E-1,2.925815735E0,-8.321794739E0,-6.575825500E-1
3.371945833E-1,2.854713593E0,-8.209827576E0,-6.803352356E-1
3.471735833E-1,2.907254333E0,-8.207881622E0,-7.780819702E-1
3.571225833E-1,3.008743286E0,-8.269403687E0,-7.779322815E-1
3.671015833E-1,3.045267334E0,-8.250243530E0,-7.542814636E-1
3.770805833E-1,3.089575195E0,-8.161627808E0,-8.201445007E-1
3.870295833E-1,3.094065857E0,-8.064030762E0,-8.011340332E-1
3.970085833E-1,3.076701965E0,-8.074059906E0,-8.906478882E-1
4.069575833E-1,3.166664886E0,-8.229287109E0,-1.017733612E0
4.169365833E-1,3.369942169E0,-8.506660309E0,-9.862989807E-1
4.269165833E-1,3.464395752E0,-8.734636230E0,-8.695417786E-1
4.368645833E-1,3.417094116E0,-8.851243744E0,-9.279203796E-1
4.468435833E-1,3.334915009E0,-8.950637054E0,-9.758207703E-1
4.567925833E-1,3.219804382E0,-8.954528961E0,-9.439370728E-1
4.667715833E-1,2.972518616E0,-8.861272888E0,-9.195378113E-1
4.767515833E-1,2.658920746E0,-8.748856659E0,-9.608518982E-1
4.866995833E-1,2.291734314E0,-8.641230469E0,-9.517208862E-1
4.966795833E-1,2.037413177E0,-8.554710388E0,-9.687854004E-1
5.066275833E-1,1.907483368E0,-8.544381866E0,-9.590556335E-1
5.166075833E-1,1.947300568E0,-8.600515137E0,-8.273295593E-1
5.265865833E-1,2.048490143E0,-8.634045410E0,-6.765930176E-1
5.365355833E-1,2.201022949E0,-8.519832916E0,-5.785469055E-1
5.465145833E-1,2.266137543E0,-8.403524780E0,-8.405021667E-1
5.564935833E-1,2.326761475E0,-8.418942719E0,-8.193960571E-1
5.664425833E-1,2.302062836E0,-8.469238129E0,-5.513035583E-1
5.764215833E-1,2.250420227E0,-8.472830658E0,-4.951702881E-1
5.863705833E-1,2.319426727E0,-8.577612762E0,-7.481442261E-1
5.963495833E-1,2.506837006E0,-8.777596893E0,-7.908055115E-1
6.063285833E-1,2.750979309E0,-8.866362305E0,-7.027885437E-1
6.162775833E-1,2.972967682E0,-8.828341370E0,-8.033793640E-1
6.262565833E-1,3.168012085E0,-8.581504669E0,-9.125024414E-1
6.362055833E-1,3.403322754E0,-8.272397461E0,-1.083896027E0
6.461845833E-1,3.546275482E0,-8.008047180E0,-9.205856323E-1
6.561645833E-1,3.544329529E0,-7.816744995E0,-6.730004883E-1
6.661125833E-1,3.674109650E0,-7.744445343E0,-3.146456909E-1
6.760925833E-1,3.960164795E0,-7.948171692E0,-5.538482666E-2
6.860405833E-1,4.166136475E0,-8.253836060E0,-2.528242493E-1
6.960205833E-1,4.224515076E0,-8.763675842E0,-6.093827820E-1
7.059995833E-1,4.027524719E0,-9.730066223E0,-1.010698242E0
7.159485833E-1,4.147575073E0,-1.051069290E1,-1.203048248E0
7.259275833E-1,3.893403625E0,-1.133308273E1,-1.634451141E0
7.359065833E-1,3.808829498E0,-1.164503403E1,-1.563348999E0
7.458555833E-1,3.717369690E0,-1.166000290E1,-1.064137115E0
7.558345833E-1,3.641776886E0,-1.124297012E1,-8.234376526E-1
7.657835833E-1,3.646417236E0,-1.094538895E1,-9.925859070E-1
7.757625833E-1,3.754193115E0,-1.092263626E1,-1.379531250E0
7.857415833E-1,3.810176697E0,-1.129790588E1,-2.009271698E0
7.956905833E-1,3.803440704E0,-1.231803452E1,-2.761008453E0
8.056695833E-1,3.657494202E0,-1.391206970E1,-3.585044861E0
8.156185833E-1,3.219355316E0,-1.548425034E1,-4.277205505E0
8.255975833E-1,2.946772156E0,-1.649973862E1,-4.043391724E0
8.355765833E-1,3.270399170E0,-1.598031876E1,-3.318149872E0
8.455255833E-1,4.020938416E0,-1.426024567E1,-2.717149658E0
8.555045833E-1,4.512366486E0,-1.270004013E1,-2.240989838E0
8.654535833E-1,4.692741394E0,-1.159533737E1,-1.972747650E0
8.754325833E-1,4.904101868E0,-1.060888870E1,-1.882784729E0
8.853882083E-1,5.127587128E0,-1.009575577E1,-1.876048737E0
8.953362083E-1,5.091063080E0,-9.841734009E0,-1.951791229E0
9.053162083E-1,4.667144623E0,-9.548643494E0,-2.163002014E0
9.152952083E-1,4.044738922E0,-9.261241150E0,-2.469564514E0
9.252442083E-1,3.300037537E0,-8.822503510E0,-2.739602966E0
9.352232083E-1,2.491868134E0,-8.283474426E0,-2.925815735E0
9.451722083E-1,1.920655975E0,-7.782316589E0,-3.126997375E0
9.551512083E-1,1.664239197E0,-7.220235443E0,-3.345991974E0
9.651302083E-1,1.741628265E0,-6.916666718E0,-3.614084473E0
9.750792083E-1,2.133812714E0,-6.816375275E0,-3.622616730E0
9.850582083E-1,2.653232574E0,-7.210505676E0,-3.303630066E0
9.950072083E-1,3.044219513E0,-7.776628418E0,-2.877615967E0
1.004986208E0,3.173700256E0,-8.090525665E0,-2.432142334E0
1.014965208E0,3.098706207E0,-8.196056213E0,-2.095043335E0
