"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.362904167E-2,3.992048492E0,-1.199171310E1,1.590442657E0
1.134640417E-1,2.073188782E0,-7.288792877E0,-1.502874756E-1
1.632990417E-1,2.722987518E0,-8.391549683E0,1.364113312E0
2.131340417E-1,3.434158630E0,-9.129664764E0,-9.969268799E-2
2.629700417E-1,3.053799591E0,-8.586594086E0,1.023870850E0
3.128050417E-1,1.972897339E0,-8.826395416E0,2.160008240E-1
3.626400417E-1,2.378104706E0,-9.149573364E0,1.467248840E0
4.124450417E-1,1.443747711E0,-1.137619308E1,2.738106079E0
4.622800417E-1,2.216889954E0,-1.183019897E1,2.093995514E0
5.121150417E-1,4.258195038E0,-1.347198486E1,1.032552795E0
5.619500417E-1,-1.501377869E-1,-1.280646881E1,-9.333091736E-1
6.117850417E-1,-1.085542603E0,-1.292113037E1,2.163002014E-1
6.616210417E-1,5.352868652E0,-1.132410141E1,-8.509803772E-1
7.114560417E-1,3.868405609E0,-8.273894348E0,-6.107299805E-1
7.612725000E-1,1.064586182E0,-4.909191284E0,-2.454895020E-2
8.111075000E-1,1.025068359E0,-4.514013062E0,-1.245260468E0
8.609435000E-1,1.011596375E0,-4.611909485E0,-4.077520752E-1
9.107785000E-1,3.023712158E0,-6.445746002E0,-2.130220184E0
9.606135000E-1,9.665400696E0,-1.298384995E1,-3.742517395E0
1.010418500E0,6.054908752E0,-8.950786743E0,-7.425009613E0
1.060253500E0,3.717519379E0,-1.468027222E1,2.294129333E0
1.110088500E0,1.006956024E0,-6.766828308E0,-2.958298187E0
1.159923500E0,8.292755127E-2,-8.266709290E0,1.556912384E0
1.209758500E0,4.560715942E0,-1.075453583E1,7.967930603E-1
1.259594500E0,2.374811554E0,-8.005951538E0,9.984237671E-2
1.309429500E0,3.396586761E0,-7.683372345E0,1.193019104E0
1.359264500E0,3.917802887E0,-8.443491669E0,-2.380050659E-1
1.409099500E0,3.041375427E0,-8.573870544E0,7.812254333E-1
1.458934500E0,2.851121063E0,-9.107660522E0,7.800279236E-1
1.508770500E0,1.488953705E0,-1.044288391E1,7.454498291E-1
1.558605500E0,5.579497375E0,-9.799970856E0,1.500779114E0
1.608440500E0,2.467768250E0,-1.727228210E1,6.141728210E-1
1.658245500E0,1.686243439E0,-1.183543808E1,-9.599537659E-1
1.708080500E0,4.945715332E-1,-1.146076721E1,-1.141975250E0
1.757900125E0,3.368295593E0,-7.779322815E0,-1.330283661E0
1.807735125E0,3.757935333E0,-6.657854919E0,2.670446777E-1
1.857571125E0,2.653232574E0,-7.253166962E0,2.603086853E-1
1.907406125E0,7.158114624E-1,-8.057444458E0,-2.328258362E0
1.957241125E0,-8.396040344E-1,-6.943311310E0,-2.168241119E0
2.007076125E0,1.598675537E0,-6.607709198E0,-1.423988800E0
2.056911125E0,4.358636169E0,-9.786947937E0,-3.540886688E0
2.106747125E0,9.343569946E0,-1.011267059E1,-5.191055145E0
2.156582125E0,4.751718750E0,-3.653602295E0,6.821315002E-1
2.206417125E0,2.480641479E0,-2.377925079E1,3.401526489E0
2.256222125E0,-3.700754242E0,-5.118755493E0,-1.614692230E0
2.306057125E0,-4.531077576E-1,-8.473429413E0,7.695497131E-1
2.355892125E0,2.921025696E0,-1.257998978E1,1.050365753E0
2.405727125E0,6.240223389E0,-6.464008026E0,5.423222351E-1
2.455563125E0,6.289770355E0,-7.547454987E0,1.611099701E0
2.505398125E0,3.542982330E0,-8.656498718E0,-7.559280396E-2
2.555233125E0,2.863844604E0,-9.999356232E0,-1.602417755E0
2.605068125E0,1.317111053E0,-1.076770844E1,-4.188290405E-1
2.654903125E0,3.103047180E0,-9.831854553E0,-8.791218567E-1
2.704739125E0,2.234253845E0,-1.468191879E1,-2.862347717E0
2.754584000E0,1.041683807E0,-1.077040283E1,-1.846260681E0
2.804419000E0,8.859326935E0,-7.033872986E0,-4.385879517E-1
2.854254000E0,5.509143677E0,-6.993756409E0,-2.823129272E-1
2.904059000E0,-3.201841736E-1,-6.941664734E0,-5.010081482E-1
2.953894000E0,-1.608255615E0,-6.335724792E0,-2.052831116E0
3.003729000E0,-1.087039490E0,-8.512647858E0,-1.296304321E0
3.053564000E0,3.268602905E0,-6.433321838E0,-2.551144867E0
3.103400000E0,7.199279022E0,-7.398365021E0,-2.898422699E0
3.153235000E0,7.691006470E0,-9.668843536E0,-4.294868774E0
3.203070000E0,6.647825775E0,-8.965456238E0,-3.373983765E0
3.252905000E0,7.127428436E0,-1.834884338E1,7.752378845E-1
3.302740000E0,-8.764274597E-1,-4.367168427E0,-6.083798676E0
3.352576000E0,1.021026764E0,-8.599317627E0,3.992647247E0
3.402411000E0,6.231092377E0,-1.120674545E1,1.255439301E0
3.452246000E0,2.872376862E0,-7.296427002E0,5.219645691E-1
