"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.891980417E-1,6.117880940E-1,6.226547956E-1,6.582881808E-1
2.390330417E-1,4.482824206E-1,3.409404457E-1,7.173724771E-1
2.888680417E-1,5.513864160E-1,3.852865845E-2,8.421517015E-1
3.387030417E-1,3.908146620E-1,5.220645070E-1,1.122623324E0
3.885380417E-1,7.760620862E-2,-2.209587842E-1,7.415446043E-1
4.383740417E-1,7.568694651E-2,1.226265728E-1,4.132224917E-1
4.882090417E-1,-5.427266955E-1,1.877816170E-1,-2.828113437E-1
5.380440417E-1,-1.732074976E0,-6.473712623E-2,-1.583981395E0
5.878790417E-1,-2.575181961E0,4.084333181E-1,-2.372689962E0
6.377140417E-1,-1.436567545E0,6.082868576E-1,-1.467535973E0
6.875190417E-1,-8.912132978E-1,-4.076098502E-1,-2.195403814E0
7.373540417E-1,-5.010153167E-3,-1.194136620E0,-1.222969532E0
7.871705000E-1,2.004121244E-1,-1.137573719E0,-5.361809134E-1
8.370065000E-1,5.657140017E-1,-5.674432516E-1,1.152612865E-1
8.868415000E-1,9.960892200E-1,1.690029055E-1,6.561998129E-1
9.366765000E-1,1.066577077E0,2.264837921E-2,7.109934092E-1
9.865115000E-1,-3.270962536E-1,-4.242385924E-1,-9.187278152E-1
1.036346500E0,5.266153812E-1,-4.975962937E-1,-2.676257491E-1
1.086182500E0,-4.416631758E-1,-2.898305058E-1,-4.223337471E-1
1.136017500E0,4.118994772E-1,4.724140465E-1,1.084982991E0
1.185852500E0,5.615713596E-1,6.699573398E-1,1.344131947E0
1.235687500E0,5.781746507E-1,7.044888735E-1,8.734483123E-1
1.285522500E0,5.103152394E-1,9.149262905E-1,8.028988242E-1
1.335327500E0,4.109774530E-1,2.813639641E-1,7.114965916E-1
1.385162500E0,2.575278580E-1,4.336503893E-2,7.232652903E-1
1.434998500E0,2.871814072E-1,-9.580656141E-2,9.293246269E-1
1.484833500E0,2.426188290E-1,1.463123411E-1,8.479377627E-1
1.534668500E0,-1.481730044E-1,2.483124286E-1,5.827657580E-1
