"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.870415900E-2,3.168863356E-1,-3.790418804E-1,-1.511891466E-2
9.095739400E-2,3.144428730E-1,-3.938553631E-1,-9.010262787E-3
9.321056800E-2,3.071125150E-1,-4.195117056E-1,-1.160643995E-2
9.546368200E-2,3.048217595E-1,-4.610505402E-1,-1.664607786E-2
9.771685500E-2,3.013092875E-1,-4.952589869E-1,-1.557706390E-2
9.996996700E-2,3.000875413E-1,-5.086980462E-1,-1.435533352E-2
1.022202120E-1,2.913827300E-1,-5.001459122E-1,-9.468411095E-3
1.044642300E-1,2.790127099E-1,-4.671591818E-1,-4.581489135E-3
1.067287580E-1,2.567161322E-1,-4.353941977E-1,1.527163084E-3
1.089824190E-1,2.270891517E-1,-4.097378552E-1,2.596177394E-3
1.112390710E-1,2.035708427E-1,-3.915646076E-1,-1.221730490E-3
1.134908410E-1,1.777617931E-1,-3.866777122E-1,-3.665191587E-3
1.157417570E-1,1.556179225E-1,-3.842342496E-1,-8.704829961E-3
1.179918800E-1,1.359175146E-1,-3.842342496E-1,-1.252273750E-2
1.202349210E-1,1.198823079E-1,-3.793473244E-1,-1.511891466E-2
1.225025600E-1,1.062905490E-1,-3.744603992E-1,-1.267545391E-2
1.247546350E-1,1.001819000E-1,-3.744603992E-1,-9.010262787E-3
1.270108610E-1,9.514226019E-2,-3.707951903E-1,-6.566801574E-3
1.292601290E-1,9.269879758E-2,-3.622430861E-1,-2.901609987E-3
1.315123260E-1,9.392052889E-2,-3.573561609E-1,-4.581489484E-4
1.337666590E-1,9.758572280E-2,-3.573561609E-1,-4.581489484E-4
1.360202600E-1,1.049161032E-1,-3.561344445E-1,-1.679879380E-3
1.382741670E-1,1.123992056E-1,-3.585779071E-1,-2.748893574E-3
1.405289890E-1,1.185078546E-1,-3.585779071E-1,-5.192354787E-3
1.427797830E-1,1.221730486E-1,-3.549126983E-1,-1.130100712E-2
1.450327730E-1,1.259909570E-1,-3.512475193E-1,-1.740965992E-2
